ID	Eq
H	Hosp15 ~ Variant + InfPrior +  VaccStatus + AgeGr + Sex
O	Oxygen15 ~ Variant + InfPrior +  VaccStatus +  AgeGr + Sex
IP	ICU15 ~ Variant + InfPrior +  VaccStatus + AgeGr + Sex
D	DeathByCov30 ~ Variant + InfPrior + VaccStatus  + AgeGr + Sex
HI	Hosp15 ~ Variant + Immunity + AgeGr + Sex
OI	Oxygen15 ~ Variant + Immunity + AgeGr + Sex
IPI	ICU15 ~ Variant + Immunity + AgeGr + Sex
DI	DeathByCov30 ~ Variant + Immunity + AgeGr + Sex
B	Covidproxy ~ VariantComp + InfPrior + VaccStatus + AgeGr + Sex

