"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"ID","1902962","4889133.678","2888726.58","10","2414390","7247927.5","10710290"
"T1","1902962","14.935","19.948","0","0","30","64"
"T2","1902962","48.307","20.951","1","32","65","65"
"Infected","1902962","0.004","0.064","0","0","0","1"
"Covidproxy","1902962","0","0.011","0","0","0","1"
"DeadByCovid","1902962","0","0.003","0","0","0","1"
"DeadByOther","1902962","0.001","0.027","0","0","0","1"
"InfPrior","1902962","","","","","",""
"... _uninfected","1468852","77.2%","","","","",""
"... inf_NA_061-121","76847","4%","","","","",""
"... inf_NA_183-243","11290","0.6%","","","","",""
"... inf_NA_244-304","81013","4.3%","","","","",""
"... inf_NA_305+","264960","13.9%","","","","",""
"Age","1902962","45.474","22.015","0","29","63","139"
"Sex","1902962","","","","","",""
"... F","964714","50.7%","","","","",""
"... M","938248","49.3%","","","","",""
"InfPriorTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
"LastVaccTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
