"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at"
-2.82339892860836,0.354030888005569,-3.517,-2.13,1.55431223447522e-15,"-2.82 (-3.52, -2.13)",0.0594036902805337,1.42479919500569,0.0296883668041514,0.11883729385241,"0.06 (0.03, 0.12)",0.940596309719466,0.970311633195849,0.88116270614759,"0.94 (0.88, 0.97)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-2.16372744513904,0.408518687235003,-2.964,-1.363,1.1803034072333e-07,"-2.16 (-2.96, -1.36)",0.114896053136555,1.50458736907296,0.0516120555031895,0.255891948442084,"0.11 (0.05, 0.26)",0.885103946863445,0.948387944496811,0.744108051557916,"0.89 (0.74, 0.95)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-2.64864729505535,0.183066253028521,-3.007,-2.29,0,"-2.65 (-3.01, -2.29)",0.0707468479740096,1.20089396830758,0.049439775831277,0.101266461853883,"0.07 (0.05, 0.1)",0.92925315202599,0.950560224168723,0.898733538146117,"0.93 (0.9, 0.95)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-1.78362761210082,0.0757526541223594,-1.932,-1.635,0,"-1.78 (-1.93, -1.64)",0.168027501747098,1.07869573021517,0.144858192189619,0.194952371299182,"0.17 (0.14, 0.19)",0.831972498252902,0.855141807810381,0.805047628700817,"0.83 (0.81, 0.86)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-2.31266883411111,0.0726799027587174,-2.455,-2.17,0,"-2.31 (-2.46, -2.17)",0.0989966929341442,1.07538625364248,0.0858631954411668,0.114177616910836,"0.1 (0.09, 0.11)",0.901003307065856,0.914136804558833,0.885822383089164,"0.9 (0.89, 0.91)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-2.22828413329969,0.252050167919251,-2.722,-1.734,0,"-2.23 (-2.72, -1.73)",0.1077130929715,1.28666058475004,0.0657431365792699,0.176576688716134,"0.11 (0.07, 0.18)",0.8922869070285,0.93425686342073,0.823423311283866,"0.89 (0.82, 0.93)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-1.56217952766263,0.0851307885683131,-1.729,-1.395,0,"-1.56 (-1.73, -1.4)",0.209678572567236,1.08885946775686,0.177461783051607,0.247833036367229,"0.21 (0.18, 0.25)",0.790321427432764,0.822538216948393,0.752166963632771,"0.79 (0.75, 0.82)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-1.18970970720683,0.055680086683212,-1.299,-1.081,0,"-1.19 (-1.3, -1.08)",0.30430959012678,1.05725939826768,0.272804461138376,0.339256099860472,"0.3 (0.27, 0.34)",0.69569040987322,0.727195538861624,0.660743900139528,"0.7 (0.66, 0.73)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-0.888605613634385,0.0301820390162172,-0.948,-0.829,0,"-0.89 (-0.95, -0.83)",0.411228764942294,1.03064213395788,0.38751527949937,0.436485553705193,"0.41 (0.39, 0.44)",0.588771235057706,0.61248472050063,0.563514446294807,"0.59 (0.56, 0.61)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
-0.664946720088334,0.0554197591307157,-0.774,-0.556,0,"-0.66 (-0.77, -0.56)",0.51430092888472,1.05698420033853,0.461164715208658,0.573498475875715,"0.51 (0.46, 0.57)",0.48569907111528,0.538835284791342,0.426501524124285,"0.49 (0.43, 0.54)",0.729149637072513,"version 2.0","Input ../data/data_20221126.csv","Writing to temporary_full.csv","Date range 2021-12-10 - 2022-02-13","VI","2023-02-03 11:30:48"
