"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"ID","2926609","4680833.616","2766976.759","10","2313600","6941950","10710290"
"T1","2926609","41.505","41.772","0","0","79","122"
"T2","2926609","85.999","39.257","1","53","123","123"
"Infected","2926609","0.02","0.141","0","0","0","1"
"Covidproxy","2926609","0","0.02","0","0","0","1"
"DeadByCovid","2926609","0","0.015","0","0","0","1"
"DeadByOther","2926609","0.001","0.036","0","0","0","1"
"Age","2926609","46.104","21.663","0","30","64","139"
"Sex","2926609","","","","","",""
"... F","1493999","51%","","","","",""
"... M","1432610","49%","","","","",""
"InfPriorTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
"LastVaccTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
