"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"ID","2532809","4575929.648","3198775.639","5","1604590","7384100","10550110"
"T1","2532809","5.68","14.275","0","0","0","64"
"T2","2532809","58.638","15.269","1","65","65","65"
"Infected","2532809","0.002","0.039","0","0","0","1"
"Covidproxy","2532809","0","0.007","0","0","0","1"
"DeadByCovid","2532809","0","0.002","0","0","0","1"
"DeadByOther","2532809","0","0.017","0","0","0","1"
"InfPrior","2532809","","","","","",""
"... _uninfected","2313589","91.3%","","","","",""
"... inf_NA_061-121","38669","1.5%","","","","",""
"... inf_NA_183-243","5574","0.2%","","","","",""
"... inf_NA_244-304","41116","1.6%","","","","",""
"... inf_NA_305+","133861","5.3%","","","","",""
"Age","2532809","43.509","22.782","0","26","62","149"
"Sex","2532809","","","","","",""
"... F","1284515","50.7%","","","","",""
"... M","1248294","49.3%","","","","",""
"InfPriorTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
"LastVaccTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
