"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"ID","1920295","4884320.135","2886565.842","10","2410525","7241190","10710290"
"T1","1920295","16.705","21.331","0","0","35","64"
"T2","1920295","49.779","19.714","1","36","65","65"
"Infected","1920295","0.004","0.063","0","0","0","1"
"Covidproxy","1920295","0","0.011","0","0","0","1"
"DeadByCovid","1920295","0","0.003","0","0","0","1"
"DeadByOther","1920295","0.001","0.027","0","0","0","1"
"InfPrior","1920295","","","","","",""
"... _uninfected","1528048","79.6%","","","","",""
"... inf_NA_061-090","70994","3.7%","","","","",""
"... inf_NA_091-120","22247","1.2%","","","","",""
"... inf_NA_181+","299006","15.6%","","","","",""
"Age","1920295","47.416","22.469","0","31","66","139"
"Sex","1920295","","","","","",""
"... F","982495","51.2%","","","","",""
"... M","937800","48.8%","","","","",""
"InfPriorTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
"LastVaccTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
