"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"ID","2747112","4711188.929","2784314.418","10","2327807.5","6985930","10710290"
"T1","2747112","40.737","43.542","0","0","82","122"
"T2","2747112","88.138","40.171","1","58","123","123"
"Infected","2747112","0.022","0.145","0","0","0","1"
"Covidproxy","2747112","0","0.02","0","0","0","1"
"DeadByCovid","2747112","0","0.016","0","0","0","1"
"DeadByOther","2747112","0.001","0.037","0","0","0","1"
"Age","2747112","45.585","22.076","0","29","64","139"
"Sex","2747112","","","","","",""
"... F","1397042","50.9%","","","","",""
"... M","1350070","49.1%","","","","",""
"InfPriorTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
"LastVaccTime","0","NaN",NA,"Inf",NA,NA,"-Inf"
