"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"VaccStatusboost_001-061" -1.0872867099276 -1.20848056383653 -0.96609285601867 0.337129985304704 0.298650715556488 0.380567067384281 0.662870014695296 0.701349284443512 0.619432932615719
"VaccStatusboost_062-122" -0.694490232022722 -0.79072000940891 -0.598260454636534 0.499328925013606 0.453518140370985 0.549767149669665 0.500671074986394 0.546481859629016 0.450232850330335
"VaccStatusboost_123-183" -0.66311031405547 -0.760288503959694 -0.565932124151245 0.515246261955239 0.467531522855028 0.567830611372844 0.484753738044761 0.532468477144972 0.432169388627156
"VaccStatusboost_184-244" -0.670944705300332 -0.769564356044264 -0.5723250545564 0.511225392250786 0.463214821098865 0.564212088598498 0.488774607749214 0.536785178901135 0.435787911401502
"VaccStatusboost_245-305" -0.512635916247997 -0.609624066305715 -0.415647766190279 0.598914807065464 0.543555171373657 0.659912673106887 0.401085192934536 0.456444828626343 0.340087326893113
"VaccStatusboost_306-366" -0.372160889998971 -0.47891291067597 -0.265408869321972 0.689243341242545 0.619456430385506 0.766892327119028 0.310756658757455 0.380543569614494 0.233107672880972
"VaccStatusboost_367-427" -0.317463121093743 -0.541431868919903 -0.0934943732675834 0.727993527884333 0.581914430367657 0.910743141919742 0.272006472115667 0.418085569632343 0.0892568580802581
"VaccStatusboost_428-488" -1.44456380478994 -3.4068585590293 0.517730949449425 0.235848930295771 0.0331451605633693 1.67821537069679 0.764151069704229 0.966854839436631 -0.678215370696793
"VaccStatusfull_001-061" -0.356203174593206 -0.57506976278026 -0.137336586406152 0.70033031645233 0.562665614320109 0.871676782194814 0.29966968354767 0.437334385679891 0.128323217805186
"VaccStatusfull_062-122" -0.383443536074896 -0.545235056379316 -0.221652015770475 0.68151055772348 0.579705503846988 0.801194118748889 0.31848944227652 0.420294496153012 0.198805881251111
"VaccStatusfull_123-183" -0.479388048197488 -0.598860169995265 -0.359915926399711 0.619162173304311 0.549437544710739 0.697734984697387 0.380837826695689 0.450562455289261 0.302265015302613
"VaccStatusfull_184-244" -0.45919728469727 -0.554419904790353 -0.363974664604187 0.631790589988363 0.574405374374485 0.694908800309398 0.368209410011637 0.425594625625515 0.305091199690602
"VaccStatusfull_245-305" -0.432654640644914 -0.528549253465356 -0.336760027824471 0.648784516920518 0.589459506006322 0.714080178717613 0.351215483079482 0.410540493993678 0.285919821282387
"VaccStatusfull_306-366" -0.361435504104477 -0.457563380656217 -0.265307627552737 0.696675527338564 0.632823718973416 0.766969972585454 0.303324472661436 0.367176281026584 0.233030027414546
"VaccStatusfull_367-427" -0.370562018953616 -0.474435632225535 -0.266688405681698 0.690346233920694 0.622236127407555 0.76591168801797 0.309653766079306 0.377763872592445 0.23408831198203
"VaccStatusfull_428-488" -0.496972439590149 -0.618954976774726 -0.374989902405571 0.608369750499792 0.538506895865659 0.687296218794403 0.391630249500208 0.461493104134341 0.312703781205597
"VaccStatusfull_489-549" -0.433678756310387 -0.584613258608532 -0.282744254012242 0.648120426643893 0.557321359376594 0.753712522166621 0.351879573356107 0.442678640623406 0.246287477833379
"VaccStatusfull_550+" -0.0931409427033322 -0.380407434194792 0.194125548788128 0.911065083270884 0.68358283744343 1.21424872084222 0.088934916729116 0.31641716255657 -0.214248720842224
"VaccStatuspartial_001-061" 0.318195816757685 -0.0562924981011049 0.692684131616476 1.37464541348228 0.945262607932551 1.99907411649429 -0.374645413482276 0.0547373920674492 -0.999074116494294
"VaccStatuspartial_062+" 0.571579154231488 0.415519132722961 0.727639175740015 1.77106162378004 1.51515710419409 2.07018748520786 -0.771061623780038 -0.515157104194088 -1.07018748520786
"VaccStatussecboost_001-061" -0.588454949112846 -0.858170403506896 -0.318739494718795 0.555184410578573 0.42393700686302 0.727064928891831 0.444815589421427 0.57606299313698 0.272935071108169
"VaccStatussecboost_062-122" -0.126661385883192 -0.440469791837122 0.187147020070737 0.881031951949796 0.643733929089406 1.20580454948905 0.118968048050204 0.356266070910594 -0.205804549489051
"VaccStatussecboost_123-183" -0.019637442614122 -0.719491695240478 0.680216810012234 0.980554116005685 0.486999737341037 1.9743057350817 0.0194458839943152 0.513000262658962 -0.974305735081696
"SexM" 0.758881875435055 0.716910669461319 0.800853081408792 2.13588669746919 2.04809618101617 2.22744030612976 -1.13588669746919 -1.04809618101617 -1.22744030612976
