"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"VaccStatusboost_001-730" -0.654413897700868 -0.702971462698755 -0.60585633270298 0.519746598009934 0.495111909237045 0.545607005412521 0.480253401990066 0.504888090762955 0.454392994587479
"VaccStatusfull_001-730" -0.415983698823851 -0.464029761477235 -0.367937636170467 0.659691024136329 0.628744841813345 0.692160346112602 0.340308975863671 0.371255158186655 0.307839653887398
"VaccStatuspartial_001-730" 0.537179437352329 0.392368927889061 0.681989946815597 1.71117357682261 1.48048380242601 1.97780955469941 -0.711173576822608 -0.480483802426008 -0.977809554699413
"VaccStatussecboost_001-730" -0.491074192118275 -0.688757014846182 -0.293391369390368 0.611968669065151 0.502199908304551 0.745730227593468 0.388031330934849 0.497800091695449 0.254269772406532
"DCCI1" 0.6542378264026 0.602374541009379 0.706101111795821 1.92367578360227 1.82645063723271 2.0260763937341 -0.923675783602269 -0.826450637232709 -1.0260763937341
"DCCI2" 1.50451161579768 1.44346248980965 1.5655607417857 4.50195440988658 4.23533526309318 4.7853575336313 -3.50195440988658 -3.23533526309318 -3.7853575336313
"DCCI3" 2.15177969786837 2.07462600373325 2.2289333920035 8.60015045495272 7.96156830533664 9.28995205608503 -7.60015045495272 -6.96156830533664 -8.28995205608503
"DCCI4" 2.67477003624093 2.57132705476163 2.77821301772023 14.5090129087701 13.0831750155085 16.0902422643833 -13.5090129087701 -12.0831750155085 -15.0902422643833
"DCCI5" 3.16368171151872 3.02759685765155 3.29976656538589 23.657536009545 20.647553909636 27.1063106309036 -22.657536009545 -19.647553909636 -26.1063106309036
"DCCI6" 3.3659936172277 3.24925078123913 3.48273645321628 28.962260407818 25.7710245473001 32.5486682297286 -27.962260407818 -24.7710245473001 -31.5486682297286
"DCCI7" 3.65624754311323 3.50255741282877 3.80993767339769 38.7157906177167 33.2002502262332 45.1476248805654 -37.7157906177167 -32.2002502262332 -44.1476248805654
"DCCI8" 3.80387684123461 3.5799121081232 4.02784157434602 44.8748202502343 35.8703879927875 56.1396072129396 -43.8748202502343 -34.8703879927875 -55.1396072129396
"DCCI9" 3.97121479079789 3.63376952300088 4.3086600585949 53.0489350710846 37.8552442202615 74.340809843987 -52.0489350710846 -36.8552442202615 -73.340809843987
"SexM" 0.75592674090198 0.71397841407947 0.79787506772449 2.12958418190801 2.04209943625712 2.22081682571985 -1.12958418190801 -1.04209943625712 -1.22081682571985
