day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,,,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,0,0,0,,,
238,0,0,0,,,
245,0,0,0,,,
252,0,0,0,,,
259,1,0.00606061,0.00604221,177,0
266,1,0.00444444,0.00443456,121,0
273,3,0.00692841,0.00398624,129,8.98146
280,4,0.00556328,0.00277389,148,8.57321
287,10,0.00835422,0.00263078,145.7,9.3574
294,26,0.0147309,0.00286761,146.231,4.15609
301,17,0.0102843,0.00248146,144.588,6.09728
308,12,0.00848057,0.00243773,143.333,7.52434
315,11,0.0131108,0.00392707,126.091,10.679
322,10,0.0141844,0.00445357,121.6,9.85515
329,9,0.0166052,0.00548891,107.667,11.4698
336,4,0.00761905,0.00379498,147,11.4837
343,19,0.0275762,0.00623857,120.789,8.14297
350,22,0.019802,0.00417979,104.5,8.43834
357,30,0.026643,0.00479908,104.833,6.90894
364,51,0.0312692,0.00430956,94.2941,5.25529
371,69,0.0413669,0.0048759,92,5.02896
378,36,0.0328467,0.00538379,89.6111,6.63107
385,44,0.047261,0.00695446,80.0227,7.49934
392,48,0.0483384,0.00680632,83.625,6.94007
399,44,0.0430108,0.00634314,81.9318,5.75968
406,46,0.0418562,0.00604083,75.7609,6.30211
413,62,0.05,0.00618922,62.2258,4.76172
420,73,0.0481213,0.00549499,68.6712,5.17692
427,73,0.0467649,0.0053439,67.0548,4.81058
434,90,0.0587084,0.00600401,61.9556,4.27571
441,70,0.0595238,0.00689947,72.5286,5.12452
448,70,0.0726895,0.00836634,70.2286,5.78288
455,40,0.0724638,0.0110346,68.025,7.02126
462,34,0.0565724,0.00942365,64.6176,8.39715
469,20,0.0530504,0.0115435,90.95,13.0842
476,24,0.0836237,0.0163403,68.375,7.27529
483,24,0.0902256,0.0175667,62.4167,7.70437
490,15,0.0833333,0.0206006,70.0667,9.87993
497,6,0.0504202,0.0200583,59,20.4627
504,2,0.030303,0.0211003,53,21.9203
511,2,0.0425532,0.0294425,26,4.94975
518,1,0.0526316,0.0512278,115,0
525,0,0,0,,,
532,0,0,0,,,
539,0,0,0,,,
546,0,0,0,,,
553,0,0,0,,,
560,1,0.125,0.116927,62,0
567,0,0,0,,,
574,0,0,0,,,
581,1,0.25,0.216506,72,0
588,0,0,0,,,
595,1,0.2,0.178885,16,0
602,0,0,0,,,
609,0,0,0,,,
616,1,0.04,0.0391918,27,0
623,0,0,0,,,
630,1,0.030303,0.0298404,26,0
637,2,0.0384615,0.0266683,77,5.65685
644,5,0.0961538,0.0408817,54.4,12.7831
651,8,0.0592593,0.0203211,75.875,15.5156
658,8,0.0323887,0.0112642,61,12.4436
665,19,0.0455635,0.0102121,55.2105,7.82445
672,31,0.0454545,0.00797618,56.2581,8.80733
679,41,0.0432489,0.00660668,57.8293,5.49489
686,58,0.0478943,0.00613638,53.6724,5.01427
693,53,0.0346632,0.0046781,66.3585,6.15887
700,50,0.0369004,0.00512131,49.92,4.691
707,47,0.0441729,0.00629937,75.2979,6.2821
714,26,0.0348059,0.00670615,48.7692,7.71503
721,15,0.0364078,0.00922773,48.8667,9.57862
728,10,0.0206612,0.00646578,65,17.0218
735,15,0.0364078,0.00922773,68.2,11.9808
742,22,0.0311174,0.00653022,53.9091,10.8015
749,39,0.0292354,0.00461247,54.1795,7.34738
756,43,0.0181511,0.00274278,57.814,7.01226
763,44,0.0181369,0.00270932,48.3864,6.06833
770,47,0.0233019,0.0033591,44.2553,5.11201
777,23,0.0169242,0.00349895,52.3478,7.21598
784,26,0.023766,0.00460518,34.2308,4.95402
791,18,0.0195865,0.00457115,65.6667,10.0579
798,17,0.015138,0.00364361,59.2941,13.7385
805,19,0.017257,0.00392473,50.6842,11.3029
812,17,0.0155963,0.00375305,57.1176,13.1051
819,26,0.028169,0.00544603,63.7692,10.0083
826,14,0.0197183,0.00521772,43.9286,8.19436
833,5,0.0136986,0.00608411,77.4,20.9926
840,8,0.021978,0.00768454,49.25,17.3212
847,6,0.0251046,0.0101194,31.6667,17.3136
854,5,0.0333333,0.0146566,86.2,27.4626
861,2,0.0266667,0.0186031,41.5,20.1525
868,0,0,0,,,
875,0,0,0,,,
882,3,0.0731707,0.0406702,68.3333,28.5592
889,2,0.0338983,0.02356,46,32.5269
896,1,0.0151515,0.0150363,13,0
903,1,0.00763359,0.0076044,108,0
910,3,0.017341,0.00992467,17.6667,4.45554
917,1,0.00460829,0.00459766,72,0
924,9,0.0238095,0.00784146,63.5556,17.1717
931,16,0.0344086,0.00845286,26.75,6.38816
938,11,0.0227743,0.00678808,55.5455,13.682
945,8,0.0184332,0.00645677,51.375,11.6658
