"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"VaccStatusboost_001-061" -1.40476711542945 -1.50074625748061 -1.30878797337828 0.245424205308781 0.222963709712436 0.270147283740173 0.754575794691219 0.777036290287564 0.729852716259827
"VaccStatusboost_062-122" -1.16336993916035 -1.23953327787527 -1.08720660044543 0.31243152957888 0.289519311479231 0.337156993695052 0.68756847042112 0.710480688520769 0.662843006304948
"VaccStatusboost_123-183" -0.919944358373308 -0.993981607629686 -0.845907109116929 0.398541215949145 0.370100159868556 0.429167879491417 0.601458784050855 0.629899840131444 0.570832120508582
"VaccStatusboost_184-244" -0.868265095993026 -0.942704895957984 -0.793825296028067 0.419679020833374 0.389572655424901 0.452112020890061 0.580320979166626 0.610427344575099 0.547887979109939
"VaccStatusboost_245-305" -0.824733477879998 -0.898042772279432 -0.751424183480564 0.438351807350384 0.407366188388686 0.471694294922698 0.561648192649616 0.592633811611314 0.528305705077302
"VaccStatusboost_306-366" -0.747926523868825 -0.826215044503313 -0.669638003234336 0.473347009639003 0.437702840805639 0.51189384816828 0.526652990360997 0.562297159194361 0.48810615183172
"VaccStatusboost_367-427" -0.734620599514194 -0.864352814364376 -0.604888384664011 0.479687418094482 0.421324139341627 0.546135380321933 0.520312581905518 0.578675860658373 0.453864619678067
"VaccStatusboost_428-488" -1.12172282999896 -2.25628169496092 0.0128360349630121 0.32571815394943 0.104739213947042 1.01291877047947 0.67428184605057 0.895260786052958 -0.0129187704794733
"VaccStatusfull_001-061" -0.413508010779005 -0.633694543166491 -0.193321478391519 0.661326236620886 0.530627747981353 0.824216963600089 0.338673763379114 0.469372252018647 0.175783036399911
"VaccStatusfull_062-122" -0.313878235800066 -0.470848790326096 -0.156907681274036 0.730607984640173 0.624471997479794 0.854782967649797 0.269392015359827 0.375528002520206 0.145217032350203
"VaccStatusfull_123-183" -0.298963456739082 -0.41668399652911 -0.181242916949055 0.741586508929144 0.659229205749998 0.834232684821728 0.258413491070856 0.340770794250002 0.165767315178272
"VaccStatusfull_184-244" -0.223647621627209 -0.311704488364911 -0.135590754889507 0.799596845367278 0.732197869250645 0.87319991217079 0.200403154632722 0.267802130749355 0.12680008782921
"VaccStatusfull_245-305" -0.0906219735548372 -0.173916632451114 -0.00732731465856043 0.913362920984047 0.840366954071301 0.992699464664731 0.0866370790159526 0.159633045928699 0.00730053533526887
"VaccStatusfull_306-366" -0.144576055174467 -0.234235959217291 -0.0549161511316423 0.865389092581752 0.791175108809406 0.946564512989345 0.134610907418248 0.208824891190594 0.0534354870106551
"VaccStatusfull_367-427" -0.285476208704205 -0.388029255760718 -0.182923161647691 0.751656223841171 0.678392496085245 0.832832146728482 0.248343776158829 0.321607503914755 0.167167853271518
"VaccStatusfull_428-488" -0.323417140014554 -0.433844180032123 -0.212990099996985 0.723671918882832 0.648013221018206 0.808164138004287 0.276328081117168 0.351986778981794 0.191835861995713
"VaccStatusfull_489-549" -0.493897754324844 -0.627478273588749 -0.36031723506094 0.610243174626392 0.533936546645594 0.697455033781906 0.389756825373608 0.466063453354406 0.302544966218094
"VaccStatusfull_550+" -0.341356424708468 -0.567033006080791 -0.115679843336144 0.710805514402938 0.567205840876114 0.890760360516065 0.289194485597062 0.432794159123886 0.109239639483935
"VaccStatuspartial_001-061" 0.404181505957483 0.0364104301368926 0.771952581778073 1.49807583197128 1.0370814086177 2.163987493834 -0.498075831971282 -0.0370814086176965 -1.163987493834
"VaccStatuspartial_062+" 0.575336955217574 0.418525105709267 0.73214880472588 1.77772944121537 1.51971847776751 2.07954434482266 -0.777729441215374 -0.519718477767511 -1.07954434482266
"VaccStatussecboost_001-061" -1.53175270309864 -1.68518420510775 -1.37832120108952 0.216156476982045 0.185410275290413 0.252001257579198 0.783843523017955 0.814589724709587 0.747998742420802
"VaccStatussecboost_062-122" -1.07422283682328 -1.24970009326919 -0.898745580377378 0.341563102444369 0.286590734463167 0.407079988716161 0.658436897555631 0.713409265536833 0.592920011283839
