day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,,,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,0,0,0,,,
238,0,0,0,,,
245,1,0.00308642,0.00308165,146,0
252,6,0.01,0.00406202,152.167,5.22503
259,7,0.00737619,0.00277763,158.857,6.46948
266,8,0.00734619,0.00258771,142.25,6.42444
273,12,0.00578313,0.00166461,145.417,5.09964
280,44,0.0116187,0.00174138,148.364,3.00363
287,75,0.0119713,0.00137402,141.2,3.08741
294,109,0.0119295,0.0011358,142.018,2.64872
301,100,0.0114969,0.00114306,134.76,3.1249
308,94,0.0122237,0.00125305,134.585,3.18519
315,68,0.0155571,0.00187184,132.324,3.27763
322,63,0.0178016,0.00222274,123.143,4.31786
329,45,0.0163162,0.00241235,118.089,6.18136
336,56,0.0195667,0.00258901,114.411,5.72007
343,103,0.0266563,0.00259128,114.476,3.61806
350,118,0.0210002,0.00191282,108.542,4.07638
357,178,0.0302413,0.00223214,93.1742,3.20814
364,265,0.0314689,0.00190246,95.7736,2.65215
371,291,0.0338648,0.00195128,89.1203,2.5067
378,180,0.0309704,0.00227237,83.5722,3.04116
385,201,0.0403371,0.00278719,78.8856,2.9985
392,204,0.0401338,0.00275296,78.598,3.06473
399,223,0.042307,0.00277251,75.7444,2.73885
406,258,0.0455267,0.0027691,75.1395,2.58481
413,331,0.0481245,0.00258073,69.0121,2.25313
420,432,0.0522813,0.00244875,66.4282,2.03783
427,451,0.0549665,0.00251613,68.2439,1.89246
434,447,0.0573886,0.00263535,68.7427,2.02907
441,359,0.0582698,0.00298442,71.6852,2.32542
448,286,0.0599706,0.00343816,62.5629,2.57331
455,172,0.0589445,0.00436,62.2442,3.25056
462,180,0.0591911,0.00427928,62.95,3.51603
469,130,0.0659898,0.00559347,66,4.24459
476,108,0.0698577,0.00648302,59.463,3.76977
483,95,0.0717523,0.0070926,65.5895,4.3277
490,52,0.0590909,0.00794864,58.9808,5.52291
497,31,0.0541958,0.00946641,60.5806,7.75855
504,17,0.0529595,0.0124998,40.5294,7.15044
511,7,0.0353535,0.0131241,37.8571,9.39698
518,2,0.0163934,0.0114965,110.5,3.18198
525,1,0.0119048,0.0118337,21,0
532,2,0.0512821,0.0353199,96,48.0833
539,1,0.0555556,0.0539903,135,0
546,1,0.0666667,0.0644061,47,0
553,1,0.0212766,0.021049,57,0
560,1,0.027027,0.0266593,62,0
567,1,0.0344828,0.033883,86,0
574,1,0.025,0.0246855,182,0
581,3,0.0857143,0.0473188,91.6667,8.97321
588,1,0.0277778,0.0273893,35,0
595,3,0.0789474,0.0437441,25.3333,8.03234
602,0,0,0,,,
609,2,0.021978,0.0153691,123.5,35.7089
616,6,0.0571429,0.0226521,60.3333,16.5893
623,4,0.0298507,0.0147009,61,24.2745
630,5,0.0310559,0.0136713,62.6,15.096
637,8,0.033195,0.0115398,58,11.2264
644,22,0.0707395,0.0145385,72,9.39756
651,27,0.0439739,0.00827463,64.8889,7.79035
658,42,0.0337349,0.00511686,64,6.15171
665,93,0.042427,0.00430514,63.828,4.37241
672,143,0.0409507,0.00335362,63.049,3.762
679,165,0.0340206,0.00260306,63.3455,3.32441
686,280,0.0444022,0.00259396,58.4536,2.55072
693,275,0.0353561,0.00209403,62.2836,2.58863
700,240,0.0328407,0.00208476,62.7208,2.76425
707,204,0.0363961,0.00250143,62.2255,2.77924
714,139,0.0346116,0.00288446,56.9065,3.25531
721,80,0.0353669,0.00388359,56.8625,4.52161
728,114,0.0445139,0.00407526,60.4561,4.24125
735,72,0.0322004,0.00373325,64.7222,5.30902
742,80,0.0219118,0.00242283,56.0125,5.20641
749,142,0.0196485,0.00163259,55.338,3.81225
756,216,0.0161883,0.00109252,50.912,2.95824
763,240,0.0180234,0.00115288,51.2792,2.69512
770,214,0.0198608,0.00134411,50.243,2.795
777,147,0.0201012,0.00164117,48.585,3.47404
784,122,0.0214035,0.00191693,51.2049,3.732
791,80,0.0156832,0.00173963,50.9875,4.49866
798,113,0.0195265,0.00181888,46.3097,4.07908
805,103,0.01725,0.00168497,53.4854,4.7956
812,120,0.0208732,0.00188546,55.175,4.36797
819,101,0.0207435,0.00204253,52.1584,4.32638
826,69,0.0195856,0.00233462,49.0145,4.81367
833,33,0.0167939,0.00289879,59.1212,7.52465
840,40,0.0212653,0.00332639,30.225,3.85592
847,26,0.0213992,0.00415158,45.3077,9.08666
854,17,0.0248538,0.00595255,66.5882,13.9013
861,8,0.0218579,0.00764302,41.125,13.4414
868,2,0.00760456,0.00535675,76.5,27.2236
875,6,0.028436,0.0114427,61.8333,23.6707
882,8,0.0363636,0.0126206,48.125,16.1666
