day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,,,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,0,0,0,,,
238,0,0,0,,,
245,0,0,0,,,
252,1,0.0140845,0.013985,180,0
259,1,0.00884956,0.00881031,151,0
266,1,0.00645161,0.00643077,175,0
273,1,0.00353357,0.00352732,93,0
280,2,0.00421941,0.00297727,138.5,9.54594
287,14,0.0192308,0.00508998,134.214,8.47757
294,16,0.0150094,0.00372408,142.875,7.82168
301,20,0.0187441,0.00415185,130.7,8.79264
308,11,0.010628,0.00318739,144.091,6.38885
315,13,0.0195783,0.00537663,136.692,9.58202
322,12,0.023622,0.00673808,139.083,8.69423
329,8,0.0196078,0.00686412,123.5,15.902
336,14,0.0328638,0.0086377,88.3571,10.037
343,16,0.0305344,0.00751614,110.812,10.8898
350,24,0.0342368,0.00686788,88.7083,9.22246
357,33,0.039759,0.00678218,91.2424,6.82431
364,49,0.0417021,0.0058319,89.7755,7.55291
371,51,0.04038,0.005539,83.1569,5.96571
378,36,0.0436364,0.00711228,77.2222,6.9222
385,36,0.0552995,0.00895813,77.8333,7.28811
392,44,0.0694006,0.010093,68.3409,6.5077
399,48,0.0726172,0.0100937,82.3333,6.68509
406,54,0.0710526,0.0093192,70.9444,6.53792
413,58,0.0679953,0.00861934,69.6034,5.53794
420,64,0.0614203,0.00743803,69.4375,5.39413
427,63,0.0607522,0.00741791,69.381,5.25651
434,73,0.0687382,0.00776377,68.3562,5.03269
441,61,0.0752158,0.00926114,62.6557,4.68577
448,42,0.0640244,0.00955769,58.8095,5.18405
455,32,0.0760095,0.012916,57.1875,7.33776
462,20,0.0534759,0.0116335,61.75,8.21093
469,17,0.062963,0.0147822,72.8235,11.5511
476,9,0.048913,0.0159006,50.4444,9.14507
483,8,0.056338,0.0193493,61.875,13.2387
490,6,0.0722892,0.0284252,56.6667,15.2619
497,5,0.0714286,0.0307818,55.4,7.91252
504,4,0.0930233,0.0442955,75.25,23.3703
511,4,0.166667,0.0760726,30.75,10.8477
518,1,0.0714286,0.0688303,182,0
525,0,0,0,,,
532,0,0,0,,,
539,0,0,0,,,
546,1,0.333333,0.272166,20,0
553,0,0,0,,,
560,0,0,0,,,
567,0,0,0,,,
574,1,0.333333,0.272166,166,0
581,0,0,0,,,
588,0,0,0,,,
595,0,0,0,,,
602,0,0,0,,,
609,3,0.25,0.125,63,33.37
616,0,0,0,,,
623,2,0.0952381,0.0640564,77,25.4558
630,1,0.0714286,0.0688303,103,0
637,3,0.0769231,0.0426692,36,8.17856
644,0,0,0,,,
651,3,0.0361446,0.0204875,114,29.9592
658,6,0.0310881,0.0124928,46,16.4688
665,17,0.0568562,0.0133919,65,11.7417
672,21,0.0394737,0.00844214,79.6667,10.6808
679,26,0.042623,0.00817896,62.2308,8.58534
686,38,0.0489691,0.00774689,68.9474,7.13861
693,51,0.0561674,0.00764094,61.6275,6.59984
700,36,0.043849,0.00714614,58.5556,7.24339
707,27,0.0419255,0.00789761,60.4074,7.8512
714,21,0.0475113,0.0101185,82.9524,10.0969
721,8,0.030303,0.0105502,61.125,19.2917
728,12,0.0409556,0.0115782,55.5833,9.74926
735,10,0.0507614,0.0156394,64.3,14.4472
742,10,0.0373134,0.0115773,59.7,14.5774
749,19,0.0320405,0.00723187,50.6842,8.86402
756,33,0.0311909,0.00534429,42.6061,7.44887
763,28,0.0237288,0.0044308,33.5,5.57909
770,25,0.0238777,0.00471819,51.44,9.05381
777,27,0.0335821,0.00635343,46.8148,9.92165
784,11,0.0165414,0.00494598,45.6364,11.158
791,7,0.0118644,0.00445764,53.2857,12.9783
798,21,0.0285714,0.00614508,52.9048,10.8657
805,21,0.029872,0.0064205,46.4286,9.58683
812,18,0.0225282,0.00524979,40.3333,7.63641
819,14,0.0218069,0.00576423,46.2857,9.68453
826,16,0.0295203,0.00727033,53.8125,11.8411
833,9,0.028481,0.0093575,32.7778,12.3406
840,6,0.0188679,0.00762978,62.5,20.5734
847,11,0.0502283,0.0147592,48.9091,13.6862
854,3,0.0232558,0.0132697,24,4.18994
861,2,0.0363636,0.0252411,77,34.6482
868,0,0,0,,,
875,0,0,0,,,
882,0,0,0,,,
889,2,0.0363636,0.0252411,99,48.0833
896,0,0,0,,,
903,5,0.0413223,0.0180941,74.2,30.0631
910,4,0.0330579,0.0162534,73,27.475
917,5,0.0292398,0.0128838,54.8,22.9789
924,9,0.0308219,0.0101144,52.2222,11.217
931,11,0.0252294,0.00751037,50.1818,11.3282
938,15,0.0328947,0.00835252,40.6667,8.10852
945,14,0.0379404,0.00994578,48.7143,14.9692
