"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"VaccStatusboost_001-061" -1.36101674475823 -1.44844886421405 -1.2735846253024 0.256399951073088 0.234934420798605 0.279826747765658 0.743600048926912 0.765065579201395 0.720173252234342
"VaccStatusboost_062-122" -1.08038326436161 -1.1621742026208 -0.998592326102423 0.339465395721271 0.312805338819049 0.368397660114301 0.660534604278729 0.687194661180951 0.631602339885699
"VaccStatusboost_123-183" -0.896275207628575 -0.979862106259451 -0.812688308997699 0.408086871202334 0.375362855471065 0.443663756337095 0.591913128797666 0.624637144528935 0.556336243662905
"VaccStatusboost_184-244" -0.862938184489158 -0.951261547113705 -0.774614821864612 0.421920578827383 0.386253439052624 0.460881268202198 0.578079421172617 0.613746560947376 0.539118731797802
"VaccStatusboost_245-305" -0.714978894438587 -0.802769284059764 -0.62718850481741 0.489202436579445 0.448086365927099 0.534091287201096 0.510797563420555 0.551913634072901 0.465908712798904
"VaccStatusboost_306-366" -0.627723679804254 -0.722034654685975 -0.533412704922532 0.533805531375 0.485762890051781 0.586599658315134 0.466194468625 0.514237109948219 0.413400341684866
"VaccStatusboost_367-427" -0.547809526378895 -0.670091729001861 -0.42552732375593 0.578214988885018 0.511661641422204 0.653425127672258 0.421785011114982 0.488338358577796 0.346574872327742
"VaccStatusboost_428-488" -0.668693346345908 -1.27242903347912 -0.0649576592126933 0.512377640691089 0.280150300178566 0.937107140391534 0.487622359308911 0.719849699821434 0.0628928596084656
"VaccStatusfull_001-061" -0.946490212290603 -1.02431774410532 -0.868662680475885 0.388100787190499 0.359041339933511 0.419512196132562 0.611899212809501 0.640958660066489 0.580487803867437
"VaccStatusfull_062-122" -0.793334519963662 -0.867383744586823 -0.719285295340501 0.452333961105362 0.420049068575634 0.487100264412146 0.547666038894638 0.579950931424366 0.512899735587854
"VaccStatusfull_123-183" -0.708386709166986 -0.779404999467653 -0.637368418866319 0.492438002685009 0.458678844285817 0.528681864248561 0.507561997314991 0.541321155714183 0.471318135751439
"VaccStatusfull_184-244" -0.570056060615723 -0.64688810183519 -0.493224019396256 0.565493735883884 0.523672860401919 0.61065445529959 0.434506264116116 0.476327139598081 0.38934554470041
"VaccStatusfull_245-305" -0.174028109168677 -0.264433975972613 -0.0836222423647411 0.840273277943163 0.767640329900636 0.919778643882274 0.159726722056837 0.232359670099364 0.0802213561177263
"VaccStatusfull_306-366" -0.0696877939543169 -0.184819071597124 0.0454434836884903 0.932684964339642 0.831254667826782 1.04649185908272 0.0673150356603582 0.168745332173218 -0.0464918590827206
