day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,,,,,
63,0,,,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,0,0,0,,,
238,0,0,0,,,
245,0,0,0,,,
252,0,0,0,,,
259,2,0.00564972,0.00398365,177.5,1.06066
266,4,0.00938967,0.00467274,163.75,8.55406
273,7,0.007431,0.0027982,145.429,6.65431
280,9,0.0051458,0.00171085,139.222,9.08639
287,19,0.00681981,0.00155923,154.579,4.70417
294,36,0.0079558,0.00132068,127.167,5.0509
301,35,0.00751557,0.00126558,132.829,4.71809
308,25,0.00562303,0.00112144,131.8,7.14064
315,30,0.00867303,0.00157659,99.7667,5.63278
322,29,0.0107407,0.00198377,100.862,6.09413
329,30,0.0147348,0.0026703,102.333,7.38592
336,29,0.0144279,0.00265979,94.2759,8.0542
343,40,0.0180668,0.0028307,86.325,7.54109
350,65,0.027208,0.00332851,82.8308,5.33647
357,105,0.0401837,0.00384193,76.219,4.44057
364,128,0.0343532,0.00298381,76.6406,4.17143
371,137,0.0326969,0.00274744,68.2336,4.03801
378,97,0.0342152,0.00341407,67.4639,4.68457
385,102,0.0423588,0.00410436,56.0196,4.18654
392,81,0.0356985,0.00389506,64.0864,4.94343
399,81,0.0392252,0.00427202,58.358,4.60086
406,84,0.0411765,0.00439925,55.9048,4.94914
413,110,0.0456242,0.00424971,44.4909,3.25274
420,126,0.0479817,0.00417074,49.8571,3.61551
427,116,0.0484747,0.00439032,50.1897,3.53793
434,111,0.047783,0.00442568,54.8198,3.89931
441,106,0.0586608,0.005528,53.434,3.73699
448,72,0.0525164,0.00602441,51.5,4.18219
455,54,0.0576923,0.0076211,61.2778,6.9355
462,45,0.0570342,0.00825614,46.5778,7.2311
469,26,0.0436975,0.00838045,42.9231,7.16065
476,23,0.0529954,0.0107535,47.3913,9.17643
483,11,0.0331325,0.00982295,30,5.51332
490,13,0.0543933,0.01467,47.0769,12.2964
497,9,0.0576923,0.0186678,46.1111,9.96344
504,10,0.0813008,0.0246423,28.7,7.15688
511,0,0,0,,,
518,4,0.0930233,0.0442955,47.25,18.5855
525,1,0.0434783,0.0425226,124,0
532,0,0,0,,,
539,2,0.166667,0.107583,24.5,9.54594
546,0,0,0,,,
553,0,0,0,,,
560,0,0,0,,,
567,2,0.142857,0.093522,37,3.53553
574,0,0,0,,,
581,1,0.0909091,0.0866784,114,0
588,1,0.0833333,0.0797856,64,0
595,2,0.1,0.067082,27,11.3137
602,0,0,0,,,
609,1,0.0212766,0.021049,29,0
616,0,0,0,,,
623,2,0.0392157,0.0271805,59.5,6.71751
630,1,0.0181818,0.0180158,100,0
637,4,0.037037,0.0181723,101.75,27.2772
644,5,0.0292398,0.0128838,65.6,23.9476
651,13,0.0481481,0.0130284,52.3077,10.639
658,19,0.0339286,0.00765056,59.7368,11.036
665,39,0.0418904,0.00656584,52.8462,6.62388
672,69,0.0483871,0.00568244,49.4638,4.89742
679,89,0.0472901,0.00489278,49.0337,4.73178
686,76,0.0382102,0.00429845,43.0921,4.56472
693,111,0.0514842,0.00475921,44.2883,3.52395
700,95,0.0508293,0.00508071,46.8632,4.08602
707,59,0.038262,0.00488506,48.9831,4.95869
714,60,0.0542495,0.00681097,33,3.99194
721,33,0.0461538,0.00784676,37.9394,5.65668
728,36,0.0494505,0.00803539,42.4444,4.74674
735,22,0.0385289,0.00805459,44.9091,6.87459
742,26,0.0493359,0.00943386,43.0385,7.97787
749,37,0.0337284,0.00545059,39.4054,7.331
756,68,0.0328344,0.00391584,32.3529,4.29088
763,93,0.0352139,0.00358665,36.1183,3.70273
770,86,0.031793,0.00337339,36.1395,4.10177
777,75,0.0335871,0.00381262,37.5067,4.43647
784,50,0.0299043,0.00416539,32.2,4.90339
791,41,0.0267624,0.00412328,41.4146,6.71737
798,45,0.0258176,0.00379865,36.5778,5.3503
805,59,0.0337336,0.00431703,36.1017,4.74974
812,58,0.0313514,0.00405159,25.7414,3.97327
819,45,0.0289948,0.00425917,42.5778,6.97109
826,44,0.0379638,0.00561356,34.6364,5.92917
833,30,0.039267,0.00702698,27.4667,4.13917
840,22,0.0277427,0.00583215,40.3182,7.67183
847,16,0.0319361,0.00785551,22.3125,2.98135
854,10,0.0381679,0.0118372,36.8,11.8624
861,6,0.0372671,0.014928,32.5,13.6601
868,4,0.0347826,0.0170862,43.75,20.6439
875,2,0.025974,0.0181263,26.5,3.88909
882,2,0.0240964,0.0168322,63,12.7279
889,2,0.0215054,0.0150422,16,9.19239
896,1,0.00934579,0.00930202,9,0
903,4,0.018018,0.00892748,24.25,7.22301
910,12,0.040678,0.0115014,59.5,13.9814
