"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"VaccStatusboost_001-730" -1.04769133007748 -1.08979560647441 -1.00558705368055 0.350746573161911 0.336285221204731 0.365829810016918 0.649253426838089 0.663714778795269 0.634170189983082
"VaccStatusfull_001-730" -0.552619938846028 -0.593027166212568 -0.512212711479488 0.575440215546634 0.552651781200786 0.599168324308814 0.424559784453366 0.447348218799214 0.400831675691186
"VaccStatuspartial_001-730" -0.309719625897196 -0.383165081500092 -0.236274170294301 0.733652624587289 0.681700353879632 0.789564169213935 0.266347375412711 0.318299646120368 0.210435830786065
"VaccStatussecboost_001-730" -1.366078815316 -1.46525959304705 -1.26689803758494 0.255105315961426 0.231018013022748 0.281704103417124 0.744894684038574 0.768981986977252 0.718295896582876
"DCCI1" 0.298718140872724 0.245507526435203 0.351928755310246 1.34812958728817 1.27826990437018 1.42180722389553 -0.348129587288165 -0.278269904370176 -0.421807223895526
"DCCI2" 0.439405835915695 0.386888636700587 0.491923035130803 1.55178492967124 1.47239251165452 1.63545824153159 -0.55178492967124 -0.47239251165452 -0.635458241531586
"DCCI3" 0.712730411272561 0.659626969667874 0.765833852877247 2.0395524800635 1.93407073277295 2.15078706711472 -1.0395524800635 -0.93407073277295 -1.15078706711472
"DCCI4" 0.884595299245429 0.828303777435017 0.940886821055841 2.4220040062687 2.28943205853876 2.56225267070197 -1.4220040062687 -1.28943205853876 -1.56225267070197
"DCCI5" 1.06736242000181 1.006158936739 1.12856590326461 2.90770008530801 2.73507521590017 3.09122021103817 -1.90770008530801 -1.73507521590017 -2.09122021103817
"DCCI6" 1.1936526086144 1.12409564614689 1.26320957108191 3.29910958261784 3.07743250214944 3.53675475595934 -2.29910958261784 -2.07743250214944 -2.53675475595934
"DCCI7" 1.28610986193768 1.20443947343494 1.36778025044042 3.61868196668665 3.33488926005323 3.92662489063103 -2.61868196668665 -2.33488926005323 -2.92662489063103
"DCCI8" 1.38052913564478 1.27686080836767 1.4841974629219 3.977005446184 3.58536688729541 4.41142366072006 -2.977005446184 -2.58536688729541 -3.41142366072006
"DCCI9" 1.45570879062721 1.31833890401566 1.59307867723877 4.28752134380761 3.73720835668376 4.91886925189206 -3.28752134380761 -2.73720835668376 -3.91886925189206
"SexM" 0.178349857914771 0.148977508604194 0.207722207225348 1.19524341346238 1.16064688434705 1.23087119492755 -0.195243413462377 -0.160646884347052 -0.23087119492755
