"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -0.103091472842082 -1.08732782529423 0.881144879610064 0.902044457137393 0.337116124366708 2.41366147697873 0.0979555428626069 0.662883875633292 -1.41366147697873
"Immunityboost_062-122" -0.692244718358263 -1.00097915419181 -0.383510282524719 0.500451434771611 0.367519406767902 0.681465070831295 0.499548565228389 0.632480593232098 0.318534929168705
"Immunityboost_123-183" -0.663179301046888 -0.786982935644558 -0.539375666449217 0.515210717891841 0.455216141917387 0.583112195258662 0.484789282108159 0.544783858082613 0.416887804741338
"Immunityboost_184-244" -0.55327059111298 -0.622531052648198 -0.484010129577762 0.575065925845319 0.536584593545713 0.616306958951404 0.424934074154681 0.463415406454287 0.383693041048596
"Immunityboost_245-305" -0.43205497599125 -0.49018146512988 -0.373928486852619 0.64917368673719 0.612515233942386 0.688026112982513 0.35082631326281 0.387484766057614 0.311973887017487
"Immunityboost_306-366" -0.419016239644665 -0.500476528437831 -0.3375559508515 0.657693514472117 0.606241699459221 0.713512051982794 0.342306485527883 0.393758300540779 0.286487948017206
"Immunityboost23_001-061" -0.998982036081782 -1.62016916193756 -0.377794910226005 0.368254119841137 0.197865224987589 0.685371048846391 0.631745880158863 0.802134775012411 0.314628951153609
"Immunityboost23_062-122" -1.63864835587702 -2.77110913039169 -0.506187581362358 0.194242411550018 0.0625925429365103 0.602789288862056 0.805757588449982 0.93740745706349 0.397210711137944
"Immunityfull_062-122" -0.214042618439337 -0.871265326359992 0.443180089481317 0.807313977827706 0.418421774048762 1.55765282597373 0.192686022172294 0.581578225951238 -0.557652825973727
"Immunityfull_123-183" 0.0369380998426499 -0.242323723467563 0.316199923152863 1.03762878946487 0.784802077575082 1.37190450368466 -0.0376287894648726 0.215197922424918 -0.371904503684664
"Immunityfull_184-244" -0.0271127484771465 -0.204400108554099 0.150174611599806 0.9732515027132 0.815136162980733 1.16203713017685 0.0267484972868003 0.184863837019267 -0.162037130176851
"Immunityfull_245-305" -0.206229827250247 -0.37487278968107 -0.0375868648194242 0.813646056756753 0.687376714640578 0.963110753645441 0.186353943243247 0.312623285359422 0.0368892463545589
"Immunityfull_306-366" -0.197218839334266 -0.357714716255279 -0.036722962413253 0.821010944163402 0.699272537641568 0.963943146844399 0.178989055836598 0.300727462358432 0.0360568531556014
"Immunityhybridboost_001-061" -1.4481680981818 -2.14237603318955 -0.753960163174043 0.235000391664529 0.117375623059159 0.470499603266409 0.764999608335471 0.882624376940841 0.529500396733591
"Immunityhybridboost_062-122" -2.53764416333913 -3.02967110971204 -2.04561721696622 0.0790524151715077 0.0483315312836131 0.129300358968085 0.920947584828492 0.951668468716387 0.870699641031915
"Immunityhybridboost_123-183" -2.54757545951353 -2.90231090596716 -2.1928400130599 0.0782712078447106 0.0548962133756157 0.11159935450468 0.921728792155289 0.945103786624384 0.88840064549532
"Immunityhybridboost_184-244" -1.94871180926131 -2.16419065426578 -1.73323296425684 0.142457465825906 0.114842844560416 0.176712181304974 0.857542534174094 0.885157155439584 0.823287818695026
"Immunityhybridboost_245-305" -1.82202059140535 -2.05092997679623 -1.59311120601448 0.161698693629962 0.128615238765981 0.203292143081198 0.838301306370038 0.871384761234019 0.796707856918802
"Immunityhybridboost_306-366" -1.64495276946291 -2.07559831438784 -1.21430722453799 0.193021679096049 0.125481327745013 0.296915638928908 0.806978320903951 0.874518672254987 0.703084361071092
"Immunityhybridfull_062-122" -1.71451739307244 -2.45731831286234 -0.971716473282537 0.180050593412435 0.0856643682516405 0.378432910319739 0.819949406587565 0.914335631748359 0.621567089680261
"Immunityhybridfull_123-183" -1.55286123054199 -1.96456154412319 -1.1411609169608 0.211641551412434 0.140217352261974 0.319447953920674 0.788358448587566 0.859782647738026 0.680552046079326
"Immunityhybridfull_184-244" -1.69654569331699 -2.0263909755861 -1.36670041104788 0.183315660138132 0.131810370606963 0.25494679285959 0.816684339861868 0.868189629393037 0.74505320714041
"Immunityhybridfull_245-305" -1.90249715614193 -2.27550020854888 -1.52949410373498 0.149195588977731 0.102745501401079 0.216645239615117 0.850804411022269 0.897254498598921 0.783354760384883
"Immunityhybridfull_306-366" -1.64719425501676 -2.07714791561471 -1.21724059441882 0.192589508323991 0.125287032304696 0.296045951717274 0.807410491676009 0.874712967695304 0.703954048282726
"Immunityinf_062-122" -3.02539929209369 -4.41225480183563 -1.63854378235175 0.0485384363862629 0.0121278016875548 0.194262725225869 0.951461563613737 0.987872198312445 0.805737274774131
"Immunityinf_123-183" -1.74164769289843 -2.18231072232317 -1.30098466347369 0.175231435028021 0.11278062460894 0.272263573006897 0.824768564971979 0.88721937539106 0.727736426993103
"Immunityinf_184-244" -1.15723352988632 -1.41400448947439 -0.900462570298239 0.314354631750876 0.243167568868471 0.406381636182247 0.685645368249124 0.756832431131529 0.593618363817753
"Immunityinf_245-305" -1.5299126660057 -1.86911001132661 -1.19071532068478 0.21655457906655 0.154260891185682 0.304003726117739 0.78344542093345 0.845739108814318 0.695996273882261
"Immunityinf_306-366" -1.461746195766 -1.97031357336003 -0.953178818171975 0.231831098591497 0.139413133115626 0.385513595979262 0.768168901408502 0.860586866884374 0.614486404020738
"Immunityother" -0.311248415163504 -0.384529547191505 -0.237967283135504 0.732531881238106 0.680770831429898 0.788228479036259 0.267468118761894 0.319229168570102 0.211771520963741
"Immunitysecboost_001-061" -1.31581018428554 -1.47308123861461 -1.15853912995647 0.268256897650767 0.229218120243018 0.313944478128169 0.731743102349233 0.770781879756982 0.686055521871831
"Immunitysecboost_062-122" -1.20057851894342 -1.57589930741919 -0.825257730467655 0.301020015747711 0.206821472937187 0.438122060509027 0.698979984252289 0.793178527062813 0.561877939490973
"AgeGr0-11" 0.536362521318595 0.328096353778156 0.744628688859035 1.70977626251314 1.3883227359859 2.10565943499976 -0.70977626251314 -0.388322735985902 -1.10565943499976
"AgeGr12-15" -1.27087532127342 -1.75762971860668 -0.784120923940167 0.28058591143902 0.172453142238803 0.456520841986438 0.719414088560981 0.827546857761197 0.543479158013562
"AgeGr16-17" -0.375612082871326 -0.862188485507979 0.110964319765327 0.686868729514413 0.422237010855032 1.11735503865322 0.313131270485587 0.577762989144968 -0.117355038653217
"AgeGr18-24" -0.747270550277592 -1.09345511556755 -0.401085984987636 0.473657614640016 0.335056831402554 0.669592483661146 0.526342385359984 0.664943168597446 0.330407516338854
"AgeGr25-29" -0.232656999130304 -0.536929043845768 0.071615045585159 0.792425329492568 0.584540597403886 1.074241730361 0.207574670507432 0.415459402596114 -0.0742417303610021
"AgeGr30-34" -0.0999767667437247 -0.378372383478278 0.178418849990829 0.904858440599791 0.684975379652983 1.19532587863155 0.0951415594002094 0.315024620347017 -0.195325878631555
