"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -0.862102769591298 -1.38738343968713 -0.336822099495467 0.422273204838652 0.249727878565898 0.714035855943303 0.577726795161348 0.750272121434102 0.285964144056697
"Immunityboost_062-122" -1.09465058932574 -1.68694833514067 -0.502352843510818 0.334656519082222 0.185083475798516 0.605105265508135 0.665343480917778 0.814916524201484 0.394894734491865
"Immunityboost_123-183" -0.468536329055986 -0.737738772308916 -0.199333885803057 0.625917735750859 0.478193999416199 0.819276302935161 0.374082264249141 0.521806000583801 0.180723697064839
"Immunityboost_184-244" -0.56442266139996 -0.655791435311263 -0.473053887488657 0.568688377750082 0.519031120435077 0.623096493167741 0.431311622249918 0.480968879564923 0.376903506832259
"Immunityboost_245-305" -0.459045004110533 -0.517656107645243 -0.400433900575824 0.631886806755888 0.595915674511829 0.670029256873033 0.368113193244112 0.404084325488171 0.329970743126967
"Immunityboost_306-366" -0.412265812495547 -0.475729808841126 -0.348801816149968 0.662148245380056 0.62143136482687 0.705532941650019 0.337851754619944 0.37856863517313 0.294467058349981
"Immunityfull_062-122" -1.04498669520072 -3.00534484941135 0.915371459009912 0.351696498598261 0.0495216738634383 2.49770287384403 0.648303501401739 0.950478326136562 -1.49770287384403
"Immunityfull_123-183" 0.344939231882345 -0.119596684401047 0.809475148165737 1.41190411830511 0.887278217708793 2.24672847760723 -0.411904118305112 0.112721782291207 -1.24672847760723
"Immunityfull_184-244" -0.0615362395307643 -0.290785028734678 0.167712549673149 0.940318868407399 0.747676389682819 1.18259662399941 0.0596811315926008 0.252323610317181 -0.182596623999414
"Immunityfull_245-305" -0.0353194919745265 -0.202214535665564 0.131575551716512 0.96529696235341 0.816919650740319 1.14062408057426 0.0347030376465899 0.183080349259681 -0.140624080574259
"Immunityfull_306-366" -0.137642670124043 -0.310446408732809 0.0351610684847238 0.871410016952853 0.733119612168037 1.03578652793116 0.128589983047147 0.266880387831963 -0.0357865279311615
"Immunityhybridboost_001-061" -2.04680730557099 -2.37155679202757 -1.7220578191144 0.129146571612726 0.0933353094499064 0.178698041048147 0.870853428387274 0.906664690550094 0.821301958951853
"Immunityhybridboost_062-122" -2.10533895259413 -2.43029433237719 -1.78038357281107 0.121804381360268 0.0880109243051679 0.168573474664513 0.878195618639732 0.911989075694832 0.831426525335487
"Immunityhybridboost_123-183" -2.43742035483027 -2.83963233759319 -2.03520837206735 0.0873859857899379 0.0584471508348164 0.130653255178529 0.912614014210062 0.941552849165184 0.869346744821471
"Immunityhybridboost_184-244" -1.84509468960658 -2.07093774402314 -1.61925163519002 0.158010358242598 0.126067507206708 0.198046854936349 0.841989641757402 0.873932492793292 0.801953145063651
