"names_fin" "eff_tau_fin"
"2" "Immunityfull_062-122" 0.307034520596321
"3" "Immunityfull_123-183" 0.241433694851479
"4" "Immunityfull_184-244" 0.175832869106638
"5" "Immunityfull_245-305" 0.110232043361796
"6" "Immunityfull_306-366" 0.0446312176169543
"7" "Immunityfull_367-427" -0.0209696081278874
"8" "Immunityfull_428-488" -0.0865704338727289
"9" "Immunityfull_489-549" -0.152171259617571
"10" "Immunityboost_001-061" -0.0354910742651091
"11" "Immunityboost_062-122" -0.0675233091711882
"12" "Immunityboost_123-183" -0.0995555440772673
"13" "Immunityboost_184-244" -0.131587778983347
"14" "Immunityboost_245-305" -0.163620013889426
"15" "Immunityboost_306-366" -0.195652248795505
"16" "Immunityboost_367-427" -0.227684483701584
"17" "Immunityboost_428-488" -0.259716718607663
"18" "Immunityboost_489-549" -0.291748953513743
"19" "Immunitysecboost_001-061" 0.033413108241036
"20" "Immunitysecboost_062-122" -0.208863152216334
"21" "Immunitysecboost_123-183" -0.451139412673704
"22" "Immunitysecboost_184-244" -0.693415673131074
"23" "Immunitysecbnew_001-061" 0.282236966107692
"24" "Immunitysecbnew_062-122" 0.0121107721363811
"25" "Immunitysecbnew_123-183" -0.258015421834929
"26" "Immunityinf_062-122" 0.475069720551077
"27" "Immunityinf_123-183" 0.402108319836345
"28" "Immunityinf_184-244" 0.329146919121613
"29" "Immunityinf_245-305" 0.256185518406881
"30" "Immunityinf_306-366" 0.183224117692149
"31" "Immunityinf_367-427" 0.110262716977417
"32" "Immunityinf_428-488" 0.0373013162626845
"33" "Immunityinf_489-549" -0.0356600844520478
"34" "Immunityhybridfull_062-122" -0.0614580081926837
"35" "Immunityhybridfull_123-183" -0.14719055649958
"36" "Immunityhybridfull_184-244" -0.232923104806477
"37" "Immunityhybridfull_245-305" -0.318655653113374
"38" "Immunityhybridfull_306-366" -0.404388201420271
"39" "Immunityhybridfull_367-427" -0.490120749727168
"40" "Immunityhybridfull_428-488" -0.575853298034064
"41" "Immunityhybridfull_489-549" -0.661585846340961
"42" "Immunityhybridboost_001-061" 0.200646423879176
"43" "Immunityhybridboost_062-122" 0.0352523452485545
"44" "Immunityhybridboost_123-183" -0.130141733382067
"45" "Immunityhybridboost_184-244" -0.295535812012689
"46" "Immunityhybridboost_245-305" -0.46092989064331
"47" "Immunityhybridboost_306-366" -0.626323969273932
"48" "Immunityhybridboost_367-427" -0.791718047904554
"49" "Immunityhybridboost_428-488" -0.957112126535175
"50" "Immunityhybridboost_489-549" -1.1225062051658
