"Immunity_other" "Immunityb45_001-061" "Immunityb45_062-122" "Immunityb45_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "SexM"
"Immunity_other" 0.000482259970722826 7.09500513996445e-05 9.98748533196841e-05 0.000110237276453945 2.70136844797017e-05 2.78235408248494e-05 3.59288579220914e-05 4.90844332098355e-05 5.62803832912446e-05 6.61418440708666e-05 9.88861298400296e-05 0.000109068693865163 0.000111905849357743 2.71516800108867e-05 2.75465266412069e-05 2.76651862044834e-05 2.7855900522027e-05 3.23437119934813e-05 4.3092088626134e-05 5.31869771820121e-05 6.25361558655479e-05 7.5195720402544e-05 2.83092332852873e-05 3.09646952065426e-05 4.65548443616801e-05 5.34237661995251e-05 5.90224190031068e-05 7.55170918167846e-05 0.00010305504788544 0.000109616184656549 0.000112556470259521 2.79796777707261e-05 2.83669056979198e-05 3.09289726866416e-05 3.3573703038906e-05 4.32739578926523e-05 5.50366217963852e-05 6.8735545418203e-05 7.46160170588719e-05 8.17860926707669e-05 2.8532339027737e-05 3.64561225351325e-05 5.06638303288869e-05 4.5441776022939e-05 3.39956768818171e-05 3.49485611801416e-05 3.3732689179695e-05 3.69236165634128e-05 6.89228621013943e-05 9.93323989858139e-05 0.000109866736665075 5.67504156082657e-05 7.07034717151214e-05 9.99360751718754e-05 0.000108762060327449 -1.92168491900106e-06 -1.15044403613839e-06 -2.42863915867278e-07 1.70877301243984e-06 2.63423917337564e-06 1.435000334035e-06
"Immunityb45_001-061" 7.09500513996445e-05 0.500244756439898 0.000172525102635873 0.000142295940180863 1.84757300711533e-05 2.16658906621873e-05 3.71013153399077e-05 6.4822158901149e-05 0.000102529056809486 0.000217420186201947 0.00017585752907307 0.000145847573962614 0.000140089324269138 1.79781515557563e-05 1.92399002366724e-05 1.84462262767162e-05 1.95310735962263e-05 3.14540713794587e-05 6.29686037576005e-05 8.12826373478688e-05 0.000130372874908629 0.000217908101501111 2.1882274078615e-05 2.97237553928568e-05 6.06608301725788e-05 7.94820530516652e-05 0.000125001894351318 0.000215688907669431 0.000164053799821305 0.000144839021062427 0.000138794432989589 1.95887923130729e-05 2.11535388150981e-05 2.56021311860827e-05 3.22848495908556e-05 6.77431197227056e-05 0.000112174388343472 0.000119280512626482 0.000141222023603885 0.000192838870262187 2.12225922917549e-05 3.75008637029419e-05 7.17762557003728e-05 7.55901460895144e-05 4.19752106314811e-05 3.81752050045605e-05 2.97750735359753e-05 3.79436991823395e-05 0.000249534040140558 0.000173685443958978 0.00014299524552474 0.000116538443911749 0.000219952796817974 0.000174182917756626 0.00014515723965539 -2.14944683503408e-06 -2.94762056223369e-06 -3.70968048969607e-06 -4.53037122419739e-06 -4.2158971623111e-06 1.40058520694038e-07
"Immunityb45_062-122" 9.98748533196841e-05 0.000172525102635873 0.167064005365773 0.000365685330169239 1.87002064249771e-05 2.13847623969533e-05 3.39805939536475e-05 5.48444866573729e-05 7.1486209381745e-05 0.000139684298021051 0.000381411592043235 0.000370586755876114 0.000351293858633789 1.81953054575854e-05 1.92603354640561e-05 1.85353325489647e-05 1.94577839628103e-05 2.80114661945841e-05 4.84250976705361e-05 7.42205801332735e-05 0.000105845150968518 0.000214038752356897 2.10280437270199e-05 2.92177237282872e-05 6.36644227393834e-05 6.85520256511249e-05 8.57035672447757e-05 0.000210456895817104 0.000385490483693446 0.000369647023521739 0.000344573525446905 1.93500452803728e-05 2.07597635883213e-05 2.53429516612338e-05 2.93224110184272e-05 4.90560304194126e-05 9.88164674459691e-05 0.000165024849642982 0.000184771279955805 0.000246098411801876 2.07364126867181e-05 3.65058835066703e-05 5.99485386314448e-05 5.32898640153573e-05 3.95571268257206e-05 5.15926410446642e-05 4.48773641644204e-05 3.86346726152079e-05 0.000161963019618285 0.000398140218367228 0.000366903379798843 7.72899275842751e-05 0.000181651037883174 0.00037999211275696 0.000377664876171138 -2.35666957265181e-06 -3.49272110291887e-06 -4.12837990622707e-06 -4.73711884172837e-06 -4.49221681283432e-06 -4.97341043779392e-08
"Immunityb45_123-183" 0.000110237276453945 0.000142295940180863 0.000365685330169239 1.00059069794667 1.87587490821461e-05 2.14212485072324e-05 3.33097234766447e-05 5.2988365097263e-05 6.72204257178565e-05 0.000109640500494596 0.000362898908110108 0.000565361892902499 0.000632738063688089 1.82151300988877e-05 1.92353927402687e-05 1.85460886143386e-05 1.94263046042559e-05 2.74689687538359e-05 4.51437256808432e-05 6.83653743446604e-05 0.000108346366493626 0.00017431847804871 2.08673183304759e-05 2.81835346855407e-05 6.47907958498933e-05 6.81764291352079e-05 7.87814304051784e-05 0.000176159856686677 0.000425917420154038 0.000570215668929039 0.000651670891822088 1.93409804796963e-05 2.05849466732821e-05 2.51601241078394e-05 2.89913635565423e-05 4.59101701154903e-05 8.44892523110511e-05 0.000174123736247522 0.000208025516139164 0.000244260289986988 2.05282209496487e-05 3.58900756113614e-05 5.88902464922137e-05 4.93878332391181e-05 3.56799577479005e-05 5.49349397252358e-05 4.90713697073517e-05 4.32617158143966e-05 0.000127977344124916 0.000363601787893247 0.000589935573674282 7.12706738678325e-05 0.000142429082081338 0.000398684101632367 0.000556748883904269 -1.99708571437301e-06 -3.03720516401717e-06 -3.68626436344558e-06 -5.03467204717252e-06 -5.89498092103354e-06 2.81831747151304e-07
"Immunityboost_001-061" 2.70136844797017e-05 1.84757300711533e-05 1.87002064249771e-05 1.87587490821461e-05 8.79681076877078e-05 3.13694993923852e-05 2.46920351073838e-05 1.97518249807517e-05 1.89900543838528e-05 1.86976958329658e-05 1.88021729318392e-05 1.89985274547784e-05 1.89277104610704e-05 3.61172831960462e-05 3.37391360150399e-05 3.51653668101852e-05 3.50213556135754e-05 2.8126154911591e-05 2.37686362246611e-05 1.96707427973526e-05 1.87669199703743e-05 1.85977256109932e-05 3.45868363876721e-05 2.95518102285947e-05 2.16422775113641e-05 1.93480834179389e-05 1.88540124546763e-05 1.8657965029097e-05 1.87897224412805e-05 1.8945951917679e-05 1.88344297252012e-05 3.45232523872333e-05 3.32032519131555e-05 3.19601501336593e-05 3.10515107189022e-05 2.42419140115874e-05 2.12814587118336e-05 1.91702116897722e-05 1.87262820601324e-05 1.86443232217828e-05 3.33572624059344e-05 2.54008326538894e-05 2.02728903491532e-05 2.52272085977615e-05 3.2896564895521e-05 3.19784205198981e-05 3.2703572615831e-05 2.70095703044295e-05 1.87170535421976e-05 1.89322171167223e-05 1.90132226536644e-05 1.89981020572871e-05 1.87704400832712e-05 1.89370598193542e-05 1.90123207202289e-05 -3.28907220343864e-06 -3.19806556527618e-06 -3.01457206722817e-06 -2.43692607459371e-06 -3.17417941092883e-06 -3.20306594765101e-08
"Immunityboost_062-122" 2.78235408248494e-05 2.16658906621873e-05 2.13847623969533e-05 2.14212485072324e-05 3.13694993923852e-05 0.000104225250272544 3.74164221555221e-05 2.45608250695936e-05 2.31318371013641e-05 2.24442657924105e-05 2.15766001579172e-05 2.22790506053552e-05 2.19343047689656e-05 2.97748778686655e-05 3.51746623195629e-05 2.93369676640463e-05 3.18483341131919e-05 3.96841193247546e-05 2.82487031132563e-05 2.3923567006111e-05 2.22186320445196e-05 2.16442046706724e-05 3.3358581995112e-05 4.0507231964213e-05 2.98447520846891e-05 2.35422867348256e-05 2.25935158494652e-05 2.18933010841886e-05 2.13439792501214e-05 2.18699882044811e-05 2.16658890350093e-05 3.29743469135955e-05 3.53479370348008e-05 3.20364340762357e-05 3.07233240047244e-05 3.11506509473856e-05 2.52780924718144e-05 2.27477151540027e-05 2.17953381235765e-05 2.15257042150248e-05 3.45939258995779e-05 3.66182832325404e-05 2.44332351501493e-05 2.46875296874676e-05 2.96490095283376e-05 3.3855698657503e-05 3.22824472016666e-05 3.48956305275724e-05 2.28596492618568e-05 2.25626908863266e-05 2.2544668828625e-05 2.37371847931056e-05 2.30460513928398e-05 2.26705692981931e-05 2.26520903669966e-05 -3.82687591927759e-06 -4.22806507336847e-06 -5.25270271673985e-06 -7.21143191380545e-06 -8.71461598553091e-06 1.76409239563256e-06
"Immunityboost_123-183" 3.59288579220914e-05 3.71013153399077e-05 3.39805939536475e-05 3.33097234766447e-05 2.46920351073838e-05 3.74164221555221e-05 0.000297636163351868 5.97380336053904e-05 4.43185087997055e-05 3.90633133534003e-05 3.44487504988338e-05 3.41168961580392e-05 3.41767521503604e-05 2.36067700187108e-05 2.9392669968561e-05 2.52811887780802e-05 2.68795560460754e-05 4.40293273083312e-05 5.82205253650943e-05 4.996832278912e-05 4.17232838774441e-05 3.81434348068403e-05 2.80487517703378e-05 4.25001738080832e-05 6.61855383209602e-05 5.23812899461451e-05 4.27409902979931e-05 3.75254785828969e-05 3.41261355051559e-05 3.39876747261045e-05 3.40287221041491e-05 2.73054505722092e-05 3.21858016222402e-05 3.59754097417132e-05 3.43334693319885e-05 4.45019177921766e-05 4.80456146645905e-05 4.42586594237637e-05 3.98466248289355e-05 3.74921940734796e-05 3.18229917481243e-05 5.44575037004317e-05 5.42144918314787e-05 3.80161205291497e-05 2.74629668456448e-05 3.12273611457915e-05 3.23301024765678e-05 4.50409631432817e-05 3.80409564596989e-05 3.47381647665262e-05 3.40422885346209e-05 4.33397945723416e-05 3.81923623266279e-05 3.47503980244384e-05 3.40948116500399e-05 -3.57886332569641e-06 -3.86332369542923e-06 -4.28421197580983e-06 -4.45319130148885e-06 -4.93010680743851e-06 3.12049142303788e-06
"Immunityboost_184-244" 4.90844332098355e-05 6.4822158901149e-05 5.48444866573729e-05 5.2988365097263e-05 1.97518249807517e-05 2.45608250695936e-05 5.97380336053904e-05 0.000275261776956647 9.0562828743471e-05 7.07265553957071e-05 5.55714908953367e-05 5.37424532699827e-05 5.33563962140659e-05 1.91386691947533e-05 2.11572701234672e-05 2.03605029691948e-05 2.23864636983739e-05 3.70741397632951e-05 7.69745906235748e-05 0.000101660881671333 7.98734450627103e-05 6.71765598706303e-05 2.28143449549832e-05 3.11891419318348e-05 8.65804151957927e-05 0.000106518126943226 8.49639037809529e-05 6.54610588081744e-05 5.45904047441718e-05 5.35564297056231e-05 5.31391698213352e-05 2.11485880088377e-05 2.32413476681918e-05 3.40351048010296e-05 4.10510403392454e-05 6.22466835401037e-05 7.60536856068563e-05 8.4120449057567e-05 7.30814547402844e-05 6.56290721633924e-05 2.32445508022794e-05 5.67895999533141e-05 9.67103747546361e-05 6.77807221340553e-05 2.89157436920985e-05 2.56808564449698e-05 2.7657939195947e-05 5.32149479409499e-05 6.59924294225804e-05 5.54747819431388e-05 5.35961386459229e-05 8.89906393350148e-05 6.65307552277061e-05 5.55059695772664e-05 5.37499024523627e-05 -3.88492438438004e-06 -4.22192100608519e-06 -4.48242568571297e-06 -4.28198906318674e-06 -5.13593262831713e-06 1.27735856697435e-06
"Immunityboost_245-305" 5.62803832912446e-05 0.000102529056809486 7.1486209381745e-05 6.72204257178565e-05 1.89900543838528e-05 2.31318371013641e-05 4.43185087997055e-05 9.0562828743471e-05 0.000286904526750581 0.000111832749036988 7.33954939871584e-05 6.85494475939256e-05 6.74771318456005e-05 1.81393130401251e-05 1.97031407417763e-05 1.87955635353385e-05 2.04926478047171e-05 3.7131062685414e-05 6.57150382311523e-05 9.99770285863658e-05 0.000124705566842061 9.38888418988318e-05 2.24647638325189e-05 2.94971258381145e-05 6.87483199776007e-05 0.000104396168210515 0.000127397083643037 9.91705544790293e-05 7.08055061667315e-05 6.8073941663327e-05 6.7057292644399e-05 2.01448010062832e-05 2.15741696858026e-05 2.82260869212929e-05 3.93023225681156e-05 7.26620807489775e-05 8.86713318614093e-05 9.48574639279678e-05 0.000107073640309069 9.02996187945193e-05 2.14796150533175e-05 4.37312721344825e-05 9.7079464913664e-05 7.88873062984411e-05 3.52294852196125e-05 2.66745085980008e-05 2.55223844307375e-05 4.55834020677229e-05 0.000105395188984235 7.26866048528752e-05 6.83276697450524e-05 0.000129022678923885 0.000107238361523759 7.28542203984257e-05 6.87201083591731e-05 -4.32512756855248e-06 -5.01299871512782e-06 -6.04118116391394e-06 -7.22145290896554e-06 -8.53554754311181e-06 1.66960170719479e-06
"Immunityboost_306-366" 6.61418440708666e-05 0.000217420186201947 0.000139684298021051 0.000109640500494596 1.86976958329658e-05 2.24442657924105e-05 3.90633133534003e-05 7.07265553957071e-05 0.000111832749036988 0.000696621989065472 0.000143068981254454 0.000113814672038967 0.0001089966884295 1.77994599826558e-05 1.91428240377958e-05 1.83047678267912e-05 1.96895335484515e-05 3.32171537556658e-05 6.41435584459634e-05 8.61894018712233e-05 0.000131281185379322 0.000193603462344248 2.22354019522244e-05 3.01058432472552e-05 6.23452878883808e-05 8.60105872948416e-05 0.000128957543178256 0.00019286954201853 0.000130911321113295 0.000112796851849383 0.000108012172471374 1.9713723496354e-05 2.13126537352863e-05 2.61556428801321e-05 3.41045818195065e-05 7.02423085621081e-05 0.000108664469205691 0.000111872020913694 0.000131497542415414 0.000169029357362375 2.13020524552247e-05 3.88131995313158e-05 7.85172327059604e-05 7.77020207396551e-05 4.09886741517686e-05 3.50540517082451e-05 2.79927337641328e-05 3.95290942484392e-05 0.000223123635004324 0.000141434681310617 0.000110873539369142 0.00012299115324539 0.000199140572982978 0.000141748568459245 0.00011261559673695 -4.31122146338932e-06 -5.10602487134515e-06 -6.29916782459197e-06 -7.48549863509877e-06 -8.28911979336321e-06 2.86046527975219e-06
