"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.287954740731573 -0.330996369631986 -0.24491311183116 0.749795526668119 0.718207776394376 0.78277254896056 0.250204473331881 0.281792223605624 0.21722745103944
"Immunityb45_001-061" -0.757213717018785 -2.14345670875293 0.629029274715358 0.468971295037981 0.117248846606029 1.8757888195575 0.531028704962019 0.882751153393971 -0.8757888195575
"Immunityb45_062-122" 0.655018613750297 -0.146086558516639 1.45612378601723 1.92517835183197 0.864082906212917 4.28930101465195 -0.925178351831974 0.135917093787083 -3.28930101465195
"Immunityb45_123-183" -0.41761325259596 -2.37815602502704 1.54292951983512 0.658616897550726 0.0927213959030242 4.67827531622823 0.341383102449274 0.907278604096976 -3.67827531622823
"Immunityboost_001-061" -0.748288204931455 -0.766670964877032 -0.729905444985878 0.473175839945848 0.464557023592806 0.481954559155924 0.526824160054152 0.535442976407194 0.518045440844076
"Immunityboost_062-122" -0.201136880323751 -0.221146303278912 -0.18112745736859 0.817800483097374 0.801599395090924 0.834329010538284 0.182199516902626 0.198400604909076 0.165670989461716
"Immunityboost_123-183" 0.241509416357436 0.207695853027529 0.275322979687342 1.27316944347964 1.23083875673203 1.31695595620829 -0.273169443479638 -0.230838756732032 -0.316955956208287
"Immunityboost_184-244" 0.319646801219198 0.287129009456995 0.352164592981402 1.37664145037639 1.33259611988848 1.42214257914319 -0.37664145037639 -0.332596119888481 -0.422142579143189
"Immunityboost_245-305" 0.442308687163543 0.409110314839239 0.475507059487846 1.55629607491475 1.50547778786569 1.60882976309388 -0.556296074914747 -0.505477787865689 -0.608829763093875
"Immunityboost_306-366" 0.465970345917201 0.414239845392027 0.517700846442375 1.59355974309525 1.51322002221272 1.67816485212804 -0.593559743095251 -0.513220022212719 -0.678164852128043
"Immunityboost_367-427" 0.181425474813905 0.109486237894776 0.253364711733033 1.19892518325782 1.11570471638379 1.28835306864055 -0.198925183257817 -0.115704716383787 -0.288353068640554
"Immunityboost_428-488" 0.143706811642293 0.0370439721833064 0.25036965110128 1.15454555958152 1.03773865146912 1.28450014583376 -0.154545559581523 -0.0377386514691171 -0.284500145833761
"Immunityboost_489-549" -0.364447150333934 -0.890870875011686 0.161976574343817 0.694580543372241 0.410298278599115 1.1758326963459 0.305419456627759 0.589701721400885 -0.175832696345898
"Immunityfull_001-061" -0.580692745890175 -0.626264853983819 -0.535120637796531 0.559510633588767 0.534584828958773 0.585598640553726 0.440489366411233 0.465415171041227 0.414401359446274
"Immunityfull_062-122" -0.389602829683771 -0.429230029997495 -0.349975629370048 0.677325834799102 0.651010160090507 0.704705263620648 0.322674165200898 0.348989839909493 0.295294736379352
"Immunityfull_123-183" -0.140828174765577 -0.167688686673877 -0.113967662857278 0.868638552898579 0.845617045567087 0.89228680942179 0.131361447101421 0.154382954432913 0.10771319057821
"Immunityfull_184-244" 0.0402791248355914 0.0210414194609799 0.059516830210203 1.04110133087752 1.02126435098045 1.06132362312889 -0.0411013308775234 -0.0212643509804502 -0.0613236231288947
"Immunityfull_245-305" 0.204538358900037 0.173236360750783 0.23584035704929 1.2269585197223 1.18914713958066 1.26597219049781 -0.226958519722301 -0.189147139580665 -0.265972190497811
"Immunityfull_306-366" 0.193879464020418 0.143738642200718 0.244020285840118 1.21394994949086 1.1545823099963 1.2763702224691 -0.213949949490861 -0.154582309996302 -0.276370222469098
"Immunityfull_367-427" 0.118915092257651 0.0673891428988775 0.170441041616425 1.12627428482161 1.06971166789012 1.18582773538629 -0.12627428482161 -0.0697116678901177 -0.18582773538629
"Immunityfull_428-488" 0.15326768097093 0.0895346193896781 0.217000742552182 1.16563695601785 1.09366519467853 1.24234502464343 -0.165636956017851 -0.0936651946785303 -0.24234502464343
"Immunityfull_489-549" 0.136927412078612 0.02927385637764 0.244580967779585 1.14674490567016 1.02970654757119 1.27708606086099 -0.146744905670158 -0.029706547571192 -0.277086060860986
"Immunityhybridboost_001-061" -1.73660517042526 -1.77504052296341 -1.6981698178871 0.176117275034203 0.169476581667001 0.183018174312826 0.823882724965797 0.830523418332999 0.816981825687174
"Immunityhybridboost_062-122" -0.966832874399122 -1.01053181589955 -0.923133932898691 0.380285544938162 0.364025333623829 0.397272064142538 0.619714455061838 0.635974666376171 0.602727935857462
"Immunityhybridboost_123-183" -0.489736979993322 -0.550538879452371 -0.428935080534274 0.612787548375164 0.576638987738112 0.651202203507936 0.387212451624836 0.423361012261888 0.348797796492064
"Immunityhybridboost_184-244" -0.0559452476166252 -0.10370445697519 -0.00818603825806033 0.945590907828966 0.901491687634586 0.991847376113848 0.054409092171034 0.0985083123654144 0.00815262388615234
"Immunityhybridboost_245-305" 0.33304359308747 0.283392631555184 0.382694554619757 1.39520811857368 1.32762632748708 1.46623010845109 -0.395208118573678 -0.327626327487083 -0.466230108451086
"Immunityhybridboost_306-366" 0.487221002148687 0.411823128733844 0.56261887556353 1.62778631390236 1.50956741361532 1.75526330247285 -0.62778631390236 -0.509567413615324 -0.755263302472851
"Immunityhybridboost_367-427" 0.542792259925052 0.454109030077662 0.631475489772442 1.72080509521662 1.57476968537637 1.88038301932117 -0.720805095216617 -0.574769685376373 -0.880383019321169
"Immunityhybridboost_428-488" 0.551720583722094 0.387637141926382 0.715804025517805 1.73623779183661 1.47349501770821 2.0458309214308 -0.736237791836614 -0.473495017708212 -1.0458309214308
"Immunityhybridboost_489-549" 1.08346205136088 0.515001197599647 1.65192290512212 2.95489185046496 1.67364050614761 5.21700198810448 -1.95489185046496 -0.673640506147608 -4.21700198810448
"Immunityhybridfull_001-061" -3.21483980963293 -3.31685191753123 -3.11282770173462 0.0401617668365288 0.0362668231829553 0.0444750152858652 0.959838233163471 0.963733176817045 0.955524984714135
"Immunityhybridfull_062-122" -1.60576303123052 -1.659646196944 -1.55187986551705 0.200736328371701 0.190206263755624 0.21184935097575 0.799263671628299 0.809793736244376 0.78815064902425
"Immunityhybridfull_123-183" -0.732590654902319 -0.774872910181944 -0.690308399622694 0.480662145971317 0.460762335479431 0.501421407045683 0.519337854028683 0.539237664520569 0.498578592954317
"Immunityhybridfull_184-244" -0.295762135293763 -0.329071282373509 -0.262452988214018 0.743964369841521 0.719591720713036 0.769162523222545 0.256035630158479 0.280408279286964 0.230837476777455
"Immunityhybridfull_245-305" 0.010397639072024 -0.0353383832502649 0.0561336613943129 1.01045188235886 0.965278726834571 1.05773905316525 -0.0104518823588564 0.0347212731654285 -0.0577390531652486
"Immunityhybridfull_306-366" 0.287199990258949 0.228176744705104 0.346223235812794 1.33269071198682 1.25630735148316 1.41371817311996 -0.332690711986823 -0.256307351483159 -0.413718173119959
"Immunityhybridfull_367-427" 0.301844091819233 0.234075060660229 0.369613122978237 1.35235036778699 1.2637393457575 1.44717462773732 -0.352350367786993 -0.263739345757498 -0.447174627737321
"Immunityhybridfull_428-488" 0.436303350873123 0.349142115782562 0.523464585963683 1.54697800070598 1.41785067498281 1.68786528574124 -0.546978000705977 -0.417850674982805 -0.687865285741239
"Immunityhybridfull_489-549" 0.40031083875301 0.247407921306097 0.553213756199923 1.49228848664806 1.28070143163925 1.73883223081275 -0.492288486648059 -0.280701431639246 -0.738832230812751
"Immunityinf_062-122" -1.41777167665734 -1.47569263832188 -1.35985071499281 0.242253234435529 0.228620320997023 0.256699095419605 0.757746765564471 0.771379679002977 0.743300904580395
"Immunityinf_123-183" -0.592444525079744 -0.660412543963034 -0.524476506196453 0.552973872683404 0.516638154569937 0.591865121005283 0.447026127316596 0.483361845430063 0.408134878994717
"Immunityinf_184-244" -0.0792726228844026 -0.144091385288499 -0.014453860480306 0.92378804435128 0.865808622273062 0.98565009510522 0.0762119556487196 0.134191377726938 0.0143499048947802
"Immunityinf_245-305" -0.0409172796183357 -0.0983051093888519 0.0164705501521804 0.959908530663744 0.906372318857463 1.0166069374256 0.0400914693362558 0.0936276811425367 -0.0166069374256035
"Immunityinf_306-366" -0.176205465496007 -0.219635744202778 -0.132775186789236 0.838445693977533 0.802811173333495 0.87566193035213 0.161554306022467 0.197188826666505 0.12433806964787
"Immunityinf_367-427" 0.0447970155182389 0.00076080930108028 0.0888332217353976 1.04581555403379 1.00076109878989 1.09289836943257 -0.0458155540337937 -0.000761098789887171 -0.092898369432566
"Immunityinf_428-488" 0.172569894179705 0.126137398465574 0.219002389893837 1.1883548768017 1.13443802761965 1.24483425170568 -0.188354876801695 -0.134438027619647 -0.244834251705682
"Immunityinf_489-549" 0.0763256253327245 0.00795852610952236 0.144692724555927 1.0793139689129 1.0079902793589 1.1556844022657 -0.0793139689129032 -0.00799027935889907 -0.155684402265698
"Immunitysecbnew_001-061" -0.0529863740760094 -0.294486801255304 0.188514053103285 0.948392935124304 0.744913778203499 1.20745405134388 0.0516070648756963 0.255086221796501 -0.207454051343881
"Immunitysecbnew_062-122" 0.29696920791693 0.0626755414272131 0.531262874406647 1.34577385962961 1.06468133819649 1.70107920209281 -0.345773859629613 -0.0646813381964861 -0.701079202092811
"Immunitysecbnew_123-183" 0.214089414710983 -0.130406787922013 0.558585617343979 1.23873341083168 0.877738304947079 1.7481981297412 -0.238733410831683 0.122261695052921 -0.748198129741202
"Immunitysecboost_001-061" 0.0983392783467482 -0.0375164817999503 0.234195038493447 1.10333705998685 0.963178542673941 1.26389097556188 -0.103337059986855 0.0368214573260593 -0.26389097556188
"Immunitysecboost_062-122" 0.438698108255245 0.245349183174519 0.63204703333597 1.55068707708959 1.27806751496941 1.88145804731623 -0.550687077089586 -0.278067514969405 -0.88145804731623
"Immunitysecboost_123-183" 0.582308640576863 0.368761534731317 0.795855746422409 1.79016651484086 1.44594275543154 2.21633680781578 -0.790166514840863 -0.445942755431535 -1.21633680781578
"Immunitysecboost_184-244" 0.662826041819227 0.34165948315302 0.983992600485434 1.94026787185528 1.40728101302314 2.67511561636618 -0.94026787185528 -0.407281013023142 -1.67511561636618
