"Immunity_other" "Immunitybnew_001-061" "Immunitybnew_062-122" "Immunitybnew_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "SexM"
"Immunity_other" 0.00102958612944054 0.000289310398558685 0.000359652739188893 0.000383838664178231 0.000253487879124619 0.000254204458253551 0.000249439007538549 0.000247565785500521 0.000256289789238108 0.000278002395438197 0.00035683102379484 0.000380650089686076 0.000389576065776841 0.000259617131885732 0.000256824321242446 0.000248175750950791 0.000247572309347364 0.000254597290009384 0.000256618073247386 0.000257760291208729 0.00027151996259991 0.000301720180253296 0.000261715440854999 0.000276561324708155 0.000265852473513098 0.000256253154353624 0.000263488272571328 0.000301479496147336 0.000368274285745587 0.000383224876821795 0.000391605120461795 0.000262591366105389 0.000270132933596671 0.000257667919843594 0.00025579561768974 0.000260151073845017 0.000275990193923867 0.000294528868058662 0.000301145836901839 0.000318097837587642 0.000270167803054256 0.000257177097181444 0.000256665611906337 0.000260358710652281 0.000282798521942221 0.000343984283555029 0.000346073540021795 0.000260778878937655 0.000283237018682107 0.000356772843705616 0.00038151048669034 0.000254926611032707 0.000287173081942547 0.000357684310629048 0.000378440936214471 -1.05047565336928e-05 -6.92732871585792e-06 -1.95242872907211e-06 1.00406370434758e-05 1.63361787307608e-05 8.08850562354366e-06
"Immunitybnew_001-061" 0.000289310398558685 0.500401947464727 0.0003305943021524 0.000301062225646112 0.000243046933021837 0.000245541382257121 0.000228093136343948 0.000224290594478399 0.000255948755251546 0.000370595245026094 0.000335462368394056 0.000304945440716598 0.000298512932475041 0.000257149180195034 0.000246951281265103 0.000225839434643572 0.00022389740029403 0.000242100274039523 0.000264440266721606 0.000242237041584698 0.000284169399200323 0.000375837211770612 0.000275118661882299 0.000292360517918975 0.000245872509718247 0.000238148275113214 0.000278319626791513 0.000370358917324841 0.000322725910531959 0.000303601671696011 0.000296982664828704 0.000260331635975129 0.000288609393938263 0.000233046068260177 0.000234576220552025 0.000265635940768212 0.000300745252347873 0.000281741058197276 0.000296852005610277 0.000349347526041222 0.000291661958340295 0.000233040102927115 0.0002366295399261 0.000267072897619861 0.00031222819431567 0.000345838828314739 0.00029216648078531 0.000232129152942642 0.000407045233457596 0.000332223818384331 0.000302387349118578 0.000270466725588115 0.000376187863979538 0.000333127152827936 0.000304584510253236 -8.20138011296286e-06 -9.33140977007438e-06 -1.00876029724959e-05 -1.23170733748598e-05 -1.05929859677964e-05 -1.89630375347335e-06
"Immunitybnew_062-122" 0.000359652739188893 0.0003305943021524 0.167242657461195 0.000547233792236382 0.000216357358377515 0.000220776468190924 0.00021422854065227 0.000209031541812609 0.000222678592570989 0.000293460626832624 0.000556865371107454 0.000553429903991899 0.000532368184658844 0.000235663009927488 0.000232238334235677 0.000213212850943407 0.000208196518002225 0.000216077854315666 0.000227682615901477 0.0002321140129944 0.000258382078951204 0.000374729043869078 0.000239616976446211 0.00029259875711323 0.000258283283366146 0.000223616367534691 0.000237414256442514 0.000369139887538032 0.000563279568957071 0.000551820418101303 0.000525496443903191 0.000232672216406666 0.00026327501520894 0.000232715919900227 0.000216881998123036 0.000226197724964693 0.000282920655298738 0.000334837965054962 0.000344060584982886 0.000409828984378429 0.00026414713901785 0.000232585942965219 0.000218683145351337 0.000226725166924121 0.000298792947008423 0.000480681301000081 0.000488303411158025 0.00023494025521502 0.000321259222588811 0.000577698977239015 0.000549237977856616 0.000229326461443688 0.000342010199544007 0.000558768644709763 0.000560199339510384 -9.45405261842214e-06 -1.23031599842673e-05 -1.28609940227776e-05 -1.43871653895092e-05 -1.30872396666617e-05 -1.72484682216942e-06
"Immunitybnew_123-183" 0.000383838664178231 0.000301062225646112 0.000547233792236382 1.0007799663857 0.000212019616032029 0.000214382820565486 0.000210679799148805 0.000206334428428157 0.000218154190728367 0.000265400552895331 0.0005379343033118 0.00075236592110202 0.000822866894662108 0.0002308695460297 0.000227286345205442 0.000210371175866215 0.000205303772983248 0.000211652466547817 0.000219242302551104 0.000224878968408281 0.000260300486190517 0.000336677672530898 0.000233191108419579 0.000277059823143788 0.000262455804148655 0.000222952481261828 0.000230139962648506 0.000337027174324779 0.000606497718393029 0.000757030227407466 0.000840804143712485 0.000230015552226282 0.000249834138938458 0.000230915468542206 0.000214758224287027 0.000219348993020852 0.000263041119020281 0.000345363385318623 0.000367742795334286 0.000410037457269098 0.000250767728711505 0.000230311983474975 0.000216813540129137 0.00021946288551055 0.000276267080060013 0.000514305161785263 0.000542667096255272 0.000252692317661517 0.000288573863568203 0.000547365063014226 0.000780923705099978 0.000223717997690338 0.000304683431664077 0.000583021022830388 0.000746762620268754 -8.2862995968137e-06 -1.07642287875741e-05 -1.14837595949583e-05 -1.63587310008928e-05 -2.00133523260101e-05 6.64709191140322e-09
"Immunityboost_001-061" 0.000253487879124619 0.000243046933021837 0.000216357358377515 0.000212019616032029 0.047903923061733 0.000284769944672586 0.000292103910886879 0.000287839668553878 0.000277153093907931 0.000252489559263251 0.000218787409996587 0.000211585826091037 0.000213064480091592 0.00028616453643039 0.000303255591602187 0.000311721823383861 0.000289289856160301 0.000282987052114153 0.00028017290428259 0.000281328570989648 0.000268679112092826 0.000241906313629865 0.000273468218088969 0.0002650898572636 0.000277774519779652 0.000282817656684105 0.000273041861663755 0.000242787092934383 0.000217528710011943 0.000213008603068169 0.00021371980773858 0.000278458479067836 0.000272709993156688 0.000286071546391891 0.000285392120044421 0.000278383771559765 0.000265715645812563 0.000259652807140091 0.00025434016485579 0.000239131510042408 0.000271095096109635 0.000285247461046578 0.000284506628646493 0.000278504184360539 0.000261163109449895 0.000227965167103414 0.000234241833199157 0.000282201908412304 0.000242020517354641 0.000213990245209185 0.000209862012225823 0.000272171607507687 0.000242406962946538 0.000213767284546822 0.000209654375378587 -8.38566383002449e-06 -3.65542115579051e-06 3.25519122009019e-06 9.36396724928183e-06 1.13576464085376e-05 2.25563320010488e-06
"Immunityboost_062-122" 0.000254204458253551 0.000245541382257121 0.000220776468190924 0.000214382820565486 0.000284769944672586 0.0139958298210649 0.000313512972580786 0.000295383919443224 0.000268442869738744 0.000251356292929235 0.000223256963035593 0.000213259824141519 0.000215626855945474 0.000278471309125703 0.000294247076766286 0.000309090970129973 0.000299745053334503 0.000280698656961154 0.000287347317811952 0.000283199792473529 0.000261922549716928 0.000245971518569319 0.000270246452064204 0.000268731857608286 0.00028603396767768 0.000283899528536474 0.000266195287685124 0.000244794871190871 0.00022215700834829 0.000215597160983421 0.000216751754574724 0.000275800630944822 0.000279209258946233 0.000298658352843888 0.000287014524453696 0.00027643054323795 0.000266736149781104 0.000261744670822826 0.000251949696140581 0.00024276201815311 0.000278056976164968 0.00029767169030002 0.000284791944648294 0.000277616932009725 0.000258375178779938 0.000233438508235312 0.000242890681680544 0.00028819753839058 0.000242731683000671 0.000216652778399098 0.000210578704888681 0.000263045273204514 0.000240905587419484 0.000215986509635247 0.000210310613577969 -8.60432227572295e-06 -1.54612606668498e-06 9.41989606175076e-06 1.9716756287181e-05 1.96365076321558e-05 2.76128055514273e-06
"Immunityboost_123-183" 0.000249439007538549 0.000228093136343948 0.00021422854065227 0.000210679799148805 0.000292103910886879 0.000313512972580786 0.00305412753703784 0.000310378082913308 0.000259170141128402 0.000235049741015372 0.000216141709184823 0.000209640774869151 0.000212518896683981 0.000282718333515165 0.000315930410209266 0.000362822707804604 0.000323548253148221 0.000279311493235005 0.000304321071197008 0.00028464249193719 0.000250060552101653 0.000232628753067216 0.000264731770107918 0.000273825056433209 0.000307899080702773 0.000286660865769814 0.000254972829367392 0.000230539023971276 0.000216336106379568 0.000212009323609954 0.000213529941058796 0.000270874833261282 0.000293089712787547 0.000329646535089275 0.000291109654670032 0.000270624345730259 0.000262119405879551 0.000257839473469343 0.000242142442652731 0.000231847516884043 0.00029239456850354 0.000326688946860534 0.000287375574306213 0.000271922226575484 0.000245065891290463 0.000224496373288732 0.000251996482550762 0.000299933078591599 0.00022504175864512 0.000210346757044886 0.000207215962915783 0.000252732489471546 0.000225198433638379 0.000209613019211378 0.000206702345231034 -1.12655278921524e-05 -6.14777019232455e-06 2.79806809395499e-06 1.60564345318221e-05 1.90472742662446e-05 3.45119380967208e-06
"Immunityboost_184-244" 0.000247565785500521 0.000224290594478399 0.000209031541812609 0.000206334428428157 0.000287839668553878 0.000295383919443224 0.000310378082913308 0.000561124972616291 0.000266278076903006 0.000233993046627739 0.000210747126105532 0.0002065042830004 0.000207527559832843 0.000277529026590399 0.000292930926182954 0.000311364562779546 0.000315247490136186 0.000282375401139856 0.000287664443199537 0.000291570854024658 0.000250637917629495 0.000228784369759223 0.000268518832783036 0.00026222687548763 0.000293232485730331 0.000293355412461043 0.00025820705484372 0.000226700446620385 0.000210017362804528 0.000207467712717486 0.000207718401367655 0.000273998649431399 0.000267577255074626 0.000308286460074367 0.000293426839121084 0.000273163976129151 0.00025739399142194 0.000258369338430538 0.00023991059717185 0.000227564264162027 0.000265692313001165 0.000308716618609897 0.000289984886936442 0.000275462770977522 0.000242256166381856 0.000216866592890567 0.000234390787384229 0.000300452668001894 0.00022385472063733 0.000207738426681092 0.000205295865848395 0.000261885445929945 0.000224612166373567 0.000207533007335883 0.000205097843600259 -1.45559411268983e-05 -1.27267588071114e-05 -8.55743646516858e-06 3.54782225161497e-07 -4.38472193153171e-07 1.00503399348234e-06
"Immunityboost_245-305" 0.000256289789238108 0.000255948755251546 0.000222678592570989 0.000218154190728367 0.000277153093907931 0.000268442869738744 0.000259170141128402 0.000266278076903006 0.000456508121611556 0.000268658343902504 0.000225339473103769 0.000220902661749246 0.000219028973653112 0.000274828389714045 0.000263420464579271 0.000257789939399979 0.000263151993958955 0.000281883569813259 0.000267505227185647 0.000271436059080888 0.000284160583836689 0.000248734900931912 0.000280477907182135 0.000265650829026224 0.00026173215782988 0.000274654373604104 0.000287472747447341 0.000253931535275466 0.000221939079652292 0.000219717596151405 0.000218049494632953 0.000280237138059499 0.000268058728756223 0.000258999422663845 0.000275041052092515 0.000280023842466392 0.000268574263173346 0.000257230042724163 0.000264155366172969 0.000244441465003087 0.000268309895599428 0.000259433177394965 0.000277123890826303 0.000277754630571368 0.000272559906941727 0.000230655291910104 0.000227096039919078 0.000264971629056594 0.000260603086572823 0.000225742249074521 0.000221063431069865 0.000290735225223132 0.000263288156937553 0.000226076941568529 0.000221651731024486 -1.74889379224034e-05 -1.77737054631582e-05 -1.93423544128943e-05 -2.2357670078799e-05 -2.77806745889512e-05 3.56315486356276e-06
"Immunityboost_306-366" 0.000278002395438197 0.000370595245026094 0.000293460626832624 0.000265400552895331 0.000252489559263251 0.000251356292929235 0.000235049741015372 0.000233993046627739 0.000268658343902504 0.000851680998108926 0.000299265892466754 0.000271338718545445 0.000266602053345372 0.000262237176061439 0.00025033311352906 0.00023227627109104 0.000231882248633848 0.000252468125993339 0.000265500924264628 0.000248874404908715 0.000286648588666741 0.000347513568212359 0.000280049168173909 0.000287604339913714 0.000249301953421248 0.000247939125226389 0.000284669588885427 0.000345388607777921 0.000286454868522148 0.000269664578428622 0.000265108766803141 0.000267940383997581 0.0002864900292244 0.000238617554096921 0.000245012722219047 0.00027137268922169 0.000294996544334183 0.000273091340426328 0.000287138645842149 0.000322691076420179 0.000289138976138311 0.00023892077514207 0.000247529316935826 0.000271739517072261 0.0003052066814197 0.000311497492365397 0.000265103636702519 0.000238760667221901 0.000378401816225665 0.000297471216792385 0.000268967371904438 0.000280315973824058 0.000354228306969484 0.000298361448424931 0.000270728758617363 -1.76636247370783e-05 -1.85689980527845e-05 -2.12789214107558e-05 -2.47062586891986e-05 -2.7866673292949e-05 9.80557393459293e-06
