"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" 0.114469544936805 0.0515798580350267 0.177359231838583 1.12127849193663 1.05293326811659 1.1940599604461 -0.121278491936627 -0.0529332681165899 -0.194059960446098
"Immunitybnew_001-061" -0.694841726875791 -2.08130249984447 0.691619046092884 0.499153444308564 0.124767596543048 1.99694606507178 0.500846555691436 0.875232403456952 -0.996946065071783
"Immunitybnew_062-122" 0.74206465274326 -0.0594687412589079 1.54359804674543 2.10026736384757 0.942264987148161 4.68140391483063 -1.10026736384757 0.0577350128518395 -3.68140391483063
"Immunitybnew_123-183" -0.333417613643733 -2.29414580221203 1.62731057492457 0.716470923637274 0.100847500198485 5.09016667153203 0.283529076362726 0.899152499801515 -4.09016667153203
"Immunityboost_001-061" -0.787945090085228 -1.21692171857604 -0.358968461594412 0.454778364323577 0.296140368672473 0.698396377312448 0.545221635676423 0.703859631327527 0.301603622687552
"Immunityboost_062-122" -0.121016557179511 -0.352888081776783 0.110854967417762 0.886019289491002 0.702655828968693 1.11723285993706 0.113980710508998 0.297344171031307 -0.117232859937062
"Immunityboost_123-183" 0.0659739568681222 -0.0423418091434739 0.174289722879718 1.06819889755898 0.958542086121754 1.19040040209698 -0.0681988975589791 0.0414579138782457 -0.190400402096984
"Immunityboost_184-244" 0.293388588835186 0.246960811852343 0.339816365818029 1.34096377275165 1.28012894591315 1.40468961784912 -0.340963772751649 -0.28012894591315 -0.404689617849117
"Immunityboost_245-305" 0.424426686074067 0.382549996251647 0.466303375896488 1.52871373550644 1.46601816793859 1.59409053464333 -0.528713735506443 -0.466018167938591 -0.594090534643329
"Immunityboost_306-366" 0.481680590306836 0.424481836101844 0.538879344511829 1.61879264465453 1.52879804643627 1.71408488681428 -0.618792644654532 -0.528798046436273 -0.714084886814281
"Immunityboost_367-427" 0.261657447804624 0.185120914490299 0.338193981118949 1.29908146299514 1.20336393546817 1.40241251857114 -0.299081462995144 -0.203363935468172 -0.402412518571145
"Immunityboost_428-488" 0.174043450698292 0.0640589249468686 0.284027976449715 1.19010727568911 1.06615522005031 1.32847009610976 -0.190107275689111 -0.0661552200503117 -0.328470096109757
"Immunityboost_489-549" -0.293240493393797 -0.820387679773672 0.233906692986078 0.745842748872897 0.440260941155057 1.26352659081415 0.254157251127103 0.559739058844943 -0.26352659081415
"Immunityfull_001-061" -0.00242673183490518 -0.98303414761286 0.97818068394305 0.99757621029839 0.37417407539753 2.65961316078892 0.00242378970160995 0.62582592460247 -1.65961316078892
"Immunityfull_062-122" -0.51785164103334 -1.49895172235675 0.463248440290066 0.595799164492142 0.223364185147005 1.58922812167004 0.404200835507858 0.776635814852995 -0.589228121670041
"Immunityfull_123-183" -0.360418639375353 -0.781228876463185 0.0603915977124782 0.697384312418157 0.457843032933631 1.0622524407343 0.302615687581843 0.542156967066369 -0.0622524407343044
"Immunityfull_184-244" -0.112292408008848 -0.256266761735168 0.0316819457174725 0.893782870016959 0.773935484879615 1.03218916090921 0.106217129983041 0.226064515120385 -0.0321891609092102
"Immunityfull_245-305" -0.0805713306315787 -0.180744956280237 0.0196022950170798 0.92258909237396 0.834648203334763 1.01979568154179 0.0774109076260397 0.165351796665237 -0.0197956815417926
"Immunityfull_306-366" 0.00961497523571065 -0.0858951091677193 0.105125059639141 1.00966134761403 0.917690483490662 1.1108495241099 -0.00966134761403192 0.0823095165093382 -0.110849524109897
"Immunityfull_367-427" 0.1313776855102 0.0675285416705721 0.195226829349827 1.14039841194144 1.0698607947765 1.21558668595782 -0.140398411941442 -0.0698607947765 -0.215586685957818
"Immunityfull_428-488" 0.20716786438886 0.137956732720032 0.276378996057688 1.23018905938395 1.14792588156917 1.31834741783088 -0.230189059383946 -0.147925881569171 -0.318347417830884
"Immunityfull_489-549" 0.200328466394652 0.0877465110828978 0.312910421706405 1.22180401381645 1.09171135022243 1.36739903626892 -0.221804013816452 -0.0917113502224307 -0.36739903626892
"Immunityhybridboost_001-061" -1.50026143575722 -1.69520886129177 -1.30531401022267 0.223071833570712 0.183560886259874 0.271087397465224 0.776928166429288 0.816439113740126 0.728912602534776
"Immunityhybridboost_062-122" -0.568155745796275 -0.711919130203108 -0.424392361389442 0.566569373712047 0.490701573031253 0.654167161612129 0.433430626287953 0.509298426968747 0.345832838387871
"Immunityhybridboost_123-183" -0.401355333513285 -0.496996099348064 -0.305714567678506 0.669412154199714 0.608355356789049 0.736596837998564 0.330587845800286 0.391644643210951 0.263403162001436
"Immunityhybridboost_184-244" -0.0382311607407247 -0.0966238876742278 0.0201615661927784 0.962490425174118 0.907897413333211 1.02036618338933 0.0375095748258824 0.0921025866667887 -0.0203661833893301
"Immunityhybridboost_245-305" 0.368501538059729 0.312666451455647 0.424336624663811 1.44556686399519 1.36706547227465 1.5285760635911 -0.445566863995194 -0.367065472274654 -0.528576063591102
"Immunityhybridboost_306-366" 0.554304944665708 0.475017799221981 0.633592090109435 1.74073066007063 1.60804281914215 1.88436725368199 -0.740730660070632 -0.608042819142153 -0.884367253681988
"Immunityhybridboost_367-427" 0.652131577809847 0.55960045515038 0.744662700469314 1.91962830818116 1.74997316783188 2.10573105308577 -0.91962830818116 -0.749973167831883 -1.10573105308577
"Immunityhybridboost_428-488" 0.620649863791625 0.454407130323137 0.786892597260113 1.860136484491 1.57523919458308 2.19656021309852 -0.860136484491004 -0.575239194583077 -1.19656021309852
