"names_fin" "eff_tau_fin"
"2" "Immunityfull_001-061" 0.405341899122104
"3" "Immunityfull_062-122" 0.318039834493551
"4" "Immunityfull_123-183" 0.230737769864998
"5" "Immunityfull_184-244" 0.143435705236446
"6" "Immunityfull_245-305" 0.0561336406078932
"7" "Immunityfull_306-366" -0.0311684240206596
"8" "Immunityfull_367-427" -0.118470488649212
"9" "Immunityfull_428-488" -0.205772553277765
"10" "Immunityfull_489-549" -0.293074617906318
"11" "Immunityboost_001-061" -0.049300074496484
"12" "Immunityboost_062-122" -0.120244555752042
"13" "Immunityboost_123-183" -0.1911890370076
"14" "Immunityboost_184-244" -0.262133518263159
"15" "Immunityboost_245-305" -0.333077999518717
"16" "Immunityboost_306-366" -0.404022480774275
"17" "Immunityboost_367-427" -0.474966962029833
"18" "Immunityboost_428-488" -0.545911443285392
"19" "Immunityboost_489-549" -0.61685592454095
"20" "Immunitysecboost_001-061" -0.04735425972809
"21" "Immunitysecboost_062-122" -0.39782782733284
"22" "Immunitysecboost_123-183" -0.74830139493759
"23" "Immunitysecboost_184-244" -1.09877496254234
"24" "Immunitysecbnew_001-061" 0.0351961410274532
"25" "Immunitysecbnew_062-122" -0.178300737922527
"26" "Immunitysecbnew_123-183" -0.391797616872508
"27" "Immunityinf_062-122" 0.478617643427324
"28" "Immunityinf_123-183" 0.327764554494107
"29" "Immunityinf_184-244" 0.17691146556089
"30" "Immunityinf_245-305" 0.0260583766276724
"31" "Immunityinf_306-366" -0.124794712305545
"32" "Immunityinf_367-427" -0.275647801238762
"33" "Immunityinf_428-488" -0.426500890171979
"34" "Immunityinf_489-549" -0.577353979105196
"35" "Immunityhybridfull_001-061" 0.977449331445867
"36" "Immunityhybridfull_062-122" 0.726172031759001
"37" "Immunityhybridfull_123-183" 0.474894732072136
"38" "Immunityhybridfull_184-244" 0.223617432385271
"39" "Immunityhybridfull_245-305" -0.0276598673015946
"40" "Immunityhybridfull_306-366" -0.27893716698846
"41" "Immunityhybridfull_367-427" -0.530214466675325
"42" "Immunityhybridfull_428-488" -0.781491766362191
"43" "Immunityhybridfull_489-549" -1.03276906604906
"44" "Immunityhybridboost_001-061" 0.800915565007613
"45" "Immunityhybridboost_062-122" 0.524522230605509
"46" "Immunityhybridboost_123-183" 0.248128896203405
"47" "Immunityhybridboost_184-244" -0.0282644381986985
"48" "Immunityhybridboost_245-305" -0.304657772600802
"49" "Immunityhybridboost_306-366" -0.581051107002906
"50" "Immunityhybridboost_367-427" -0.85744444140501
"51" "Immunityhybridboost_428-488" -1.13383777580711
"52" "Immunityhybridboost_489-549" -1.41023111020922
