"Immunity_other" "Immunitybnew_001-061" "Immunitybnew_062-122" "Immunitybnew_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00208509573686639 0.00049180043397086 0.000617176023603635 0.00065260292383328 0.000413329634849947 0.000428051461534513 0.000407023869864095 0.000389300981173758 0.0004032201233786 0.000438256798890186 0.000561509291676086 0.00064405409469902 0.000661157196300802 0.000434609353944545 0.000401221519121447 0.000394145281698701 0.00040941420313371 0.000426423992711483 0.000422892190775287 0.000432383367613336 0.000463156646879248 0.000436371888455403 0.000496569665133926 0.000489005029760365 0.000428729958122389 0.000419752046360051 0.000482191070753281 0.000599461131823637 0.000645547984949392 0.000660449479470312 0.000435367040949272 0.000463621444679459 0.000435474532261165 0.000411823284211055 0.000412535518314281 0.000447362245956841 0.000492860820166397 0.00052395079702292 0.000522313443837011 0.000462236218653946 0.000434829667174002 0.000418126862968075 0.000424068239451701 0.00048014946890466 0.000578733237985991 0.000588139760921192 0.000417433338507638 0.000487080258088129 0.000615080177217786 0.000653242287562087 0.000419707603943585 0.000493555114469577 0.000614226148728323 0.000649892095949486 -6.7520881319237e-06 -2.57916313300924e-05 -5.67164304755499e-06 8.65713967642948e-06
"Immunitybnew_001-061" 0.00049180043397086 0.33397495765084 0.00052017369510072 0.000461706433329676 0.000431361825853066 0.000455518278360137 0.000387217639302613 0.000365918120309822 0.000396703391889271 0.000511524529453268 0.000604529248711002 0.000475309567438613 0.000458572659454958 0.000437738216426524 0.000379811530166279 0.000375232780736805 0.000415985415016983 0.000469448570459187 0.000409639195820136 0.000438786894099361 0.000524154382608206 0.00047844754287973 0.000528206144974137 0.000440839574542438 0.000408156806232391 0.000437398193688681 0.00054078988457529 0.000544077348817408 0.000471319087419635 0.000457874049899408 0.000452518691518472 0.000499255573493188 0.000410038794222629 0.000400157468287075 0.000424605982685724 0.000484124633378741 0.000497606846302437 0.000476273405812812 0.00051999128786968 0.000498307357222019 0.00040980994332486 0.000411452659357913 0.000455456238085404 0.000513744432973007 0.000551237971436388 0.000461367714354062 0.000385041442802738 0.000643452166727278 0.000524913641025951 0.000463191223392899 0.000449838369193115 0.000596817519947665 0.000526808536710223 0.000467491486864155 -1.94998090256069e-05 -3.83578392617152e-05 -9.38557606972255e-06 -2.47232892582022e-06
"Immunitybnew_062-122" 0.000617176023603635 0.00052017369510072 0.250881500363126 0.000871268178668811 0.000349241425068021 0.000392857843909937 0.000360507244029705 0.000320850029731224 0.000333342954273002 0.000390049014733104 0.000732684999539662 0.000896267476711919 0.000844379222661215 0.000415021540084211 0.000345072560865849 0.000324983695119643 0.000341527612681144 0.000384620333565916 0.000389951134655905 0.000390605122387981 0.000461871624331881 0.00039839824983116 0.000557002551996461 0.000543061383358726 0.000394658487426992 0.000365523724298275 0.000506608135523469 0.000813141066171617 0.000890231945203464 0.000843478723294183 0.000398306358240937 0.000470985460813767 0.000420814495789034 0.000356200618585551 0.000352832847103853 0.000427995158520774 0.000546895232130202 0.000614018295698159 0.000603826297636909 0.000468139900187283 0.000418977603567501 0.000365981097242898 0.00037529753689219 0.000508550067271759 0.000746897269071289 0.000778559207028483 0.000371333129900155 0.000506554416985486 0.000879995054424958 0.000873026086181584 0.000358631922601343 0.000535789262691788 0.000852608393520682 0.000884676179350965 -2.12201057781323e-05 -4.08221836727692e-05 -1.16870642661874e-05 -1.28464889795812e-06
"Immunitybnew_123-183" 0.00065260292383328 0.000461706433329676 0.000871268178668811 0.2011854480058 0.000333859795078195 0.000366523353148492 0.000354041893331024 0.000313148199065159 0.00032175965863057 0.000363359349145742 0.000651702841313526 0.00106982025668575 0.0012837573768678 0.00039518435318027 0.000339904863938789 0.0003160166830706 0.000328039826521483 0.000359018829109024 0.000375970898356255 0.000389752073935044 0.000429280663628773 0.000379765096239778 0.000524669206832491 0.00057724505029834 0.000406638427669811 0.000349858289698629 0.000479936353139768 0.000839996712052999 0.00109682763988228 0.00128331172282588 0.000390755451334884 0.000447924689954658 0.000422200213448859 0.000352416897655908 0.000337326159689566 0.000404424113013768 0.000542130691852058 0.000662323434721681 0.000635549000472486 0.000446007536125993 0.000419976744889225 0.00036267622237852 0.000354892388760323 0.000482691069514177 0.000791689399579815 0.000884233311367881 0.000392708233198418 0.000448048710724729 0.000856325164741818 0.0011853958415132 0.00034065581164754 0.000477895579521166 0.000893279880431949 0.00113956543807808 -1.95849917599983e-05 -3.62852356719973e-05 -1.02272399324427e-05 -3.12414052524565e-06
"Immunityboost_001-061" 0.000413329634849947 0.000431361825853066 0.000349241425068021 0.000333859795078195 0.0531214675686976 0.000474245013789657 0.000480031281087704 0.000489305568998848 0.000495711827459359 0.000480064737676198 0.000381364083519152 0.00033776985162453 0.00033104716881929 0.000466738409700697 0.000482401623678992 0.000490162555537298 0.000494874200938003 0.000475213400202844 0.000476384981605254 0.00048082467416377 0.000455463008799345 0.000476025030802078 0.0004311884800669 0.000433099411267357 0.000476087680423193 0.000486988334024148 0.000445574774672732 0.000360710474181698 0.000336972173803976 0.000331078302638873 0.000476691767473257 0.000453713807728831 0.000465118604792387 0.000486572294070015 0.000488291004533941 0.000469345702930346 0.000432748168045095 0.000417383706294828 0.000415161008619618 0.00045291620442685 0.000465109601299328 0.000485323818399938 0.00048096880701728 0.00044699077942514 0.000374376159804703 0.000369269391223631 0.000478074161390926 0.000435489320555572 0.000350473264356907 0.000334193065411138 0.000490069372841246 0.000433366956414694 0.000351473020149404 0.000334793365048569 1.22727168324201e-06 -1.38320528583294e-05 1.32178002275836e-05 -3.32924710496707e-07
"Immunityboost_062-122" 0.000428051461534513 0.000455518278360137 0.000392857843909937 0.000366523353148492 0.000474245013789657 0.059301000950421 0.000503357329254089 0.000499839259284017 0.000479709274566714 0.000464275159766697 0.000425996701490348 0.000373876801063784 0.000359108979161201 0.000473547665805271 0.000495361461040336 0.000491125043730492 0.000475991207448029 0.000479458764532964 0.000477637038445669 0.00046686843244348 0.000458311834302105 0.000466513520673468 0.000446867453164909 0.000448269754536398 0.000472037999379696 0.000472976100134313 0.000449926125234574 0.000402926485211085 0.000372580816815135 0.000359581323064204 0.000466224429982216 0.000461426207926981 0.000474354027683693 0.000479827386781959 0.000478741182415714 0.000464024844092446 0.00044788549278276 0.000428776008107113 0.000432668725114661 0.000460535852207361 0.00047277729739918 0.000473734531993513 0.000473671192650251 0.00044956370358523 0.000411545058935905 0.000403355678679936 0.000478019751029264 0.000457643489540417 0.000394386962679218 0.000366470273254768 0.000469508154647559 0.00044979572898987 0.000392665983845007 0.000367898640766709 5.49996783667708e-07 -1.01349067862987e-05 2.4328257434366e-05 -1.72414457103875e-06
"Immunityboost_123-183" 0.000407023869864095 0.000387217639302613 0.000360507244029705 0.000354041893331024 0.000480031281087704 0.000503357329254089 0.0119237057981149 0.000629637049240799 0.000495710358795407 0.000419788752011409 0.000370552858465917 0.000356272677580364 0.000343232240617099 0.000519249879539711 0.000634850417598416 0.000573485960495882 0.000480071992530293 0.000508586839446444 0.000521151117456761 0.000461005754200974 0.000422447934654546 0.000444935753620439 0.000423454583317165 0.000477405936434635 0.000506907624894496 0.000467178011112846 0.00040371950091681 0.000366314141990942 0.000357029942663557 0.000344668856175672 0.00045772746140168 0.000462464424036242 0.000539504554569992 0.000523754176958029 0.000493181171075023 0.000446357817740296 0.0004351546608337 0.000411002809266916 0.000402377808340014 0.000462582640703711 0.000530815582227594 0.000493355820844764 0.000471351621835259 0.000412960176530726 0.000374414435855597 0.000419895228544799 0.000536736998873881 0.000387891600017603 0.000359830521977327 0.000352534911880449 0.000447589616517453 0.000388809932398928 0.000357561021201773 0.000350919120856079 1.17492607032422e-05 7.11783955528317e-06 5.59536013247932e-05 3.61148342946926e-06
"Immunityboost_184-244" 0.000389300981173758 0.000365918120309822 0.000320850029731224 0.000313148199065159 0.000489305568998848 0.000499839259284017 0.000629637049240799 0.00124385238293622 0.00051909622327619 0.000414250008582223 0.000338308155616226 0.000314833580992075 0.000300835614246024 0.000510771257958464 0.000622691045802732 0.000600715158247589 0.000493588183870112 0.000509588682551475 0.000539264791480738 0.000467947420515326 0.000416373617554599 0.000447799794731067 0.000405266162157248 0.000472861639405025 0.000520822359701844 0.000479876621244006 0.000388961969905974 0.000330298853822948 0.000316077331694005 0.000302760399212266 0.000463554490770317 0.000448923461978868 0.000547107623474233 0.00053870795686918 0.000511513465279241 0.000444614313407986 0.000427409156187807 0.00039534190225396 0.000384514778475083 0.000448733179924018 0.000542135611452192 0.000506932869062927 0.000483102116353294 0.000401179459388323 0.000341877373161051 0.00038680215680603 0.000557846099893723 0.000367127472835836 0.000320041865693977 0.000311127796331489 0.000455475402492256 0.000367760574672048 0.000318179782077084 0.000308840173235514 1.23121320670139e-05 1.3344233544807e-05 6.73410196099385e-05 2.4823150046108e-06
"Immunityboost_245-305" 0.0004032201233786 0.000396703391889271 0.000333342954273002 0.00032175965863057 0.000495711827459359 0.000479709274566714 0.000495710358795407 0.00051909622327619 0.000679416685749025 0.000461729868559799 0.000357184146714284 0.000324829794494573 0.000316310832825694 0.000474549611582126 0.000503548005443967 0.000518520798128398 0.000506703274129754 0.000477307671846343 0.000495629511483065 0.000485575656578622 0.000443186286729144 0.00047184264989239 0.000416106321953394 0.000440599913352032 0.000491909288117398 0.000495393429319494 0.000424673635380544 0.000342752575616669 0.000324624256465578 0.000316870932388831 0.000478239181616301 0.000444771257605319 0.00048265729714417 0.000505013818145765 0.000502437421250386 0.000462801354365831 0.000428763485210327 0.000410948821378635 0.000401639859980803 0.000443220328069579 0.000482796020721813 0.000499221130045831 0.000486105998373922 0.000432282977449985 0.000355126419202015 0.000363999900392934 0.000502958285478372 0.000399927570872132 0.000333908276085078 0.000321549543436886 0.00049046599343155 0.000403267477216004 0.000333631868299035 0.000321040803279498 -2.69836103474192e-06 -1.44969593874279e-05 2.92360892278984e-05 3.46011768914494e-08
"Immunityboost_306-366" 0.000438256798890186 0.000511524529453268 0.000390049014733104 0.000363359349145742 0.000480064737676198 0.000464275159766697 0.000419788752011409 0.000414250008582223 0.000461729868559799 0.000794486405975817 0.000442298111087156 0.000370377492734024 0.00036469938029062 0.000447104462621773 0.000419920789058185 0.000428439049410445 0.000477215081202417 0.000469760410841025 0.000439654107379976 0.000477573717855309 0.000488419968646745 0.000490983920052732 0.00046629553865422 0.000419954892673909 0.000446260094922209 0.000478563469104304 0.000494411449605098 0.000406420724849991 0.000367893987390024 0.000363674449407723 0.000478820234748777 0.000472184736847391 0.00042592577802776 0.000449732998521579 0.000466172196948938 0.000487267547955844 0.000447993895538788 0.000436800019724113 0.000449758595013233 0.000471095156766361 0.000426683595699977 0.000460697246447534 0.000476704127674287 0.000482286468168143 0.00042148563357083 0.000380143340930037 0.000428242002127706 0.000517500238883308 0.000392922907067392 0.000365211101904737 0.000496341172584914 0.000501915085968562 0.000395826108345274 0.000367503156826519 -1.76933891262492e-05 -4.53184009644114e-05 -1.39515387869477e-05 -1.42890060392818e-06
