"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" 0.399501645756887 0.310004107185275 0.488999184328499 1.49108142569497 1.36343071398323 1.63068338951904 -0.491081425694967 -0.36343071398323 -0.630683389519038
"Immunitybnew_001-061" -0.37148138290046 -1.50415567278205 0.761192906981131 0.689711846143697 0.222204828235047 2.14082850714545 0.310288153856303 0.777795171764953 -1.14082850714545
"Immunitybnew_062-122" 0.159077310326843 -0.822630870610296 1.14078549126398 1.1724285840141 0.439274458694001 3.12922537927672 -0.172428584014101 0.560725541305999 -2.12922537927672
"Immunitybnew_123-183" 1.09484521911976 0.215728836700921 1.97396160153859 2.98872005087067 1.2407658832098 7.19914019506128 -1.98872005087067 -0.240765883209803 -6.19914019506128
"Immunityboost_001-061" -0.0759793406372721 -0.527713698595564 0.37575501732102 0.926835354189364 0.589952237590582 1.45609037315233 0.0731646458106361 0.410047762409418 -0.456090373152332
"Immunityboost_062-122" -0.303321410364945 -0.780607858084746 0.173965037354855 0.738361741111633 0.45812745017655 1.19001395905726 0.261638258888367 0.54187254982345 -0.190013959057257
"Immunityboost_123-183" 0.103545257666653 -0.1104744255719 0.317564940905205 1.10909598732571 0.895409229475626 1.37377845638509 -0.109095987325708 0.104590770524374 -0.37377845638509
"Immunityboost_184-244" 0.333183643592403 0.264059062522629 0.402308224662177 1.39540353185872 1.30220510554816 1.49527214140674 -0.395403531858716 -0.302205105548159 -0.495272141406735
"Immunityboost_245-305" 0.545902728182674 0.494815046493275 0.596990409872073 1.72616593788614 1.64019485121214 1.8166432134062 -0.726165937886136 -0.640194851212142 -0.816643213406197
"Immunityboost_306-366" 0.613403431052156 0.558158641142542 0.66864822096177 1.84670585143051 1.74745185007757 1.95159740828126 -0.846705851430511 -0.747451850077572 -0.951597408281263
"Immunityboost_367-427" 0.414290831165613 0.336216039521367 0.492365622809859 1.51329717687304 1.39964137000216 1.63618223540246 -0.513297176873036 -0.39964137000216 -0.636182235402464
"Immunityboost_428-488" 0.349654021283093 0.2601447216309 0.439163320935285 1.41857666634589 1.29711779408541 1.5514086442087 -0.418576666345892 -0.297117794085412 -0.551408644208696
"Immunityboost_489-549" 0.18102149541003 -0.0688091316897497 0.430852122509811 1.19844093999573 0.933504839566499 1.53856801355719 -0.198440939995733 0.0664951604335006 -0.538568013557193
"Immunityfull_062-122" 0.338991725720811 -0.793403637325896 1.47138708876752 1.40353173195128 0.452302698055543 4.35527210220677 -0.40353173195128 0.547697301944457 -3.35527210220677
"Immunityfull_123-183" 0.345942954183488 -0.199816939256038 0.891702847623014 1.41332198941112 0.818880644257921 2.43927983859374 -0.413321989411119 0.181119355742079 -1.43927983859374
"Immunityfull_184-244" 0.389705682951188 0.180062680455254 0.599348685447121 1.47654615721786 1.19729240760306 1.82093241429594 -0.476546157217862 -0.197292407603056 -0.820932414295944
"Immunityfull_245-305" 0.182616432970864 0.0100563438104807 0.355176522131247 1.2003539035886 1.01010707876265 1.42643242895136 -0.200353903588595 -0.0101070787626536 -0.426432428951364
"Immunityfull_306-366" 0.279024999799072 0.107230470661908 0.450819528936237 1.32184038920061 1.1131907827336 1.56959798951207 -0.32184038920061 -0.113190782733599 -0.569597989512066
"Immunityfull_367-427" 0.307526937249299 0.190939041108977 0.424114833389621 1.36005744421496 1.21038566606445 1.52823707635186 -0.360057444214962 -0.210385666064452 -0.528237076351858
"Immunityfull_428-488" 0.4215129336372 0.321067372278853 0.521958494995547 1.52426592519022 1.37859845708476 1.68532512041914 -0.52426592519022 -0.378598457084755 -0.685325120419135
"Immunityfull_489-549" 0.423501085875697 0.29922791279172 0.547774258959675 1.52729941241945 1.34881700109217 1.72939953551 -0.527299412419448 -0.348817001092173 -0.729399535509997
