"names_fin" "eff_tau_fin"
"2" "Immunityfull_062-122" -0.141747648773066
"3" "Immunityfull_123-183" -0.195658090662496
"4" "Immunityfull_184-244" -0.249568532551927
"5" "Immunityfull_245-305" -0.303478974441357
"6" "Immunityfull_306-366" -0.357389416330787
"7" "Immunityfull_367-427" -0.411299858220218
"8" "Immunityfull_428-488" -0.465210300109648
"9" "Immunityfull_489-549" -0.519120741999079
"10" "Immunityboost_001-061" -0.269078326899497
"11" "Immunityboost_062-122" -0.323835413849314
"12" "Immunityboost_123-183" -0.378592500799131
"13" "Immunityboost_184-244" -0.433349587748948
"14" "Immunityboost_245-305" -0.488106674698765
"15" "Immunityboost_306-366" -0.542863761648583
"16" "Immunityboost_367-427" -0.5976208485984
"17" "Immunityboost_428-488" -0.652377935548217
"18" "Immunityboost_489-549" -0.707135022498035
"19" "Immunitysecboost_001-061" -0.101140589896398
"20" "Immunitysecboost_062-122" -0.466385086892024
"21" "Immunitysecboost_123-183" -0.831629583887651
"22" "Immunitysecboost_184-244" -1.19687408088328
"23" "Immunitysecbnew_001-061" 0.151071120539141
"24" "Immunitysecbnew_062-122" -0.174623801918737
"25" "Immunitysecbnew_123-183" -0.500318724376615
"26" "Immunityinf_062-122" 0.337546012835065
"27" "Immunityinf_123-183" 0.270940898998195
"28" "Immunityinf_184-244" 0.204335785161325
"29" "Immunityinf_245-305" 0.137730671324455
"30" "Immunityinf_306-366" 0.0711255574875849
"31" "Immunityinf_367-427" 0.00452044365071469
"32" "Immunityinf_428-488" -0.0620846701861555
"33" "Immunityinf_489-549" -0.128689784023026
"34" "Immunityhybridfull_001-061" 0.968494639490513
"35" "Immunityhybridfull_062-122" 0.726096102719152
"36" "Immunityhybridfull_123-183" 0.483697565947792
"37" "Immunityhybridfull_184-244" 0.241299029176432
"38" "Immunityhybridfull_245-305" -0.00109950759492805
"39" "Immunityhybridfull_306-366" -0.243498044366288
"40" "Immunityhybridfull_367-427" -0.485896581137649
"41" "Immunityhybridfull_428-488" -0.728295117909009
"42" "Immunityhybridfull_489-549" -0.970693654680369
"43" "Immunityhybridboost_001-061" 0.698150311396454
"44" "Immunityhybridboost_062-122" 0.456509383375197
"45" "Immunityhybridboost_123-183" 0.214868455353941
"46" "Immunityhybridboost_184-244" -0.0267724726673153
"47" "Immunityhybridboost_245-305" -0.268413400688572
"48" "Immunityhybridboost_306-366" -0.510054328709828
"49" "Immunityhybridboost_367-427" -0.751695256731085
"50" "Immunityhybridboost_428-488" -0.993336184752341
"51" "Immunityhybridboost_489-549" -1.2349771127736
