"Immunity_other" "Immunitybnew_001-061" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "SexM"
"Immunity_other" 0.0010456046313728 0.000204614864119762 0.000172015018304365 0.000172306722288672 0.000169397847314151 0.00017119082049651 0.000182274571655507 0.000201799196073269 0.000260108128221182 0.00027895781232391 0.000287147713522336 0.000167883198854066 0.000161839012277115 0.000149025361561724 0.000160717494412465 0.000173104974442935 0.000172724804823383 0.000180299405541131 0.000201698967276766 0.000226561630135702 0.000177033781210003 0.000180756286162762 0.000176279188346283 0.000175433545888979 0.000186422738213535 0.000214733448342979 0.000264871244147586 0.000279528112347956 0.000288423271033836 0.000175553092087254 0.000176653055330591 0.00016833840902874 0.000171778849281594 0.000179018349152086 0.00018800770821802 0.000206249281557014 0.000217108244491414 0.000229250925224309 0.000173803056605831 0.000158916145052267 0.000157551802906803 0.000158726213549979 0.000175250346578471 0.000221812962026967 0.000223200214375389 0.000160903517349328 0.000200984043227024 0.000248645393770027 0.000282012477952065 0.0001790217997596 0.0001999727279505 0.00025301901870394 0.000279300448490394 9.10783103268004e-05 1.5899793555632e-05 1.54878956094762e-06 -1.09716623237558e-05 -1.31582898769506e-06 -2.43843530730636e-06 -9.04659760330086e-07 2.14409130217724e-06
"Immunitybnew_001-061" 0.000204614864119762 0.250368287424603 0.000164341769674113 0.000174480047170805 0.00016368760330482 0.000158008924776657 0.00021609672883823 0.000346902277058526 0.000281743552449067 0.000262840982304288 0.000256653452881245 0.000171316030541077 0.000156834619393786 0.000126353815358666 0.000141530614290484 0.000170396865358472 0.000189465365807888 0.000184514007029599 0.000290220567782096 0.000309976729573891 0.000190825441971102 0.000205074366336066 0.000176655923799421 0.000169727908371223 0.000239939473130032 0.000340581545799531 0.000276340737005985 0.000261808866931557 0.000256244554905234 0.0001823004240399 0.000210854877625444 0.000156922843492759 0.000159242345437735 0.000210230099346184 0.000249773778850382 0.000220700841101354 0.000281756213296331 0.00029835323408123 0.000218427504614728 0.000141849003309883 0.000137030970587519 0.000169155236372929 0.000236896638228793 0.000284811775005072 0.000216366684796124 0.00013574280718222 0.000371924071457252 0.000294807308876985 0.000259496074917942 0.000198867604690657 0.000348880163932881 0.000294475693655356 0.000261188065325101 0.00014221621312185 1.3926616590979e-05 -3.84881032525629e-06 -1.24288094144948e-05 -4.95687060137879e-06 -7.11682369837981e-06 -9.46773914236857e-06 -2.26449861606408e-08
"Immunityboost_001-061" 0.000172015018304365 0.000164341769674113 0.0214990396012743 0.000219568804443786 0.000224523890362947 0.000219571335967515 0.000199584256987761 0.000167583555106258 0.000143231301659294 0.000138544198934364 0.000137337791102196 0.000227936045078761 0.000220067763091745 0.000210970732273437 0.000213623261688821 0.000214409642895569 0.000215920480299739 0.000209324305692183 0.000179720985644968 0.000158635164261957 0.000209807152669625 0.000206160974542416 0.000213890422292455 0.000213574034904322 0.000193313715877701 0.000159773427903812 0.000141852064446814 0.000138862909067774 0.000138780200681674 0.000209057001097198 0.000200942976307967 0.000220366325025111 0.000218517021601382 0.000204941476943324 0.000193570323781241 0.00018776444542883 0.000171323262956756 0.000159024109988988 0.000188366255886665 0.000204444008715147 0.00019567005942669 0.000182409939395534 0.000162267065270581 0.000129607130587053 0.000135448963134835 0.000188910162879919 0.000163392620177453 0.000141047496914165 0.000137510006235811 0.000202910541536759 0.000166153247287644 0.000140914598876818 0.000138278634852536 0.000137364362727269 -2.84510926067671e-06 -3.29828664214765e-05 -4.12473163807682e-05 -7.6825171219563e-06 -9.85269041319225e-06 -1.74829441987432e-06 5.06215671619797e-06
"Immunityboost_062-122" 0.000172306722288672 0.000174480047170805 0.000219568804443786 0.0166138544793267 0.000228101848488475 0.000218237255253849 0.00019688658993609 0.000175321447603513 0.000147209851931648 0.000141423918646127 0.00013998167026588 0.000200255798231072 0.000201411365010491 0.000204292358061767 0.000215324776164162 0.000211256221939466 0.000219167721509979 0.000205800778421175 0.000183525307698089 0.000164642263594186 0.000208617680636656 0.000207413544477694 0.000215851168847991 0.000211342395002349 0.000192677995715714 0.000167325562656919 0.000145511397775438 0.000141717073132793 0.000141318393205409 0.00020551759851082 0.000202571815949758 0.000223554156249271 0.000216512595231361 0.000203839736243612 0.000197599987088822 0.000187025437642471 0.000174830074197253 0.00016414180629898 0.000191228964244074 0.000208537975559677 0.000193783885600401 0.000181994655366134 0.000163569523360888 0.000135989818362776 0.000139381108388306 0.000189813902225395 0.000173676752308432 0.000146027976866829 0.00014017613978704 0.000199254152722533 0.000174279368619259 0.000145794469137443 0.000140835472112963 0.00013880672860076 -6.22928947696128e-06 -4.17431787542329e-05 -3.84066404121884e-05 -6.76252800716586e-06 -5.65239831729026e-06 -2.28155257901111e-06 5.52839357228861e-06
"Immunityboost_123-183" 0.000169397847314151 0.00016368760330482 0.000224523890362947 0.000228101848488475 0.0029086373008403 0.000219254344593339 0.000187258112400232 0.000166566938679817 0.000148277983935999 0.000143511644280197 0.000141884259602334 0.000203025330491778 0.000216103528938223 0.000237735305398886 0.000229838574599361 0.000207550132801701 0.000229044649853649 0.000197684751992492 0.000174041353721577 0.000161299707147975 0.000207142003734041 0.00021212786032167 0.000232863334828747 0.00020879140361758 0.000182815869541732 0.000161121495499729 0.000146968648870046 0.000143684547945737 0.000142705799313341 0.000201486588597613 0.000215694789980065 0.000252440591715607 0.000215710612833616 0.000196138473219161 0.000197738423642583 0.000181491197456386 0.000168266450591064 0.000161031764335078 0.000205135218289647 0.000238334862114827 0.000193847560430034 0.000175629136788797 0.000152566893789561 0.000132218081094691 0.000147977576909175 0.000198469386899805 0.000163865171725226 0.000147783198563555 0.000142579349245135 0.000190203661147577 0.000165375973747131 0.000147409228088961 0.00014339374989393 0.000144560340545552 1.00048190012028e-05 -3.41724455938579e-05 -2.83896591539938e-05 1.14791721267394e-06 -1.43638775600707e-06 -7.15574174575056e-07 3.39968383973717e-06
"Immunityboost_184-244" 0.00017119082049651 0.000158008924776657 0.000219571335967515 0.000218237255253849 0.000219254344593339 0.000752440865037516 0.000196124439309806 0.000167412180066523 0.000147602168634503 0.000146242549427419 0.000145202934020538 0.000195899682724578 0.000194520613749482 0.00019450230673847 0.000215131836443144 0.000212418063588249 0.000213505771421112 0.000209854751867466 0.000173275870888457 0.00015747205095015 0.000212179535449706 0.00020525477198305 0.00021695331677789 0.000221955888042867 0.000189430058711457 0.0001608890965874 0.000147043892942108 0.000146099322455961 0.000145189774354505 0.000209182865552748 0.000193277394260758 0.000221005272706114 0.000222321701740684 0.000200873087628335 0.000191450350143264 0.000188107503411347 0.000168457892262768 0.000158995071705509 0.000180935359789064 0.000205882106392343 0.000197880640165684 0.000179746513307004 0.000152352226692577 0.000126137267566361 0.000133368171442466 0.000194086685764138 0.000162489123259474 0.000148223304351795 0.000145597417421062 0.000206127088466657 0.000165357201272786 0.000148847746619798 0.00014644948881643 0.000161366115035163 5.18124453979343e-05 1.60687308769984e-05 -2.89150508815645e-06 2.21764284878145e-05 1.11072316846045e-05 4.06940144968551e-06 -5.76974985410243e-07
"Immunityboost_245-305" 0.000182274571655507 0.00021609672883823 0.000199584256987761 0.00019688658993609 0.000187258112400232 0.000196124439309806 0.000913651137688401 0.00021177794068548 0.000170364665179966 0.000167243054481747 0.000166086143684594 0.000187360524760873 0.000171627528697951 0.000148554574532002 0.00017255577876336 0.000207131779229563 0.000193113443944041 0.00021107158562875 0.000226290753016525 0.00018125025394135 0.000211707664526473 0.000206713099147393 0.000193119457295301 0.000205201378006359 0.000240735969925666 0.000200327796567605 0.000169084249510631 0.000166926555761643 0.000165502476742117 0.000210129489904436 0.000202458613046758 0.000177848411684194 0.000197651584775163 0.000225499053926275 0.000203628007762562 0.000198377297779251 0.000210362749534046 0.000183109933613659 0.000200102623560375 0.000161005562616125 0.000174254177188247 0.000185170963774332 0.00019770920685024 0.000152043621938914 0.000137540850495691 0.000158767488449788 0.000226329255887098 0.000171856801466514 0.000165978678314602 0.000233556552032801 0.000227667489473046 0.000172926666524065 0.000167086386483049 0.000174078957948202 7.48120180886696e-05 4.72000958484018e-05 1.88188203140575e-05 3.65874142768177e-05 2.13251624798245e-05 8.03927227799016e-06 1.25207317100184e-06
"Immunityboost_306-366" 0.000201799196073269 0.000346902277058526 0.000167583555106258 0.000175321447603513 0.000166566938679817 0.000167412180066523 0.00021177794068548 0.00236790756366185 0.000279193345344036 0.000253733586552458 0.000240403747332472 0.000170886344078371 0.000157178733776329 0.000127016127191535 0.000144272030385454 0.000172515952147269 0.000185275146902841 0.000190583234616288 0.0002717927617495 0.000328075430110204 0.000193732694676538 0.000206899883612245 0.000182873884514553 0.000178709993691299 0.000232874141617953 0.000357105957464686 0.000271287193368804 0.000251694757378305 0.000238356903293111 0.000184729644848792 0.000208962979124384 0.000162334166823756 0.000165544026977937 0.000204942134866969 0.000253530341151064 0.000222889817149496 0.00026820305982379 0.000311402818786247 0.000215332552685428 0.00014679724880244 0.000141578122184728 0.000163630891967286 0.000233606347250406 0.000281994984236792 0.000208881111925043 0.000138728730215007 0.000354843751011209 0.000315058588886381 0.00024202816629206 0.000201872179340887 0.00034555615653065 0.000306538928893677 0.000246566366016602 0.000175350514029275 7.63047970944004e-05 4.7850717513612e-05 2.11058112932107e-05 3.60220437498581e-05 2.37643645157243e-05 9.11933516827154e-06 5.63010182186672e-06
"Immunityboost_367-427" 0.000260108128221182 0.000281743552449067 0.000143231301659294 0.000147209851931648 0.000148277983935999 0.000147602168634503 0.000170364665179966 0.000279193345344036 0.00378330201342467 0.00061011374567306 0.000618764012692361 0.00015047792124665 0.000141009706453585 0.000113107404799399 0.000126117427381505 0.000143653811856252 0.000152697969598806 0.000175838897665912 0.00026085059897561 0.000433982087210462 0.000163140042045333 0.000186034416892529 0.000177493139297288 0.00016189858145223 0.000190181375345707 0.000354745487487658 0.000610424310510288 0.000612779068755018 0.000612160812717563 0.000158793213447918 0.000175708705428721 0.000154243546812466 0.000145965063061652 0.000160616816888856 0.000222091652426803 0.000306980260679335 0.000342181663535168 0.000438566141470127 0.000175164543304308 0.000140671479648789 0.000122428516498035 0.00012477652831851 0.000194502998119077 0.000439330193979708 0.000467334391436366 0.00014983383311529 0.000267116751531352 0.000568923609583359 0.00063269951595241 0.000163447180279492 0.000266896870411141 0.000573391794029397 0.000632360958143917 0.000170594600826021 7.76057146088635e-05 4.6937377930536e-05 1.582284220791e-05 3.43666729599781e-05 2.11789121937539e-05 8.33943500046644e-06 9.21223025344533e-07
"Immunityboost_428-488" 0.00027895781232391 0.000262840982304288 0.000138544198934364 0.000141423918646127 0.000143511644280197 0.000146242549427419 0.000167243054481747 0.000253733586552458 0.00061011374567306 0.015363281665448 0.000945086414402286 0.000146087633910091 0.000135699911158077 0.000109495269237011 0.000122130892424267 0.000138381494454403 0.000143586896294494 0.000168321498730962 0.00026570465928522 0.000394949869607336 0.000160617612473735 0.000178676274944061 0.000177189842791222 0.000162479079636339 0.000186536618889705 0.000330955370977871 0.000656745831839326 0.000871070876339097 0.000966019440110288 0.000157800234067607 0.000168592126148139 0.000151590421861291 0.000143386339638751 0.000155017793002504 0.000204295795501456 0.000315044342657581 0.000373582278499134 0.000426373651007543 0.000167516011991746 0.000138359303264059 0.000120473134379259 0.000119469928308313 0.000176351560124579 0.000455429688053453 0.000501266996926224 0.000172328437768196 0.000246572878759654 0.000533415096676171 0.000843823237744327 0.000161956197172838 0.000243064660680612 0.000571978774896421 0.000818225189087914 0.000184947224146035 0.00010393517871088 8.38553883782102e-05 4.58786565520056e-05 5.0775521974537e-05 3.54071257547663e-05 1.43124491213762e-05 8.20032808363936e-06
