day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,0,0,0,,,
238,1,0.00154083,0.00153964,176,0
245,2,0.00165153,0.00116684,166.5,10.9602
252,6,0.00272851,0.00111239,164.167,6.1392
259,5,0.00140489,0.000627844,164.8,6.1149
266,6,0.00165062,0.000673306,168.5,4.78859
273,14,0.00253394,0.000676364,147.214,5.373
280,27,0.00268924,0.000516849,151.63,3.77602
287,63,0.00392279,0.000493255,148.587,3.5295
294,85,0.00371617,0.000402326,145.588,3.13658
301,103,0.00516187,0.0005073,136.563,2.89895
308,77,0.00457,0.000519609,130.714,3.96986
315,62,0.00620372,0.000785426,121.21,4.2397
322,55,0.00661535,0.000889058,121.309,4.46799
329,47,0.00713418,0.00103691,112.128,4.96321
336,62,0.00846648,0.00107068,110.5,5.54312
343,87,0.00922783,0.000984752,108.103,4.42775
350,123,0.00921555,0.000827101,102.943,4.13637
357,187,0.0133763,0.000971604,92.3316,3.33308
364,265,0.0138331,0.00084386,102.589,2.84943
371,276,0.0137484,0.000821851,91.7609,2.88851
378,215,0.0161097,0.00108979,88.2744,3.07734
385,228,0.0189621,0.00124383,77.9342,2.99502
392,210,0.0174477,0.00119345,83.4286,3.46288
399,250,0.018971,0.0011884,75.284,2.85119
406,247,0.0171124,0.00107948,74.1174,2.69413
413,353,0.0193796,0.00102143,74.8499,2.41002
420,446,0.0205171,0.000961493,77.6121,2.16998
427,428,0.0203103,0.000971717,78.3294,2.18336
434,413,0.0213459,0.00103909,75.1622,2.29101
441,353,0.0233667,0.00122907,71.6402,2.38878
448,292,0.0249402,0.0014412,70.4212,2.71036
455,176,0.0241825,0.00180065,71.25,3.7007
462,190,0.0251856,0.001804,69.1579,3.42353
469,124,0.0243233,0.00215757,67.5484,4.30102
476,103,0.0250182,0.00243409,62.7767,4.57177
483,86,0.02558,0.00272286,70.0814,5.12629
490,52,0.0219224,0.00300659,67.3269,6.54772
497,30,0.0179211,0.00324249,90.1333,8.53681
504,23,0.0223953,0.00461716,57.8696,9.35809
511,11,0.0150685,0.00450896,65.5455,14.1283
518,6,0.0118812,0.00482157,39.8333,13.3737
525,4,0.0137931,0.00684882,71.25,34.3627
532,3,0.0132743,0.0076129,19,7.71722
539,4,0.0204082,0.0100994,42.75,16.1724
546,2,0.0078125,0.00550265,57.5,13.0815
553,11,0.0254042,0.00756172,63.7273,11.2486
560,5,0.0123457,0.00548697,95.4,18.9538
567,4,0.0116618,0.0057968,42.25,10.1265
574,2,0.00638978,0.0045038,111.5,38.5373
581,6,0.0178571,0.00722476,112.167,16.8876
588,2,0.00617284,0.00435136,92,28.2843
595,5,0.016129,0.00715472,86,27.5928
602,4,0.0117302,0.0058306,71.75,15.7931
609,7,0.0130354,0.00489469,89.4286,12.7949
616,6,0.00941915,0.0038272,53.8333,9.68796
623,7,0.00848485,0.00319334,87.5714,23.3053
630,10,0.011325,0.00356095,44.3,7.99756
637,33,0.0239478,0.00411855,60.2727,7.84881
644,25,0.0142207,0.00282385,86.04,9.91459
651,43,0.0136248,0.00206357,71.7907,6.97578
658,90,0.0133809,0.001401,70.2333,4.88785
665,138,0.0131742,0.00111405,70.4493,3.87431
672,232,0.0149129,0.000971752,69.5474,3.27041
679,285,0.0127352,0.000749547,69.8175,2.83421
686,390,0.013302,0.000669076,67.5615,2.32959
693,416,0.0126683,0.000617165,64.4615,2.26163
700,334,0.0119273,0.000648729,67.6707,2.55691
707,276,0.012664,0.000757443,72.3043,2.81316
714,244,0.0158349,0.00100567,65.7541,3.18167
721,165,0.0177553,0.00136992,62.4727,3.66543
728,160,0.0152541,0.00119671,57.025,3.32906
735,117,0.00903266,0.000831289,72.4188,4.80485
742,169,0.00593795,0.000455407,60.7633,3.67332
749,368,0.00724096,0.000376092,55.2147,2.43414
756,534,0.0067352,0.000290477,53.9532,1.96962
763,523,0.00847719,0.000369107,51.8222,1.90667
770,332,0.00805884,0.000440501,51.8855,2.42938
777,281,0.0111243,0.000659919,47.1032,2.64029
784,222,0.012306,0.000820826,52.3108,3.01019
791,160,0.010108,0.000795061,56.8125,3.50801
798,194,0.0119165,0.000850439,51.4639,3.08781
805,212,0.013335,0.000909725,47.9953,3.20735
812,185,0.0133806,0.000977157,51.9892,3.5159
819,138,0.0124145,0.00105022,60.5217,4.12822
826,115,0.0143284,0.00132653,52.0348,4.05969
833,58,0.0138889,0.00181099,45.6207,5.65616
840,69,0.0171556,0.0020475,51.3623,6.01399
847,53,0.0203689,0.00276925,60.8679,6.89462
854,22,0.0146765,0.00310598,42.3636,9.44658
