"Immunity_other" "Immunityb45_001-061" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00127340824065014 0.000216678466346252 0.000201034958699433 0.0002000478596322 0.00019168747969392 0.000190234995618301 0.000197760578442684 0.00020577853095676 0.00021174713584185 0.000221292960808299 0.000199932526740418 0.000193466947889974 0.000185722159203365 0.000194445073212157 0.000204449996662472 0.000200940708658327 0.000203173152515537 0.000208456006630856 0.000210274888627851 0.000200732799915342 0.000199254351181219 0.000193767111469082 0.000197847575158161 0.000205210879736778 0.000212550853315432 0.000216447752488192 0.00020010488385098 0.000195543177379299 0.000202153315147925 0.000207520003993803 0.000207023382774346 0.00020672425303528 0.00021141717844272 0.000213949552060467 0.000197627924260659 0.000189285108615985 0.00019446195328844 0.000198279169652817 0.000205758605887182 0.00021106890833393 0.000187482996818148 0.000189541575204737 0.000207591542424 0.000213281790270272 0.000196069122453629 0.000205038045692943 0.00021040212797985 7.93456040954078e-05 6.78504844835525e-06 4.1254600620561e-07 -1.35876677721213e-05 -1.28158432249283e-05 -5.24286050091373e-06 -3.41595464277725e-06 4.18768270091195e-07 3.07863377374463e-06 6.82396879237491e-06 1.20311499926246e-05 1.79090042313777e-05 1.62022461135768e-05 1.24350137712135e-05 1.93703039742901e-05 4.32416669666298e-06
"Immunityb45_001-061" 0.000216678466346252 0.500426436538054 0.000183916015239591 0.000182746222504186 0.000161464571265705 0.00017253846596125 0.000216181868929821 0.000340999612099395 0.000487803279538563 0.000484172847592461 0.000190747789257348 0.000166430089975101 0.000142907520963704 0.000158191028504551 0.00018905599912177 0.00019111192201443 0.000192566222658213 0.000264897658260373 0.00036332041447071 0.000237557456812639 0.000228827618215148 0.00017626824881368 0.000185853841106375 0.000243241532237942 0.000378336785764915 0.000479007197888254 0.000205138881950756 0.000159091789526765 0.00017523472171336 0.000222303246134519 0.000246609071916338 0.000221533539030499 0.000274609361429281 0.000356501586989297 0.000207203729025766 0.000148959218592032 0.000161474059316693 0.000199290968295898 0.000264974617533607 0.000385460728510288 0.000158304328803935 0.0001519909993088 0.000442709966636036 0.000501359843087605 0.000250160423646504 0.000402168323766703 0.000510410681402218 0.000136475307219111 1.84740046962234e-05 1.09782275909519e-05 6.60278786753796e-07 -1.28318468007658e-06 -8.25752379607675e-06 -5.71884203083936e-06 -5.20320690619027e-06 -4.34590685921533e-06 -8.71332800208752e-06 -2.12319945356475e-05 -2.2876971868843e-05 -3.47074632469083e-05 -5.15329828028294e-05 -3.77699487976463e-05 4.17869866555467e-07
"Immunityboost_001-061" 0.000201034958699433 0.000183916015239591 0.032480124655408 0.000224100697056499 0.000228187186511861 0.000215211308378934 0.00020102624672645 0.000184254137551512 0.000166323123212436 0.000169319439652393 0.000215983232771336 0.000215716945017863 0.000215226840391798 0.000223123251290166 0.000218810369157524 0.000225323924549126 0.00021645114941102 0.000201303284637876 0.00018756811451076 0.000202410995392163 0.000210048696583436 0.000219301399994603 0.000212510623841805 0.000200728288361743 0.000184499089466349 0.000171185444404309 0.000217523384566447 0.000228391062697945 0.000221225016623828 0.000212168759375347 0.000211572836467197 0.000212405925374869 0.000202281304632943 0.000191894675767593 0.000211195356417756 0.00021681142309737 0.000206663163367761 0.000197878945568448 0.00018818759236309 0.000177776977025155 0.000213731478055847 0.000207746881920838 0.000171778295995706 0.000161604171349558 0.000191608053662664 0.000174305503069171 0.000160869690504972 0.000143931419170509 -5.43295297625637e-06 -4.0775394994093e-05 -4.43482277496475e-05 -2.0178817377962e-05 -8.93363766258284e-06 -5.44527792575854e-06 5.82829593302253e-07 4.8644496087887e-06 8.4333770521283e-06 1.29790816220819e-05 1.17765081252897e-05 1.4870705635094e-05 1.29457556604679e-05 2.53734625720597e-05 3.41997045129724e-06
"Immunityboost_062-122" 0.0002000478596322 0.000182746222504186 0.000224100697056499 0.00966357281311609 0.000240225583374014 0.00022001028135638 0.000192989610256629 0.000175516854340102 0.000163810304600817 0.000172474790622545 0.000218412103661454 0.000222458716264649 0.000226212052384864 0.000230730058639216 0.00021733416735135 0.00023214052114779 0.000215496717335454 0.000195591414509878 0.000185210751911024 0.000197792851779269 0.00021260445121534 0.000226562717804043 0.000213143705469601 0.000194341739174985 0.000181297130251779 0.000172017794064357 0.00022387038658516 0.000239373917681493 0.000223221762110878 0.000210095251021813 0.000213502226775111 0.000211405663067755 0.000198389389858802 0.000191747222886786 0.000217388930625647 0.000227662619675467 0.000208348410077342 0.000196793363428926 0.0001837982055116 0.000180421718201012 0.000225295553858273 0.000213538750858232 0.000166209427708263 0.000160122057144464 0.000178633887187701 0.00016570413463347 0.000158093751223043 0.00014928372540854 -1.31534166192146e-06 -4.13894494425816e-05 -3.8086183931186e-05 -1.32626523908128e-05 -4.67921867568979e-06 -3.57547566429146e-06 4.46057299318535e-07 7.20043752334884e-06 1.45528592259397e-05 2.06445290066532e-05 2.27506841811724e-05 2.67629187431206e-05 2.70929933911544e-05 4.22230750049761e-05 3.32940726175864e-06
"Immunityboost_123-183" 0.00019168747969392 0.000161464571265705 0.000228187186511861 0.000240225583374014 0.00142364602494615 0.000237167920100526 0.000184350857406426 0.000159653350641819 0.000146793017319838 0.000155912589263153 0.000220793841653616 0.000237465866729061 0.000258726718882794 0.000245181139798568 0.000208997215811754 0.000243326145767545 0.000207063833785828 0.000181298174104911 0.000170366762790582 0.000190982275491937 0.000223832616080464 0.000250797054241347 0.00021421499004422 0.000181995876139778 0.00016492188022949 0.000155268084295228 0.0002425986914719 0.00026644520981699 0.000220709780113301 0.000197902185033812 0.000210194203336009 0.00020050783706006 0.000183269449686754 0.000176485876105879 0.000237134896501713 0.000254090917557912 0.000205775945629629 0.000182645749820596 0.000161799986627495 0.000160188035973718 0.000260067938625 0.000223104570835857 0.000149635446095005 0.000144545509766703 0.000165134291594308 0.000149414174007817 0.000141891073442803 0.00015367537331066 3.14328672503324e-05 -7.45425964166992e-06 -1.4241716644759e-05 5.6592626930917e-06 7.50049694505286e-06 3.33751247597664e-06 -2.56958121947568e-06 -2.98453747269644e-07 7.6487252344723e-06 1.60473457710676e-05 1.781491144052e-05 2.41712226746476e-05 2.72221780589641e-05 4.63122703855595e-05 1.05875461079197e-06
"Immunityboost_184-244" 0.000190234995618301 0.00017253846596125 0.000215211308378934 0.00022001028135638 0.000237167920100526 0.000455668636565314 0.000210868340980145 0.000187586179321524 0.000177447918687175 0.000171492083960532 0.000202205702056847 0.000208766145798864 0.000215172015765292 0.000223146829909598 0.000203741542445284 0.000218237905691243 0.000211158754039214 0.000191852329591074 0.000187138204509067 0.000207625778995454 0.000215684088399032 0.000232938077292988 0.000222733553205124 0.000198882703049362 0.000182132295032012 0.000175851184838738 0.000213038758202249 0.000230735232264227 0.000214839066867311 0.000199349184615232 0.000202268472393376 0.000203761069246288 0.000188824433662577 0.00018532967275272 0.000207475090557095 0.00022021146857652 0.000198207251770869 0.000183125857655841 0.000162274402232768 0.000156903729590161 0.000217967003023143 0.000211549830181952 0.000182082999094287 0.000177368323672129 0.000204231387460333 0.000183724105449538 0.000178029152595913 0.000145917633338597 4.65993841568766e-05 2.03555560831287e-05 5.73913402269053e-06 1.89934928027747e-05 1.58938569477805e-05 8.39868245875579e-06 -9.5857845908979e-06 -1.22159804622373e-05 -1.24554768052538e-05 -1.60740749045508e-05 -2.43275627040079e-05 -2.06040066986062e-05 -1.63931617442992e-05 6.75798725094902e-06 3.94619409981034e-08
"Immunityboost_245-305" 0.000197760578442684 0.000216181868929821 0.00020102624672645 0.000192989610256629 0.000184350857406426 0.000210868340980145 0.000410668869054389 0.000247192989739293 0.000234006853683502 0.000209272193814024 0.000188550433038989 0.000174765182387388 0.000161729386778088 0.000181882814093018 0.000204908161707405 0.000186819644284492 0.000210689907671382 0.000228553039771879 0.000224371468142416 0.00023127567055719 0.000211086174207045 0.000199741656644059 0.000216379773734625 0.000234617536874649 0.000228284374557015 0.000220438602380614 0.000190845457642641 0.000179166089805647 0.000200350253799996 0.000212568580541011 0.000203523012081735 0.000210561395094818 0.000221158067203155 0.000214701108149239 0.00018745584835219 0.000168875781309792 0.000185071361477185 0.000189719214646306 0.000196881858837955 0.000181060462773647 0.000166948024382962 0.000179700479911246 0.000243961809230935 0.000230982124574256 0.000260727052871068 0.000251781212412912 0.000236499224105784 0.000139010603192778 5.01393549490852e-05 2.89498463289457e-05 1.30256235381352e-05 2.28889707290384e-05 1.91445537608997e-05 1.03775449323064e-05 -1.14344764162353e-05 -1.60369383413187e-05 -2.08832429467078e-05 -3.25671917480561e-05 -4.49158628100541e-05 -5.47821886290233e-05 -6.27777637989633e-05 -4.59313904193511e-05 1.36346230251903e-06
"Immunityboost_306-366" 0.00020577853095676 0.000340999612099395 0.000184254137551512 0.000175516854340102 0.000159653350641819 0.000187586179321524 0.000247192989739293 0.000739036940792298 0.000398719579920117 0.000367370334815816 0.000179682427290855 0.000154833993930607 0.00013417216189853 0.000152554153714351 0.000189247155696178 0.000174694003167648 0.000195165934057801 0.000260163193661014 0.000313358867777515 0.000247176222014789 0.000223426358481016 0.000180123558234516 0.000198068214265573 0.000252821512393979 0.00032614586116425 0.000375424495728376 0.000190673835643827 0.000150303825620002 0.000175499604524566 0.000216770837354741 0.000223095916144876 0.000212191162552218 0.000257187257744516 0.000296964869625513 0.000191729872837184 0.000140241311433668 0.000160952692548875 0.000189525401343577 0.000237585087429865 0.000288299800078441 0.000146478416702195 0.000151094167929376 0.000383667340617118 0.000402074976349915 0.000289089807990124 0.000371466253791829 0.000414365988125489 0.00013442012869514 5.23723925876703e-05 3.38706776562035e-05 1.75844203774121e-05 2.47288004094174e-05 2.15291199222919e-05 1.17244124921244e-05 -1.13560020730422e-05 -1.69328021747278e-05 -2.3895735100647e-05 -3.77178831253759e-05 -4.89752725780817e-05 -7.72549687266043e-05 -0.000102596120031933 -9.59969684647488e-05 4.17993010679175e-06
"Immunityboost_367-427" 0.00021174713584185 0.000487803279538563 0.000166323123212436 0.000163810304600817 0.000146793017319838 0.000177447918687175 0.000234006853683502 0.000398719579920117 0.00374250596765619 0.00085786223814474 0.00016943151413498 0.000144414964486819 0.000119717381610841 0.000135165843314902 0.000166008674908 0.000168536310817102 0.000180248727759487 0.000265589074950816 0.00045250063871178 0.000252359866671642 0.000241432048172883 0.000172792740663299 0.000181982895906732 0.000246324827092125 0.000453335642680143 0.000695428962815287 0.000194005855327337 0.000136204310142137 0.000153145184600059 0.000204312911311394 0.000249410372952896 0.000220401765611342 0.000274027704908025 0.000431476471221261 0.000198044051048066 0.000126992895583805 0.000138311367734348 0.000177307479118261 0.000266905539055237 0.000473195624944153 0.000145581660464821 0.00013305210902942 0.000543270773854645 0.000887739237334104 0.000292890437241304 0.000498770989483385 0.000813495158590481 0.000129663868479116 5.36851275609528e-05 3.7653338434528e-05 2.15812798923205e-05 2.55168083435556e-05 2.36238557362841e-05 1.28319734816042e-05 -1.04422011028129e-05 -1.71568277016417e-05 -2.67508281202525e-05 -4.60177362709976e-05 -5.7494881342395e-05 -0.000102975916866045 -0.0001389772038091 -0.000136772070401018 9.04671052119311e-06
"Immunityboost_428-488" 0.000221292960808299 0.000484172847592461 0.000169319439652393 0.000172474790622545 0.000155912589263153 0.000171492083960532 0.000209272193814024 0.000367370334815816 0.00085786223814474 0.144326609873452 0.000175193956771114 0.000155772689525156 0.00012960921904837 0.000144588540980794 0.000170536172777622 0.00017733704351503 0.000188368050080058 0.000254117796340994 0.000491395631417225 0.000235740271685331 0.000245572637647948 0.00018015288889381 0.00018321220149503 0.000235034622834215 0.000477233461987901 0.000894500965348114 0.000206772420365209 0.000153138028358324 0.000163956523750131 0.000204998005137131 0.000268156765425705 0.000240264555037986 0.000275498557471286 0.000489910390912471 0.000209181268126402 0.000143001305839803 0.00014833225934273 0.000179760617937969 0.000284317879088437 0.000548300633532175 0.000167628227054527 0.000143404229172861 0.00050611397785504 0.00137055759872329 0.000242812326184084 0.000468343640632677 0.00104476220600724 0.000146236060480501 6.75255585439868e-05 5.25790333707785e-05 3.2124644775829e-05 2.95029294192589e-05 2.655312697972e-05 1.2752275206794e-05 -9.42286400541515e-06 -1.90673052856171e-05 -1.9539219309677e-05 -1.89998667122777e-05 -9.91561777269224e-06 -2.43547343119768e-05 -4.46941083728295e-05 -6.22925969664419e-05 1.80968740340916e-05
