"Immunity_other" "Immunityb45_001-061" "Immunityb45_062-122" "Immunityb45_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00132806436514593 0.000240092552426509 0.000324039960918831 0.000348320964013185 9.72654399010539e-05 9.85180390947588e-05 0.000108686580914623 0.000155215444628579 0.000176671170625449 0.000204899023590727 0.000288273710871221 0.000342550908713955 0.000354397044107187 9.77859022496071e-05 9.88342561882221e-05 0.000101237615082944 0.000102461468791333 0.000110602773928993 0.000129897772746708 0.000171679682520786 0.00019547625321248 0.000221367897712874 0.000118801022116446 0.000123724774256877 0.000171261762118868 0.000183297742498829 0.000188995012369862 0.000235061572079687 0.000313263506024492 0.000343591936122304 0.000353912971062864 0.000104109415446058 0.000101992351661566 0.000113256490502624 0.000131457049776551 0.000153456803140426 0.000185796089099457 0.000225035106515048 0.000258097518911559 0.000260658177429375 0.000109018871347505 0.000140839101094935 0.000176332324814571 0.000170603294245933 0.000141127795819138 0.000136685533860322 0.000134774991692085 0.000136416812920818 0.000236989550800832 0.000322766924165922 0.000348741040945514 0.000190953501563363 0.000241831743265448 0.000322474426947203 0.000346594726389719 -3.4981292649073e-06 -1.21641233875813e-05 -5.53980664817988e-06 3.51013968992886e-06
"Immunityb45_001-061" 0.000240092552426509 0.333814021185898 0.000358630289227341 0.000300352769566913 6.02635731519767e-05 6.61054808392073e-05 8.56371936902795e-05 0.000166325282985645 0.000222527999740832 0.00035359382015568 0.000439520044069251 0.000312941433860715 0.000297721459801374 6.21598878750326e-05 6.67160101054418e-05 6.73761755724179e-05 7.0697109718378e-05 9.10646170373761e-05 0.000136377566439584 0.000201263818838367 0.000263900675387057 0.000364194266762673 0.000113698239001506 0.000117784336313303 0.000178160213439281 0.000215970545877167 0.000266368242531351 0.00038230846632963 0.000380074424272658 0.000309209323764232 0.000297015158496324 7.64417750706514e-05 7.28849518673836e-05 9.06090525436779e-05 0.000126955556145828 0.000185109439246284 0.000262680693790946 0.000303369851037976 0.000307637632577652 0.000356673603622618 8.8089342121134e-05 0.000139701708245104 0.000216194268746062 0.000233146063868267 0.000155799579152416 0.00012717412191398 0.000107887349943699 0.000130001012026796 0.00048234350127172 0.000362953606867518 0.000301458578315895 0.000284300056201741 0.000435358202883775 0.000365024147588406 0.000306157409900783 -1.09329083555448e-05 -2.08579470581396e-05 -1.2192075196842e-05 -1.0261829131269e-06
"Immunityb45_062-122" 0.000324039960918831 0.000358630289227341 0.250711405772573 0.000699080157953727 6.01246273527631e-05 6.56210092465234e-05 8.2636248883331e-05 0.000139803521003324 0.000169156553579198 0.000233293707834698 0.000574037121801216 0.000723446236682429 0.000671764175879404 6.17563663722061e-05 6.61666427042408e-05 6.61112975198351e-05 6.79750170646719e-05 8.20068825635729e-05 0.000114387609583427 0.000188080653484244 0.00022330341693432 0.000305824335385055 9.82999006925586e-05 0.000121656939604708 0.000220640266988722 0.00020553313944172 0.000202243949338533 0.000350470118316571 0.000648647243856151 0.000717651778924474 0.000670977887114761 7.31375071085538e-05 7.15551072715537e-05 9.05125248385212e-05 0.000112735821644254 0.000145091152626813 0.000222531039657694 0.000346723219679551 0.000441241630930325 0.000442637181988636 8.48154042532105e-05 0.000140331666642078 0.00018323576929842 0.000177348774728171 0.000154623112313607 0.000163229000178318 0.000156384868779976 0.000124889855350248 0.000345164467302279 0.000709820891506115 0.000700358232082341 0.000198674602296739 0.000375636486038956 0.000682871376029842 0.000712528345065579 -1.09369090482989e-05 -2.05358481742847e-05 -1.1201923183871e-05 -5.70655018371784e-07
"Immunityb45_123-183" 0.000348320964013185 0.000300352769566913 0.000699080157953727 0.201012367368479 5.99969652308565e-05 6.51776433664207e-05 8.17427812619306e-05 0.000135534616132207 0.000159626153117943 0.00020688432114838 0.000491947596888627 0.000901353019144462 0.00111023383639609 6.15020953711449e-05 6.58071095862661e-05 6.58534006776485e-05 6.73990083358275e-05 8.01158348738394e-05 0.00010785489674907 0.000178784238706035 0.000223672878627834 0.000273207071723349 9.4598277754275e-05 0.000116089995469027 0.000235629962339034 0.000214659024146914 0.000188278128258211 0.00032343011277071 0.000675582692148558 0.000927223753647989 0.00110986739999992 7.25875682061139e-05 7.06247008776036e-05 9.03690664723655e-05 0.000111531690891141 0.000136413260475648 0.000205090881074645 0.000343039427450149 0.000488641801117221 0.000474725798848345 8.28576616564171e-05 0.000140248803640936 0.000181242673763104 0.000163079205538903 0.000146120321797541 0.000171355261765764 0.000172793991677026 0.000132346051969682 0.000286719766910144 0.000684858252784123 0.00101174118487411 0.000181992694064705 0.000317528130289762 0.000723084872798661 0.000965819520395042 -1.00908500167354e-05 -1.83786025808049e-05 -1.01749693921491e-05 -1.20404383351125e-06
"Immunityboost_001-061" 9.72654399010539e-05 6.02635731519767e-05 6.01246273527631e-05 5.99969652308565e-05 0.000466447079180614 0.00016687832560296 0.000119062030745343 7.40057620507235e-05 6.51755983039701e-05 6.04611825779903e-05 6.03958855544965e-05 6.00243043575681e-05 5.57789079375243e-05 0.000195593556447068 0.000163998036808137 0.000191312853441496 0.000184751498321789 0.000147618943101352 0.000117624957806622 7.45942598040525e-05 6.48438953227041e-05 6.07922804859874e-05 0.000157285389234995 0.000139506299820738 8.78709605161902e-05 6.84946390877074e-05 6.45332435747703e-05 6.12178417139884e-05 6.13403561142473e-05 6.05959846182176e-05 5.65250508028892e-05 0.000177921692757256 0.000171800987334625 0.000151090432118809 0.000129456038904626 9.70561423033986e-05 8.04252908417348e-05 6.84089510167354e-05 6.34932775931024e-05 6.15911762819483e-05 0.00015716506294846 0.000102132798993441 7.13916049610505e-05 9.63027166018538e-05 0.000149052976860259 0.000148457179418777 0.00014695980842585 0.000106994001517285 5.99308165874394e-05 5.9686092954742e-05 5.93134465552076e-05 6.14339843241991e-05 5.92705312014808e-05 5.87279074516358e-05 5.83738648322087e-05 3.69814175018238e-06 3.52912511953714e-06 2.36508069438098e-05 2.92633790664975e-07
"Immunityboost_062-122" 9.85180390947588e-05 6.61054808392073e-05 6.56210092465234e-05 6.51776433664207e-05 0.00016687832560296 0.000272107334099467 0.000154531068010185 8.05275438166109e-05 7.05812938174459e-05 6.72268489341734e-05 6.58637701093267e-05 6.55345092301908e-05 6.52272350447115e-05 0.000169396018928693 0.000172080462861861 0.000160259815831239 0.000162095812436661 0.000157577521888069 0.000132477688443972 8.32018379123206e-05 6.95915242916582e-05 6.71634911111284e-05 0.000150067595623785 0.000153151892259704 0.000105136047696283 7.36656689583263e-05 6.91569576965594e-05 6.66021737200799e-05 6.56561710117249e-05 6.54099645716906e-05 6.51243373076768e-05 0.000163654162042632 0.00016845327321219 0.000150550951599208 0.000126386837523324 0.000104117187548366 8.62275847929841e-05 7.40967210940475e-05 6.74139753950547e-05 6.6545217098169e-05 0.000160521575619537 0.0001196536711004 7.61141139545436e-05 8.91655528240215e-05 0.000137258722005449 0.000150718690824363 0.000147394707163835 0.000124182264966879 6.63768279203135e-05 6.5809653921113e-05 6.55000630716077e-05 6.82438819613414e-05 6.63214825340787e-05 6.5583756978378e-05 6.53542379719495e-05 -4.06102666791783e-06 -1.15801754226966e-05 3.81991847785342e-06 -8.53523199895812e-07
"Immunityboost_123-183" 0.000108686580914623 8.56371936902795e-05 8.2636248883331e-05 8.17427812619306e-05 0.000119062030745343 0.000154531068010185 0.000441499945747679 0.000128027875546221 9.89668399937155e-05 9.04437911746533e-05 8.3543754221878e-05 8.23937528684936e-05 8.53991476294554e-05 0.000126746862270511 0.000162595974780905 0.000134808319225085 0.000129485680179376 0.000160186254604387 0.000158594381864283 0.000120755959621713 9.58324947900986e-05 9.02651715544594e-05 0.000134135300689263 0.000156118658387755 0.000155502271896 0.000107298083569667 9.43433210602871e-05 8.70384859286555e-05 8.19516950034031e-05 8.16885508133888e-05 8.45752778624333e-05 0.000136860468701877 0.000146038416880081 0.000160478640466626 0.000132180820389893 0.00012485146362939 0.000109456717724503 9.88901195389139e-05 8.81395910545452e-05 8.67624671652937e-05 0.000152960085499339 0.000163279217265094 0.000108910693780181 9.90072526955467e-05 0.00011634940330774 0.000144131394931513 0.000146871765258117 0.000152731817260407 8.65323793894379e-05 8.33688182071261e-05 8.28967057208574e-05 9.37394231568774e-05 8.72703405271793e-05 8.3857151333492e-05 8.34598735484243e-05 -8.92060985371621e-06 -2.28159529479004e-05 -1.31130536794911e-05 -1.64831491881102e-06
"Immunityboost_184-244" 0.000155215444628579 0.000166325282985645 0.000139803521003324 0.000135534616132207 7.40057620507235e-05 8.05275438166109e-05 0.000128027875546221 0.000575664366046351 0.000254933140729397 0.000194278223527972 0.000149199969625866 0.000136515092658484 0.000134083936196382 7.52516898437471e-05 8.51806726825583e-05 9.31686318796237e-05 9.54961050934537e-05 0.000108668169299786 0.000164505704345134 0.000259016888783102 0.000228999592534889 0.000194803608447264 0.000107860953338093 0.000111388716216764 0.000204955725183448 0.000272843723434448 0.000231040213871359 0.000177822393486522 0.000143314647694784 0.000136394609530878 0.000134235741781633 8.80224685982197e-05 8.8346899222838e-05 0.000125930933819829 0.000176418078516821 0.000198863222009768 0.000198410138840594 0.00020277796683646 0.000183801581236521 0.000176310600973784 0.000103990413988683 0.000197695245284655 0.000257219687035007 0.000201620242505856 0.000110762740445851 9.58576590054649e-05 0.00011491225124264 0.000188489079412795 0.000167669825504764 0.000140048383912779 0.0001355201114317 0.000217226166229038 0.000168941370120987 0.000140229464029153 0.000135383880203967 -1.34909338944434e-06 -6.17167497860295e-06 9.42500929097013e-06 3.41704742405077e-07
"Immunityboost_245-305" 0.000176671170625449 0.000222527999740832 0.000169156553579198 0.000159626153117943 6.51755983039701e-05 7.05812938174459e-05 9.89668399937155e-05 0.000254933140729397 0.000452265603981394 0.000274590716408839 0.000188020083462285 0.000161954151094435 0.000159803949000033 6.65726928266054e-05 7.28444576367296e-05 7.69425442342902e-05 8.3074729641546e-05 0.000104303850120446 0.000144276322218494 0.000251579012823504 0.000283065867717023 0.000255145209987159 0.00011192103552735 0.000104093583852179 0.000184017639931604 0.000272230805120828 0.000293569124270321 0.000242489443035779 0.000175065238390934 0.000161165025571426 0.00015950157603163 8.17230279629022e-05 7.69079574782282e-05 0.000105911379150803 0.000162299410820646 0.000217931972884094 0.000232875670906569 0.000230922157848791 0.000227942189013026 0.000220975837566313 9.05190554960367e-05 0.0001705436751513 0.000272003852622495 0.000237667939630857 0.000125504696748827 9.28312581038038e-05 9.89980637403905e-05 0.000171241316001642 0.000225515257613619 0.000170059271530168 0.000160152836830077 0.000296724495844541 0.000228823941146001 0.000171018453980433 0.000160869295769688 -5.30684138183746e-06 -1.40046499528741e-05 -1.24426815916889e-06 -4.46341505918251e-08
"Immunityboost_306-366" 0.000204899023590727 0.00035359382015568 0.000233293707834698 0.00020688432114838 6.04611825779903e-05 6.72268489341734e-05 9.04437911746533e-05 0.000194278223527972 0.000274590716408839 0.000625931984789402 0.00028312782882921 0.000213062977688267 0.000208226445438623 6.2679376116592e-05 6.77084716794692e-05 6.90540485071851e-05 7.37176963907835e-05 9.89306296301626e-05 0.000139683503769046 0.000220335700662303 0.000293665664800823 0.000320219320978958 0.000115445556584324 0.000109365894366127 0.000171693666697111 0.00024317738654169 0.00029858182106068 0.000330302586383729 0.000248189336517222 0.000210849877449861 0.000207310226109948 7.82228628431876e-05 7.28326799826217e-05 9.38066837639756e-05 0.00014257377788614 0.000206252375291347 0.000262601915535132 0.000260260415116371 0.000267801026113518 0.000284315620460556 8.72990471531658e-05 0.00014722353864955 0.00025050026234322 0.00024468745888253 0.000144877864304083 0.000104164555442089 9.74180738102564e-05 0.000145125852798957 0.000358858241013748 0.0002357560586088 0.000208159793420769 0.000321807569884744 0.000340956836295633 0.000239009688875355 0.00021071214956987 -1.07040580145067e-05 -2.48232595361769e-05 -1.54941084729244e-05 -2.43928607203862e-07
