"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 7.85279082197019e-05 3.54468398956597e-06 3.52202120246648e-06 4.11994480710379e-06 5.36472145976314e-06 5.71785147238335e-06 5.90586947576201e-06 6.28669180116309e-06 3.73061346481993e-06 3.78753787276828e-06 3.77238385796458e-06 3.67316835154703e-06 3.9934366259944e-06 4.82606636634269e-06 5.56917659834439e-06 5.7889726175088e-06 5.76895878070761e-06 3.60921960765536e-06 3.70039448621062e-06 4.83304620118889e-06 5.56929983451931e-06 5.81140338411595e-06 5.97036490687039e-06 3.64936415373127e-06 3.65119051809997e-06 3.89019795643517e-06 4.08682992549801e-06 4.55449848969093e-06 4.9790338773442e-06 5.58319753422646e-06 5.79884992629511e-06 5.80394004636545e-06 3.69940458097053e-06 4.29466780140812e-06 5.42508592439315e-06 4.76894276144904e-06 3.77271011610541e-06 3.71190066754261e-06 3.83128496866441e-06 4.31803063950661e-06 5.75101734630399e-06 5.96625732847044e-06 -1.9783635994579e-07 -2.05751307799808e-07 -2.16796661816507e-07 -2.16154383459821e-07 -1.73053970690782e-07 -2.5156742680183e-09 -2.75709193671766e-06 -3.55886174621105e-07 -2.16650072751375e-07 -1.13161600270164e-07 -3.95741540319446e-08 6.54360996966603e-08 1.24363749106925e-07 1.48303328904232e-07 1.85692601975132e-07 2.39160860123651e-07 2.02443858875527e-07 1.71573159302004e-07 3.40821009013964e-07 1.60639304861005e-07
"Immunityboost_001-061" 3.54468398956597e-06 1.22137953694519e-05 4.091224293129e-06 3.25002473272261e-06 2.75827809000431e-06 2.83713276611547e-06 2.73479117953349e-06 2.59195724171029e-06 4.04469256100682e-06 3.80253927002959e-06 3.93474794019129e-06 4.01526436745342e-06 3.4800450129456e-06 2.87428984039179e-06 2.55849473526327e-06 2.72258584603222e-06 2.53151376064882e-06 4.17516168660122e-06 3.75942719821043e-06 2.86685364027132e-06 2.64981113025805e-06 2.74113332742342e-06 2.67646044693961e-06 3.92746947353266e-06 3.85604143101578e-06 3.72027451118205e-06 3.60472096771794e-06 3.13910051414689e-06 2.81803482409773e-06 2.52389497679646e-06 2.63005489857235e-06 2.49624972459006e-06 3.80768637790088e-06 2.98313441762934e-06 2.50555886552189e-06 3.1969563023303e-06 4.01326002766945e-06 3.86159982818923e-06 3.85684167304795e-06 3.25325441044042e-06 2.90587528253398e-06 2.91893239141285e-06 -1.63678759879872e-07 -1.76710156865892e-07 -1.36463280869358e-07 -6.15219861093504e-08 4.15016392616285e-08 2.53210356801961e-07 -3.30098794691427e-07 4.88947806939767e-07 7.73704753772733e-07 6.40215615837205e-07 3.89087835940846e-07 -2.35415284003415e-07 -3.3109488424996e-07 -4.3490690612079e-07 -6.13043119262513e-07 -8.75298085514023e-07 -6.06939856162909e-07 -3.36853300574781e-07 2.78763061979989e-07 -3.16000802706249e-08
"Immunityboost_062-122" 3.52202120246648e-06 4.091224293129e-06 1.35865786793993e-05 5.33081164988644e-06 3.76896066081007e-06 4.22686429513197e-06 4.48203792938648e-06 3.45098942770031e-06 3.31837109899185e-06 3.8797180960798e-06 3.12346312312947e-06 3.90923855347666e-06 4.69697674793285e-06 3.5802698767994e-06 3.3085313824295e-06 3.78382443167434e-06 3.80693152203353e-06 4.15068405283531e-06 5.08634641682602e-06 4.0668312696823e-06 3.43994750360121e-06 3.7674383374635e-06 3.86059838383573e-06 3.67194098443063e-06 4.13648971738922e-06 3.53445606294955e-06 3.72477296641245e-06 4.00450928674754e-06 3.4169089477026e-06 3.20772556844822e-06 3.43158407421141e-06 3.32079768915393e-06 3.8432109880611e-06 4.09465345933235e-06 3.06558880649505e-06 3.08276136372363e-06 3.50131627564159e-06 3.92494356371342e-06 3.74808855931775e-06 4.06414021527678e-06 4.68288351694127e-06 4.69827747846478e-06 -2.14262221104295e-07 -3.10991004315152e-07 -3.23143709006049e-07 -2.69875809507725e-07 -1.61268909171336e-07 1.01250989909739e-07 -5.62517022919558e-07 6.22869525772694e-07 7.98641846035456e-07 6.77104101149857e-07 4.04869538225196e-07 -3.21481695909705e-07 -4.86946366680136e-07 -7.61325425116499e-07 -1.36201023693156e-06 -1.84173294291112e-06 -2.45102428997315e-06 -2.70901859240093e-06 -2.19088282535476e-06 1.15796202984526e-07
"Immunityboost_123-183" 4.11994480710379e-06 3.25002473272261e-06 5.33081164988644e-06 3.24658271072754e-05 8.09650907878989e-06 7.515408501618e-06 7.6249479095578e-06 6.51194984132036e-06 2.54979010542571e-06 3.3842924626004e-06 2.57837953720476e-06 3.44795044471955e-06 5.89765385716262e-06 7.1143635367391e-06 6.69069803111853e-06 7.14947441905719e-06 7.50816804650438e-06 3.55429915790331e-06 5.71913963282859e-06 8.45881891423677e-06 7.24358716747744e-06 6.95175789467348e-06 6.89898955787204e-06 3.03626779315871e-06 3.99660276496848e-06 3.99812229478818e-06 4.30914694310606e-06 5.99048958655295e-06 6.77561276123773e-06 6.57942959515427e-06 6.86926292958771e-06 6.86072274714263e-06 3.61585244780825e-06 6.49716372019753e-06 6.86611330477682e-06 4.64139727716796e-06 2.91098306751238e-06 3.52655904231714e-06 3.68036493371608e-06 5.37396953668573e-06 7.78373975363074e-06 7.59396666406791e-06 -2.18550937707231e-07 -3.16279203729139e-07 -3.47523483614949e-07 -3.21299918938391e-07 -2.43937424334069e-07 -2.27133102955014e-08 -5.91767114084574e-07 6.17377786035401e-07 7.87776999971695e-07 6.99636762610426e-07 4.19314824314083e-07 -2.77945598110631e-07 -4.33193646855812e-07 -6.14498025336891e-07 -9.59802375375823e-07 -1.2070466212432e-06 -2.28398107118373e-06 -3.04243300849843e-06 -3.02363487444445e-06 2.19119057519975e-07
"Immunityboost_184-244" 5.36472145976314e-06 2.75827809000431e-06 3.76896066081007e-06 8.09650907878989e-06 3.68890598919858e-05 1.61529761891925e-05 1.54482660329903e-05 1.43407603977865e-05 2.0772735972811e-06 2.40960724018175e-06 2.12896950716445e-06 3.01823867952333e-06 5.45197331050475e-06 1.12422515223388e-05 1.49507008295649e-05 1.52162639441229e-05 1.58523966748093e-05 3.02241858821905e-06 4.39313844185674e-06 1.24079673132108e-05 1.61071280452827e-05 1.56100761612713e-05 1.50165907408615e-05 2.37662565014754e-06 2.94695779545728e-06 4.20648354292193e-06 5.69711764900967e-06 8.68225139810994e-06 1.1918246944733e-05 1.47755208686298e-05 1.50447052982074e-05 1.55600100654436e-05 2.67713528526486e-06 7.367424176843e-06 1.37857883648738e-05 9.27460376763737e-06 2.81849319283963e-06 2.57743342894e-06 3.09266803298448e-06 6.57376586997909e-06 1.63409175349032e-05 1.46583060778242e-05 -2.0857030204353e-07 -2.73854891004807e-07 -2.63264007954892e-07 -2.0707135148892e-07 -9.53894778580253e-08 1.41766708140533e-07 -3.63080887418686e-07 8.16233563365668e-07 9.76127930648322e-07 8.22970023486981e-07 4.99141670410057e-07 -3.69227424983983e-07 -5.5742244551611e-07 -7.65218557066337e-07 -1.12512041300467e-06 -1.46897639326479e-06 -1.66844267833615e-06 -1.70708252916501e-06 -1.31222530253734e-06 1.06690859757364e-07
"Immunityboost_245-305" 5.71785147238335e-06 2.83713276611547e-06 4.22686429513197e-06 7.515408501618e-06 1.61529761891925e-05 4.81245436862714e-05 2.50149727931719e-05 2.36443789515308e-05 1.86705006725362e-06 2.17885273876827e-06 1.82067832169598e-06 2.82309936733067e-06 5.859829458041e-06 1.01395732438865e-05 1.7674675120003e-05 2.18067257859118e-05 2.04600030705492e-05 3.03956232310819e-06 4.43744149698669e-06 1.13713086050031e-05 1.79489664223841e-05 2.21306718179663e-05 2.42091805438753e-05 2.15612362133231e-06 2.73371595141433e-06 3.67998727560117e-06 5.89111678344357e-06 9.97021752288866e-06 1.20220375132154e-05 1.78753138640454e-05 2.09619559729339e-05 1.99401711789051e-05 2.3805526992106e-06 6.38518603471837e-06 1.50975589603352e-05 1.05544551535311e-05 2.99776774754798e-06 2.39089282576615e-06 2.75230390305231e-06 6.27149970845005e-06 2.36598216516039e-05 2.70259128019102e-05 -2.49630492377621e-07 -3.81286887384131e-07 -4.01927804232829e-07 -3.38277460060714e-07 -2.01883816061346e-07 9.23164250385674e-08 -5.42963972047454e-07 9.81444956276584e-07 1.02512911860495e-06 8.64299123362576e-07 5.17509319311555e-07 -4.79270752943935e-07 -7.42564530284869e-07 -1.13646463784087e-06 -1.89881976299955e-06 -2.43514642007858e-06 -3.29281599988335e-06 -3.73037616626476e-06 -3.39149340667848e-06 2.12340175263405e-07
"Immunityboost_306-366" 5.90586947576201e-06 2.73479117953349e-06 4.48203792938648e-06 7.6249479095578e-06 1.54482660329903e-05 2.50149727931719e-05 0.00023266603450127 3.02510842910764e-05 1.74272280914877e-06 2.06110218857311e-06 1.6635544655611e-06 2.66276412104126e-06 6.09258253313905e-06 9.68342220145802e-06 1.85899103354289e-05 2.58345941950014e-05 2.30742952235381e-05 2.96516525221401e-06 4.4699513489493e-06 1.09248571689687e-05 1.82825266317864e-05 2.56884856454106e-05 3.01875201416094e-05 2.04694396809826e-06 2.62982969144291e-06 3.42169359618413e-06 5.88349611659006e-06 1.05529050764881e-05 1.21172786101373e-05 1.91191647228019e-05 2.45521954950393e-05 2.21492956093675e-05 2.26543673509446e-06 5.96822599108025e-06 1.5573654072818e-05 1.09327884938178e-05 3.10994756720301e-06 2.30577172403804e-06 2.61416157256511e-06 6.02997380134362e-06 2.74554054168096e-05 3.62237915485451e-05 -2.69408394064128e-07 -4.38039255401461e-07 -4.93576735911833e-07 -4.39287129970994e-07 -3.40757562556285e-07 -7.10148004824496e-08 -7.5349695667427e-07 1.06486217467923e-06 1.01932488262211e-06 8.97311875975363e-07 5.24375183762677e-07 -4.30004118080623e-07 -7.00486410211525e-07 -1.02090542147289e-06 -1.37982975202397e-06 -1.45924758553584e-06 -3.84496619174534e-06 -5.75504846962382e-06 -6.34273078300789e-06 4.63415360442996e-07
"Immunityboost_367-427" 6.28669180116309e-06 2.59195724171029e-06 3.45098942770031e-06 6.51194984132036e-06 1.43407603977865e-05 2.36443789515308e-05 3.02510842910764e-05 1.00006913034481 2.22040522601901e-06 2.64124456046045e-06 2.14895398854789e-06 2.84448951392703e-06 5.81576248314858e-06 9.64377937789439e-06 1.76262066046517e-05 2.65847479841422e-05 2.1529560752948e-05 2.97864437632002e-06 4.11019235329889e-06 1.05038148103029e-05 1.72085325486884e-05 2.59563844504979e-05 3.0609797581183e-05 2.31778616861566e-06 2.75604538188485e-06 3.62792684169904e-06 5.86381853423466e-06 1.05624068667682e-05 1.23678548306834e-05 1.83173130214501e-05 2.551625996347e-05 2.13286339873954e-05 2.60207089908518e-06 6.18286464626594e-06 1.51177390034638e-05 1.1028505971219e-05 3.56270450667189e-06 2.69496535833075e-06 3.10449051241909e-06 6.40322085652493e-06 2.5350242715865e-05 6.6202881464513e-05 -3.95897237357978e-07 -4.37938651764299e-07 -5.21383488041427e-07 -5.90763567716233e-07 -7.58624968466044e-07 -1.40451733059628e-06 -7.01853774083211e-06 1.05429622495294e-06 1.45862578762755e-07 2.20645111646537e-07 -7.45209531907679e-08 -6.01727326007561e-07 -7.2752691676324e-07 -1.3154592204016e-06 -1.09148469611055e-06 -8.86535723851083e-07 -1.14120436491477e-06 -1.61755911123733e-06 -1.09952044966349e-06 2.5809144441618e-07
"Immunityfull_001-061" 3.73061346481993e-06 4.04469256100682e-06 3.31837109899185e-06 2.54979010542571e-06 2.0772735972811e-06 1.86705006725362e-06 1.74272280914877e-06 2.22040522601901e-06 4.74572516372655e-05 4.02270050228547e-06 4.43292488441622e-06 3.91223290069498e-06 3.14349651648422e-06 2.77518686801001e-06 2.24212218438175e-06 1.97980800166562e-06 1.97958862229431e-06 3.84680339456184e-06 3.18390176655882e-06 2.35631522244754e-06 2.09081268718057e-06 1.95039740543932e-06 1.88577286169361e-06 4.02662715355819e-06 3.73346822045912e-06 3.8474713885712e-06 3.49227123058031e-06 2.84815057061682e-06 2.64240742861225e-06 2.233936616749e-06 2.05728867289158e-06 2.08696942621148e-06 3.87672214316675e-06 2.96495072906393e-06 2.45354471998026e-06 3.25058116619396e-06 4.11440841486882e-06 3.9271353435678e-06 3.97725981398287e-06 3.24062391024399e-06 1.75158393991641e-06 1.72855576369109e-06 -7.02586428330335e-08 -4.31255891559744e-08 -7.17794654824871e-09 4.55335100018319e-08 9.06727186695509e-08 2.66134920157874e-07 -1.73492553820627e-06 -7.03600451090378e-07 -3.76903013347807e-07 -2.85887863726171e-07 -1.23388980037446e-07 4.6516739612202e-08 1.15657194795072e-07 1.72902418282051e-07 1.90869467412213e-07 1.84614499429453e-07 3.18557317851732e-07 3.94342315657128e-07 7.20050204510195e-07 -6.2689696263381e-08
"Immunityfull_062-122" 3.78753787276828e-06 3.80253927002959e-06 3.8797180960798e-06 3.3842924626004e-06 2.40960724018175e-06 2.17885273876827e-06 2.06110218857311e-06 2.64124456046045e-06 4.02270050228547e-06 3.91138945599907e-05 3.99919165878124e-06 3.95029515861443e-06 3.78427360764032e-06 3.11946185571812e-06 2.58521299169131e-06 2.30122393987802e-06 2.30938662853892e-06 3.88715326908456e-06 3.87488980914306e-06 2.89576498776457e-06 2.39812698710903e-06 2.25153139855702e-06 2.18750949919756e-06 4.0224635458284e-06 3.98824993858856e-06 3.75387043839978e-06 3.64812819582815e-06 3.3246997308039e-06 2.95721740510597e-06 2.56326714874325e-06 2.36704969581068e-06 2.38295050913806e-06 4.04477280118337e-06 3.67389952644899e-06 2.76551755494558e-06 3.15482133205416e-06 3.89592356933583e-06 4.08681303406087e-06 4.01325400039795e-06 3.87379870152255e-06 2.06411143754978e-06 2.03581964839752e-06 -7.30681760875664e-08 -4.53224356335994e-08 -2.15581324855169e-09 4.1125187755314e-08 9.69156795994797e-08 2.57822204725248e-07 -2.98983181059522e-06 -6.94722362223714e-07 -2.50699864110443e-07 -1.55097585765705e-07 -6.1739620647264e-08 1.17954086357477e-08 9.35944665009165e-08 1.55740327221719e-07 1.98181576714635e-07 2.04019122856576e-07 2.69856003580339e-07 3.20646732176186e-07 6.53775200279242e-07 -7.0096752020417e-08
