day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,2,0.00166945,0.00117949,161,6.36396
224,0,0,0,,,
231,1,0.000646412,0.000646203,176,0
238,3,0.00144858,0.00083573,167.667,8.05996
245,7,0.00177305,0.000669555,145.857,6.28061
252,20,0.00273448,0.000610612,161,3.68035
259,32,0.00286046,0.000504939,164.656,2.83174
266,43,0.00368624,0.000561109,156.14,2.6427
273,83,0.00434487,0.000475874,149.627,2.43181
280,171,0.0049237,0.000375596,148.643,1.68777
287,364,0.00637713,0.000333185,145.775,1.31918
294,548,0.006859,0.000291995,141.998,1.19374
301,527,0.00751783,0.000326249,139.674,1.23955
308,434,0.0073374,0.000350912,133.097,1.51145
315,326,0.00934124,0.000514941,125.948,1.79584
322,273,0.00959747,0.000578071,121.769,2.06655
329,252,0.0113549,0.000711221,116.238,2.3073
336,308,0.0127573,0.000722264,112.127,2.24457
343,454,0.0144347,0.000672547,109.72,1.86881
350,705,0.0155256,0.000580169,103.522,1.57691
357,921,0.019096,0.000623198,96.6178,1.43303
364,1300,0.0194526,0.000534246,92.8215,1.23971
371,1377,0.0200346,0.000534465,85.4336,1.1837
378,1003,0.0221061,0.000690253,81.659,1.36029
385,1003,0.0251985,0.000785565,75.5184,1.35589
392,997,0.0249574,0.000780485,74.9097,1.38639
399,1151,0.02689,0.000781869,73.5413,1.26117
406,1325,0.0283677,0.000768188,71.4392,1.16568
413,1715,0.0292248,0.000695311,67.3516,0.993026
420,2069,0.030036,0.000650339,68.0527,0.951462
427,2056,0.0305162,0.000662658,66.2661,0.888657
434,1971,0.0316033,0.000700511,65.6885,0.942102
441,1676,0.0343147,0.000823685,64.9672,1.03591
448,1326,0.0353468,0.000953376,61.3039,1.13718
455,852,0.0365634,0.00122953,60.9296,1.47537
462,851,0.0357804,0.00120439,58.9988,1.46805
469,571,0.0362609,0.0014897,63.8039,1.8923
476,462,0.0361927,0.00165309,60.4329,1.98091
483,380,0.0364404,0.00183497,59.2289,2.26221
490,244,0.0330579,0.00208104,63.4303,2.97497
497,141,0.027368,0.00227304,59.234,3.64394
504,90,0.0309491,0.00321144,50.8667,4.03014
511,44,0.0215159,0.00320856,53.5682,6.41927
518,28,0.0198582,0.00371539,59.4286,8.84669
525,12,0.0155039,0.00444075,87.4167,14.16
532,11,0.0197487,0.00589535,72.9091,17.9206
539,8,0.0162272,0.00569044,46.375,15.054
546,10,0.0160256,0.00502698,77.9,16.149
553,21,0.0180879,0.00391123,63.0476,8.78426
560,16,0.0161943,0.00401567,72.625,10.023
567,17,0.0192525,0.00462426,59.1765,9.55452
574,10,0.0135501,0.0042558,110.3,17.0921
581,20,0.0258732,0.00571009,86.85,9.19872
588,22,0.0263789,0.00554933,65.4091,9.9608
595,18,0.0217918,0.0050801,45.6667,8.91455
602,16,0.0183486,0.00454488,51.25,7.53144
609,37,0.0277569,0.00449944,62.1622,7.30255
616,30,0.0195695,0.00353775,59.4,8.18666
623,42,0.0218295,0.0033314,77.1667,7.04544
630,43,0.01959,0.00295804,57.7674,5.65713
637,82,0.0237475,0.00259114,55.8902,4.66597
644,102,0.0232717,0.00227728,65.6373,4.62975
651,200,0.0256082,0.00178744,62.165,3.02035
658,367,0.0222222,0.00114703,60.4578,2.20704
665,654,0.0238791,0.00092253,60.8226,1.63386
672,976,0.0237319,0.000750573,59.9211,1.37954
679,1250,0.0221623,0.00061986,59.6784,1.22133
686,1645,0.0224038,0.000546159,59.2894,1.058
693,1786,0.0210854,0.000493645,57.8561,1.01578
700,1531,0.0207621,0.000525084,59.5369,1.10641
707,1240,0.0217773,0.000611663,58.2411,1.19575
714,932,0.0225126,0.000729077,52.0901,1.37887
721,656,0.0239582,0.000924138,54.3918,1.66207
728,631,0.0198728,0.000783222,52.7702,1.59571
735,530,0.0155052,0.000668263,55.6736,1.86244
742,747,0.0111071,0.000404126,51.079,1.62921
749,1294,0.0101151,0.000279765,48.4552,1.20223
756,2021,0.00950437,0.00021041,47.2528,0.966173
763,1826,0.0102039,0.000237567,47.7875,0.995682
770,1446,0.0115092,0.000300916,45.323,1.08493
777,1056,0.0128444,0.000392712,43.8958,1.28458
784,820,0.0138724,0.000481075,45.5866,1.48949
791,662,0.0125791,0.000485816,46.3459,1.61869
798,775,0.0142589,0.00050853,44.1135,1.45473
805,783,0.0144079,0.000511175,43.7522,1.51569
812,717,0.0149434,0.000553887,42.7741,1.59841
819,550,0.014082,0.000596215,48.28,1.86348
826,430,0.015232,0.000728938,48.2977,2.15211
833,235,0.0154697,0.0010013,44.7277,2.73398
840,250,0.0172046,0.00107871,39.44,2.53552
