"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.000764044257558507 2.73625529413751e-05 2.56296575000962e-05 2.55394097723676e-05 2.71916762397571e-05 2.84676350073215e-05 2.99252283029815e-05 2.99227531755733e-05 3.08783492854889e-05 2.82315385422836e-05 2.69294845433378e-05 2.75742660724776e-05 2.69644352988486e-05 2.84939723538834e-05 3.00231098124029e-05 2.74516204248594e-05 2.62450185318878e-05 2.66193885499111e-05 2.79417283824977e-05 2.88712204101855e-05 2.96688695988594e-05 2.85867028950687e-05 2.96682390293205e-05 2.82326671096067e-05 2.73749222881075e-05 2.79586780097263e-05 2.74826378830175e-05 2.91439229989842e-05 2.75408236209407e-05 2.72133064862504e-05 2.88001807928916e-05 2.73365021769199e-05 2.68732704913107e-05 2.62296385437194e-05 2.68306482030051e-05 2.67025110742591e-05 1.5764528047552e-05 -8.36692224050128e-06 -8.58505523186077e-06 -8.31743374688941e-06 -3.36228576997324e-06 -2.93057265783085e-06 -1.81665309309647e-06 -1.26467527442084e-06 -6.91048326240207e-08 9.03519353303415e-07 2.42374902947635e-06 2.6530616470803e-06 1.94796448249098e-06 1.51984833597825e-07 2.44279284611656e-06 4.66915263538033e-07
"Immunityboost_001-061" 2.73625529413751e-05 0.000112061742217447 3.60051637246426e-05 3.31509458986294e-05 3.2452842700446e-05 3.06398175561754e-05 2.93215477079941e-05 2.91706979323332e-05 2.94780612986389e-05 3.30861995163037e-05 3.22023283146045e-05 3.25580669340721e-05 3.06531440499505e-05 2.78130928132816e-05 2.73916567041321e-05 3.50500246733608e-05 3.38691817603644e-05 3.15699265850201e-05 3.12217204574489e-05 3.00626460733637e-05 3.0656054933716e-05 3.13235601835925e-05 3.07999887751904e-05 3.26560415081867e-05 3.17000857728783e-05 3.212539234989e-05 3.00702255228873e-05 2.75966049038167e-05 2.49288931783904e-05 2.23491959325399e-05 2.348508571181e-05 2.74108701735173e-05 2.79355892823841e-05 2.64227556276746e-05 2.74747740614976e-05 2.60603877978346e-05 2.85995644325265e-05 1.44777573497903e-05 7.71359193669729e-06 2.9833684210124e-06 7.14315144877784e-06 4.69284981123555e-06 2.27062076282029e-06 -5.79183205561639e-06 -6.58706343626414e-06 -6.76860392015265e-06 -7.00710568867339e-06 -1.06643351995554e-05 -9.40258386449534e-06 -9.41382368463263e-06 -1.93990960661323e-06 -1.29252647011646e-07
"Immunityboost_062-122" 2.56296575000962e-05 3.60051637246426e-05 0.000130359177200756 6.01499613726318e-05 5.91804923852294e-05 5.01438645734957e-05 2.43429647879713e-05 2.95853091445749e-05 2.36622785991755e-05 3.3744967523158e-05 4.53203316662927e-05 4.2545622447387e-05 4.69744990472296e-05 4.83746919348178e-05 4.13555902228911e-05 3.60548342151997e-05 4.72231550007102e-05 5.22832583089875e-05 5.18070813872478e-05 4.70430817705127e-05 2.8863150805418e-05 3.45869775965605e-05 2.87320352465627e-05 3.37257239889053e-05 4.13815788281663e-05 3.90369483372742e-05 4.52303995316148e-05 4.54461740607476e-05 2.53902326177256e-05 3.44404266624745e-05 2.95964025065393e-05 2.17336637936356e-05 2.41192104071424e-05 2.75676637139938e-05 2.70055790432226e-05 3.3163622369559e-05 2.72587450963936e-05 1.5081001890806e-05 9.64814579475971e-06 5.11684358585406e-06 7.73080556211332e-06 5.59753520490265e-06 2.90576299463429e-06 -6.61851488257459e-06 -8.44721527152158e-06 -1.10225494904682e-05 -1.57824145625947e-05 -2.2602244335076e-05 -3.2328124135254e-05 -4.26418646731478e-05 -3.50815594716085e-05 1.40690188297653e-06
"Immunityboost_123-183" 2.55394097723676e-05 3.31509458986294e-05 6.01499613726318e-05 0.000390248905664985 0.000165446174824595 0.000163538061051049 2.01495132461651e-05 2.8991535933955e-05 2.03731818491647e-05 3.28541090774416e-05 6.23594699817002e-05 6.78628329846647e-05 7.15857062641497e-05 0.000135997342192224 0.000151646551932633 3.45639120509935e-05 5.95136081981084e-05 0.000103321501072329 0.000156566346056493 0.000158841447847785 2.61493112559468e-05 3.80469740741921e-05 3.02356314197532e-05 3.46593466364556e-05 5.67522866228923e-05 6.03483656174215e-05 7.28561079268395e-05 0.000135517445820592 2.62059515960456e-05 5.41252345094668e-05 6.80695672328866e-05 1.84313618647986e-05 2.02464831227165e-05 2.80088217162399e-05 2.82804058892121e-05 4.08187169015408e-05 2.75943333627461e-05 1.64614508100406e-05 1.14508758025538e-05 6.62524610272323e-06 8.12283775423724e-06 6.27561858326289e-06 3.26258785178756e-06 -6.51133013728244e-06 -8.62402577413205e-06 -1.16622231487177e-05 -1.53747054053548e-05 -2.04270815109309e-05 -3.90018269255172e-05 -6.03606743490137e-05 -5.96317568262084e-05 2.97235767467347e-06
"Immunityboost_184-244" 2.71916762397571e-05 3.2452842700446e-05 5.91804923852294e-05 0.000165446174824595 0.00316220545950582 0.00078553336234104 1.74354586070755e-05 2.41839515692457e-05 1.90554832994038e-05 3.02711819704784e-05 7.17716880797231e-05 0.000147020198536884 0.000116439964962418 0.00038330027527686 0.000783218862151021 3.21961304865518e-05 6.09464165727398e-05 0.000226447978376834 0.000602768634430344 0.000783462139881595 2.19064425684673e-05 3.58332250802651e-05 3.62567677141445e-05 3.58611811615765e-05 6.86478059344635e-05 0.00012776643961545 0.000126601999682162 0.000420303818298853 2.33758302871158e-05 7.19265601378183e-05 0.000200983404990834 1.99669133838114e-05 1.75505916316772e-05 2.39464240805109e-05 3.03831434766487e-05 4.5264795007087e-05 2.6880597214189e-05 1.74041315349359e-05 1.31800616630385e-05 7.79699008707992e-06 8.08281453320497e-06 6.61590130268613e-06 3.40262206668961e-06 -6.56742171748086e-06 -9.34793903454895e-06 -1.42998297173551e-05 -2.2315425125636e-05 -3.02060385522547e-05 -5.09062163120339e-05 -7.3493032993356e-05 -7.37832475878449e-05 4.23171867074469e-06
"Immunityboost_245-305" 2.84676350073215e-05 3.06398175561754e-05 5.01438645734957e-05 0.000163538061051049 0.00078553336234104 0.112326916372203 1.81044330417548e-05 2.4101850559562e-05 1.98754606639579e-05 3.08690252356069e-05 6.62705476862673e-05 0.000176590829318349 0.000133154661581274 0.000464118735714695 0.00123262591947401 3.19075596874947e-05 5.52921920967214e-05 0.000258699767808305 0.000823778385299735 0.00122632811944875 2.29673724986726e-05 3.43023842909737e-05 3.91254557112671e-05 3.87079122525768e-05 6.75223594687953e-05 0.000155799283330539 0.000146766929338744 0.000527851754540341 2.27071684677952e-05 7.57734533332062e-05 0.000249366650421304 2.27063522652943e-05 1.85441065288551e-05 2.37136823727127e-05 3.1442074644813e-05 4.79233218879056e-05 2.96464794522092e-05 2.01892404796941e-05 1.61977600239094e-05 1.03130476754703e-05 9.23706087686427e-06 7.22234735169295e-06 3.35660992243105e-06 -7.14307298366375e-06 -9.56504678507136e-06 -1.29076893978871e-05 -1.1923854925791e-05 -1.26516409990321e-05 -2.18620692126994e-05 -3.86566780332706e-05 -6.32988797691475e-05 6.44444574998738e-06
"Immunityfull_001-061" 2.99252283029815e-05 2.93215477079941e-05 2.43429647879713e-05 2.01495132461651e-05 1.74354586070755e-05 1.81044330417548e-05 0.000325937228771907 3.09903139907138e-05 3.38553912963246e-05 2.93677627234069e-05 2.47466711223048e-05 2.56370956843138e-05 2.32869371155183e-05 1.99992278206858e-05 1.99639652551848e-05 2.85962197462302e-05 2.42679946478391e-05 2.0738128112222e-05 1.83935690535465e-05 1.86453308574534e-05 3.12345338544583e-05 2.8774537799355e-05 3.14067371811767e-05 2.90083889891501e-05 2.55449549792712e-05 2.61962455613762e-05 2.34589709454354e-05 2.05606438475469e-05 2.7540194488643e-05 2.36910175644023e-05 2.54223217011775e-05 2.94887694834795e-05 2.8372824534171e-05 2.61929465438488e-05 2.73114988536801e-05 2.49724877982114e-05 2.0996393815317e-05 -8.88650912013033e-06 -1.13114039499876e-05 -9.96568414499029e-06 -3.90046361331224e-06 -3.74612501497568e-06 -2.5363830375988e-06 -1.68448129603198e-06 -6.12936793268874e-07 8.68273145675877e-07 2.26461747909653e-06 2.05398303301504e-06 2.50912173637109e-06 1.3147264767038e-06 4.70244167299228e-06 -6.8733862699956e-07
"Immunityfull_062-122" 2.99227531755733e-05 2.91706979323332e-05 2.95853091445749e-05 2.8991535933955e-05 2.41839515692457e-05 2.4101850559562e-05 3.09903139907138e-05 0.000292647379828081 3.21123331378212e-05 3.11389370807608e-05 3.09142461902101e-05 2.92203182423554e-05 3.1137441572689e-05 2.73327521309152e-05 2.57094555650636e-05 3.00966926614845e-05 3.05618303482713e-05 2.91305463590882e-05 2.49332877459688e-05 2.45707400358549e-05 3.22173305152119e-05 3.17594819355341e-05 3.14356395087223e-05 3.12710473865478e-05 3.11276109588265e-05 3.01255044075464e-05 3.15865378769739e-05 2.76444392299465e-05 2.87617296753551e-05 3.03159894925894e-05 2.8755270520802e-05 2.69288729303311e-05 2.72636566597778e-05 2.77046468922039e-05 2.78538140208845e-05 3.00539507708442e-05 2.44416510440041e-05 -6.07856317529749e-06 -9.76574780166551e-06 -1.05896910452496e-05 -3.39844247487822e-06 -3.02459756295292e-06 -2.24920387857414e-06 -2.27562663598094e-06 -9.99612997082012e-07 5.69081618808311e-07 2.60226653298336e-06 2.31543848091924e-06 2.1453817541458e-06 1.63819844983551e-07 3.77484918229069e-06 -8.00893272500376e-07
"Immunityfull_123-183" 3.08783492854889e-05 2.94780612986389e-05 2.36622785991755e-05 2.03731818491647e-05 1.90554832994038e-05 1.98754606639579e-05 3.38553912963246e-05 3.21123331378212e-05 0.000116353419085978 2.99402042967041e-05 2.53780968622423e-05 2.64299013386828e-05 2.35987452615152e-05 2.26009470888541e-05 2.25161682848019e-05 2.85961889609059e-05 2.41302434919168e-05 2.1639863322158e-05 2.03235122530638e-05 2.0566514384164e-05 3.22796978516701e-05 2.94880106212511e-05 3.33160506840253e-05 2.96360316741172e-05 2.63681906319827e-05 2.71168815109908e-05 2.42421853389218e-05 2.34645390337589e-05 2.74379222404064e-05 2.41768037294425e-05 2.71157439365442e-05 3.10604568721811e-05 2.87875791409033e-05 2.63789346471768e-05 2.78282692103658e-05 2.51628920369087e-05 2.40950221432868e-05 -5.13231089687512e-06 -1.8080114270766e-05 -1.4634055762846e-05 -4.87557090391518e-06 -3.64770446031759e-06 -2.56262242891387e-06 -8.42086066034934e-07 6.27721887127746e-07 2.17909126582723e-06 3.7021053088638e-06 3.62565046042529e-06 3.99860347121439e-06 2.98672443742476e-06 6.63171253876474e-06 -4.27423342973437e-07
"Immunityfull_184-244" 2.82315385422836e-05 3.30861995163037e-05 3.3744967523158e-05 3.28541090774416e-05 3.02711819704784e-05 3.08690252356069e-05 2.93677627234069e-05 3.11389370807608e-05 2.99402042967041e-05 0.00011371228706987 3.35144102384262e-05 3.23350511588862e-05 3.34012196269552e-05 3.04254840898144e-05 3.04211937487062e-05 3.37947276407365e-05 3.425746876272e-05 3.30864408681287e-05 3.09554407332265e-05 3.11126076870454e-05 3.18651482555404e-05 3.26912787153473e-05 3.12631088781258e-05 3.33715035617544e-05 3.36920104934181e-05 3.31145578501393e-05 3.36059978954874e-05 3.06430399382817e-05 2.67156716448191e-05 2.74958768939813e-05 2.67931226029437e-05 2.64809313052976e-05 2.75446608450595e-05 2.76189175987126e-05 2.80619942086027e-05 2.9429077335864e-05 2.99419448509825e-05 1.33670511344431e-05 3.41060548158313e-06 3.57962812532505e-07 5.71664023394248e-06 3.65315456302022e-06 1.6539081159878e-06 -3.44485966940424e-06 -2.77175641960613e-06 -7.67406788232094e-07 2.08347290235718e-06 2.12592483508959e-06 2.34622954202475e-06 7.71379412852985e-07 5.23078606567104e-06 -1.44784081929795e-07
