"Immunity_other" "Immunityb45_001-061" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "SexM"
"Immunity_other" 0.000290002457221179 3.23317752968472e-05 1.51539431866551e-05 1.54022581707833e-05 2.02523439639791e-05 2.44521572745496e-05 2.75089757688425e-05 3.17610473298327e-05 4.35617033572333e-05 4.75531136401831e-05 4.93837766798987e-05 1.5040414515859e-05 1.53353922090239e-05 1.55261067779216e-05 1.56078066483992e-05 1.93340604368284e-05 2.25872573481849e-05 2.68078708605731e-05 3.17750677859587e-05 3.70717832741121e-05 1.53655766528967e-05 1.66442474605985e-05 2.24668825756169e-05 2.54590109555825e-05 2.84086004327426e-05 3.42233964583849e-05 4.44597398717474e-05 4.76615153546327e-05 4.96923486546372e-05 1.53842132272343e-05 1.5449345906525e-05 1.62361124049996e-05 1.81721668894162e-05 2.29565950925075e-05 2.55280801961477e-05 3.20774259622246e-05 3.46970531955614e-05 3.74038982383217e-05 1.34487191177086e-05 1.58910763310668e-05 2.14486163551946e-05 1.95909600796591e-05 1.5122420027837e-05 1.50667354251807e-05 1.5077655447496e-05 1.6198224002087e-05 3.13916614440915e-05 4.08070817772234e-05 4.82135290648328e-05 2.67812002359001e-05 3.10981956231498e-05 4.17497475083044e-05 4.75458185666041e-05 9.89678756691964e-06 -8.73920942628192e-07 -1.94478150922167e-06 -2.51141919671242e-06 -5.84844669695341e-07 -6.02179922330416e-07 -1.72100868392421e-07 2.78008905861823e-07
"Immunityb45_001-061" 3.23317752968472e-05 0.250249131975672 1.22527706756163e-05 1.51902177326191e-05 3.10080044248798e-05 4.52491098909494e-05 0.000104439042451441 0.000227547148182912 0.000156393140738244 0.000138622754845658 0.00013252377124325 1.04047212966403e-05 1.1511339949798e-05 1.12096041191498e-05 1.38238311041919e-05 3.0728115631125e-05 5.19477661980971e-05 7.13471077019271e-05 0.000176483147601586 0.00018206890243575 1.38950129472433e-05 2.2546283607467e-05 4.37973933148642e-05 5.60850972138071e-05 0.00012613340168514 0.000219639982027518 0.000151513981595336 0.00013758970754155 0.00013197310664015 1.17654233577892e-05 1.35159825951749e-05 1.44148521687393e-05 2.29697074765043e-05 6.70445155603667e-05 9.97008868460239e-05 0.000101733894579991 0.000164213181493721 0.000173184359374861 8.70242844996079e-06 1.71732432013889e-05 3.62271995326223e-05 4.73995872635707e-05 2.71287564050113e-05 2.45688548244255e-05 1.68260540895627e-05 1.89702632616612e-05 0.000252404363108052 0.00017117331108549 0.000134865189230527 8.63637193077543e-05 0.00022998902101497 0.00017084268591255 0.000136640034512681 1.73053451441182e-05 4.7427501097749e-06 1.89004428648729e-06 -5.57510845053018e-07 -9.02631811104445e-08 -4.17722236716834e-07 -1.07269837947991e-06 9.69168199820324e-08
"Immunityboost_001-061" 1.51539431866551e-05 1.22527706756163e-05 0.000113848477517677 1.96333295661631e-05 1.51965863546463e-05 1.37142116940308e-05 1.37296412925147e-05 1.3450970101074e-05 1.34396257502782e-05 1.39586705726984e-05 1.3943251652415e-05 1.80983470253512e-05 1.87631920674594e-05 1.84523776856756e-05 1.99562292109828e-05 1.60143225284804e-05 1.37913466675262e-05 1.29551829081303e-05 1.28822097236162e-05 1.24455452590772e-05 2.08361204981577e-05 1.86741916760591e-05 1.45015443611885e-05 1.37847667426721e-05 1.37045687486819e-05 1.34881550464822e-05 1.35767763191916e-05 1.39143343432389e-05 1.38314362481545e-05 1.95008026871694e-05 1.92269689536526e-05 1.81895101850706e-05 1.7940458444677e-05 1.47439048940062e-05 1.37607540672366e-05 1.29126002915435e-05 1.30543020909801e-05 1.27727461213332e-05 1.53492743785419e-05 1.29743783237611e-05 9.97309082708844e-06 1.12463340084559e-05 1.48623054378987e-05 1.49423974810348e-05 1.5404922811348e-05 1.44306151116956e-05 1.35980913506136e-05 1.36344831651464e-05 1.37170613773775e-05 1.40630500773105e-05 1.38977011226222e-05 1.39150736113033e-05 1.39673219764043e-05 2.01135852639649e-05 1.08890264627738e-05 6.69710875667507e-06 2.45171254327188e-06 5.04285137922855e-06 2.90177715337401e-06 1.142236784767e-06 -1.3387261928359e-07
"Immunityboost_062-122" 1.54022581707833e-05 1.51902177326191e-05 1.96333295661631e-05 0.00023426635674261 2.36024898618808e-05 1.86236173006866e-05 1.79501130761563e-05 1.67800133871748e-05 1.5726988763722e-05 1.64887062767891e-05 1.66323204462436e-05 1.52302492931643e-05 1.92633437707973e-05 1.56677717746961e-05 2.22960171847746e-05 2.46611585133351e-05 1.79731917616772e-05 1.70329552689998e-05 1.62251623152255e-05 1.48420686115528e-05 2.10021035200478e-05 2.9391179036691e-05 2.15086743885524e-05 1.85474267363883e-05 1.78125492613334e-05 1.66160629454469e-05 1.59427064081087e-05 1.64699365132889e-05 1.63923684994909e-05 1.83617501784647e-05 2.31599731608331e-05 1.7691881721334e-05 2.11117458414341e-05 2.06023898597724e-05 1.77083908523309e-05 1.6466196019517e-05 1.62602670127899e-05 1.53669688427039e-05 1.60517321706752e-05 2.32865519039346e-05 1.45201041193968e-05 1.24224480725323e-05 1.31707174165834e-05 1.59705977026708e-05 1.58473501755726e-05 1.95162554494074e-05 1.70481019741067e-05 1.61587128036246e-05 1.60558919824999e-05 1.85000884006433e-05 1.74345452346362e-05 1.64760236697968e-05 1.63436153790301e-05 2.25843111035994e-05 1.40167751556026e-05 1.0548472591615e-05 5.84698342062171e-06 6.87137704567734e-06 4.68397506749622e-06 1.86450781811046e-06 9.54236521591034e-07
"Immunityboost_123-183" 2.02523439639791e-05 3.10080044248798e-05 1.51965863546463e-05 2.36024898618808e-05 0.000588101065556997 5.34635277898497e-05 3.99410585166903e-05 3.2537163365492e-05 2.63996935672447e-05 2.57428087160526e-05 2.53942007068484e-05 1.19378780184192e-05 1.48501810108259e-05 1.33271379941417e-05 1.993901521757e-05 3.74944944859959e-05 5.66727403251537e-05 4.06254358975331e-05 3.47006373241412e-05 2.99760339041572e-05 1.69560220747842e-05 2.92207369619398e-05 6.67459426502469e-05 4.90852595774557e-05 3.83258606808824e-05 3.10103877361031e-05 2.62531376171482e-05 2.57412028503835e-05 2.53084325051589e-05 1.44005388387286e-05 1.8826429156311e-05 2.19847196450279e-05 2.87671647332973e-05 3.81325779228402e-05 4.71722991147867e-05 3.6401391057373e-05 3.34360269559045e-05 3.03500677984658e-05 1.21285473802143e-05 3.78235412088108e-05 4.94370901388208e-05 2.87424553812348e-05 1.2705771334987e-05 1.27471890324804e-05 1.52228738093691e-05 2.86586044268788e-05 3.25216311301787e-05 2.71314804500298e-05 2.52166680798246e-05 4.01333188686504e-05 3.31006784209901e-05 2.71600954589925e-05 2.5580134236904e-05 2.06884271517476e-05 1.01576185498087e-05 4.81329756356276e-06 1.98403091481376e-06 4.14959269606363e-06 2.95340823020849e-06 1.12763454396326e-06 9.48853572592729e-07
"Immunityboost_184-244" 2.44521572745496e-05 4.52491098909494e-05 1.37142116940308e-05 1.86236173006866e-05 5.34635277898497e-05 0.000493743006594502 7.02637464980612e-05 5.06079090969496e-05 3.73983070518286e-05 3.65345203272975e-05 3.60388493099368e-05 1.05708909125454e-05 1.21649722693522e-05 1.18290623829546e-05 1.77430697830572e-05 4.17874318703413e-05 6.49932669191656e-05 7.70434832649683e-05 5.38625205219579e-05 4.38402075506508e-05 1.56269299067088e-05 2.50432199760243e-05 6.5178198907666e-05 8.60134607282487e-05 6.59291122340068e-05 4.65979732806836e-05 3.71545265149255e-05 3.65180516544284e-05 3.59881039416547e-05 1.25523251768203e-05 1.48293341507505e-05 1.90792988062521e-05 3.65938536102477e-05 5.44398958117516e-05 5.96565376183118e-05 6.38128951452782e-05 5.13238745010245e-05 4.52196512180439e-05 8.83150432894728e-06 2.91137791021823e-05 6.98226799189433e-05 4.75996078591497e-05 1.50873885543015e-05 1.13673984723616e-05 1.26628995457285e-05 3.01320951660423e-05 4.73503759576565e-05 3.82845152217168e-05 3.59790721131314e-05 7.81014030839227e-05 4.93068480201979e-05 3.84060928403305e-05 3.64197672137466e-05 2.16505936062152e-05 1.21313298664976e-05 6.89702371047775e-06 2.46470921476384e-06 5.10761592379815e-06 3.19356062377132e-06 1.28056103605801e-06 1.67877501942728e-07
"Immunityboost_245-305" 2.75089757688425e-05 0.000104439042451441 1.37296412925147e-05 1.79501130761563e-05 3.99410585166903e-05 7.02637464980612e-05 0.000766740434544621 9.41487313451724e-05 5.81006294157792e-05 5.43313961772508e-05 5.3308513929139e-05 1.01332799005018e-05 1.15445100648964e-05 1.11315363155401e-05 1.60711183379515e-05 4.21484553785209e-05 5.47220144834924e-05 8.98622634473002e-05 0.000106661636358706 6.75068774152918e-05 1.57555862759829e-05 2.48111220882138e-05 5.18553153963424e-05 7.9393405641698e-05 0.000118207437169064 8.46551548772228e-05 5.68587735506295e-05 5.42017486113221e-05 5.35211149770884e-05 1.21564224866047e-05 1.43886474004391e-05 1.58903221975016e-05 3.21866360697106e-05 7.37278158908849e-05 6.82224349538179e-05 8.02668954553921e-05 9.29509339801319e-05 6.9147741928795e-05 8.20224754735029e-06 2.03923463387843e-05 5.77765355113957e-05 5.4563172319156e-05 2.19290631785509e-05 1.35925423565893e-05 1.24675044754976e-05 2.34812269131553e-05 0.000109871673127571 5.87423125966773e-05 5.33652411716489e-05 0.000110069272610868 0.000109870544148656 5.93149644036383e-05 5.40381794133343e-05 2.33303365691798e-05 1.50745336422414e-05 1.07603591223825e-05 4.93557571726955e-06 6.68926430962656e-06 4.3641486941559e-06 1.74145963340283e-06 4.0414871098589e-07
"Immunityboost_306-366" 3.17610473298327e-05 0.000227547148182912 1.3450970101074e-05 1.67800133871748e-05 3.2537163365492e-05 5.06079090969496e-05 9.41487313451724e-05 0.00223567419579115 0.00015949467590109 0.000133084180783202 0.000118308907646206 1.00858497839858e-05 1.13299115483738e-05 1.10009499844533e-05 1.48103262918285e-05 3.19668422287435e-05 5.07846564455214e-05 7.57083356542355e-05 0.000157412797615285 0.0002055689061579 1.51837817432699e-05 2.39846503859922e-05 4.61905731155579e-05 6.06096021879096e-05 0.000113544579418678 0.00023671747274638 0.000151823979079753 0.000131023128775055 0.00011697865650146 1.19111303927666e-05 1.40720573739823e-05 1.4788873114436e-05 2.4934563540975e-05 6.20559039763415e-05 0.00010274280685944 0.000104901076442824 0.000151059994996576 0.000191156320743718 8.09607031556939e-06 1.74057800878858e-05 3.91038077685702e-05 4.40557390882502e-05 2.68013244441373e-05 2.50826393060641e-05 1.70567889424944e-05 1.97378416196638e-05 0.000230694339095184 0.000198074369980781 0.000121320375350898 8.31991406584361e-05 0.000221999459137495 0.00018796658407545 0.000126016218551525 2.30780920394945e-05 1.47857793100031e-05 1.02571737149598e-05 4.75786547479619e-06 6.19909096099697e-06 4.37283184412802e-06 1.76552274676551e-06 8.58105240214236e-07
"Immunityboost_367-427" 4.35617033572333e-05 0.000156393140738244 1.34396257502782e-05 1.5726988763722e-05 2.63996935672447e-05 3.73983070518286e-05 5.81006294157792e-05 0.00015949467590109 0.00362963896469427 0.000467004896859089 0.000477242050193231 1.02498250061229e-05 1.14067581119969e-05 1.11577395798447e-05 1.42271591831932e-05 2.3550286493372e-05 3.44236537189567e-05 6.4903880840397e-05 0.000144120340248884 0.0003121788138305 1.45641569548568e-05 2.13877719599756e-05 4.23729961949428e-05 4.92378886120447e-05 7.61348138518735e-05 0.000225807714276539 0.000465591000324797 0.00046953306643962 0.000471634313514225 1.18908159047197e-05 1.35423114940673e-05 1.43392630386225e-05 2.09192092842346e-05 3.76379901475138e-05 7.78105670714764e-05 0.000182785543993245 0.000215349780812069 0.000312401112996109 7.85704229668653e-06 1.58877825594981e-05 2.88517898797993e-05 2.61743035506672e-05 2.06593228281828e-05 3.77285130211446e-05 3.40154172312884e-05 2.26967462586306e-05 0.000140351948254372 0.000421018746592149 0.000489283238954298 5.04300266819442e-05 0.000139289227203241 0.000425892299698446 0.00048765355874066 2.21884918717049e-05 1.43197831460769e-05 9.35000607621371e-06 3.40098325748368e-06 5.55774471150211e-06 3.69177884561669e-06 1.53716443200664e-06 2.20924494203098e-07
"Immunityboost_428-488" 4.75531136401831e-05 0.000138622754845658 1.39586705726984e-05 1.64887062767891e-05 2.57428087160526e-05 3.65345203272975e-05 5.43313961772508e-05 0.000133084180783202 0.000467004896859089 0.0152069173904976 0.000786176231048366 9.85506167894412e-06 1.10052649627449e-05 1.06183846317288e-05 1.43956616117941e-05 2.29335413928699e-05 3.13688365297099e-05 5.98147572451739e-05 0.000149514028784227 0.000275321313764813 1.51267119618751e-05 2.14601763394033e-05 4.20449783621189e-05 4.90939006875631e-05 7.16592086661623e-05 0.000201309220493492 0.000507474104901858 0.000714563405958863 0.000806404087516153 1.16333804999183e-05 1.35822980552773e-05 1.39544498318078e-05 2.08280156863104e-05 3.51016317049723e-05 6.67612462035104e-05 0.000190256384270354 0.000245866806170136 0.000299103797489089 7.46053607102038e-06 1.52164063850202e-05 2.80154676784274e-05 2.402669599053e-05 1.83956972916299e-05 3.89089841606715e-05 3.61679583173446e-05 2.77276356998132e-05 0.00011935447423986 0.000382418024879998 0.000686046993397825 4.78141678390951e-05 0.000115083127422262 0.000419503815124846 0.00066065346273113 2.5241781492413e-05 1.90925418132213e-05 1.58271903935676e-05 8.44718989178203e-06 8.48880329485952e-06 6.19949545519152e-06 2.60490273684918e-06 1.16479818956547e-06
