"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"InfPriorinf_NA_001-061" 4.53931847017071 4.51518385025056 4.56345309009086 93.6269687984078 91.3943673552144 95.9141087142489 -92.6269687984078 -90.3943673552144 -94.9141087142489
"InfPriorinf_NA_062-122" 3.7823016534199 3.75589479069082 3.80870851614898 43.9170072270926 42.7724751053067 45.0921654413498 -42.9170072270926 -41.7724751053067 -44.0921654413498
"InfPriorinf_NA_123-183" 3.29736374916167 3.26780466896474 3.3269228293586 27.0412573347976 26.2536406005199 27.8525027965936 -26.0412573347976 -25.2536406005199 -26.8525027965936
"InfPriorinf_NA_184-244" 2.99417607612025 2.96015086028106 3.02820129195944 19.9689002562722 19.3008832725562 20.6600377720504 -18.9689002562722 -18.3008832725562 -19.6600377720504
"InfPriorinf_NA_245-305" 2.85691776238299 2.81702838989525 2.89680713487073 17.4077892201544 16.7270704135483 18.116210313067 -16.4077892201544 -15.7270704135483 -17.116210313067
"InfPriorinf_NA_306-366" 2.76179364649634 2.71830435657081 2.80528293642187 15.8282077117821 15.1546036422382 16.5317526793671 -14.8282077117821 -14.1546036422382 -15.5317526793671
"InfPriorinf_NA_367-427" 2.69591680027994 2.64810364467982 2.74372995588006 14.819098681115 14.1272229929273 15.5448587334233 -13.819098681115 -13.1272229929273 -14.5448587334233
"InfPriorinf_NA_428-488" 2.68227721270613 2.62933965609643 2.73521476931582 14.6183445013188 13.8646114669467 15.4130533314033 -13.6183445013188 -12.8646114669467 -14.4130533314033
"InfPriorinf_NA_489-549" 2.57973450093694 2.51701640894442 2.64245259292945 13.1936347969322 12.3915700773015 14.0476144724936 -12.1936347969322 -11.3915700773015 -13.0476144724936
"InfPriorinf_NA_550+" 2.458673137384 2.39639887146135 2.52094740330665 11.6892911621028 10.9835518948452 12.4403771367021 -10.6892911621028 -9.98355189484524 -11.4403771367021
"VaccStatusboost_001-061" -0.489689989497471 -0.532091191844919 -0.447288787150023 0.612816344242475 0.587375369878517 0.639359242877996 0.387183655757525 0.412624630121483 0.360640757122004
"VaccStatusboost_062-122" -0.258807144937359 -0.295928323117122 -0.221685966757596 0.771971887375319 0.743840742295222 0.801166917879433 0.228028112624681 0.256159257704778 0.198833082120567
"VaccStatusboost_123-183" -0.0847876377489783 -0.127316104165788 -0.0422591713321682 0.918707362450638 0.880455313011929 0.958621301214832 0.0812926375493624 0.119544686988071 0.0413786987851683
"VaccStatusboost_184-244" 0.0258343935427451 -0.0284929980268389 0.080161785112329 1.02617099385821 0.97190909940374 1.08346234157286 -0.0261709938582091 0.0280909005962595 -0.0834623415728584
"VaccStatusboost_245-305" 0.162146546550005 0.0942563878546957 0.230036705245315 1.17603257220959 1.09884143940354 1.25864620799945 -0.176032572209594 -0.0988414394035357 -0.258646207999446
"VaccStatusboost_306-366" 0.0708794577691248 -0.10397325787683 0.24573217341508 1.07345182179185 0.901249398421367 1.27855709610083 -0.0734518217918503 0.0987506015786331 -0.278557096100829
"VaccStatusfull_001-061" -0.310890172183839 -0.346235255631126 -0.275545088736552 0.732794352653404 0.707346060386997 0.759158201838192 0.267205647346596 0.292653939613003 0.240841798161808
"VaccStatusfull_062-122" -0.254369565402496 -0.290614581482495 -0.218124549322496 0.77540518615836 0.747803839930426 0.804025294624351 0.22459481384164 0.252196160069574 0.195974705375649
"VaccStatusfull_123-183" -0.274716223121414 -0.308020439604556 -0.241412006638272 0.759787702817963 0.734900296784101 0.785517921110584 0.240212297182037 0.265099703215899 0.214482078889416
"VaccStatusfull_184-244" -0.200711586524228 -0.233488626897008 -0.167934546151448 0.818148362542324 0.791766600532134 0.845409168157402 0.181851637457676 0.208233399467866 0.154590831842598
"VaccStatusfull_245-305" -0.133915805821596 -0.174527002203566 -0.0933046094396266 0.874663703095186 0.839854176009605 0.910915984423747 0.125336296904814 0.160145823990395 0.0890840155762531
"VaccStatusfull_306-366" -0.0598883197999098 -0.116541878632039 -0.00323476096778042 0.941869715909079 0.889992824514208 0.996770465234788 0.0581302840909206 0.110007175485792 0.00322953476521182
