"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00556308364363303 0.000273472261965353 0.000266100946381181 0.000298999446975485 0.000405693949108947 0.000431659688057883 0.000449585292628459 0.000289054167907072 0.000289364623702738 0.000297966653697336 0.000287876139189121 0.000299795895348571 0.000355883904268756 0.000422560830341304 0.000439925468653712 0.000436809258177185 0.000281278249621019 0.000281957806204723 0.00036218424540626 0.000426807749999637 0.000442165277306382 0.000455708653382265 0.000291459679044932 0.000287385441447901 0.000309546625544044 0.000325534068877813 0.000352411789657142 0.000384954497929039 0.000430283380139205 0.000446707436078807 0.00044563613503664 0.000291407521869257 0.000335407360700542 0.000421973626267595 0.000377077868826223 0.000293576320867001 0.000285207828343708 0.00029357331819957 0.000329995982496953 0.000435172356146251 0.000451804319330797 0.00015367834542188 -6.08361428956403e-05 -6.5813305132149e-05 -6.8965656602831e-05 -3.66407749117564e-05 -3.29087940603441e-05 -1.87848428134882e-05 -1.26369166804517e-05 -3.10842350321904e-06 9.60373981426462e-06 2.82577627063763e-05 3.31549751183521e-05 2.50327383904221e-05 2.38441356114083e-06 2.49850829063985e-05 9.7570252151406e-06
"Immunityboost_001-061" 0.000273472261965353 0.00106365601734443 0.000307131388070484 0.000237515197204204 0.000193564917422646 0.000189285701151405 0.000179932761743457 0.000331778313624723 0.000300571645366316 0.000324325895943403 0.000320640827935181 0.00026831650134958 0.000226066622537132 0.000186497913613607 0.000187478627917102 0.000173812066077595 0.000325284802863572 0.000282851396782788 0.000210521246756908 0.000187761645031316 0.000187362836584255 0.00018134148196092 0.000313961546797677 0.000301768733348343 0.000292256135468967 0.000279720997507199 0.000236014181179994 0.000213584438595665 0.000184205397793287 0.000184639357069499 0.000176943311130521 0.000292888384850815 0.000220253686919531 0.000179491236694934 0.000240931912176426 0.000320061007452365 0.000299622555651346 0.000300231194039085 0.000240279719760026 0.00018766451078833 0.000187852970179989 0.000225239260632276 7.86936081319306e-05 2.83644580588564e-05 4.39556440997928e-06 4.10624354151615e-05 2.56313424625376e-05 1.44282621924447e-05 -3.74864495467292e-05 -3.97578787561121e-05 -3.73851903629421e-05 -3.4130947545186e-05 -5.42971651441906e-05 -4.5846689611926e-05 -4.729000051618e-05 1.3596142362517e-05 -1.52416964219375e-06
"Immunityboost_062-122" 0.000266100946381181 0.000307131388070484 0.000890854025222187 0.000382052500842899 0.000254911979681928 0.0002754828642819 0.000293514539303435 0.000266267255082193 0.000299356526137846 0.000250463458286125 0.000292681510416199 0.000338036988730208 0.000276210771540896 0.000231494222924563 0.000252430424531366 0.000267048179050647 0.000311666426644101 0.000357410557859668 0.00028832377374686 0.00023037031946389 0.000247286602650867 0.000258221184160492 0.000284066133428318 0.000309142144165972 0.000272908940510701 0.000270722458242856 0.000282024839985307 0.000245613874290157 0.000219447324907884 0.000226605512227643 0.000228392465282005 0.000286945378738001 0.000281202127888407 0.000204526375614392 0.000218002413169276 0.000270365806247558 0.00029828678919607 0.000283635177435742 0.000286781069511394 0.000294854279092273 0.000296350252079948 0.000199854180713865 7.06735595751042e-05 3.09651834457606e-05 1.13288690622575e-05 3.84604917244159e-05 2.57887675749726e-05 1.43381649852455e-05 -3.84009435391555e-05 -4.43470577450075e-05 -5.16660158835698e-05 -7.05054618859023e-05 -0.000102679105167881 -0.000141616878169791 -0.000186614083557218 -0.000131949052116531 5.04184519420521e-06
"Immunityboost_123-183" 0.000298999446975485 0.000237515197204204 0.000382052500842899 0.00185750266210299 0.00049577581160951 0.000464254912720951 0.000481376348375865 0.000198214896778914 0.000267295888222429 0.000204115957987051 0.000249818424862346 0.000416219777658777 0.000447870690820342 0.00041877070106303 0.000441988142394596 0.000474670428047097 0.000267507897765449 0.000409604907436137 0.000530857772468543 0.000435315841673939 0.000423505415226048 0.000432243396758181 0.000233048643419365 0.000303067260741738 0.000303798269290066 0.000297301519316572 0.000400397042373941 0.00041683053600126 0.000402443824738702 0.000411623838203028 0.000419899691720564 0.000276548800714366 0.000437623840756841 0.000405323769667152 0.000294445416128658 0.000215107590768587 0.000277693267730953 0.000281681100053473 0.000374263106753227 0.000478941285203601 0.000469699483191731 0.00020321176040725 7.77834780943043e-05 3.44431308250301e-05 1.4138378050189e-05 3.86462956166898e-05 2.74649521926859e-05 1.54886775082107e-05 -3.67765892267628e-05 -4.30059166705088e-05 -4.70359446064647e-05 -5.55051111377255e-05 -7.61332931115468e-05 -0.00014238754981329 -0.000224559301489879 -0.000198282050897192 1.05915376623209e-05
"Immunityboost_184-244" 0.000405693949108947 0.000193564917422646 0.000254911979681928 0.00049577581160951 0.00234012948105646 0.00110282920938532 0.00103027758619875 0.00015457012364707 0.000179122298551065 0.000164222385278278 0.000216094536820485 0.000356618149831752 0.000716318518409937 0.00101698427846161 0.00103899091359285 0.00109207553371328 0.000219645922272619 0.000301549509523707 0.000824588384689162 0.00110642806091329 0.0010595117041531 0.0010046230033779 0.000173659212609091 0.000214518277531264 0.000328034721626727 0.000415724723377893 0.000593954885670885 0.000810219213221323 0.0010046411587141 0.00101916737604771 0.00106534355027816 0.000194358428937085 0.000525954771476605 0.000957252122333811 0.000666410735539181 0.000202528409947535 0.00018874169566669 0.000237764386244101 0.000488443270673158 0.00108825858600334 0.000981404377505528 0.000217973211704775 0.000111094299266772 6.96476609860864e-05 3.17567800355249e-05 5.27726470265527e-05 3.73423614671053e-05 2.17761780206893e-05 -4.42827137035103e-05 -5.33645771381337e-05 -5.90644723671193e-05 -6.73533153221319e-05 -9.42673767350378e-05 -0.000117599577360712 -0.000149459045297819 -0.00010297241975867 7.6342972945943e-06
"Immunityboost_245-305" 0.000431659688057883 0.000189285701151405 0.0002754828642819 0.000464254912720951 0.00110282920938532 0.00284423778114909 0.00166681156767186 0.000133152131078758 0.000153267877550508 0.000132513408368542 0.000192273081094087 0.000370296063753195 0.000658761830949309 0.00116714599837002 0.00144281126026249 0.00144215284567017 0.000211828352389162 0.000291808619203129 0.000760498384677697 0.00122740424560535 0.00146971549474566 0.00160988330659269 0.000147212434730458 0.000187303791847202 0.000280112398169318 0.000421405026273905 0.000669899646748219 0.000832083336623741 0.00118814983231647 0.00140106513026997 0.0013739517276874 0.000159754348897753 0.000450144778664532 0.0010512719701809 0.000767798783151868 0.000205920053072424 0.00016467711280262 0.00019989626726582 0.000465357220088929 0.00157862444400126 0.00172635198329062 0.00019307449969308 0.000107250754181774 7.89023126219715e-05 4.09458669411801e-05 5.1422085098241e-05 3.79025577555153e-05 2.19867302961332e-05 -4.5803701720055e-05 -5.87491342422525e-05 -7.46718973379283e-05 -0.000103097043779761 -0.000139499848268511 -0.000201890163479681 -0.000269154632030176 -0.00022862108278445 1.30576820333845e-05
"Immunityboost_306-366" 0.000449585292628459 0.000179932761743457 0.000293514539303435 0.000481376348375865 0.00103027758619875 0.00166681156767186 0.0138590556953565 0.000120852813559094 0.000140115639502938 0.000115448910218229 0.000175214028101822 0.000383491916774823 0.000635987352755042 0.00120414842326411 0.00176068097856596 0.00167035175281004 0.000204309695455381 0.000291702914955488 0.000728020865507606 0.0012411086612434 0.00173598990013629 0.00214260585959907 0.000133568661781363 0.000174617524503125 0.000253872137461642 0.000415842390737234 0.000708523058809924 0.000853043700859656 0.00126116813129045 0.0017065883796116 0.00155895885033816 0.000145217730307885 0.000410945583688004 0.00108556920840449 0.000798222007884796 0.000214470747077563 0.00015387726437965 0.000183653206915757 0.000439253165491689 0.0018940975323322 0.00253652480284995 0.000185776409551152 0.000108080250704993 8.27170513993378e-05 4.60728929315109e-05 5.00688263744009e-05 3.91353946672108e-05 2.23039899215884e-05 -4.19795374306014e-05 -5.55026741388795e-05 -6.82359538607242e-05 -7.78405200469816e-05 -9.03030984233992e-05 -0.000217164441629321 -0.0003676705578687 -0.000375278067930015 2.28360524132983e-05
"Immunityfull_001-061" 0.000289054167907072 0.000331778313624723 0.000266267255082193 0.000198214896778914 0.00015457012364707 0.000133152131078758 0.000120852813559094 0.00459506908058195 0.000321886279247414 0.000364424797409876 0.000323853126441353 0.000252526249577732 0.000221545561368836 0.00017271796939588 0.000144631790136708 0.000134365913217502 0.000311860643321602 0.000255797587811269 0.000184237581720653 0.000159218790429285 0.0001436439558088 0.000135577650959999 0.000334315309569559 0.000305317275263797 0.0003070237053975 0.000285684408601524 0.000227904461403167 0.000210949676198065 0.000176397701699052 0.000156461011992159 0.000154517746651755 0.000314810087556077 0.000237173306447556 0.000191743599887278 0.000255693842859984 0.000333712892679958 0.000311525677421847 0.000313498096536504 0.000248039771276101 0.00012273635444238 0.000119998777587229 0.00020260500712841 -0.00011667343301535 -0.000127679832179148 -0.000104906177425056 -4.83792947925648e-05 -4.99297597250396e-05 -2.73168510550474e-05 -1.4041207498721e-05 -2.13108140561304e-06 1.38790554160498e-05 3.00862072029962e-05 3.15089989232964e-05 3.74805997539838e-05 2.71999802873341e-05 6.50787019637201e-05 -7.02741389615658e-06
"Immunityfull_062-122" 0.000289364623702738 0.000300571645366316 0.000299356526137846 0.000267295888222429 0.000179122298551065 0.000153267877550508 0.000140115639502938 0.000321886279247414 0.00368167605018375 0.00032563861235878 0.000316878526309603 0.000298739393482144 0.000248584019588205 0.000199592580479003 0.000166169073709294 0.000155060492371928 0.000310795600589838 0.00030444817748226 0.000229392916349566 0.000182285182385054 0.000164116328557685 0.000155266078858482 0.000332952526351713 0.000323919121269825 0.000304823735843089 0.000293937694440542 0.000265811690914092 0.000236490740698593 0.000203147293332095 0.000178718062519621 0.000175792121158089 0.000327846012817636 0.000291486359357459 0.000214472855124742 0.00024536955081366 0.000312008753193622 0.000324104405613135 0.000313607566092532 0.00029233945673757 0.000141842621988487 0.000138197301476564 0.000240108175506382 -7.69314598741392e-05 -0.000104977023284176 -0.000109903902183195 -4.23599162137533e-05 -4.07084435083492e-05 -2.31794609730754e-05 -1.66328948002802e-05 -2.86294173295651e-06 1.53848994165262e-05 3.58057828859603e-05 3.91041124324278e-05 4.15721870912895e-05 2.88143449584341e-05 6.78371089561309e-05 -9.1040003408021e-06
"Immunityfull_123-183" 0.000297966653697336 0.000324325895943403 0.000250463458286125 0.000204115957987051 0.000164222385278278 0.000132513408368542 0.000115448910218229 0.000364424797409876 0.00032563861235878 0.00175733299184716 0.000322829567319496 0.000256092385398562 0.000232908614871823 0.000184625825683469 0.000148326551594586 0.000136418651883973 0.000303264415223535 0.000250861782517284 0.000197474046013498 0.000169212683932279 0.000146420031075158 0.000135532931775716 0.000335962957880343 0.000304848234957523 0.000322484640474299 0.000290668918682937 0.000237255749853157 0.000224548773492351 0.000189890462254297 0.000164496807218928 0.000163499159704495 0.000315194036306246 0.000253483253116693 0.000210630181347073 0.000273407791302264 0.000334016524362433 0.000312358722112929 0.000317389876787367 0.000254790385727695 0.000117861242133099 0.000113107156381778 0.000245099837780714 -8.97532764150425e-05 -0.000206227536409867 -0.000166168822054118 -6.3252494449718e-05 -4.98941382309923e-05 -2.84713709313633e-05 -5.10861307653079e-06 1.24562466940988e-05 3.09788226175939e-05 4.98670567941771e-05 5.2875105515353e-05 6.03478136718426e-05 5.31541014250706e-05 9.40960606859409e-05 -4.22405272726948e-06
