day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,2,0.00164204,0.00116014,161,6.36396
224,0,0,0,,,
231,1,0.000620732,0.00062054,176,0
238,3,0.00141576,0.000816812,167.667,8.05996
245,7,0.0016568,0.000625694,145.857,6.28061
252,21,0.00252768,0.000550888,161.476,3.53577
259,32,0.00241309,0.000426063,164.656,2.83174
266,43,0.00312069,0.000475158,156.14,2.6427
273,83,0.00396238,0.000434065,150.06,2.44927
280,171,0.00450949,0.000344071,149.117,1.64053
287,364,0.00587713,0.000307139,145.772,1.31913
294,550,0.00630344,0.000267931,142.182,1.19089
301,526,0.0068672,0.000298394,139.624,1.24097
308,436,0.00672134,0.00032081,133.078,1.50508
315,328,0.00853389,0.00046919,125.866,1.79565
322,274,0.00874003,0.000525692,121.781,2.05904
329,253,0.0101713,0.000636201,116.455,2.30302
336,312,0.0114219,0.000642933,111.901,2.22486
343,454,0.012629,0.000588954,109.707,1.86833
350,708,0.0138106,0.000515437,103.34,1.57838
357,928,0.0172053,0.000559911,96.7177,1.42987
364,1303,0.0176264,0.000483984,92.7506,1.23928
371,1387,0.0179468,0.000477547,85.3273,1.18081
378,1005,0.0192429,0.00060113,81.5612,1.35984
385,1005,0.0218887,0.000682861,75.6786,1.35919
392,1001,0.0216446,0.000676678,74.8082,1.3856
399,1154,0.0230952,0.000671964,73.2504,1.25916
406,1331,0.0242,0.00065525,71.29,1.16237
413,1728,0.0248287,0.000589823,67.2326,0.989449
420,2080,0.025509,0.000552141,67.8822,0.947284
427,2067,0.0262363,0.000569454,66.1805,0.886274
434,1986,0.0275069,0.000608689,65.6606,0.938551
441,1687,0.0297316,0.000713028,64.9348,1.03362
448,1334,0.0305886,0.000824586,61.1889,1.13388
455,854,0.0314375,0.00105872,61.3232,1.48115
462,851,0.0303571,0.00102471,58.8719,1.46816
469,572,0.0303078,0.00124788,63.5472,1.88886
476,463,0.0298594,0.00136681,60.6609,1.9945
483,382,0.0300031,0.00151189,59.0576,2.25476
490,247,0.0272627,0.00171087,63.1417,2.94351
497,141,0.0217291,0.00180993,59.234,3.64394
504,90,0.0234558,0.00244329,50.8667,4.03014
511,44,0.0161646,0.00241713,53.5682,6.41927
518,27,0.0140919,0.0026928,54.8889,7.92443
525,13,0.0120706,0.00332751,90.6154,13.4272
532,11,0.0156472,0.00468076,72.9091,17.9206
539,8,0.0121581,0.00427231,46.375,15.054
546,10,0.0123153,0.00387038,77.9,16.149
553,23,0.0157859,0.0032655,63.913,8.92606
560,17,0.0125647,0.00302818,70.0588,9.75636
567,18,0.0155709,0.00364142,58.6667,9.0373
574,10,0.01002,0.0031527,110.3,17.0921
581,21,0.0193548,0.0041825,90.8571,9.59386
588,22,0.0189166,0.0039947,65.4091,9.9608
595,18,0.0169173,0.00395357,45.6667,8.91455
602,18,0.015544,0.00363518,50.6111,6.97887
609,38,0.0192796,0.00309726,61.6579,7.12777
616,30,0.0124948,0.00226693,59.4,8.18666
623,43,0.0152051,0.00230106,79.0698,7.13399
630,46,0.0149012,0.00218063,57.8043,5.55669
637,86,0.0177429,0.00189622,56.686,4.52875
644,109,0.0168835,0.00160344,65.3853,4.36103
651,207,0.017461,0.00120298,62.372,2.99511
658,385,0.015197,0.000768602,61.1091,2.15755
665,679,0.0170154,0.000647412,60.81,1.62406
672,1000,0.0171615,0.000538017,60.209,1.37147
679,1293,0.015193,0.000419295,60.2807,1.21285
686,1686,0.0151759,0.00036678,59.239,1.04212
693,1829,0.0147016,0.000341226,57.8305,1.00458
700,1555,0.0145243,0.000365639,59.9486,1.10039
707,1264,0.0153175,0.000427526,58.6242,1.18686
714,949,0.0162231,0.000522333,52.0369,1.36503
721,661,0.0187496,0.000722407,54.7685,1.66447
728,636,0.0164218,0.000645798,52.9403,1.59625
735,546,0.0115585,0.000491791,55.9267,1.82797
742,783,0.00736865,0.000262362,51.0702,1.58674
749,1357,0.00709565,0.000191936,48.5623,1.16641
756,2106,0.00705235,0.000153133,47.4582,0.948526
763,1874,0.00806625,0.000185579,47.7866,0.977912
770,1472,0.00952227,0.000247007,45.3933,1.079
777,1071,0.0111903,0.000340019,44.0299,1.27973
784,830,0.0122215,0.000421615,45.7892,1.47722
791,671,0.0111983,0.000429877,46.2906,1.60462
798,779,0.0128034,0.000455785,44.0873,1.44869
805,783,0.01312,0.000465784,43.825,1.51516
812,719,0.0137972,0.000510987,42.7232,1.59461
819,549,0.0131117,0.000555913,48.3443,1.86548
826,434,0.0144081,0.000686609,48.3479,2.15717
833,236,0.0148269,0.000957968,44.6864,2.72271
840,251,0.0166016,0.00103915,39.3865,2.52598
