day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,2,0.000969462,0.000685181,163,9.19239
238,3,0.00116189,0.000670428,167.667,8.05996
245,3,0.000629855,0.000363532,159.667,9.1934
252,16,0.00177443,0.000443213,165,3.40496
259,22,0.00154148,0.000328391,163,3.62213
266,29,0.00197105,0.000365653,160.207,3.01142
273,56,0.00252116,0.000336479,149.571,2.84168
280,120,0.00301712,0.000275009,151.142,1.91381
287,250,0.00388615,0.000245304,145.448,1.6543
294,384,0.00424492,0.000216163,144.219,1.39364
301,354,0.00446344,0.000236699,139.571,1.52621
308,313,0.00464916,0.000262174,133.125,1.81232
315,234,0.00582321,0.000379565,126.821,2.15664
322,191,0.00579086,0.000417797,122.592,2.52729
329,179,0.00685194,0.00051038,116.665,2.71761
336,232,0.00809688,0.00052943,113.211,2.74292
343,332,0.00886019,0.000484107,110.524,2.20859
350,541,0.0101137,0.000432616,105.795,1.89048
357,724,0.0129782,0.00047919,100.891,1.70034
364,1010,0.0132284,0.00041348,95.7584,1.46492
371,1104,0.0138216,0.000413096,90.779,1.36148
378,824,0.0152013,0.000525521,86.7973,1.55584
385,820,0.0171721,0.000594503,80.9415,1.56132
392,808,0.0167236,0.000583393,81.3453,1.66388
399,926,0.0176559,0.000575065,78.9698,1.47765
406,1065,0.0184595,0.0005604,76.1737,1.33862
413,1447,0.0198401,0.000516367,73.5936,1.14627
420,1735,0.0202057,0.000480165,75.6559,1.11175
427,1731,0.0207514,0.000493566,74.632,1.06153
434,1640,0.0212976,0.000520276,72.6774,1.11623
441,1410,0.0232535,0.000612026,72.1007,1.21503
448,1131,0.0242647,0.000712704,68.9098,1.33618
455,716,0.0246573,0.000910057,70.0852,1.77299
462,717,0.0239839,0.00088489,67.1395,1.71679
469,488,0.0242448,0.00108413,72.4672,2.21617
476,376,0.0227893,0.0011618,67.7048,2.40747
483,326,0.0241356,0.00132052,68.9939,2.6765
490,204,0.0210766,0.00146002,68.3775,3.40983
497,125,0.0180349,0.00159848,68.8,4.34647
504,81,0.0194758,0.00214281,61.2099,5.16618
511,39,0.0132248,0.00210362,72.1282,8.46753
518,23,0.0109056,0.00226155,55,9.2434
525,8,0.00674536,0.00237679,90.5,19.0468
532,12,0.0144404,0.00413839,92.6667,17.1773
539,9,0.010989,0.00364282,57.4444,14.0133
546,8,0.00807265,0.00284257,82.125,17.1641
553,25,0.0140766,0.00279543,71.52,9.21601
560,22,0.0136139,0.00288266,80.2727,10.4423
567,18,0.0133038,0.0031148,68.9444,12.1489
574,6,0.00508475,0.00207055,98.1667,24.1321
581,17,0.0131885,0.00317752,94.7059,11.8645
588,25,0.0177179,0.00351205,88.2,9.84439
595,19,0.0146042,0.00332587,62.1579,11.2978
602,19,0.013324,0.0030363,71.1579,10.2011
609,35,0.015528,0.00260424,67.8,7.3621
616,26,0.00944081,0.00184274,73,9.11563
623,40,0.0125707,0.00197507,89.25,8.27947
630,48,0.0138608,0.00198672,69.6042,6.70048
637,86,0.0158292,0.00169334,68.3488,5.25509
644,99,0.0139969,0.00139686,75.7879,4.90575
651,188,0.0146235,0.0010587,65.0638,3.13043
658,355,0.0131331,0.000692439,69.2817,2.43589
665,621,0.0146687,0.000584302,68.3269,1.82511
672,916,0.0149081,0.000488893,68.9607,1.56864
679,1171,0.0130851,0.000379873,68.4885,1.38514
686,1526,0.0130838,0.000332733,67.4679,1.19315
693,1663,0.0126988,0.000309416,65.4191,1.14206
700,1423,0.0126451,0.000333085,68.4146,1.24177
707,1154,0.0132805,0.000388338,66.6733,1.36915
714,902,0.0145599,0.000481249,60.9634,1.55194
721,618,0.0165329,0.00065953,61.3706,1.82066
728,598,0.0143395,0.000582166,59.4666,1.79325
735,533,0.0103231,0.000444827,65.9475,2.07353
742,770,0.00676691,0.000243036,57.5857,1.69724
749,1352,0.00664932,0.000180235,55.1709,1.27249
756,2110,0.00666443,0.000144601,53.5834,1.01767
763,1874,0.00758999,0.000174664,53.5331,1.04784
770,1459,0.00887173,0.000231231,53.4263,1.22515
777,1071,0.0104887,0.000318814,50.9963,1.38286
784,819,0.0113248,0.000393474,53.2515,1.60711
791,673,0.0105749,0.000405473,52.1724,1.71421
798,773,0.0119517,0.000427296,49.9547,1.57259
805,798,0.01256,0.000441818,50.4386,1.64141
812,724,0.0130731,0.000482671,48.3011,1.70077
819,546,0.012257,0.000521326,54.2949,2.02984
826,435,0.0135489,0.000645203,53.1632,2.21081
833,230,0.0134977,0.000883982,49.4087,2.9333
840,267,0.0165284,0.00100313,48.824,2.9091
