"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00598770495484425 0.000277924236247221 0.000272082399195778 0.000308139732716122 0.000429635209903454 0.000459935239416395 0.000475466376080104 0.000288034997547351 0.000288026039823156 0.00029587412447655 0.00028889862997719 0.000303316544300323 0.000365042054321054 0.000442895605269942 0.000466110204333743 0.000461511174953214 0.000285539152285716 0.000287952333751894 0.000378491032349026 0.000450793607927926 0.000469121774675608 0.000481523166418745 0.000290322499896576 0.000288539627465057 0.000312195554849894 0.000330491562242195 0.000364336981012225 0.000399503297576019 0.000450173514405341 0.000470786472453354 0.000469125084575208 0.0002928622905938 0.000344257473011519 0.000443179963719379 0.00039398156233139 0.000298065251222978 0.000288635243060606 0.000297410632350349 0.000339220176448693 0.000464132409815786 0.000480714769508729 -1.70104798980853e-05 -1.78615923187913e-05 -1.93535574813405e-05 -1.94734742695237e-05 -1.6575737123994e-05 -2.14172192845729e-07 -0.000252903717680151 -3.05597490963016e-05 -2.1179568096397e-05 -1.24025100597001e-05 -5.42004421254686e-06 8.2329587105779e-06 1.49013583192036e-05 1.80383571825141e-05 2.41049054151979e-05 3.05680680097817e-05 2.79762837945111e-05 2.52988687272036e-05 4.09812346865691e-05 1.45212736032859e-05
"Immunityboost_001-061" 0.000277924236247221 0.00104734442705405 0.000314909258462789 0.000239699024059307 0.000192519846473093 0.000187205287441355 0.00017341204231481 0.000341761933333633 0.000306955643310429 0.000334145947874546 0.000330027978739149 0.000274296626296419 0.000226259875308441 0.00018321382926935 0.000183694831384494 0.000166136164682604 0.00033329215585285 0.000288767533351516 0.000209559097301124 0.000184744331437538 0.000184217350936409 0.000174773726876096 0.000320204360074119 0.000309381234989191 0.000297770986629438 0.00028384245828074 0.000236451981804867 0.000211738638183619 0.000179958413277097 0.000180399145288224 0.000170296123005716 0.00030435349250813 0.000224022872777719 0.000178555912477016 0.00024407234699675 0.000330616889607204 0.000311012073383893 0.000310634775270536 0.000244870883456022 0.000185776935403639 0.000185968069135281 -1.23136045212589e-05 -1.26675250449187e-05 -8.93452884649963e-06 -2.87583179893184e-06 5.1007241756071e-06 2.42332252771032e-05 -2.878105080224e-05 3.04402858377264e-05 5.5692374458318e-05 4.67611915413963e-05 2.83487494332976e-05 -1.62156682844087e-05 -2.19858186036964e-05 -2.84684702226735e-05 -3.97440855319278e-05 -5.76623711563033e-05 -3.83362404689154e-05 -1.91167304169297e-05 3.07005625095439e-05 -3.05927396011326e-06
"Immunityboost_062-122" 0.000272082399195778 0.000314909258462789 0.000867712205024796 0.00038123113908504 0.00025233238109304 0.000268259395403063 0.000278395941494171 0.00027565996609502 0.00031031463708978 0.000256634027356631 0.000300149649295643 0.000346368141821332 0.000276758638613159 0.000229009472502421 0.000247502425801759 0.000254358081504057 0.000319430202169777 0.000365101408055392 0.000288417479607242 0.000228299355857123 0.000244196243969333 0.000249670162541152 0.000290650789150847 0.000317073437454589 0.000279401130191097 0.000276009020444168 0.000284890927370625 0.000245221581464416 0.000216973722957858 0.000223813733134946 0.000221660175239305 0.000298784681520472 0.00028888702925629 0.000205059015630067 0.00022237752233866 0.000280372410860159 0.000308943397194279 0.000294611077989266 0.000297389763783987 0.000284282436837439 0.000285753057698644 -1.50054890717389e-05 -1.9717664764106e-05 -1.8675223011237e-05 -1.3497689156274e-05 -5.19718435815968e-06 1.65311463172615e-05 -4.25347955229478e-05 3.44920598541302e-05 5.16291161506118e-05 4.42766323616954e-05 2.64144507897443e-05 -1.97306108947755e-05 -2.85489750312102e-05 -4.4026187197253e-05 -7.7873460986546e-05 -0.000106529037902884 -0.000134785461887895 -0.000143588837880324 -0.000100170739109994 3.93521598568225e-06
"Immunityboost_123-183" 0.000308139732716122 0.000239699024059307 0.00038123113908504 0.00178356145061035 0.000497031747617506 0.000460067657949935 0.000469731563139608 0.000202924362355233 0.0002763014937073 0.000205608304692773 0.000251098935078027 0.000418545899939423 0.000451376319675334 0.000422193885555176 0.000440818523102823 0.000466210294173998 0.000271415655473219 0.000413517214637343 0.000533239197492796 0.000438693777989121 0.000426174033573355 0.000429950342672611 0.000236341059958173 0.00030526952420667 0.00030829863190245 0.000300959895053517 0.000404667355828022 0.000419416311970754 0.000405261591693112 0.000413954560705096 0.00041865426673019 0.00028421895378246 0.000448302465684372 0.000413172823904789 0.000304589680533528 0.000222192510652297 0.000282872594138877 0.000288148038436202 0.000386580762481341 0.000470203368720489 0.000461529290155976 -1.56107147796829e-05 -2.11416259324129e-05 -2.15718027747883e-05 -1.78765702221476e-05 -1.0815287265111e-05 9.28448962389723e-06 -4.55016306556123e-05 3.61235841463818e-05 5.15873980241087e-05 4.59706561650238e-05 2.7380043627493e-05 -1.80471705922368e-05 -2.68553004120938e-05 -3.83409820311082e-05 -6.04228401509045e-05 -7.79635732383224e-05 -0.00013902306101917 -0.000179376572250153 -0.000163177391814431 1.01431337923198e-05
"Immunityboost_184-244" 0.000429635209903454 0.000192519846473093 0.00025233238109304 0.000497031747617506 0.00225131482905397 0.00111894217077507 0.00104747041255632 0.000154415203259861 0.000180610401177604 0.000162928556202953 0.00021303301075733 0.000348580978653965 0.000719563285477168 0.00103993181964224 0.00105968653479503 0.00110320300833311 0.000220465439242826 0.00030218039876669 0.000836537146861021 0.00112523182676647 0.00108028181938417 0.00102607985573257 0.00017215364181759 0.000213062624087471 0.000328902284031236 0.000418647950746948 0.000607925739509862 0.000824497959726482 0.00102333073587418 0.00104066796366151 0.00108143046235624 0.00019861652047341 0.000543305905586633 0.000987839306481344 0.000697583326134285 0.000208471330596372 0.000189629519226116 0.0002388895156239 0.000500865609066322 0.00110490768982036 0.00100701207380462 -1.55674659823501e-05 -1.93485758018942e-05 -1.75673134256335e-05 -1.2720510838375e-05 -4.14611510107014e-06 1.65906185186431e-05 -2.8803898343706e-05 5.3198398505699e-05 6.683650340998e-05 5.68925572744094e-05 3.42203364290924e-05 -2.51259066038253e-05 -3.72575703273114e-05 -5.12514115967038e-05 -7.50635606716651e-05 -9.82926651648826e-05 -0.00011123301385977 -0.000113065805367355 -8.005658488172e-05 6.50949386019459e-06
"Immunityboost_245-305" 0.000459935239416395 0.000187205287441355 0.000268259395403063 0.000460067657949935 0.00111894217077507 0.00262731933162704 0.00165373209801949 0.000133698009020896 0.000155811785412519 0.000132238368306136 0.000190201771472677 0.000360945293488716 0.000656012229719518 0.00118215696953976 0.00145768314864498 0.00144750357453656 0.000213019985720781 0.000292068515214821 0.000772896123820366 0.00124307297296219 0.00147943847516849 0.0016060846179507 0.000146329825819616 0.000186336762227826 0.000282384008494211 0.000423775341631955 0.000684363422467572 0.000848080692826272 0.00120437491670811 0.00141484464684884 0.00138283445096787 0.000164004358344729 0.000468333257803233 0.00108414368514708 0.000801049054464969 0.000213853537599361 0.000165554290108163 0.000202263762659926 0.000477977709163182 0.00157649140695054 0.00171320182260531 -1.77943018305581e-05 -2.50962218252763e-05 -2.51342499995478e-05 -1.99510026941061e-05 -1.033671833939e-05 1.3171689930953e-05 -4.01878114077607e-05 5.92261790731568e-05 6.43004998899112e-05 5.49424173110779e-05 3.26063251254766e-05 -2.95631633061683e-05 -4.50495490005054e-05 -6.85523312795744e-05 -0.000112753714295432 -0.000144563367049803 -0.000196991171166899 -0.000223121020646195 -0.000196504282929597 1.21407038383387e-05
"Immunityboost_306-366" 0.000475466376080104 0.00017341204231481 0.000278395941494171 0.000469731563139608 0.00104747041255632 0.00165373209801949 0.0109130825798261 0.0001186572080889 0.000140227524843558 0.000112899328871904 0.000170944336986691 0.000369733096788673 0.000631239742691545 0.00120965097709495 0.00173858263655186 0.00165796600558088 0.000202333151892435 0.000288744963786773 0.000740272044705179 0.0012533621626514 0.00171441293981109 0.00206728278166285 0.000130498384946818 0.000170993373859055 0.000255068504918837 0.000415456745733822 0.000716204337590383 0.000866087192722338 0.00126842125017098 0.00168277933212185 0.00154788327335325 0.000146922952052614 0.000428751860745033 0.00111612629317224 0.000826598389968745 0.000219034601248514 0.000151804123260085 0.000183989938827476 0.000451409974674159 0.00185087718998666 0.00240451237574559 -1.8503896247735e-05 -2.80370470469506e-05 -3.00154623387662e-05 -2.54176298752432e-05 -1.76243279047868e-05 5.1857424693894e-06 -5.23739724478216e-05 6.21572339440457e-05 6.18413578070186e-05 5.46580975085126e-05 3.16500425335121e-05 -2.68453039490764e-05 -4.20874631815432e-05 -6.17150460539161e-05 -8.46563723638827e-05 -9.37801994303271e-05 -0.000221441620197871 -0.000319187655722642 -0.000337629805426789 2.31861372172946e-05
"Immunityfull_001-061" 0.000288034997547351 0.000341761933333633 0.00027565996609502 0.000202924362355233 0.000154415203259861 0.000133698009020896 0.0001186572080889 0.00467159188790093 0.000322677958466036 0.000367384271234085 0.000330319743497949 0.000257514941360915 0.000220358073913967 0.000168299203435386 0.000142151244768223 0.000130008791604776 0.000318748342496202 0.000261999337426905 0.000184126659935911 0.000156500415362895 0.00014145655259298 0.000131146105380197 0.000336790709774868 0.000310148545748544 0.000308882808406008 0.000287139361604388 0.000226914782737358 0.000207497856894716 0.000170923698370385 0.000151963107886013 0.000149067543382467 0.000319760633394757 0.000235948055920049 0.0001858494980035 0.000252626456961623 0.000340091707502643 0.000319960145001393 0.000319962949349307 0.000248688019876438 0.000123752905899301 0.00012111966469624 -4.82607701333908e-06 -2.70358256322249e-06 4.65164500671546e-07 5.3514298907933e-06 9.21047004417534e-06 2.59121959385481e-05 -0.000144700680907883 -6.59883252847525e-05 -4.09371549911616e-05 -3.31701005626952e-05 -1.45569041882648e-05 5.75337117681788e-06 1.29099621939911e-05 1.90275731970725e-05 2.10510113888995e-05 2.11621543440877e-05 3.41322232665882e-05 4.04570801978151e-05 7.07698958102459e-05 -5.88770991780337e-06
"Immunityfull_062-122" 0.000288026039823156 0.000306955643310429 0.00031031463708978 0.0002763014937073 0.000180610401177604 0.000155811785412519 0.000140227524843558 0.000322677958466036 0.00378706821363774 0.000323449659695336 0.000319412894468799 0.000305973939927226 0.000248831963573369 0.000196020159913196 0.000165228619152334 0.000152604237182487 0.000315468187259291 0.000311994554295363 0.00023168301964566 0.000180601571822967 0.0001633980588959 0.000152487692105818 0.000332427396917179 0.000326866742559023 0.000305443449438201 0.000293799855568798 0.000265659833738878 0.000233267560664069 0.000198129258187991 0.000175173596699963 0.000171247979750841 0.000332139953026891 0.000293758003396842 0.000210158713644482 0.000242820269779477 0.000315766083641977 0.000330724872309763 0.000318950048002527 0.000296562995909372 0.000145058157307336 0.000141626457900726 -4.20396633011337e-06 -1.30167950987194e-06 2.80022956867685e-06 6.71708849830249e-06 1.20840547625486e-05 2.71372871330278e-05 -0.000254130774837345 -6.62330642457303e-05 -3.00469504950759e-05 -2.19011797123188e-05 -9.54037310006154e-06 3.12758764086168e-06 1.18847007850761e-05 1.88444294507904e-05 2.40780224541064e-05 2.59951062124696e-05 3.38635396963148e-05 3.92028118693819e-05 7.0147855110979e-05 -7.35223751337534e-06
"Immunityfull_123-183" 0.00029587412447655 0.000334145947874546 0.000256634027356631 0.000205608304692773 0.000162928556202953 0.000132238368306136 0.000112899328871904 0.000367384271234085 0.000323449659695336 0.0018245569847153 0.000327964902989345 0.000257291256253377 0.000229836913078644 0.000178716473488902 0.000144433589120267 0.000130923988855875 0.00030836178012808 0.00025316253454833 0.00019498771560273 0.000165371427922013 0.000143003762864063 0.000129969563506368 0.000336656911021751 0.000306487343837267 0.000324099966941567 0.000290311995712653 0.000233714425764055 0.00021925619447644 0.000182908865722101 0.000158473742782042 0.000156584898111646 0.000317799389382116 0.000249761405715192 0.000203943821051745 0.000271220462251761 0.000340275029586058 0.000318918744472879 0.00032205686124313 0.000251652277998534 0.000118298099965151 0.000113734672328198 -6.17990141838974e-06 -2.27928817260951e-06 1.27039682492179e-06 5.66716034492067e-06 1.09316281299907e-05 2.59010682718798e-05 -0.00012310711292336 -0.000135400338675313 -5.15019216617872e-05 -2.73922289075873e-05 -1.45431674082163e-05 1.55411731839309e-05 2.86618854637893e-05 3.70256781051254e-05 4.23014801168444e-05 4.41747972096542e-05 5.7320065923043e-05 6.60446041928444e-05 9.93181945397925e-05 -3.71445720968637e-06
