"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"InfPriorinf_NA_062-122" -2.08842162382363 -2.1919428077652 -1.98490043988206 0.123882514796153 0.111699526967339 0.137394292427994 0.876117485203847 0.888300473032661 0.862605707572006
"InfPriorinf_NA_123-183" -1.98763817082248 -2.13480637234012 -1.84046996930484 0.137018658249853 0.1182674880167 0.158742804327922 0.862981341750147 0.8817325119833 0.841257195672078
"InfPriorinf_NA_184-244" -1.84008264977197 -2.03433436651918 -1.64583093302477 0.158804300425292 0.13076749676506 0.192852248895422 0.841195699574708 0.86923250323494 0.807147751104578
"InfPriorinf_NA_245-305" -1.853399016843 -2.00322645779633 -1.70357157588967 0.156703621814036 0.134899333322083 0.182032219766475 0.843296378185964 0.865100666677917 0.817967780233525
"InfPriorinf_NA_306-366" -1.16321292251551 -1.25437564351818 -1.07205020151284 0.312480590380977 0.285253892753948 0.342306001233326 0.687519409619023 0.714746107246051 0.657693998766674
"InfPriorinf_NA_367-427" -0.929055959960756 -1.01213229934442 -0.84597962057709 0.394926360742584 0.363443183089265 0.429136761030058 0.605073639257416 0.636556816910735 0.570863238969942
"InfPriorinf_NA_428-488" -0.468203028439432 -0.553271812336007 -0.383134244542857 0.626126389288342 0.575065223561998 0.681721375768416 0.373873610711658 0.424934776438002 0.318278624231584
"InfPriorinf_NA_489-549" -0.508194927438716 -0.635940876132349 -0.380448978745083 0.601580495787103 0.529437119153517 0.683554438891768 0.398419504212897 0.470562880846483 0.316445561108232
"InfPriorinf_NA_550+" -0.676864476084398 -0.846977931685207 -0.506751020483589 0.508207995071223 0.428708562807704 0.602449749458727 0.491792004928777 0.571291437192296 0.397550250541273
"VaccStatusboost_001-061" -1.60192399133829 -1.64650481476184 -1.55734316791473 0.201508444287741 0.192722333065807 0.210695109763956 0.798491555712259 0.807277666934193 0.789304890236044
"VaccStatusboost_062-122" -0.927259883214844 -0.974226926378551 -0.880292840051138 0.395636316171826 0.377484063764111 0.414661464415693 0.604363683828174 0.622515936235889 0.585338535584307
"VaccStatusboost_123-183" -0.209157857209782 -0.287269011516373 -0.13104670290319 0.811267161164488 0.750309859692618 0.877176806730911 0.188732838835512 0.249690140307382 0.122823193269089
"VaccStatusboost_184-244" -0.000238667631360775 -0.109756664291351 0.109279329028629 0.999761360847493 0.896052150255009 1.11547389106669 0.000238639152507325 0.103947849744991 -0.115473891066691
"VaccStatusboost_245-305" 0.31917789243143 0.178972837734975 0.459382947127884 1.37599608242388 1.19598825797666 1.58309682910183 -0.375996082423879 -0.195988257976657 -0.583096829101826
"VaccStatusboost_306-366" 0.621556713180348 0.13909200240595 1.10402142395475 1.86182411322179 1.14922982704904 3.01627137321611 -0.861824113221793 -0.149229827049037 -2.01627137321611
"VaccStatusfull_001-061" -1.29098595046564 -1.36477237397088 -1.2171995269604 0.27499951348416 0.255438813893867 0.296058109821738 0.725000486515839 0.744561186106133 0.703941890178262
"VaccStatusfull_062-122" -1.18612352933573 -1.23843626115754 -1.13381079751393 0.305402857598985 0.289837093278133 0.321804584688272 0.694597142401015 0.710162906721867 0.678195415311728
"VaccStatusfull_123-183" -0.809934780099416 -0.844160441002361 -0.77570911919647 0.444887080767947 0.429918148386954 0.460377202909054 0.555112919232053 0.570081851613046 0.539622797090946
"VaccStatusfull_184-244" -0.444889552202057 -0.48572114605763 -0.404057958346485 0.640895057571235 0.615253349216835 0.667605426840963 0.359104942428765 0.384746650783165 0.332394573159037
"VaccStatusfull_245-305" -0.237834136986271 -0.307291910674942 -0.168376363297601 0.788333435610084 0.735435887983843 0.845035734392189 0.211666564389916 0.264564112016157 0.154964265607811
