"(Intercept)" "Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"(Intercept)" 0.00109297644974114 -0.000303193263094415 -0.000304559988507806 -0.000263724696952805 -0.000256238637013033 -0.000263454711731541 -0.000246770815757687 -0.000240199127892569 -0.000313072707577019 -0.000307945206857143 -0.000324524410729709 -0.000332231418859149 -0.00030060793619185 -0.000293081327707454 -0.000298425925915494 -0.000272941306624539 -0.000264768687066381 -0.000322075885275936 -0.000288668470194076 -0.00028617574229435 -0.000291257110271836 -0.000263999008311641 -0.00027098960682288 -0.000338453350284572 -0.000335928280882741 -0.000337207810981004 -0.000338030495038073 -0.000324805549293768 -0.0003112455638851 -0.000313907796793074 -0.000295265908098528 -0.000291096150391163 -0.000349328955285847 -0.000335285682702047 -0.000336284840867752 -0.000340985836367759 -0.000332997601277678 -0.000329911514790733 -0.000322068726571134 -0.000312156608459608 -0.000229025068190639 -0.000221654812844354 -0.000183532725109847 -0.00016746294761164 -0.0001534815989565 -0.000145053634373969 -0.000139734212361978 -0.000143161263497692 -0.000752810113686373 -0.000763074060467681 -0.000761059398639625 -0.000745689665575584 -0.000718633879655954 -0.000711407053906914 -0.000701539275740044 -0.000686242583876222 -0.000675227118825634 -0.000669195182006528 -0.000667879939862901 -0.000684658018609233 -0.000110516781775453
"Immunity_other" -0.000303193263094415 0.00607647250633984 0.000308983955702622 0.000315003658196825 0.000318111820675816 0.00031422306931239 0.000318324409167779 0.000322914708921627 0.000306725837886974 0.000306743880859212 0.000305007639148271 0.000306876685898203 0.000311733676894669 0.000314036711748771 0.000312232169314778 0.000316601382763733 0.000324043924672378 0.000309041329694813 0.000314155975658466 0.000314462725806641 0.000311928525713176 0.000315511241935789 0.000322622127586453 0.000307127786526914 0.000309064908447266 0.000306803196253246 0.000307730991130112 0.000310398156994236 0.000310658308411339 0.000309572782466077 0.000312928477416331 0.000317408347960692 0.00030768627990919 0.000307770767294041 0.000307522642319786 0.000307726397012529 0.00030727362859142 0.000308100287965781 0.000308277577905094 0.000309831625385731 0.000321536869260128 0.000317606125043378 -1.54277513057635e-05 -1.92034628770637e-05 -2.25654289978109e-05 -2.77905673074741e-05 -3.4231092272125e-05 -3.47051465630068e-05 -6.1478274454969e-06 6.79844948579591e-06 5.488477041451e-06 1.61764096975414e-06 4.30980146411879e-06 7.69703724725112e-07 -1.24102466390057e-06 -2.38903857082752e-06 5.49709619927508e-06 2.8228945683313e-06 -1.43559538358908e-06 -1.54190145349595e-05 1.48407231413161e-05
"Immunityboost_001-061" -0.000304559988507806 0.000308983955702622 0.00101842604751365 0.000323784858787048 0.000319153234018386 0.000323880938450418 0.000322415806865859 0.000314682396233618 0.000300743628937643 0.000302827835778249 0.000296403719055762 0.000313286422610523 0.000318127484126227 0.000308687829211576 0.000315909582733665 0.000321231381855545 0.00030903995691752 0.000318806658089012 0.000321494601378892 0.000319419753349016 0.000323340443033226 0.000324956382620211 0.000316028241682149 0.000303532780512395 0.000310760050181392 0.000306298131018722 0.00031402470914176 0.000318055918305228 0.000315233412346182 0.000318493144438229 0.00032380396318973 0.000316709678051794 0.000303846358302097 0.000306699974183337 0.000306520525798066 0.000310781038746435 0.000310717456914361 0.00031173283184616 0.000311902933937772 0.000314543040067658 0.000320690809493208 0.0003251186041105 -9.18700859751951e-06 -1.06768605874262e-05 -1.05973270033263e-05 -9.91399372310057e-06 -7.57899867751692e-06 -7.34435250543682e-06 5.30258602309772e-05 6.63896842920574e-05 5.43984940844191e-05 3.12072789384488e-05 -1.13392081318082e-05 -1.32878861139886e-05 -1.88533613044527e-05 -2.58659354562376e-05 -2.82800491946391e-05 -9.97630455722592e-06 2.75680905419289e-06 2.68808427316143e-05 -1.33898194471687e-05
"Immunityboost_062-122" -0.000263724696952805 0.000315003658196825 0.000323784858787048 0.000850832700108057 0.000371196316434434 0.000359772250079712 0.00038142038023424 0.000389207767093103 0.000288840314615289 0.000292023133952774 0.000275842055132358 0.000302031830483838 0.000329339304418368 0.000325044852871817 0.000328352020082418 0.000358252422390188 0.000366238683153162 0.000312965483314329 0.000338934279986313 0.000337714336901132 0.000334834803335384 0.000356076573072866 0.000368111480248672 0.000284247744659241 0.000301939464131213 0.000289228807956062 0.000298853914247884 0.000314060463506354 0.000312644571899773 0.000314077211498547 0.000331220804913002 0.000342810335970438 0.000286102586976882 0.000291111057242525 0.000290144539568977 0.000295977889224811 0.000295743525544137 0.000299445477267684 0.000299818963997055 0.000308051679691575 0.000394800065697078 0.000396514926364251 -1.28383906804774e-05 -2.09698423695141e-05 -2.36032246326394e-05 -2.2288087787417e-05 -2.03540636569904e-05 -2.02339843460687e-05 4.43739620298129e-05 5.10472439138171e-05 4.42165912706615e-05 2.62370228505515e-05 -1.91134398778289e-05 -3.1900710691404e-05 -5.46316345948414e-05 -9.37043902697993e-05 -0.000119443080665257 -0.000135245766218148 -0.000133669821742563 -0.000108823311833911 -3.12137145173265e-06
"Immunityboost_123-183" -0.000256238637013033 0.000318111820675816 0.000319153234018386 0.000371196316434434 0.00161247405346654 0.00036815519106059 0.000403304910702151 0.000428880388264156 0.000286659080407198 0.000289456796953362 0.000271432984536992 0.000296031046970451 0.000330050942169695 0.000334157818890308 0.000331116748220922 0.000370761001588247 0.000399328477160506 0.000307270981248109 0.000341831849016457 0.000341903266667305 0.000332752418063181 0.000362594425845392 0.000394322961771793 0.000279543012130428 0.000298321393718387 0.000283447206553264 0.000291351531252856 0.000308467651865052 0.000309170641849161 0.000308020496736366 0.000326939291999634 0.000352263342471228 0.000281043170325578 0.000285031104844291 0.000283850134796845 0.000288957942463538 0.000288825358802616 0.00029293676892687 0.000293558296102412 0.000302462034921389 0.000426932292637759 0.000421688545597535 -1.47776377227132e-05 -2.23245031336124e-05 -2.63200693901229e-05 -2.80277282888128e-05 -2.31606396114131e-05 -3.11117471627122e-05 3.63052220513911e-05 4.1755947919419e-05 3.84542506850467e-05 2.49935513352781e-05 -1.59361603100429e-05 -2.74658532936912e-05 -4.3535133995986e-05 -7.55179351932905e-05 -0.000106577854868195 -0.000166900597491873 -0.000202763067595594 -0.000187714139075099 -6.66504567939166e-07
"Immunityboost_184-244" -0.000263454711731541 0.00031422306931239 0.000323880938450418 0.000359772250079712 0.00036815519106059 0.00148163141253982 0.000378646769388877 0.000383460808112478 0.000289991136638055 0.000293250459924276 0.000277886635552246 0.000302820013257577 0.000328817935450915 0.000323194279515903 0.000327501100031747 0.000356045018103433 0.000359092075164286 0.000313037648641177 0.000337197211217105 0.000336200119731198 0.000334428823893883 0.000354078603527528 0.000362974861700676 0.000285729701808793 0.000302550725857364 0.000290626196341986 0.00029961172512614 0.000314188505162524 0.00031255720181347 0.000314130808195541 0.000330489418121978 0.00033929899261576 0.00028727990992609 0.000292278003891394 0.000291364331948212 0.000296956979979222 0.000296579808524456 0.00030006722138721 0.000300461130778336 0.000308242396122879 0.000390555943633309 0.000394241544716565 -1.51671786853916e-05 -2.26975717950533e-05 -2.48752113728115e-05 -2.19114206562013e-05 -1.91635960665994e-05 -1.6920998726077e-05 3.9214531386928e-05 4.81574638609797e-05 4.00544588729018e-05 2.50767857382033e-05 -1.96807955275489e-05 -3.35071493006426e-05 -5.12207731889466e-05 -8.17720148753814e-05 -0.000125122911453619 -0.000136228618516902 -0.000136254562036202 -8.81117192556087e-05 -4.07613637466952e-06
"Immunityboost_245-305" -0.000246770815757687 0.000318324409167779 0.000322415806865859 0.00038142038023424 0.000403304910702151 0.000378646769388877 0.00160543953565779 0.000439330825681654 0.000283347373280639 0.000286858948823558 0.000266254268035536 0.000294618552857481 0.000333720778069912 0.000335550506471041 0.000334303375826087 0.000378889667295575 0.000404364886457286 0.000307211677509272 0.000345984133846136 0.000345929093181089 0.000337681939979334 0.000370724260975693 0.000400904119952643 0.000274528862214651 0.00029640857075566 0.000279799847752279 0.000288678541767037 0.000308871334380401 0.000309104239237726 0.000308516488834453 0.000330773025414567 0.000356054631035164 0.000276596359591668 0.000281777581011708 0.000280380997037172 0.000286380930918019 0.000286040003818657 0.000290868220464565 0.000291345065083287 0.000301771481837783 0.00044101653501774 0.000440037958115587 -1.34693623667078e-05 -2.33934703452275e-05 -2.59019281475302e-05 -2.6071271055479e-05 -2.46000753145239e-05 -1.04562816368215e-05 3.60742013536261e-05 4.50772973514618e-05 3.91282736689698e-05 2.3274310736371e-05 -1.8799454296817e-05 -3.43294108288216e-05 -5.60169907508011e-05 -0.000100896618075497 -0.00015383914025504 -0.000205980790573118 -0.000232660836716591 -0.00019982007249041 2.28079368657963e-07
"Immunityboost_306-366" -0.000240199127892569 0.000322914708921627 0.000314682396233618 0.000389207767093103 0.000428880388264156 0.000383460808112478 0.000439330825681654 0.00958640481969281 0.000280501208505817 0.000283140485729462 0.000260192697587253 0.000287383168383626 0.000333146984273401 0.000349173327535646 0.000337158982202803 0.000392653252270658 0.000456096048427526 0.000300926922510619 0.000349503169528136 0.000350519661614871 0.000332512031422671 0.000376341119056071 0.000437353941600117 0.000269475885394278 0.000291909696406452 0.000272706353972134 0.000280558434646846 0.000301835794185636 0.00030517783199104 0.000301393057247494 0.000325133663133914 0.000370623049209639 0.000270766109716132 0.000274277910452951 0.000272681307964485 0.000277891824930089 0.000278138092767477 0.000283534689262757 0.000284509105764078 0.000295411333077906 0.000477683738193709 0.00046326193498873 -1.47865899898392e-05 -2.08434534495372e-05 -2.76215161193677e-05 -2.69841780010186e-05 -1.46985795579638e-05 -1.83777391403373e-05 3.37301858402259e-05 4.17684901074161e-05 3.78021626488752e-05 2.37415379785241e-05 -1.57224317351341e-05 -3.20201977580841e-05 -4.84855974204937e-05 -7.96826920380502e-05 -0.000100518968504426 -0.00021130805774955 -0.000309681892828893 -0.000340111142054316 2.75120763664826e-07
"Immunityfull_001-061" -0.000313072707577019 0.000306725837886974 0.000300743628937643 0.000288840314615289 0.000286659080407198 0.000289991136638055 0.000283347373280639 0.000280501208505817 0.00469480953343416 0.000318014995332607 0.000327033440729278 0.000309025348241436 0.000298777000866254 0.000302675497981142 0.000300089255567462 0.000288995196604453 0.000285717689078566 0.000303254456920217 0.000294569098767895 0.000295849868396421 0.000296234012226864 0.000289201963400058 0.000285151231548168 0.000318803409359422 0.000310449313166878 0.000317046604275431 0.000308908982927673 0.000302920727437541 0.000304357682420501 0.000303037717008064 0.000294653135310816 0.000291693041846113 0.000317717804358408 0.000314642194983739 0.000315221502422329 0.000311418980509399 0.000311636553770217 0.000309674781752029 0.00030936198884574 0.000305873325495739 0.000280599067960399 0.00028077834797445 -9.88825591982561e-07 -2.64021371966929e-06 -3.49213124686535e-06 -4.08587700521729e-06 1.89200580551992e-06 -5.70857224833445e-06 -7.47096219519511e-05 -4.636424811433e-05 -3.62990277455874e-05 -1.96470329034429e-05 1.42141923091667e-05 1.97858246401818e-05 3.02617867603122e-05 3.32590039163269e-05 3.41494704850209e-05 3.99657547656829e-05 3.86262013812505e-05 4.40988516368294e-05 -4.32480919957121e-06
"Immunityfull_062-122" -0.000307945206857143 0.000306743880859212 0.000302827835778249 0.000292023133952774 0.000289456796953362 0.000293250459924276 0.000286858948823558 0.000283140485729462 0.000318014995332607 0.00381764761341531 0.000324844635626004 0.000309739912463138 0.000300736060779546 0.000303020412779553 0.000301560768461897 0.000291921293254401 0.00028675165003776 0.000304980466411691 0.000296952965889694 0.00029790990553049 0.000298966338174284 0.000292526036329231 0.000287420754954248 0.000317765916943383 0.000310568626489945 0.000316493104609032 0.0003097357892928 0.000304495808744009 0.000305609882255984 0.000304784974061151 0.000297878255279021 0.000293421780161632 0.000316462061477929 0.000314054967678337 0.000314392440914953 0.000311435530460756 0.000311737793574594 0.000310002177743739 0.000309870254954475 0.000306876286790865 0.000283767569110683 0.000285106311464983 -3.80929221235396e-06 -2.76521091148645e-06 -3.71695064868831e-06 -3.5815982410927e-06 -1.99214856552455e-06 -5.93124425463306e-08 -7.72981089440594e-05 -4.06425294697563e-05 -2.78301198617745e-05 -1.41885911352669e-05 4.47316215711026e-06 1.26726455047707e-05 1.95152942011225e-05 2.70155466368532e-05 2.57648270985947e-05 2.85759994512228e-05 2.91376004009841e-05 4.18160600634926e-05 -6.33404586115375e-06
