"(Intercept)" "Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"(Intercept)" 0.00109297650050772 -0.000303193157063608 -0.000304559837869439 -0.000263724481633754 -0.000256238493319452 -0.00026345453806796 -0.000246770643256766 -0.000240199032921944 -0.000313072942113527 -0.000307950331599864 -0.000324524788188124 -0.00033223144261377 -0.000300607801487408 -0.000293081281807565 -0.000298425751166719 -0.00027294112311451 -0.000264768491214571 -0.00032207577573874 -0.000288668180759104 -0.000286175513018398 -0.000291256859989097 -0.000263998721399143 -0.000270989188052894 -0.000338453524733928 -0.00033592827751195 -0.000337207976288 -0.000338030486539136 -0.000324805337289899 -0.000311245340768738 -0.000313907655922601 -0.000295265589735632 -0.000291095678543125 -0.00034932907510461 -0.000335285795497442 -0.000336284980440584 -0.000340985895780917 -0.000332997609683584 -0.000329911490544143 -0.000322068749421864 -0.000312156562294149 -0.000229024948430534 -0.000221654270239676 -0.000183532763259795 -0.000167463072395939 -0.00015348178689359 -0.000145053888108249 -0.000139737134086195 -0.000143161599331028 -0.000752809673596899 -0.000763073655154818 -0.000761059098666194 -0.000745689498811059 -0.00071863391152631 -0.000711407122266354 -0.000701539365127252 -0.000686243818144798 -0.000675227224171652 -0.000669195271323348 -0.00066787996000481 -0.000684657998979739 -0.000110516159877223
"Immunity_other" -0.000303193157063608 0.00607647329098706 0.000308984028173112 0.00031500378326844 0.000318111923932534 0.000314223179312647 0.000318324534557519 0.000322914802009715 0.000306725810748178 0.000306739952431016 0.000305007577585759 0.000306876699745472 0.00031173374820696 0.000314036771100066 0.000312232258831967 0.000316601481037256 0.000324044022636381 0.000309041386391246 0.00031415609467103 0.000314462854306313 0.000311928649180854 0.000315511399861467 0.000322622398789076 0.000307127760590449 0.000309064931675824 0.000306803169387219 0.000307731005768816 0.000310398221938177 0.000310658381573904 0.000309572819548228 0.000312928627339925 0.000317408555300218 0.000307686269886242 0.00030777075599619 0.000307522626766147 0.00030772640367546 0.00030727365176194 0.000308100309045848 0.000308277594301713 0.000309831686756326 0.000321537011626133 0.000317606600904865 -1.54277246453529e-05 -1.92034902893697e-05 -2.25655290118675e-05 -2.77907406813024e-05 -3.42333642771408e-05 -3.47052650564002e-05 -6.14767183088367e-06 6.79849165949681e-06 5.48852385259274e-06 1.61765681660113e-06 4.30978234795745e-06 7.69659525263523e-07 -1.2410575960452e-06 -2.38986821899555e-06 5.49711679064997e-06 2.82307728400633e-06 -1.43539103245307e-06 -1.54188764550286e-05 1.48408068825902e-05
"Immunityboost_001-061" -0.000304559837869439 0.000308984028173112 0.00101842611800282 0.000323784901872522 0.000319153257392696 0.000323880968992024 0.000322415838752776 0.000314682383946382 0.00030074365664019 0.000302823683674576 0.000296403738964381 0.00031328641017606 0.000318127505757293 0.000308687875976707 0.000315909626524602 0.000321231414871555 0.000309039997890109 0.000318806646528541 0.000321494644948606 0.000319419798986807 0.000323340489547154 0.000324956444486421 0.000316028252450725 0.00030353277128367 0.000310760072062206 0.000306298132931276 0.000314024690800487 0.0003180559322873 0.000315233461443633 0.000318493150959006 0.000323803987820424 0.000316709770819115 0.000303846369039296 0.000306699982602981 0.000306520527474738 0.000310781031960241 0.000310717478731074 0.000311732844058761 0.000311902936517692 0.000314543060890259 0.000320690868568335 0.000325118950034997 -9.18699295113513e-06 -1.06768684475747e-05 -1.05973824449841e-05 -9.91407244655183e-06 -7.58148107645722e-06 -7.34452496930552e-06 5.3025604809532e-05 6.63893963851446e-05 5.43983082004363e-05 3.12071858048276e-05 -1.13391738368568e-05 -1.32878318251629e-05 -1.88533057699779e-05 -2.58668249720179e-05 -2.82799924862033e-05 -9.97621614224728e-06 2.75693859654966e-06 2.68810584715403e-05 -1.33896748012574e-05
"Immunityboost_062-122" -0.000263724481633754 0.00031500378326844 0.000323784901872522 0.000850832661299365 0.000371196123205607 0.000359772156741342 0.0003814201529068 0.000389207398527647 0.000288840304263123 0.00029201293428373 0.000275842028011518 0.000302031824831512 0.00032933930646913 0.000325044862561612 0.000328352087552043 0.000358252319143243 0.000366238471669942 0.000312965533087396 0.000338934358537669 0.000337714429133739 0.000334834901155505 0.000356076615239899 0.000368111608060368 0.000284247729338902 0.000301939515847116 0.000289228793877591 0.000298853915068302 0.000314060543643797 0.000312644699960692 0.000314077239270396 0.000331220984164676 0.000342810647366486 0.000286102612242482 0.000291111066195195 0.000290144525644336 0.000295977886035548 0.00029574359607559 0.000299445530508845 0.000299818990562488 0.000308051765274014 0.000394799797983541 0.000396515361694007 -1.28383635975829e-05 -2.09698665535434e-05 -2.36033276589606e-05 -2.2288326656456e-05 -2.03600474754925e-05 -2.02343928890278e-05 4.43737436292239e-05 5.10470305284327e-05 4.42164431390643e-05 2.62369472064663e-05 -1.91133656350188e-05 -3.1900542845368e-05 -5.46313920951135e-05 -9.37062475358932e-05 -0.000119442491748592 -0.000135245022593541 -0.000133668984328553 -0.00010882230097422 -3.1210533232483e-06
"Immunityboost_123-183" -0.000256238493319452 0.000318111923932534 0.000319153257392696 0.000371196123205607 0.00161247381616476 0.00036815499814507 0.000403304508538029 0.000428879822970853 0.000286659096333396 0.000289448992543825 0.000271433004284125 0.000296031063637314 0.000330050907246384 0.000334157786398146 0.000331116780134611 0.000370760772711453 0.00039932806083613 0.000307271043819666 0.000341831861637049 0.00034190330517609 0.000332752458837191 0.000362594347009077 0.000394323047154549 0.000279543055195358 0.000298321458987516 0.000283447228433937 0.000291351555896868 0.000308467733399072 0.000309170755047955 0.000308020512949833 0.000326939475793436 0.00035226360904335 0.000281043237288951 0.000285031142579827 0.000283850151698938 0.000288957964459069 0.000288825445307048 0.000292936840823177 0.000293558339774911 0.000302462126387056 0.000426931791423945 0.000421688654600655 -1.47776045735912e-05 -2.23245110716402e-05 -2.63201410352361e-05 -2.80279301248308e-05 -2.31652676006872e-05 -3.11121369696259e-05 3.63049987225989e-05 4.17557508644981e-05 3.84541059101276e-05 2.49934635240729e-05 -1.5936103098445e-05 -2.74656971813839e-05 -4.35349060914715e-05 -7.55193498519968e-05 -0.000106577339432888 -0.00016689989578542 -0.000202762152760924 -0.000187712987626438 -6.66250634861282e-07
"Immunityboost_184-244" -0.00026345453806796 0.000314223179312647 0.000323880968992024 0.000359772156741342 0.00036815499814507 0.00148163140889383 0.000378646536192177 0.000383460452630525 0.000289991141871074 0.000293241998453066 0.000277886628985717 0.000302820012530327 0.000328817931538525 0.000323194287720107 0.000327501155990333 0.000356044923501731 0.000359091880780099 0.000313037688169803 0.000337197265804082 0.000336200186621788 0.000334428894820314 0.000354078610284285 0.000362974913048611 0.000285729703961398 0.000302550777906066 0.000290626196520843 0.000299611730687928 0.000314188574734273 0.000312557313935416 0.000314130830896471 0.000330489565024997 0.00033929924622553 0.000287279944249367 0.000292278023693893 0.000291364331379837 0.00029695698445573 0.000296579878038243 0.00030006727514126 0.000300461161860429 0.000308242468355529 0.00039055568365409 0.000394241840476725 -1.5167145224408e-05 -2.26975816946015e-05 -2.48753238966029e-05 -2.19116924958737e-05 -1.91686027160522e-05 -1.69214101978327e-05 3.92143100061189e-05 4.81572359222764e-05 4.00543113904123e-05 2.50766981905353e-05 -1.96807218465713e-05 -3.35069964210093e-05 -5.12205675219701e-05 -8.17735893440383e-05 -0.00012512242890768 -0.000136227975210849 -0.000136253828433046 -8.81107803625662e-05 -4.07583583302048e-06
"Immunityboost_245-305" -0.000246770643256766 0.000318324534557519 0.000322415838752776 0.0003814201529068 0.000403304508538029 0.000378646536192177 0.00160543914687885 0.000439330148503435 0.000283347380536875 0.000286848776432811 0.000266254274950461 0.000294618570293392 0.000333720738058989 0.000335550468605303 0.00033430341802082 0.000378889415588137 0.000404364428408812 0.000307211757710382 0.000345984168507111 0.000345929152220533 0.000337682002283249 0.0003707241875701 0.000400904218664627 0.000274528900605862 0.000296408648144141 0.000279799865729464 0.000288678574444102 0.000308871438724749 0.000309104385321137 0.000308516516302816 0.000330773254166707 0.000356054967744824 0.000276596431762783 0.000281777623309955 0.00028038101345935 0.000286380956033828 0.000286040111405163 0.000290868309463868 0.000291345121908346 0.00030177159530208 0.000441015958017259 0.000440038116342453 -1.34693419603536e-05 -2.33935086905059e-05 -2.59020821894953e-05 -2.6071570865628e-05 -2.46061408803879e-05 -1.0456863950612e-05 3.60739861793579e-05 4.50770788382608e-05 3.91281170822038e-05 2.32742300297835e-05 -1.87993603278052e-05 -3.43292293512728e-05 -5.60166877714714e-05 -0.000100898405436087 -0.000153838447265284 -0.000205979740456054 -0.000232659507645622 -0.000199818624744391 2.28413516412838e-07
"Immunityboost_306-366" -0.000240199032921944 0.000322914802009715 0.000314682383946382 0.000389207398527647 0.000428879822970853 0.000383460452630525 0.000439330148503435 0.00958640459540649 0.00028050125592195 0.000283134322142948 0.000260192777499003 0.000287383199386982 0.000333146884360033 0.000349173239409091 0.000337158960800385 0.000392652800894244 0.000456095322337455 0.00030092699512439 0.000349503094410433 0.000350519631273609 0.00033251199114625 0.000376340873865524 0.000437354036355778 0.000269475990586705 0.000291909774359901 0.000272706411383167 0.0002805584728427 0.000301835871397271 0.00030517793106928 0.000301393050701476 0.00032513385157431 0.000370623305941049 0.000270766227854003 0.000274277976133167 0.000272681354934667 0.000277891862734174 0.000278138195656186 0.000283534781042937 0.000284509161278241 0.000295411436126665 0.000477682873566932 0.000463261678834336 -1.47865384381931e-05 -2.08434562200397e-05 -2.76215883060546e-05 -2.69842748199026e-05 -1.47024055864167e-05 -1.83781692926795e-05 3.37298931123514e-05 4.17682116640122e-05 3.78019564040104e-05 2.37414282789861e-05 -1.57223472277071e-05 -3.20200179854194e-05 -4.84853174653729e-05 -7.96837284097464e-05 -0.000100518446670281 -0.000211307237621651 -0.000309680697127618 -0.00034010984226085 2.75315747478077e-07
"Immunityfull_001-061" -0.000313072942113527 0.000306725810748178 0.00030074365664019 0.000288840304263123 0.000286659096333396 0.000289991141871074 0.000283347380536875 0.00028050125592195 0.00469480996377742 0.00031801983250362 0.000327033535403276 0.000309025424773784 0.000298777019575594 0.00030267549811878 0.000300089246784834 0.000288995214661115 0.000285717704489666 0.000303254500701226 0.000294569075539256 0.000295849833090092 0.000296233994128612 0.000289201919830007 0.000285151088912844 0.000318803502855366 0.000310449357378613 0.000317046688072712 0.000308909062467116 0.000302920750070585 0.000304357676097807 0.00030303776120393 0.000294653091097727 0.000291692899816734 0.000317717874088584 0.000314642267482365 0.000315221591226412 0.000311419060186696 0.000311636603659405 0.000309674833928937 0.000309362050767487 0.000305873342545034 0.000280599062447756 0.000280778034699455 -9.88803539439842e-07 -2.64016346868596e-06 -3.49203472560471e-06 -4.08573501056861e-06 1.89478898551347e-06 -5.70839004762053e-06 -7.47093890700219e-05 -4.63641896933585e-05 -3.62990459556876e-05 -1.96470522770813e-05 1.42141860048009e-05 1.97858511556419e-05 3.02618079051442e-05 3.32600695811846e-05 3.41494244241005e-05 3.99657202363104e-05 3.86260138451192e-05 4.40986876516347e-05 -4.32502504993272e-06
"Immunityfull_062-122" -0.000307950331599864 0.000306739952431016 0.000302823683674576 0.00029201293428373 0.000289448992543825 0.000293241998453066 0.000286848776432811 0.000283134322142948 0.00031801983250362 0.0038176539764406 0.000324852176431297 0.000309741195197725 0.000300731283908727 0.000303017626655356 0.000301555623608361 0.000291912887577446 0.000286744205105947 0.00030497788719431 0.000296943505406617 0.000297900823554139 0.000298957319914618 0.000292512916551463 0.000287401753638538 0.000317770342915129 0.000310568490186068 0.000316497102147609 0.000309736569525491 0.000304491610023528 0.000305605061426483 0.000304782623764732 0.000297866954033301 0.000293405348879901 0.000316464895468584 0.000314057264515449 0.00031439551303791 0.000311437092858651 0.000311738150410998 0.000310002142599551 0.000309870694188038 0.000306873510819985 0.000283755752230805 0.000285067903143755 -3.80787278067657e-06 -2.76088624578816e-06 -3.70841532137412e-06 -3.56795507141756e-06 -1.74347732846816e-06 -3.976692953062e-08 -7.73085098700757e-05 -4.06502966294796e-05 -2.78363357503584e-05 -1.41920488968742e-05 4.47370223152501e-06 1.26729925545045e-05 1.95153481718833e-05 2.71081922652253e-05 2.57596665533226e-05 2.85649439340465e-05 2.91206805157641e-05 4.17913213514292e-05 -6.34918709261969e-06
