day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,2,0.00177462,0.00125373,161,6.36396
224,0,0,0,,,
231,1,0.000711744,0.00071149,176,0
238,3,0.00156331,0.000901874,167.667,8.05996
245,7,0.0018543,0.000700211,145.857,6.28061
252,20,0.00282366,0.000630498,161,3.68035
259,32,0.00295694,0.000521945,164.656,2.83174
266,43,0.00379389,0.000577465,156.14,2.6427
273,82,0.00441002,0.000485931,149.744,2.45863
280,170,0.00499589,0.000382209,149.047,1.64869
287,363,0.00647567,0.000338782,145.752,1.32262
294,547,0.00697153,0.00029704,142.062,1.1942
301,525,0.00761874,0.00033124,139.602,1.24315
308,434,0.00746615,0.000357046,133.097,1.51145
315,326,0.00952854,0.000525217,125.948,1.79584
322,273,0.00980357,0.000590423,121.769,2.06655
329,251,0.0115302,0.000723569,116.371,2.31269
336,307,0.0129514,0.000734373,111.928,2.2431
343,453,0.0146341,0.000682523,109.645,1.87141
350,702,0.0157526,0.000589843,103.536,1.58031
357,921,0.0194132,0.000633446,96.6178,1.43303
364,1296,0.0196832,0.000541347,92.8002,1.24306
371,1375,0.0202808,0.000541359,85.4371,1.1851
378,1001,0.0224138,0.000700448,81.6703,1.36282
385,999,0.0255362,0.000797546,75.6066,1.36038
392,992,0.0252913,0.00079278,74.879,1.39098
399,1148,0.0272471,0.00079314,73.4974,1.26055
406,1322,0.0286557,0.00077675,71.4546,1.16826
413,1714,0.0296002,0.000704311,67.2993,0.992226
420,2064,0.030373,0.000658318,68.0707,0.952316
427,2053,0.0308768,0.000670853,66.2918,0.889211
434,1970,0.0320409,0.000710231,65.7122,0.942282
441,1674,0.0347974,0.000835562,64.8895,1.03568
448,1324,0.0357471,0.000964699,61.2568,1.13841
455,848,0.0368648,0.00124239,61.0684,1.48031
462,848,0.0360989,0.00121706,58.9623,1.47218
469,569,0.0366246,0.00150701,63.6292,1.89479
476,461,0.036596,0.00167297,60.4469,1.98515
483,380,0.0369111,0.00185823,59.2289,2.26221
490,244,0.0334981,0.00210827,63.4303,2.97497
497,141,0.0276796,0.00229856,59.234,3.64394
504,90,0.031348,0.00325216,50.8667,4.03014
511,44,0.0218471,0.00325739,53.5682,6.41927
518,27,0.0194245,0.00370175,54.8889,7.92443
525,12,0.0156863,0.00449258,87.4167,14.16
532,11,0.02,0.00596962,72.9091,17.9206
539,8,0.016632,0.0058312,46.375,15.054
546,10,0.0166113,0.00520914,77.9,16.149
553,21,0.0187668,0.00405663,63.0476,8.78426
560,16,0.0165803,0.00411057,72.625,10.023
567,17,0.0199297,0.00478524,59.1765,9.55452
574,10,0.0143062,0.00449153,110.3,17.0921
581,20,0.0269906,0.00595327,86.85,9.19872
588,22,0.0284605,0.00598084,65.4091,9.9608
595,18,0.023166,0.00539667,45.6667,8.91455
602,16,0.0195599,0.00484192,51.25,7.53144
609,37,0.0291798,0.00472662,62.1622,7.30255
616,30,0.0205339,0.00371027,59.4,8.18666
623,42,0.0228261,0.00348171,77.1667,7.04544
630,43,0.0204082,0.00308029,57.7674,5.65713
637,82,0.0246468,0.00268804,55.8902,4.66597
644,102,0.0239944,0.00234712,65.6373,4.62975
651,200,0.0261677,0.00182597,62.165,3.02035
658,367,0.0226362,0.00116815,60.4578,2.20704
665,653,0.0242265,0.0009365,60.8162,1.63635
672,976,0.0240916,0.000761808,59.9211,1.37954
679,1250,0.0224792,0.000628621,59.6784,1.22133
686,1640,0.0226666,0.000553333,59.2262,1.05616
693,1784,0.0213423,0.000499872,57.8509,1.01663
700,1527,0.0209715,0.000531017,59.6176,1.1084
707,1239,0.0220314,0.000618968,58.2559,1.19662
714,932,0.0228079,0.000738529,52.0901,1.37887
721,655,0.0243133,0.000938379,54.4519,1.66352
728,631,0.0203149,0.000800465,52.7702,1.59571
735,530,0.0158916,0.000684779,55.6736,1.86244
742,747,0.0113247,0.000411996,51.079,1.62921
749,1289,0.0102494,0.000284012,48.5159,1.20608
756,2016,0.00963464,0.000213544,47.2267,0.967488
763,1823,0.0103487,0.000241121,47.8464,0.996732
770,1446,0.0116967,0.00030579,45.323,1.08493
777,1053,0.0130154,0.000398473,43.9335,1.28724
784,819,0.0140647,0.000487991,45.6239,1.49084
791,661,0.0127486,0.000492691,46.3979,1.62031
798,775,0.0144716,0.000516062,44.1135,1.45473
805,780,0.0145942,0.000518728,43.7936,1.5207
812,715,0.0151179,0.000561087,42.8126,1.6022
819,548,0.0142334,0.000603678,48.3595,1.86882
826,430,0.0154571,0.000739622,48.2977,2.15211
833,235,0.015738,0.00101852,44.7277,2.73398
840,250,0.0174691,0.00109515,39.44,2.53552
