"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunityboost_001-061" -1.93715102464969 -2.0170006329749 -1.85730141632448 0.144113942540685 0.133053944802518 0.156093293328849 0.855886057459315 0.866946055197482 0.843906706671151
"Immunityboost_062-122" -1.72884632438706 -1.78345711535942 -1.6742355334147 0.177489056695484 0.168056152330957 0.187451425072581 0.822510943304516 0.831943847669043 0.812548574927419
"Immunityboost_123-183" -1.22342072142228 -1.30029895923238 -1.14654248361218 0.294221992093216 0.272450329316139 0.317733440985688 0.705778007906784 0.727549670683861 0.682266559014312
"Immunityboost_184-244" -0.769422961625918 -0.853034159342391 -0.685811763909445 0.463280321719665 0.426120052368766 0.503681193362232 0.536719678280335 0.573879947631234 0.496318806637768
"Immunityboost_245-305" -0.654820095820122 -0.722866555770369 -0.586773635869876 0.519535520791821 0.485358951418578 0.556118634621924 0.480464479208179 0.514641048581422 0.443881365378076
"Immunityboost_306-366" -0.53867425159169 -0.615325272102561 -0.462023231080818 0.583521342290151 0.540465068505896 0.630007704012021 0.416478657709849 0.459534931494104 0.369992295987979
"Immunityfull_001-061" -0.630984184735561 -0.788189334317575 -0.473779035153547 0.532067890140889 0.454667300894948 0.622644819985388 0.467932109859111 0.545332699105052 0.377355180014612
"Immunityfull_062-122" -0.453813244514427 -0.589739136873269 -0.317887352155585 0.635201349505929 0.554471907145743 0.727684755916945 0.364798650494071 0.445528092854257 0.272315244083055
"Immunityfull_123-183" -0.362008564947913 -0.477861498668978 -0.246155631226847 0.696276404245097 0.620108076828638 0.781800542879322 0.303723595754903 0.379891923171362 0.218199457120678
"Immunityfull_184-244" -0.252478246181202 -0.327564459789441 -0.177392032572963 0.776873112612416 0.720676835101234 0.837451411929073 0.223126887387584 0.279323164898766 0.162548588070927
"Immunityfull_245-305" -0.272192394425426 -0.359375701607461 -0.18500908724339 0.761707698676365 0.698112020267352 0.831096731439531 0.238292301323635 0.301887979732648 0.168903268560469
"Immunityfull_306-366" -0.182730773826443 -0.290287386987403 -0.0751741606654838 0.832992388904484 0.748048557263159 0.927581923974888 0.167007611095516 0.251951442736841 0.0724180760251124
"Immunityhybridboost_001-061" -3.31441101186554 -3.66780482292265 -2.96101720080842 0.0363554552043349 0.0255324567374972 0.0517662337276505 0.963644544795665 0.974467543262503 0.94823376627235
"Immunityhybridboost_062-122" -2.90917193016958 -3.14180607436472 -2.67653778597444 0.0545208582597353 0.0432046964999418 0.0688009458736077 0.945479141740265 0.956795303500058 0.931199054126392
"Immunityhybridboost_123-183" -2.53953759431206 -2.85125889824206 -2.22781629038207 0.0789028764953932 0.0577715465783043 0.107763497568979 0.921097123504607 0.942228453421696 0.892236502431021
"Immunityhybridboost_184-244" -2.16971391612467 -2.44474632844639 -1.89468150380295 0.11421028595878 0.0867481376457272 0.150366218489403 0.885789714041221 0.913251862354273 0.849633781510597
"Immunityhybridboost_245-305" -2.03259181316745 -2.3002102809538 -1.76497334538111 0.130995564757456 0.10023776341399 0.171191349464306 0.869004435242544 0.89976223658601 0.828808650535694
"Immunityhybridboost_306-366" -2.10890928930477 -2.49623734576807 -1.72158123284148 0.121370274121627 0.082394437882742 0.178783226378977 0.878629725878373 0.917605562117258 0.821216773621023
