day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,2,0.00132802,0.000938429,161,6.36396
224,0,0,0,,,
231,2,0.000969462,0.000685181,163,9.19239
238,3,0.00116144,0.000670168,167.667,8.05996
245,9,0.00188917,0.000629128,143.333,5.23285
252,21,0.00232868,0.000507567,161.476,3.53577
259,36,0.00252189,0.000419785,165.694,2.67816
266,46,0.00312627,0.000460223,157.196,2.58204
273,88,0.00396129,0.000421437,150.67,2.36815
280,175,0.00439931,0.000331824,149.171,1.67467
287,378,0.0058755,0.000301314,146.399,1.2931
294,568,0.00627846,0.00026261,142.658,1.17497
301,550,0.00693385,0.000294634,140.927,1.22145
308,450,0.0066832,0.000313995,133.787,1.48994
315,339,0.00843556,0.00045622,126.864,1.778
322,284,0.00860945,0.000508673,123.489,2.06745
329,259,0.0099135,0.000612934,117.232,2.29616
336,316,0.0110285,0.000616972,111.994,2.21831
343,465,0.0124073,0.000571793,110.286,1.85707
350,722,0.0134966,0.00049889,104.101,1.57761
357,942,0.0168841,0.000545451,97.172,1.422
364,1320,0.0172881,0.000471709,92.5917,1.23397
371,1402,0.0175522,0.000464636,85.5414,1.17854
378,1024,0.0188902,0.000584717,81.4316,1.37113
385,1016,0.0212748,0.000660312,75.6407,1.3589
392,1024,0.0211921,0.000655197,75.1621,1.38615
399,1181,0.022518,0.000647826,73.1905,1.25664
406,1365,0.0236585,0.000632734,71.0432,1.15734
413,1765,0.0241996,0.000569006,67.3632,0.994471
420,2131,0.0248151,0.000530846,67.8057,0.94009
427,2113,0.0253324,0.00054407,65.9337,0.885304
434,2030,0.0263588,0.000577268,65.3537,0.934612
441,1724,0.0284329,0.000674977,64.9681,1.03204
448,1361,0.0291979,0.000779807,60.953,1.13036
455,875,0.0301288,0.00100308,60.9669,1.47266
462,880,0.0294295,0.00097736,57.8398,1.46572
469,585,0.0290611,0.00118394,62.959,1.8695
476,471,0.0285437,0.00129632,60.4395,1.98415
483,395,0.0292419,0.00144965,59.2861,2.26604
490,251,0.0259298,0.00161531,62.5339,2.9199
497,149,0.0214976,0.00174212,57.604,3.59785
504,91,0.0218803,0.00226844,50.9231,3.98625
511,45,0.0152594,0.00225732,55.7778,6.64603
518,29,0.0137571,0.002537,58.1724,8.63035
525,14,0.0118044,0.00313618,83.6429,14.1633
532,12,0.0144404,0.00413839,66.0833,17.6794
539,10,0.01221,0.0038375,44.3,13.3702
546,10,0.0100908,0.00317486,77.9,16.149
553,27,0.0151941,0.00290182,66.8889,8.85973
560,20,0.0123762,0.00275023,67.45,9.91375
567,20,0.014771,0.00327842,57.4,8.22174
574,11,0.00932203,0.00279757,100.182,18.2896
581,23,0.0178433,0.00368724,87,9.13913
588,25,0.0177179,0.00351205,68.52,9.61135
595,21,0.0161414,0.00349381,48.2381,9.3248
602,22,0.0154278,0.00326374,63.0909,8.37916
609,45,0.0199734,0.00294757,68.6889,7.48851
616,32,0.0116068,0.00203987,61.625,8.18055
623,48,0.0150849,0.00216083,75.5208,6.9456
630,50,0.0144383,0.0020271,62.64,5.87229
637,96,0.0176698,0.00178741,56.875,4.45362
644,116,0.0164004,0.0015102,67.5948,4.33538
651,221,0.0171918,0.00114646,64.4615,3.01602
658,417,0.0154262,0.000749573,64.2062,2.18702
665,715,0.0168891,0.00062626,62.3916,1.62083
672,1058,0.0172181,0.000524772,61.7476,1.38774
679,1371,0.0153119,0.000410356,60.8228,1.20791
686,1793,0.0153435,0.000359565,61.1573,1.05008
693,1921,0.0146365,0.000331492,58.6366,1.00348
700,1645,0.0145875,0.000357031,60.3629,1.08708
707,1316,0.0151207,0.000413652,59.1634,1.18253
714,991,0.0159823,0.000503622,52.5146,1.36021
721,686,0.0183418,0.000693839,55.4213,1.66166
728,660,0.0158194,0.000610878,52.5288,1.56879
735,580,0.011231,0.000463714,55.1103,1.77423
742,821,0.00721346,0.000250842,50.592,1.55653
749,1436,0.00706151,0.000185687,48.2305,1.14991
756,2191,0.00691914,0.000147307,47.2022,0.933339
763,1979,0.00801438,0.000179432,46.2425,0.956863
770,1537,0.00934523,0.000237254,44.6532,1.07144
777,1126,0.0110261,0.000326773,42.2886,1.23158
784,852,0.0117798,0.000401186,45.1068,1.44947
791,700,0.0109989,0.000413425,44.9229,1.56516
798,809,0.0125085,0.000437016,43.0383,1.43991
805,808,0.0127158,0.000444487,43.5978,1.50278
812,731,0.0131973,0.000484889,42.186,1.57491
819,568,0.0127503,0.000531569,47.5106,1.84585
826,449,0.0139841,0.000655318,43.2606,1.95005
833,239,0.0140234,0.000900713,41.3724,2.49668
840,264,0.0163376,0.000997265,34.2576,2.04173
