"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.0084956828037053 0.00032935047945641 0.000303543001778098 0.000288287511197435 0.000320244921025355 0.000347851425612521 0.000357756061143892 0.000375074798772171 0.000342719382888628 0.000314298485565711 0.000300683201780265 0.000294141946190168 0.000338080831798352 0.000322701961791728 0.000305229896925956 0.000292692988566444 0.00034441234130196 0.000325760616746281 0.000328792691919167 0.000339682626337331 0.000323178739027875 0.000309236648702954 0.000370849104967753 0.00036904408586141 0.000372124081233811 0.000378601171226164 0.000399164786077788 0.000408657560088044 -2.59678657779727e-05 -2.41501826193844e-05 -2.43404156396999e-05 -2.45690806152723e-05 -1.64108231377588e-05 1.86968608282925e-05 -0.000642209271436596 0.000227698376035995 -0.000152093235894489 -0.000119115068276219 -8.80465937002882e-05 -6.25582213558462e-05 -4.33822329692884e-05 -1.49177015244016e-05 3.02323210167535e-05 4.70228481520247e-05 5.69561767705868e-05 6.68274214132944e-05 8.91249195212095e-05 9.26716918317969e-05 9.41811069283564e-05 0.000123993854379775 3.63572008152449e-05
"Immunityboost_001-061" 0.00032935047945641 0.0025675600447731 0.000318538580277929 0.000172202084181459 0.000108907034913528 0.000395689358885161 0.000322215424586156 0.000402678436513699 0.000397682639128738 0.000296876374915251 0.000239301825312642 0.000131968415403154 8.62875749278988e-05 0.000368803426925746 0.000291621174805802 0.000166782873562212 0.000368229892696848 0.00034990296253966 0.000332215248990818 0.000363295854799515 0.000287031137652135 0.000256126662530222 0.000321148697510939 0.000222666432523689 0.000386362816870876 0.000320995823883913 0.000324281502125024 0.000246296333691853 -2.62170163868864e-05 -2.77318888528883e-05 -1.42023651848807e-05 2.93134774156662e-06 2.16511930267816e-05 6.52842441888551e-05 -1.838070465029e-05 0.000302155581414008 0.000187706714532482 9.35023300870431e-05 3.52475239492334e-05 7.4679230484289e-05 7.29935207241383e-05 4.77591578870132e-05 -4.2159986769735e-05 -5.71533185956805e-05 -6.61094082262832e-05 -7.37965295612959e-05 -0.000110778832917773 -8.67626454752929e-05 -3.36488423705967e-05 7.46490211461391e-05 -2.0201708014344e-07
"Immunityboost_062-122" 0.000303543001778098 0.000318538580277929 0.001081074532605 0.000309371781492123 0.000224152321019636 0.000308741173751673 0.000315090668456063 0.000292525095749485 0.000311363923116425 0.000325367137460213 0.000311482659174254 0.000280298089061443 0.000202693019445872 0.000319118471669303 0.000327947600609336 0.000292506738016418 0.000293924261408268 0.000316340151726425 0.000301260551553599 0.000297272662917093 0.00030511603920912 0.00029764127051929 0.000284945112063784 0.00027119856900555 0.000302212579248499 0.000301567923889404 0.000297951559278739 0.00030331354235154 -2.78723977907606e-05 -3.57042385997714e-05 -2.610091220844e-05 -9.7372608195153e-06 9.5036051573848e-06 5.68841388029758e-05 -3.57744350498241e-05 0.000176268369691103 8.99185758258642e-05 3.13855680441176e-05 3.34508254544829e-06 2.93314349270503e-05 3.28631099885294e-05 2.18541655099207e-05 -2.27125752287216e-05 -3.20687264664637e-05 -4.54738359615577e-05 -8.02127215629287e-05 -0.000127898020964583 -0.000163916364991438 -0.000179261942065016 -0.000101366312106445 -8.83872666962399e-06
"Immunityboost_123-183" 0.000288287511197435 0.000172202084181459 0.000309371781492123 0.00234937136294842 0.000912332972844938 0.000185206547234684 0.000312037585677846 0.000213120867076437 0.000203288202936261 0.000383834864495539 0.000422324156697044 0.000651554834741423 0.000899255676647189 0.00025320688143187 0.000363817852800363 0.000680136154376858 0.000211484215493895 0.000270876898174843 0.000353606940425341 0.000247575501230841 0.000398763340705468 0.000394618710083108 0.00027029454955406 0.000525212648249112 0.000180352214860168 0.000295134836288282 0.000293556316850699 0.000430303247804419 -2.73785517308999e-05 -3.84801321137222e-05 -3.260627822042e-05 -1.81857047766719e-05 1.2993710663229e-06 4.87035583146842e-05 -4.81893205302642e-05 0.000128866231088386 6.072994976734e-05 1.8409779726385e-05 1.39823595353733e-06 1.69779442462491e-05 2.08689347593454e-05 1.41970611073011e-05 -1.39451634362565e-05 -2.07602758861349e-05 -2.94681706906369e-05 -5.25463323508261e-05 -7.8788488021295e-05 -0.000146160925555991 -0.000223190879605911 -0.000195404531708754 -1.68105275681811e-05
"Immunityboost_184-244" 0.000320244921025355 0.000108907034913528 0.000224152321019636 0.000912332972844938 0.0564473957113763 0.00012064541128407 0.000226965186560166 0.000226790805129824 0.000135287153390715 0.000344508716731657 0.000608691314229736 0.00120391101304501 0.00565295289640952 0.00018830946199261 0.000337021501033509 0.00113769318934446 0.000132694706230912 0.000223605417977314 0.00039890527250298 0.000250492529812283 0.000440205315369897 0.000650176989567557 0.000266771615781819 0.000704953908902647 0.000106718011413642 0.000237877548350602 0.000313853304018876 0.000454370322435895 -2.73116202133484e-05 -4.01695918226551e-05 -3.84088100739221e-05 -2.86568089712441e-05 -1.17935944607353e-05 3.16119108974903e-05 -6.07725381431674e-05 0.000110243957498081 5.01598463866397e-05 1.41400212742599e-05 5.60263993076539e-06 1.3886482560595e-05 1.74082517745201e-05 1.13054684753304e-05 -9.80760289261939e-06 -1.73017542709533e-05 -2.13761073598204e-05 -3.27331184438417e-05 -3.70409497189104e-05 -0.000107863286450391 -0.000212641744398263 -0.000252132198247844 -2.56319489998857e-05
"Immunityfull_001-061" 0.000347851425612521 0.000395689358885161 0.000308741173751673 0.000185206547234684 0.00012064541128407 0.00901294649329665 0.000350246022310895 0.000412674609627758 0.000388083974854205 0.000295554561246317 0.000252071512338755 0.000167057330481038 0.00012068565868013 0.000352273790848607 0.000290167466830362 0.000180924115492646 0.00038736569946374 0.000349313436260146 0.000332355456921462 0.000370293424622748 0.000297543139201826 0.00026801263582285 0.000366870850016399 0.000286678604478004 0.000396270253309303 0.000350896382607395 0.00035748579723909 0.00030911458166391 -4.04829091900149e-06 -1.18436690005868e-06 8.8249198495887e-06 2.4934179581184e-05 3.72387090746801e-05 7.90171710548662e-05 -0.000199393200686629 0.000318094923028028 -0.000186919991964105 -0.000239473425938334 -0.000205291170421832 -0.000105353617135363 -7.50815339668299e-05 -3.68465817179791e-05 1.65997818870494e-05 3.18211732749462e-05 5.0048269931199e-05 5.57366851918568e-05 6.46769170736492e-05 8.87706141476176e-05 0.000108795498576094 0.000177169039748173 7.87909401041824e-06
"Immunityfull_062-122" 0.000357756061143892 0.000322215424586156 0.000315090668456063 0.000312037585677846 0.000226965186560166 0.000350246022310895 0.00673170983398958 0.000391897089636358 0.000363284875630224 0.000340002573214928 0.000286082483805748 0.00028515173647883 0.000238093619306928 0.000342828771069041 0.000328563947059174 0.000309609663311217 0.00038993102847465 0.000360036824297658 0.000366187476736093 0.000382510745316366 0.000365990730654752 0.00030044534281836 0.000405048813864232 0.00042929906029745 0.000375797986667964 0.000390865985760479 0.000391270816047009 0.000433540057235672 -1.60109108561118e-06 6.92251368306185e-07 1.2612106524145e-05 2.79264690727372e-05 4.53681055710227e-05 8.0688768917554e-05 -0.000411143971476606 0.000504839380063348 1.76566338514779e-05 -0.000191094336474548 -0.000280712611502036 -0.000124759927293072 -6.89354376404957e-05 -3.81737371221748e-05 1.17347810753521e-05 4.02812715267022e-05 7.45862598144842e-05 0.000100371031967753 0.000124299312749938 0.000152080755291954 0.000176747764931944 0.000250590092836324 -3.2352941662797e-06
"Immunityfull_123-183" 0.000375074798772171 0.000402678436513699 0.000292525095749485 0.000213120867076437 0.000226790805129824 0.000412674609627758 0.000391897089636358 0.00566112137719083 0.00041296688191435 0.00030608405591315 0.000244521608319316 0.000191637182233882 0.000228661233883276 0.000361968705572481 0.000290135093258306 0.000220294892313404 0.000433492351636775 0.000368338542394853 0.000376765737187107 0.000410169924810136 0.000329890574624971 0.000274502387425991 0.000415279490818493 0.000373469295067748 0.000421362038074887 0.000385163513275347 0.000395185026352067 0.00036484704233024 -7.86370136723668e-06 -9.85727833861733e-07 8.73305964342495e-06 2.50791455150358e-05 4.32532752678329e-05 7.90043984463166e-05 -0.000344975606215606 0.000586153897397121 -8.70381199828677e-05 -0.000737380851718417 -0.00058893613533865 -0.000267429411751063 -0.000135594073826118 -6.98219814620986e-05 4.4955835545048e-05 8.69371115168679e-05 0.000125580559672211 0.000149981429687403 0.000178769016078175 0.000219442251346406 0.000256285620209218 0.000341605940046522 4.97139996886186e-06
"Immunityfull_184-244" 0.000342719382888628 0.000397682639128738 0.000311363923116425 0.000203288202936261 0.000135287153390715 0.000388083974854205 0.000363284875630224 0.00041296688191435 0.00245414792275962 0.000311873562456593 0.000249893118860766 0.000176545027419069 0.000134145468848288 0.000366862327634854 0.000303626266516693 0.000203164725902931 0.000406637232001821 0.000367945584110823 0.000355885544901948 0.000397734191414368 0.000328581397258803 0.000274341908191694 0.000376355869582562 0.000314064572486028 0.000398419513907189 0.000356730685351246 0.000355100298525769 0.000319360307003499 -1.02953469988862e-05 -5.2967560613605e-06 9.2694314244823e-06 2.47496904922129e-05 3.8913011322097e-05 8.00262433486618e-05 -9.49757046023318e-05 0.000521030724529536 0.000332456575291599 0.000135581017011884 1.29509400087942e-05 9.19880122068904e-05 9.41434926378155e-05 5.66727091665468e-05 -1.62882796858043e-05 9.92592580739583e-06 4.52561405267103e-05 9.17613910955791e-05 0.0001181834818995 0.000160137059992206 0.000199875174343677 0.000287368629048222 1.74390105706045e-05
"Immunityfull_245-305" 0.000314298485565711 0.000296876374915251 0.000325367137460213 0.000383834864495539 0.000344508716731657 0.000295554561246317 0.000340002573214928 0.00030608405591315 0.000311873562456593 0.00332531297588763 0.000324978901243756 0.000357805570921744 0.00034036132094832 0.000318890032536637 0.000337518013156307 0.000379764740106589 0.000312767420328975 0.00032577257595821 0.000340700992159504 0.000323523968992138 0.000354820530995834 0.000321658704291922 0.000319348489561747 0.000376441558707371 0.000301857087963008 0.000328207634674216 0.00032231469461167 0.0003651711936766 -1.94059207539409e-05 -2.06953400841916e-05 -1.1190326607352e-05 3.25217313513695e-06 2.03512889741729e-05 6.07099333861387e-05 -8.07508721021543e-05 0.000272886515433582 0.000175869406105834 0.00010456901255445 4.69186136417088e-05 6.67045288935147e-05 6.65497760011565e-05 4.38708587095603e-05 -3.4152846906879e-05 -4.62167548902789e-05 -5.31807761614439e-05 -4.43439032456026e-05 -4.81887130087215e-05 -6.3864818011788e-05 -7.04993920765282e-05 8.24704948207378e-06 3.47461192893825e-05
