../../convertool/bin/convertool ../../data/data_20230816.csv rinput.csv xx-icbm 2022-01-01 2022-08-21 
version 2.0
Usage convertool input output whattodo(DVRW) firstdate(rrrr-mm-dd) lastdate(rrrr-mm-dd) [minage maxage everyn]
D=i-infection/x-covidproxy/h-hospitalization/l-longcovid
V=!-all variants/O-all Omicrons/E-O+Delta/x-variant x
R=-variants... --not discerned in InfPrior/a all discerned/g general discerned
W=i-intervals uded for variant determination/--not used

serious covid proxy
BA12 as outcome.
Variants not discerned in InfPrior
Using intervals of dominance
Checking immunity covariates for zeros
Discerning BA45 booster
Missing DCCIs are not censored
Input ../../data/data_20230816.csv
Number of InfPrior covariates: 10
Number of VaccStatusFull covariates: 10
Number of VaccStatusBoost covariates: 7
Number of VaccStatusSecBoost covariates: 7
Output rinput.csv
Date range 2022-01-01 - 2022-08-21

minage=0 maxage=333
Writing to temporary_full.csv
Importing from input, total 10852474 records.
Processing records from input, excluding inconsistent records:
9853476 individuals taken from the UZIS database
Omitting adding CZSO records.
Total 9965234 unique records, after errors and censorint: 9853476.
Not having particular shot: 0, 0, 0, 0, 0, 

Variants of infection found during study period

variant,infections,outcomes,discerned_in_condition,taken_as_outcome
NA,698217,17039,0,0
Delta,773952,18252,0,0
BA12,1048377,7547,0,1
BA45,238041,2898,0,0
Omicron,233941,1428,0,0
Alpha,633784,31161,0,0
Beta,0,0,0,0
Early,745779,18324,0,0
2023,110081,3028,0,0

Untracked variants (joinded into NA)
(empty)
JIN

Mode seriouscovidproxy
Age filter: 0-333

infprior,N,events
inf_NA_550+,1274750,1
inf_NA_428-488,2347423,19
inf_NA_489-549,1899813,4
_uninfected,23041960,7371
inf_NA_001-061,3441450,0
inf_NA_062-122,3572148,32
inf_NA_123-183,3007549,9
inf_NA_184-244,1227759,0
inf_NA_245-305,773457,1
inf_NA_306-366,1331522,29
inf_NA_367-427,1913720,30

vaccstatus,N,events
_unvaccinated,8108930,3328
full_123-183,4495478,201
full_184-244,4086544,498
boost_001-061,4772834,480
boost_062-122,5027932,1365
boost_123-183,4751535,597
full_245-305,2801779,344
full_306-366,2073107,211
full_001-061,964180,119
full_062-122,1647738,165
boost_184-244,3278159,20
boost_245-305,508368,0
full_367-427,641958,45
full_428-488,113027,1
partial_001-061,372906,56
partial_062+,165972,66
full_489-549,21075,0
boost_306-366,25,0
boost_367+,4,0

immunity,N,events
_other,694669,123
inf_428-488,384478,2
inf_489-549,301959,1
_noimmunity,2404613,3278
inf_001-061,1101455,0
inf_062-122,1142103,14
inf_123-183,1061894,5
inf_184-244,575827,0
inf_245-305,325599,0
full_123-183,2671078,193
full_184-244,2020033,487
boost_001-061,3254191,470
boost_062-122,3174835,1353
hybridboost_001-061,2112157,10
hybridboost_062-122,2036853,14
full_245-305,1051807,336
full_306-366,795281,202
inf_306-366,301489,15
inf_367-427,353725,12
hybridfull_001-061,1793417,3
hybridfull_062-122,2065747,18
hybridfull_123-183,2376032,11
hybridfull_184-244,1318121,10
boost_123-183,2968882,594
boost_184-244,2294480,20
hybridboost_123-183,1533412,1
hybridboost_184-244,532332,0
full_001-061,558388,116
full_062-122,890199,158
boost_245-305,385706,0
hybridfull_245-305,595755,1
hybridfull_306-366,316955,3
full_367-427,257726,45
full_428-488,39245,1
hybridboost_245-305,45985,0
hybridfull_367-427,74512,0
hybridfull_428-488,11669,0
full_489-549,7083,0
hybridfull_489-549,1838,0
boost_306-366,18,0
hybridboost_306-366,3,0

dcci,N,events
nodcci,765718,115
1,9730464,1182
3,2258031,1149
0,23958806,979
2,4307272,1203
5,661784,739
6+,935721,1233
4,1213755,896

agegr,N,events
60-64,2684057,349
45-49,4421577,112
25-29,2274035,33
18-24,3064892,33
16-17,945128,4
12-15,1792621,6
0-11,2260116,44
_40-44,3693593,61
35-39,3048463,46
55-59,3209054,240
30-34,2839587,32
70-74,2739525,1152
80+,2297360,3111
75-79,2206028,1448
50-54,3485507,141
65-69,2870008,684

covs (immunity version)=54 (65), events=7496, eventspercov=138.824(131.518)
minage=0 maxage=333
Writing to rinput.csv
Importing from input, total 10852474 records.
Processing records from input, excluding inconsistent records:
9853476 individuals taken from the UZIS database
Comparison with CZSO from 4th half-year
Adding women
Age,Total,Recorded,difference
0,53574,1014,52560
1,53353,5903,47450
2,54677,12724,41953
3,55542,36486,19056
4,55397,42632,12765
5,54622,46076,8546
6,53949,47502,6447
7,53155,48898,4257
8,53052,49982,3070
9,53531,49124,4407
10,55313,50818,4495
11,57628,50804,6824
12,58379,54775,3604
13,57617,56282,1335
14,54187,56998,-2811
15,51023,55188,-4165
16,49031,50511,-1480
17,47202,49078,-1876
18,46748,47094,-346
19,46565,46287,278
20,46058,45664,394
21,45584,44728,856
22,45622,44307,1315
23,46271,43631,2640
24,46681,44026,2655
25,48191,44164,4027
26,52286,44138,8148
27,58163,46537,11626
28,61465,51792,9673
29,63376,58266,5110
30,65455,58504,6951
31,65419,61648,3771
32,66223,62355,3868
33,66698,61492,5206
34,66538,63299,3239
35,67735,62054,5681
36,68511,63310,5201
37,68785,64316,4469
38,69699,64737,4962
39,70640,64926,5714
40,72692,66630,6062
41,78551,67320,11231
42,84065,71010,13055
43,86342,79109,7233
44,88299,82129,6170
45,90448,83677,6771
46,91810,85960,5850
47,88995,88001,994
48,82003,88741,-6738
49,75976,82627,-6651
50,72391,75110,-2719
51,69508,70934,-1426
52,66443,68185,-1742
53,64873,65392,-519
54,65315,62265,3050
55,66932,62471,4461
56,69534,63442,6092
57,69799,66007,3792
58,65206,68707,-3501
59,60932,66522,-5590
60,59347,59667,-320
61,58255,58201,54
62,60589,56603,3986
63,65300,56173,9127
64,68746,61211,7535
65,70174,65578,4596
66,70574,68279,2295
67,70799,68826,1973
68,71258,69151,2107
69,71930,69415,2515
70,70951,70516,435
71,68561,71050,-2489
72,67850,69337,-1487
73,69178,66968,2210
74,68305,68182,123
75,59688,70257,-10569
76,53535,66988,-13453
77,52301,53508,-1207
78,47103,54751,-7648
79,41958,51717,-9759
80,39061,44589,-5528
81,34905,41524,-6619
82,30528,39086,-8558
83,27341,33584,-6243
84,24623,30526,-5903
85,22415,27286,-4871
86,20437,25278,-4841
87,18470,23281,-4811
88,16647,21584,-4937
89,14440,19536,-5096
90,12150,18132,-5982
91,9692,15497,-5805
92,7420,13275,-5855
93,5621,10260,-4639
94,4117,8200,-4083
95,2939,6269,-3330
96,2064,4735,-2671
97,1472,3374,-1902
98,933,2450,-1517
99,571,1801,-1230
100,587,2496,-1909
Adding men
Age,Total,Recorded,difference
0,55992,1265,54727
1,55956,6766,49190
2,57296,13630,43666
3,58090,38722,19368
4,58277,44454,13823
5,57624,48635,8989
6,56873,50239,6634
7,55916,51671,4245
8,55613,52732,2881
9,56109,51689,4420
10,58257,52981,5276
11,60360,53603,6757
12,60939,57946,2993
13,60209,58586,1623
14,57015,59666,-2651
15,54027,57408,-3381
16,51850,53650,-1800
17,49883,51424,-1541
18,49256,49831,-575
19,49098,48997,101
20,48913,48539,374
21,48440,47536,904
22,48228,47871,357
23,48972,46133,2839
24,49426,46884,2542
25,51331,46602,4729
26,55772,46551,9221
27,62134,49290,12844
28,66043,54265,11778
29,68360,61041,7319
30,70357,61564,8793
31,69864,64978,4886
32,70281,65094,5187
33,71260,63705,7555
34,71546,65538,6008
35,72631,65095,7536
36,73453,65938,7515
37,73628,67022,6606
38,74326,67242,7084
39,75373,67734,7639
40,78148,69171,8977
41,84498,70386,14112
42,89776,74997,14779
43,91669,82926,8743
44,93470,85625,7845
45,95450,86858,8592
46,96678,89203,7475
47,94319,90663,3656
48,86737,91892,-5155
49,79702,86240,-6538
50,75614,77274,-1660
51,72458,72765,-307
52,68988,69467,-479
53,67092,66790,302
54,67222,63070,4152
55,68531,63313,5218
56,71014,63796,7218
57,70683,66130,4553
58,65165,69098,-3933
59,60306,65711,-5405
60,58495,58448,47
61,57010,56913,97
62,57947,55459,2488
63,61307,54194,7113
64,63442,57689,5753
65,63728,61208,2520
66,62865,62598,267
67,62055,62494,-439
68,61463,61673,-210
69,60315,61423,-1108
70,58188,61056,-2868
71,55272,59813,-4541
72,53909,57759,-3850
73,53753,54720,-967
74,51321,55383,-4062
75,42972,55159,-12187
76,37270,50900,-13630
77,35849,38759,-2910
78,31502,39315,-7813
79,27198,36520,-9322
80,24617,30728,-6111
81,21169,27649,-6480
82,17618,25576,-7958
83,15078,20647,-5569
84,12961,18265,-5304
85,11485,15604,-4119
86,10001,13859,-3858
87,8582,12524,-3942
88,7392,10969,-3577
89,6150,9594,-3444
90,4962,8425,-3463
91,3711,7029,-3318
92,2645,5712,-3067
93,1893,4141,-2248
94,1273,3078,-1805
95,844,2258,-1414
96,508,1560,-1052
97,324,1059,-735
98,187,645,-458
99,101,431,-330
100,96,656,-560
Added,Men,Women
0-11,0,0
12-15,0,0
16-17,0,0
18-24,0,0
25-29,0,0
30-34,0,0
35-39,0,0
_40-44,0,0
45-49,0,0
50-54,0,0
55-59,0,0
60-64,0,0
65-69,0,0
70-74,0,0
75-79,0,0
80+,0,0
Total 9965234 unique records, after errors and censorint: 9853476.
Not having particular shot: 0, 0, 0, 0, 0, 

Variants of infection found during study period

variant,infections,outcomes,discerned_in_condition,taken_as_outcome
NA,698217,17039,0,0
Delta,773952,18252,0,0
BA12,1048377,7547,0,1
BA45,238041,2898,0,0
Omicron,233941,1428,0,0
Alpha,633784,31161,0,0
Beta,0,0,0,0
Early,745779,18324,0,0
2023,110081,3028,0,0

Untracked variants (joinded into NA)
(empty)
JIN

Mode seriouscovidproxy
Age filter: 0-333

infprior,N,events
inf_NA_550+,1274750,1
inf_NA_428-488,2347423,19
inf_NA_489-549,1899813,4
_uninfected,23041960,7371
inf_NA_062-122,3572148,32
inf_NA_123-183,3007549,9
inf_NA_245-305,773457,1
inf_NA_306-366,1331522,29
inf_NA_367-427,1913720,30

vaccstatus,N,events
_unvaccinated,8108930,3328
full_123-183,4495478,201
full_184-244,4086544,498
boost_001-061,4772834,480
boost_062-122,5027932,1365
boost_123-183,4751535,597
full_245-305,2801779,344
full_306-366,2073107,211
full_001-061,964180,119
full_062-122,1647738,165
boost_184-244,3278159,20
full_367-427,641958,45
full_428-488,113027,1
partial_001-061,372906,56
partial_062+,165972,66

immunity,N,events
_other,694669,123
inf_428-488,384478,2
inf_489-549,301959,1
_noimmunity,2404613,3278
inf_062-122,1142103,14
inf_123-183,1061894,5
full_123-183,2671078,193
full_184-244,2020033,487
boost_001-061,3254191,470
boost_062-122,3174835,1353
hybridboost_001-061,2112157,10
hybridboost_062-122,2036853,14
full_245-305,1051807,336
full_306-366,795281,202
inf_306-366,301489,15
inf_367-427,353725,12
hybridfull_001-061,1793417,3
hybridfull_062-122,2065747,18
hybridfull_123-183,2376032,11
hybridfull_184-244,1318121,10
boost_123-183,2968882,594
boost_184-244,2294480,20
hybridboost_123-183,1533412,1
full_001-061,558388,116
full_062-122,890199,158
hybridfull_245-305,595755,1
hybridfull_306-366,316955,3
full_367-427,257726,45
full_428-488,39245,1

dcci,N,events
nodcci,765718,115
1,9730464,1182
3,2258031,1149
0,23958806,979
2,4307272,1203
5,661784,739
6+,935721,1233
4,1213755,896

agegr,N,events
60-64,2684057,349
45-49,4421577,112
25-29,2274035,33
18-24,3064892,33
16-17,945128,4
12-15,1792621,6
0-11,2260116,44
_40-44,3693593,61
35-39,3048463,46
55-59,3209054,240
30-34,2839587,32
70-74,2739525,1152
80+,2297360,3111
75-79,2206028,1448
50-54,3485507,141
65-69,2870008,684

covs (immunity version)=48 (53), events=7496, eventspercov=156.177(166.589)
time: 962 seconds.
