"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.103458835980164 -0.280180974308144 0.0732633023478162 0.901713140115486 0.755646976391864 1.07601381658315 0.0982868598845137 0.244353023608136 -0.076013816583155
"Immunityboost_001-061" -2.07261603367551 -2.17229454880947 -1.97293751854155 0.125856106858992 0.113915931136091 0.139047800213114 0.874143893141008 0.886084068863909 0.860952199786886
"Immunityboost_062-122" -1.80891062804554 -1.87355314723198 -1.74426810885911 0.163832514171579 0.153577009495975 0.174772856874023 0.836167485828421 0.846422990504025 0.825227143125977
"Immunityboost_123-183" -1.2659514784246 -1.3609713963436 -1.1709315605056 0.281970879256358 0.256411578668024 0.310077950307939 0.718029120743642 0.743588421331976 0.689922049692061
"Immunityboost_184-244" -1.04915524788395 -1.51378889376764 -0.584521602000268 0.35023348465923 0.220074557180392 0.557372443903189 0.64976651534077 0.779925442819608 0.442627556096811
"Immunityfull_001-061" -0.656465702410174 -0.840799347497649 -0.472132057322699 0.51868127278589 0.431365574587832 0.623671147137434 0.48131872721411 0.568634425412168 0.376328852862566
"Immunityfull_062-122" -0.514801324689789 -0.672782710986115 -0.356819938393463 0.597619315027241 0.510286620071699 0.69989851123952 0.402380684972759 0.489713379928301 0.30010148876048
"Immunityfull_123-183" -0.433670129926664 -0.579644179845101 -0.287696080008228 0.648126017603507 0.560097625136927 0.749989494406244 0.351873982396493 0.439902374863073 0.250010505593756
"Immunityfull_184-244" -0.403404422785333 -0.499726258472807 -0.307082587097858 0.668041873329338 0.606696715068799 0.735589848167817 0.331958126670662 0.393303284931201 0.264410151832183
"Immunityfull_245-305" -0.354593922498126 -0.466729312171002 -0.24245853282525 0.701458231787975 0.627049802191513 0.784696286042098 0.298541768212025 0.372950197808487 0.215303713957902
"Immunityfull_306-366" -0.0137717341821567 -0.157125484678458 0.129582016314144 0.986322662317677 0.854596813282664 1.1383524711081 0.0136773376823227 0.145403186717336 -0.138352471108103
"Immunityfull_367-427" 0.246962407643425 -0.0499671561173272 0.543891971404178 1.28013098873314 0.951260667081388 1.72269852525572 -0.280130988733137 0.0487393329186118 -0.722698525255718
"Immunityfull_428-488" -0.0489039707614189 -2.0141531266896 1.91634518516676 0.952272571317845 0.133433356679114 6.79607462971247 0.0477274286821546 0.866566643320886 -5.79607462971247
"Immunityhybridboost_001-061" -3.85995857410293 -4.27022947639536 -3.4496876718105 0.0210688723018988 0.0139785750322476 0.0317555529837396 0.978931127698101 0.986021424967752 0.96824444701626
"Immunityhybridboost_062-122" -3.27613987927231 -3.6141758346475 -2.93810392389711 0.0377737871228119 0.0269391183585407 0.052966061272274 0.962226212877188 0.973060881641459 0.947033938727726
"Immunityhybridboost_123-183" -2.82993487120827 -3.45192230570868 -2.20794743670785 0.059016697230466 0.0316846701766449 0.109926047283264 0.940983302769534 0.968315329823355 0.890073952716736
"Immunityhybridfull_001-061" -4.37573277553636 -5.3565843073782 -3.39488124369451 0.0125789213385896 0.00471699041177238 0.0335445375609678 0.98742107866141 0.995283009588228 0.966455462439032
"Immunityhybridfull_062-122" -2.44839514678334 -2.7817143285865 -2.11507596498018 0.086432186225602 0.0619322441018081 0.120624125995768 0.913567813774398 0.938067755898192 0.879375874004232
"Immunityhybridfull_123-183" -2.47018875710987 -2.94706595332808 -1.99331156089165 0.0845688945147935 0.0524934985955531 0.136243498924649 0.915431105485206 0.947506501404447 0.863756501075351
"Immunityhybridfull_184-244" -1.77350207837141 -2.18416294578065 -1.36284121096218 0.169737512660009 0.112571923031136 0.255932584504559 0.830262487339991 0.887428076968864 0.744067415495441
"Immunityhybridfull_245-305" -1.77000534175705 -2.39100166641883 -1.14900901709528 0.170332078950395 0.0915379474525155 0.316950706531998 0.829667921049605 0.908462052547485 0.683049293468002
"Immunityhybridfull_306-366" -1.38178645113339 -2.25908515160189 -0.504487750664893 0.251129521474418 0.104445993309848 0.603814799950053 0.748870478525582 0.895554006690152 0.396185200049947
"Immunityhybridfull_367-427" -1.47672599852417 -3.43725982005617 0.483807823007835 0.228384195878032 0.0321526688257568 1.62223985851748 0.771615804121968 0.967847331174243 -0.622239858517484
"Immunityinf_062-122" -2.10042387277438 -2.50256179116285 -1.69828595438592 0.122404533306202 0.0818749831226065 0.182996920457039 0.877595466693798 0.918125016877393 0.817003079542961
"Immunityinf_123-183" -2.17319753297604 -2.97487755375203 -1.37151751220005 0.113813113282388 0.0510536849536117 0.253721641577868 0.886186886717612 0.948946315046388 0.746278358422132
"Immunityinf_245-305" -2.77284582077758 -4.73325406803009 -0.812437573525057 0.0624839334068251 0.00879779578341862 0.443775012526088 0.937516066593175 0.991202204216581 0.556224987473912
"Immunityinf_306-366" -1.42295987702538 -1.83344937975904 -1.01247037429172 0.240999630900612 0.159861193683108 0.363320332821764 0.759000369099388 0.840138806316892 0.636679667178236
"Immunityinf_367-427" -1.94844418775373 -2.45579577308293 -1.44109260242453 0.142495595609624 0.0857948950008506 0.236669032206872 0.857504404390376 0.914205104999149 0.763330967793128
"Immunityinf_428-488" -1.80775153977362 -2.3525150754683 -1.26298800407895 0.16402252061316 0.095129602956317 0.282807732106782 0.83597747938684 0.904870397043683 0.717192267893218
"Immunityinf_489-549" -1.51378787730582 -2.20790242578243 -0.819673328829219 0.22007478087789 0.109930995267736 0.440575554332908 0.77992521912211 0.890069004732264 0.559424445667092
"AgeGr0-11" -1.58497941327042 -1.9604353707413 -1.20952345579954 0.204952012365023 0.140797108633667 0.298339417478835 0.795047987634977 0.859202891366333 0.701660582521165
"AgeGr12-15" -2.00453117658225 -2.83855507563947 -1.17050727752503 0.134723442396739 0.0585101476526593 0.310209539018355 0.865276557603261 0.941489852347341 0.689790460981645
"AgeGr16-17" -1.46787768651314 -2.47575906158367 -0.459996311442605 0.230413977328283 0.0840991296047894 0.631285974037179 0.769586022671717 0.915900870395211 0.368714025962821
"AgeGr18-24" -0.536488140721534 -0.942691972968652 -0.130284308474417 0.584798380003924 0.389577689900702 0.877845816433642 0.415201619996076 0.610422310099298 0.122154183566358
"AgeGr25-29" -0.512619027840454 -0.918498615107551 -0.106739440573357 0.598924921868221 0.399117820939187 0.898759822828133 0.401075078131779 0.600882179060813 0.101240177171867
"AgeGr30-34" -0.599328176879326 -1.00514742854834 -0.193508925210314 0.549180464319842 0.365990673352706 0.824062481231332 0.450819535680158 0.634009326647294 0.175937518768668
"AgeGr35-39" -0.211399976124993 -0.572258204940111 0.149458252690125 0.809450241353442 0.56424980722085 1.16120499261543 0.190549758646558 0.43575019277915 -0.161204992615432
"AgeGr45-49" 0.684687099839707 0.391636697339582 0.977737502339831 1.9831512101138 1.47940014375028 2.65843473031302 -0.983151210113796 -0.479400143750275 -1.65843473031302
"AgeGr50-54" 1.13857878494452 0.856007455309238 1.4211501145798 3.12232771122014 2.35374447886221 4.14188134005345 -2.12232771122014 -1.35374447886221 -3.14188134005345
"AgeGr55-59" 1.64554690184731 1.38054745403025 1.91054634966436 5.18384418580306 3.97707829917006 6.75677935440494 -4.18384418580306 -2.97707829917006 -5.75677935440494
"AgeGr60-64" 2.07736543683738 1.82118530461136 2.33354556906339 7.98340839018052 6.17917831944546 10.3144473633065 -6.98340839018052 -5.17917831944546 -9.31444736330647
"AgeGr65-69" 2.69754274694163 2.45141114848225 2.94367434540102 14.8432133444103 11.6047111407066 18.9854775113571 -13.8432133444103 -10.6047111407066 -17.9854775113571
"AgeGr70-74" 3.34220570632842 3.10038596070279 3.58402545195406 28.2814385072702 22.2065204718977 36.0182391047125 -27.2814385072702 -21.2065204718977 -35.0182391047125
"AgeGr75-79" 4.02996827423558 3.78905229775116 4.27088425072 56.2591263550251 44.2144782538511 71.584906646614 -55.2591263550251 -43.2144782538511 -70.584906646614
"AgeGr80+" 4.46957368116494 4.23148730101184 4.70766006131805 87.3194891343675 68.8195114239517 110.792608446698 -86.3194891343675 -67.8195114239517 -109.792608446698
"SexM" 0.489915546689366 0.444470504586112 0.53536058879262 1.63217837126757 1.55966414214568 1.70806403997255 -0.632178371267573 -0.559664142145675 -0.708064039972553
