day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,2,0.0015444,0.00109121,161,6.36396
224,0,0,0,,,
231,1,0.000566251,0.000566091,176,0
238,3,0.00131752,0.000760171,167.667,8.05996
245,7,0.00158802,0.000599739,145.857,6.28061
252,21,0.00245155,0.000534316,161.476,3.53577
259,32,0.00234192,0.000413512,164.656,2.83174
266,43,0.00303672,0.000462392,156.14,2.6427
273,84,0.00390643,0.000425393,149.94,2.42304
280,172,0.00444651,0.000338289,148.715,1.67949
287,365,0.00578392,0.000301867,145.795,1.31571
294,551,0.00619839,0.000263241,142.118,1.19044
301,528,0.00677062,0.000293654,139.695,1.23739
308,436,0.00660086,0.000315079,133.078,1.50508
315,328,0.00835967,0.000459652,125.866,1.79565
322,274,0.00854408,0.000513957,121.781,2.05904
329,254,0.0100047,0.000624604,116.323,2.29772
336,313,0.0112335,0.00063138,112.096,2.2263
343,455,0.0124399,0.00057955,109.782,1.86574
350,711,0.0135993,0.000506535,103.328,1.57499
357,928,0.0169072,0.000550293,96.7177,1.42987
364,1307,0.0173928,0.000476894,92.772,1.23597
371,1389,0.0176882,0.000470389,85.324,1.17943
378,1007,0.0189382,0.000591115,81.5501,1.35732
385,1009,0.021552,0.000671137,75.5907,1.35474
392,1007,0.0213225,0.000664728,74.8471,1.37973
399,1157,0.0227326,0.000660678,73.2947,1.25978
406,1334,0.02387,0.000645697,71.2751,1.15981
413,1729,0.0244344,0.000580406,67.2846,0.990238
420,2086,0.025141,0.000543496,67.8773,0.946072
427,2070,0.0258195,0.000560121,66.157,0.885672
434,1988,0.0270285,0.000597948,65.6112,0.93826
441,1689,0.0291735,0.000699431,65.0118,1.03384
448,1336,0.0300603,0.000809958,61.2358,1.13267
455,858,0.0309647,0.00104062,61.1841,1.47626
462,854,0.0299166,0.0010083,58.9087,1.46406
469,574,0.0298182,0.00122589,63.7213,1.8864
476,464,0.0293318,0.00134158,60.6466,1.99025
483,382,0.0294254,0.00148322,59.0576,2.25476
490,247,0.0266566,0.00167336,63.1417,2.94351
497,141,0.0213345,0.00177742,59.234,3.64394
504,90,0.0230474,0.00240125,50.8667,4.03014
511,44,0.015816,0.00236542,53.5682,6.41927
518,28,0.0142566,0.00267497,59.4286,8.84669
525,13,0.011883,0.00327611,90.6154,13.4272
532,11,0.0154494,0.00462206,72.9091,17.9206
539,8,0.0117994,0.00414704,46.375,15.054
546,10,0.0118906,0.00373772,77.9,16.149
553,23,0.0152318,0.00315177,63.913,8.92606
560,17,0.0122214,0.00294596,70.0588,9.75636
567,18,0.0149378,0.00349447,58.6667,9.0373
574,10,0.00940734,0.00296084,110.3,17.0921
581,21,0.0186335,0.00402811,90.8571,9.59386
588,22,0.0177134,0.00374291,65.4091,9.9608
595,18,0.0159858,0.00373765,45.6667,8.91455
602,18,0.0146104,0.00341845,50.6111,6.97887
609,38,0.0184735,0.00296899,61.6579,7.12777
616,30,0.012,0.00217771,59.4,8.18666
623,43,0.0145911,0.00220883,79.0698,7.13399
630,46,0.014268,0.00208864,57.8043,5.55669
637,87,0.0172141,0.00182959,56.4138,4.48487
644,109,0.016391,0.00155705,65.3853,4.36103
651,208,0.0171039,0.00117575,62.25,2.98319
658,386,0.0149248,0.000753962,60.9845,2.15556
665,680,0.0167278,0.000636092,60.8162,1.62169
672,1000,0.0168274,0.000527632,60.291,1.37121
679,1293,0.0149175,0.000411748,60.2807,1.21285
686,1692,0.0149552,0.000360844,59.3274,1.04361
693,1831,0.014439,0.000334993,57.8356,1.00376
700,1559,0.0142777,0.000359016,59.8685,1.09845
707,1265,0.0150286,0.000419357,58.6095,1.18601
714,950,0.0158831,0.000511207,52.0316,1.36361
721,662,0.0183161,0.000705327,54.7085,1.66304
728,636,0.0159251,0.000626422,52.9403,1.59625
735,546,0.011206,0.000476877,55.9267,1.82797
742,784,0.00720939,0.000256549,51.0179,1.58558
749,1363,0.00697312,0.000188217,48.4798,1.16229
756,2115,0.00693354,0.000150241,47.4194,0.946118
763,1879,0.00790655,0.000181677,47.694,0.976194
770,1473,0.00929496,0.000241056,45.4067,1.07835
777,1076,0.010947,0.000331893,43.9331,1.27545
784,833,0.0119445,0.000411375,45.6915,1.47305
791,672,0.01093,0.000419324,46.2396,1.60305
798,779,0.0124806,0.000444364,44.0873,1.44869
805,786,0.0128283,0.000454624,43.7837,1.5102
812,722,0.013513,0.000499493,42.6343,1.58945
819,552,0.0128671,0.000544127,48.2011,1.85788
826,434,0.0140453,0.000669445,48.3479,2.15717
833,236,0.0144237,0.000932105,44.6864,2.72271
840,252,0.0162131,0.00101302,39.4484,2.51672
