"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.0374889356286066 0.00162541748861747 0.00150764463536478 0.00144294829730841 0.00158642418002555 0.00172186346742881 0.00176745282055451 0.00184831634038524 0.00169257011867032 0.00155644728442042 0.00149108249860234 0.00145371703202074 0.00159933634706142 0.00151817903020382 0.00171286355685838 0.00161364045905794 0.00163799608745622 0.00169050600540426 0.00154891490330374 0.00183118130655125 0.00181385186838686 0.00182515082050807 0.0018402014599855 0.00193515762700067 -0.000124282387092533 -0.000134231636240248 -0.000152155092586593 -0.000200416410640052 -5.2630230727237e-05 0.000107280421560047 -0.00277814120642143 0.0011127046963244 -0.000799646307833102 -0.000433650498081283 -0.000469578023787248 -0.000294214547845494 -0.000231167580329607 -6.15129760414062e-05 0.000145962393736808 0.000227716576623872 0.000301750194268573 0.000378227951407459 0.000462043620733384 0.000556496664028916 0.000494480293655839 0.000640832295063418 0.00016355363890475
"Immunityboost_001-061" 0.00162541748861747 0.0139321686436083 0.00158301486694416 0.000854239628656979 0.000540764921742208 0.00195954515730711 0.00160216778240941 0.00198471212597025 0.00196257309834154 0.00146687127854004 0.00118127661689548 0.000637157725703375 0.00182943439969586 0.00144858332133925 0.00181954338464136 0.00173297651873633 0.0016455892407225 0.00179085204175265 0.00128266336431545 0.00159381637965487 0.00109867602747431 0.00191609125582309 0.00159662079690474 0.00161297362376378 -0.000131695436361978 -0.000125063801998035 -7.23052028109948e-05 3.66243945352109e-05 0.000104704358835035 0.00032174159335107 -6.80764143359653e-05 0.00149424954854054 0.000908871082096115 0.000443309478318272 0.000177362902286985 0.000357643557470489 0.000355963718889236 0.000228225298599644 -0.000202578265352289 -0.000278714527090229 -0.000329489883085531 -0.000368207862124014 -0.000574454875564751 -0.000443172788002861 -0.000172784978842443 0.000359933903714915 -9.14683515527223e-06
"Immunityboost_062-122" 0.00150764463536478 0.00158301486694416 0.00541945555936022 0.00154124271360629 0.00112927378704593 0.00153011261508953 0.00156205670449689 0.001443004794489 0.00154666745916285 0.00161677918203355 0.00154516689783992 0.00139815234984261 0.00158717012974497 0.00163396969167372 0.00145752737757878 0.00157586545254201 0.00149744672288515 0.00147580011531242 0.00149547708824945 0.00142011323693886 0.00135815370105835 0.00150245394837247 0.00150227211415627 0.00149013044162451 -0.000139121061218424 -0.00016707450045632 -0.0001310577843752 -1.64994627389362e-05 5.09033283110894e-05 0.000282167428232741 -0.000151438846979789 0.000884358555090638 0.000436352586522306 0.000143196027817149 1.49192091573447e-05 0.000138437253853602 0.000158600628127787 0.000101452707455315 -0.000110123228472109 -0.000152547056147805 -0.000218272066586602 -0.000379161987309473 -0.00062409730433517 -0.00079854762907266 -0.000878508888768268 -0.000502131944938434 -4.6331047937266e-05
"Immunityboost_123-183" 0.00144294829730841 0.000854239628656979 0.00154124271360629 0.0117591768675629 0.00477044324936044 0.000906243100778847 0.00154876284272805 0.00104834399557025 0.00101271097819245 0.00193202437290848 0.00212067108259057 0.00332232936838855 0.00125878737833289 0.0018319414638111 0.00104647839265526 0.00135836990704543 0.00178715344867301 0.00124804895943661 0.00201807028489279 0.00135826402883937 0.00271245268225462 0.000888711322871261 0.00146928109855094 0.00147612339908379 -0.000140021193561845 -0.000184376075602347 -0.000163464208208048 -5.42834348828147e-05 1.19792606292355e-05 0.00023833478299192 -0.0002073481484253 0.000656163245861937 0.000302279329073581 9.54761404556826e-05 7.66033210985274e-06 8.13098815442281e-05 0.000103912910714524 6.44045708394028e-05 -6.87815574083366e-05 -0.000102524393462156 -0.00014572639989285 -0.000248732170250968 -0.00038593999956684 -0.00071745344599227 -0.00109345075196941 -0.000950967438318784 -8.24034035074691e-05
"Immunityboost_184-244" 0.00158642418002555 0.000540764921742208 0.00112927378704593 0.00477044324936044 0.171866635781847 0.000590870327641196 0.00113729914517212 0.00111258622145557 0.000674795313668327 0.00176659959464461 0.00304430489524919 0.00573522060779674 0.00094647795641878 0.00172071712256426 0.000667692872872506 0.00113698649440134 0.00201862537808664 0.00123471316315705 0.00317617993723099 0.00135406543720587 0.00358170093034987 0.000524631095663314 0.00120027070796402 0.00158075718367372 -0.000138854771016845 -0.000198693718392079 -0.000186241510896644 -0.00011538315072583 -4.78816655500878e-05 0.000143509070986677 -0.000250666751715683 0.00056792282233801 0.000253049512438138 7.36765006446e-05 1.89867008148761e-05 6.39975660892648e-05 8.82731270402227e-05 4.50734262483455e-05 -4.56463310776677e-05 -8.92015287943323e-05 -0.000103301438002621 -0.000142318775312573 -0.000160324468269116 -0.000512025764392069 -0.00104392133765781 -0.00123902460621658 -0.000136909373585984
"Immunityfull_001-061" 0.00172186346742881 0.00195954515730711 0.00153011261508953 0.000906243100778847 0.000590870327641196 0.0454407063879111 0.00175420804624134 0.00206144608384275 0.00192689177317766 0.0014608138859617 0.00124056037999132 0.000804674060675394 0.00174718475531825 0.00143502873871074 0.00193185548798369 0.00173127687113275 0.00165416979903048 0.00183861315211101 0.00133971531926886 0.00184273916510658 0.00143153467338172 0.00197470070011531 0.00174335277853438 0.00177658913526252 1.4861616189215e-05 4.2901987400996e-05 9.08717597604425e-05 0.000191100041533988 0.000254806341804966 0.000444907271882681 -0.000908180817331005 0.00157903352559067 -0.000921900694128911 -0.0012142775696767 -0.00106662079690878 -0.000485418490093695 -0.000397916779109422 -0.000227833747761226 3.38400517325985e-05 0.000119777709385837 0.000200798320661313 0.000261081696389766 0.000244468969479047 0.000377864310178516 0.000505677984853489 0.000826023583539908 5.45534600080214e-05
"Immunityfull_062-122" 0.00176745282055451 0.00160216778240941 0.00156205670449689 0.00154876284272805 0.00113729914517212 0.00175420804624134 0.0263975916447013 0.0019575012215884 0.00180183920604106 0.0016771135926118 0.00140528553578878 0.00139362961375673 0.00169731653527919 0.00162554539947085 0.00193322685251284 0.00177820862656697 0.00181756618166086 0.00190035395483306 0.00152299202129485 0.0020295997582696 0.00214224148279211 0.00187727759262332 0.00193862618411794 0.0019495436889906 2.27672251040997e-05 5.59128258339907e-05 6.82240031722096e-05 0.000183525908113731 0.000292789197936118 0.000420518263691388 -0.00204224372350537 0.00248564716368375 9.419990461783e-05 -0.00093681463334932 -0.00129127051715432 -0.000566645313341863 -0.000318243728460708 -0.00017888208581182 2.95644850622616e-05 0.000187259921239391 0.000309656097152478 0.000477756256182217 0.000569553715726533 0.000707797772840439 0.000844096576761737 0.00120833023356287 3.12307079433346e-06
"Immunityfull_123-183" 0.00184831634038524 0.00198471212597025 0.001443004794489 0.00104834399557025 0.00111258622145557 0.00206144608384275 0.0019575012215884 0.0294275753982301 0.00203990548916221 0.00150295493966008 0.00119163574770118 0.000908290195096626 0.00178781105837075 0.00142964621861351 0.00215627660987044 0.00181600223826454 0.0018733078585714 0.00203168889668756 0.00137552991021161 0.00208201528925217 0.00186053251864564 0.00209472155195479 0.00190345198907196 0.00195416271095753 -1.75274635792886e-05 2.94921740462654e-05 6.00784345972048e-05 0.000152199406624162 0.000238126183940228 0.000381388696202978 -0.00161535687211085 0.00288341167248345 -0.000391567788130474 -0.00363093778031938 -0.00271401361983511 -0.00126169822102955 -0.000623694721174358 -0.000334713360807844 0.000175969582829613 0.000406711816624694 0.000603746820152221 0.000732287617512301 0.000840703879574058 0.00105373505465671 0.00125127330663991 0.00167638334967679 1.97161194231952e-05
"Immunityfull_184-244" 0.00169257011867032 0.00196257309834154 0.00154666745916285 0.00101271097819245 0.000674795313668327 0.00192689177317766 0.00180183920604106 0.00203990548916221 0.0113198417106145 0.00153725581272435 0.00123521723324758 0.000861469926565733 0.00181456375891789 0.00150378450349027 0.00200263006738632 0.00181217697809337 0.00175776920565421 0.00195852730734439 0.00138175222117234 0.00186618042968132 0.00154810559889302 0.00197558470412219 0.00176535803835108 0.00175771959780254 -4.07133089172454e-05 -1.94627678089086e-05 4.6528839556498e-05 0.000142473955875271 0.000195436187358073 0.000408133408623861 -0.000443643324875699 0.00254887117232157 0.00161837933504688 0.000656137594999444 0.000113641558102723 0.000451576084969525 0.000457189112239615 0.000269170509987517 -9.84212243874648e-05 1.19173542374426e-05 0.000199530778991102 0.000424582504565243 0.000551223835348565 0.000750154107532136 0.000940689580651748 0.00137342866636293 7.93427330400792e-05
"Immunityfull_245-305" 0.00155644728442042 0.00146687127854004 0.00161677918203355 0.00193202437290848 0.00176659959464461 0.0014608138859617 0.0016771135926118 0.00150295493966008 0.00153725581272435 0.0168814698209565 0.00161848803162275 0.00179790428103573 0.00157642788590053 0.00167913414199834 0.00153754738756837 0.00161030898551565 0.00168734687178102 0.00159972788162006 0.00163203383889187 0.00158035766805918 0.00187839497621267 0.00149422384569415 0.00162177788254154 0.00159912477086947 -8.25502385110426e-05 -8.82128654203516e-05 -4.92051381206642e-05 6.52701780457353e-06 0.000114550262754189 0.000281390821448496 -0.000359290303346672 0.00135432567039433 0.000857119203242751 0.000502646827572036 0.000230788107756898 0.000315406689845396 0.000311331671025295 0.000212386308460388 -0.000163522580066699 -0.000218649965520515 -0.000250845769958337 -0.000189530238878787 -0.000214473364348729 -0.000295109311286664 -0.000352207897914682 3.04638196144482e-05 0.000176772452494334
"Immunityfull_306-366" 0.00149108249860234 0.00118127661689548 0.00154516689783992 0.00212067108259057 0.00304430489524919 0.00124056037999132 0.00140528553578878 0.00119163574770118 0.00123521723324758 0.00161848803162275 0.0352507824316111 0.00233147179720574 0.0013266114459193 0.00159545545574339 0.00121645100301582 0.00135605434481309 0.00143637443122071 0.00128124582180161 0.00178880820979259 0.00130799313504928 0.00167230389363448 0.00121223558167442 0.00141956307943306 0.00146535573681587 -9.43600335113411e-05 -0.000113698984296801 -8.85404368500496e-05 -9.80583697796008e-05 3.91644744754369e-05 0.000214115302584926 -0.000306711163736579 0.000820849501847653 0.000426679652808717 0.000189928219029494 4.23269898079143e-05 8.5843334676586e-05 0.000116969961955995 7.04389248734065e-05 -6.97352002634774e-05 -8.49539754597055e-05 -0.000105207469759383 -0.000105149567451591 -0.000117856606347239 -0.000286278562054151 -0.000559801458790701 -0.000974406685571843 0.000249439192154329
"Immunityfull_367-427" 0.00145371703202074 0.000637157725703375 0.00139815234984261 0.00332232936838855 0.00573522060779674 0.000804674060675394 0.00139362961375673 0.000908290195096626 0.000861469926565733 0.00179790428103573 0.00233147179720574 0.146556157863389 0.00108224718630608 0.00171292096378429 0.000954807058135182 0.00119919152647568 0.00160457762999679 0.00114474415696344 0.00217243522083933 0.00129490738955202 0.00258904180305546 0.000812294945741334 0.00141567834025133 0.00147453707096627 -0.000110996229611892 -0.000159451321832275 -8.34550947028804e-05 -0.000242502619976326 -6.39844219523353e-05 7.32301554282052e-05 -0.000484071303490349 0.000755292457772305 0.000421296065677019 0.000243729339209099 0.000137064939310027 1.68039954518018e-05 0.000104035938531301 1.01163374155657e-05 -6.71485233973979e-05 -5.57102059086391e-05 -3.42658163158567e-05 1.96465341991554e-06 3.23187027097867e-05 -2.95518334923887e-05 -0.000245832006441681 -0.00121904609163556 0.000298896487615333
"Immunityhybridboost_001-061" 0.00159933634706142 0.00182943439969586 0.00158717012974497 0.00125878737833289 0.00094647795641878 0.00174718475531825 0.00169731653527919 0.00178781105837075 0.00181456375891789 0.00157642788590053 0.0013266114459193 0.00108224718630608 0.501763657203123 0.00157585401758507 0.00180650215955264 0.00174692718065708 0.00170397384918424 0.00181630707902597 0.00143830667524932 0.00169064332577439 0.00151657882151383 0.00178797506828798 0.00166206512432432 0.00164027790547846 -0.000223225554882837 -0.000260475055256038 -0.000265904169201756 -0.000187356268027131 -0.000157431984590826 2.69064656031675e-05 -0.000223971759721903 0.00176122996356576 0.00121506858788552 0.000772132415168674 0.000469760004352878 0.000557051450381389 0.000534189537224615 0.000359376464230884 -0.000269937117428896 -0.000289049064536468 -0.00027873573318359 -0.000181716363926562 2.39023139731628e-05 0.000189140054268427 0.000318834385898755 0.000770517410409198 -4.04551868515756e-05
"Immunityhybridboost_062-122" 0.00151817903020382 0.00144858332133925 0.00163396969167372 0.0018319414638111 0.00172071712256426 0.00143502873871074 0.00162554539947085 0.00142964621861351 0.00150378450349027 0.00167913414199834 0.00159545545574339 0.00171292096378429 0.00157585401758507 1.00168679721032 0.00149685858540787 0.00160086920078962 0.00162326276620875 0.00155737352789668 0.00160539385882401 0.00151929115466051 0.00172680563984642 0.0014666205370381 0.00157151015064109 0.00154682416968912 -0.000195830739821254 -0.000272836905644077 -0.000277235782658211 -0.000249217002567283 -0.000231080625286782 -5.32978465415771e-05 -0.000322927662077828 0.0011068927642669 0.000659938025904089 0.000362916622416821 0.000206374028929436 0.000281523417041133 0.000286611036714721 0.00019552502007708 -0.000189697592014314 -0.000238067716687962 -0.000291531945736554 -0.000398612615591256 -0.000352337013208462 -0.000354587721251734 -0.000351359710422141 -5.41084545007626e-05 -1.40434800930198e-05
"Immunityhybridfull_001-061" 0.00171286355685838 0.00181954338464136 0.00145752737757878 0.00104647839265526 0.000667692872872506 0.00193185548798369 0.00193322685251284 0.00215627660987044 0.00200263006738632 0.00153754738756837 0.00121645100301582 0.000954807058135182 0.00180650215955264 0.00149685858540787 0.502271206463462 0.00189860354582417 0.00187895079395293 0.00214936490843611 0.00142796988396308 0.00212224401349093 0.00190402141155173 0.00200349063350253 0.00182511042288836 0.00176034508171718 -0.000182598480785468 -0.000168845448674361 -0.00016686579879806 -8.55876547412522e-05 -5.09032578824322e-05 8.70701978972558e-05 0.000271451817130753 0.00373635120767525 0.00103550350031193 -0.00156414170059184 -0.000495791374746793 0.000413275343113689 0.000541582796320533 0.000316132993761779 0.000168481931079014 0.000761667025409444 0.001253415283872 0.00183000805961102 0.00228649076519892 0.00250834015590724 0.00264762833048921 0.00299410037989738 0.000116968193450419
"Immunityhybridfull_062-122" 0.00161364045905794 0.00173297651873633 0.00157586545254201 0.00135836990704543 0.00113698649440134 0.00173127687113275 0.00177820862656697 0.00181600223826454 0.00181217697809337 0.00161030898551565 0.00135605434481309 0.00119919152647568 0.00174692718065708 0.00160086920078962 0.00189860354582417 0.201788897702231 0.00176391411442239 0.00188235874465458 0.00148256370002005 0.00181328008847481 0.00173305916525929 0.00178489889658098 0.00170022207743961 0.00165221529375876 -0.000205871361203363 -0.00024045717967117 -0.000236688513979346 -0.000171753217392369 -9.28138229087848e-05 5.66680190772164e-05 3.62748386315668e-05 0.00247097953301039 0.00131349642404005 0.000274801683555658 0.000351455622633724 0.000676554141682958 0.00063770322997258 0.000425718170890038 -6.10439813997847e-06 0.000292291332216487 0.000445624222288738 0.000618185203528533 0.000786776567301852 0.000944824095019074 0.00107555049835466 0.0015376133233438 3.53250467749394e-05
