"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.0669452178936636 -0.446434614911479 0.312544179124152 0.935246434703065 0.639905599101659 1.36689832821081 0.0647535652969354 0.360094400898341 -0.366898328210808
"Immunityboost_001-061" -2.21507977966321 -2.44642335992293 -1.98373619940348 0.10914480636522 0.0866027802069317 0.137554345576863 0.89085519363478 0.913397219793068 0.862445654423137
"Immunityboost_062-122" -1.77687333469198 -1.9211599084328 -1.63258676095117 0.169166247479345 0.146437010062141 0.19542340610546 0.830833752520655 0.853562989937859 0.80457659389454
"Immunityboost_123-183" -1.15141619032623 -1.36395417211302 -0.938878208539436 0.31618866882206 0.255647899931592 0.391066284206592 0.68381133117794 0.744352100068408 0.608933715793408
"Immunityboost_184-244" -0.379310881199245 -1.19184925198994 0.433227489591452 0.684332833381528 0.303659202145984 1.54222702139239 0.315667166618472 0.696340797854016 -0.54222702139239
"Immunityfull_001-061" -0.691197600728914 -1.10899970983371 -0.273395491624122 0.500975740748703 0.329888780593276 0.760791841321042 0.499024259251297 0.670111219406724 0.239208158678958
"Immunityfull_062-122" -0.282301330806411 -0.600743258429988 0.0361405968171662 0.754046432876156 0.548403878772329 1.03680160724995 0.245953567123844 0.451596121227671 -0.0368016072499464
"Immunityfull_123-183" -0.549520104772454 -0.88574148881156 -0.213298720733347 0.577226752287257 0.412408263765448 0.807914760276463 0.422773247712743 0.587591736234552 0.192085239723537
"Immunityfull_184-244" -0.380924416115834 -0.589454283971979 -0.172394548259689 0.683229528809894 0.554629872574564 0.84164703727716 0.316770471190106 0.445370127425436 0.15835296272284
"Immunityfull_245-305" -0.413398420456582 -0.668054013660413 -0.158742827252751 0.661398715547805 0.512705325202647 0.85321575459624 0.338601284452195 0.487294674797353 0.14678424540376
"Immunityfull_306-366" -0.2601554270757 -0.628142422916969 0.107831568765569 0.770931752823257 0.533582050778954 1.11386012075086 0.229068247176743 0.466417949221046 -0.113860120750865
"Immunityfull_367-427" 0.0698968777604807 -0.68042934819151 0.820223103712471 1.0723975875111 0.506399523964302 2.27100645098689 -0.072397587511098 0.493600476035698 -1.27100645098689
"Immunityhybridboost_001-061" -4.7896675049002 -6.17801343688786 -3.40132157291255 0.00831522169280431 0.00207454497835168 0.0333291938820341 0.991684778307196 0.997925455021648 0.966670806117966
"Immunityhybridboost_062-122" -5.30069353133711 -7.26230985027321 -3.33907721240101 0.00498813328027886 0.000701485835559208 0.0354696735993117 0.995011866719721 0.999298514164441 0.964530326400688
"Immunityhybridfull_001-061" -3.51223831276967 -4.90128624442996 -2.12319038110937 0.0298300706281514 0.00743701110219252 0.119649292095069 0.970169929371849 0.992562988897807 0.880350707904931
"Immunityhybridfull_062-122" -2.88622325036535 -3.7666570871733 -2.00578941355739 0.0557865069166622 0.0231292532730836 0.134554034979785 0.944213493083338 0.976870746726916 0.865445965020215
"Immunityhybridfull_123-183" -2.41859176320566 -3.40232161845968 -1.43486190795164 0.0890469283659106 0.0332958798306636 0.238148248123515 0.910953071634089 0.966704120169336 0.761851751876485
