day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,,,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,0,0,0,,,
224,0,0,0,,,
231,0,0,0,,,
238,0,0,0,,,
245,1,0.00227273,0.00227014,142,0
252,2,0.00236686,0.00167164,172.5,6.71751
259,5,0.00359971,0.00160694,156.6,10.5094
266,2,0.00137646,0.000972636,140.5,19.4454
273,12,0.00554529,0.00159634,136.667,4.25952
280,24,0.00602107,0.00122534,152.583,3.67278
287,37,0.00585165,0.000959187,145.73,3.83549
294,50,0.00564653,0.000796282,140.4,3.84489
301,47,0.00603493,0.000877624,145.745,3.96322
308,51,0.0076199,0.00106293,130.137,4.13833
315,35,0.00894912,0.00150589,127.514,4.22053
322,29,0.00933977,0.00172623,112.828,7.50696
329,24,0.00959233,0.00194861,116.125,9.22582
336,26,0.00934579,0.00182428,125.077,6.4128
343,42,0.0114943,0.00176338,115.357,6.64502
350,72,0.0139265,0.00162979,100.236,4.87888
357,94,0.0168489,0.00172313,95.5426,4.57399
364,147,0.0196288,0.00160299,91.3401,3.4385
371,146,0.018321,0.0015023,83.2466,3.6442
378,93,0.0179745,0.00184704,81.6774,4.39408
385,99,0.0211403,0.0021021,83.7172,4.28731
392,106,0.0228991,0.00219855,72.8396,4.43539
399,102,0.0197368,0.00193486,69.3529,4.40838
406,143,0.0260426,0.00214925,72.965,3.76194
413,151,0.0210336,0.00169359,62.0132,3.26012
420,199,0.0241886,0.00169382,62.2663,2.74545
427,207,0.0259334,0.00177897,62.1353,2.7108
434,200,0.0273673,0.00190849,75.46,3.3446
441,193,0.0332472,0.00235307,64.6528,3.07609
448,112,0.0254314,0.00237229,60.2946,3.76078
455,83,0.0296323,0.00320401,56.6024,4.96911
462,109,0.0375603,0.00352941,61.6972,4.19679
469,54,0.028451,0.00381622,67.5,7.35345
476,48,0.0304183,0.00432321,62.5625,6.73209
483,33,0.0254237,0.00436908,47.697,6.94243
490,27,0.0283613,0.00538019,43.8148,5.72052
497,16,0.024024,0.00593342,73.6875,12.311
504,10,0.0258398,0.008065,60.7,15.7118
511,3,0.0115385,0.00662319,56.6667,26.265
518,2,0.0102564,0.00721509,81,32.5269
525,0,0,0,,,
532,0,0,0,,,
539,1,0.0128205,0.0127381,93,0
546,2,0.0235294,0.0164409,74.5,37.1231
553,4,0.0258065,0.0127356,101.75,20.2712
560,1,0.00740741,0.00737992,78,0
567,6,0.0483871,0.0192701,56.1667,12.7135
574,1,0.00952381,0.00947835,166,0
581,4,0.0330579,0.0162534,79,12.6738
588,1,0.00909091,0.00904949,156,0
595,0,0,0,,,
602,5,0.037037,0.0162538,57.6,14.8959
609,6,0.0257511,0.0103766,74.6667,21.1117
616,4,0.0150376,0.00746205,39.25,14.1305
623,8,0.0244648,0.00854316,88.625,16.1506
630,4,0.0122324,0.00607868,61.75,16.1724
637,5,0.0102249,0.0045493,68.8,22.644
644,18,0.0261628,0.00608543,72.5556,13.8923
651,21,0.0172272,0.00372677,44.0952,6.37701
658,36,0.0140625,0.00232721,63.8889,6.51373
665,73,0.0179405,0.00208086,56.0685,4.22737
672,93,0.0158325,0.0016287,57.7849,4.07341
679,125,0.0145467,0.0012916,62.64,4.23171
686,161,0.0142,0.00111115,62.8199,3.66937
693,187,0.0147896,0.0010735,59.4171,3.31173
700,154,0.0141284,0.00113043,56.8052,3.72911
707,135,0.0160523,0.00137043,53.2444,3.37239
714,106,0.0175613,0.00169066,53.7642,4.10696
721,65,0.0180857,0.00222288,59.6154,5.90968
728,63,0.0153471,0.00191866,53.5556,4.90575
735,55,0.0109605,0.0014698,56.4545,5.09103
742,82,0.00755273,0.000830904,54.3537,5.46677
749,128,0.00647511,0.000570468,48.4062,3.78524
756,228,0.00748596,0.000493911,46.8816,2.89976
763,208,0.00873509,0.000603019,52.4712,3.10238
770,146,0.00916222,0.000754789,48.7123,3.6375
777,111,0.0111356,0.00105105,37.7117,3.71786
784,72,0.0104454,0.00122455,45.3611,4.20424
791,65,0.010494,0.00129478,46.6615,5.52765
798,81,0.0130267,0.00143795,42.2593,4.48377
805,87,0.0141602,0.00150734,40.7126,4.14801
812,66,0.0123503,0.0015108,48.0909,5.44143
819,54,0.0127901,0.00172935,44.1111,6.22722
826,41,0.0128446,0.00199307,47.9512,6.7732
833,25,0.0150421,0.00298571,42.28,8.39991
840,23,0.014791,0.00306124,28.0435,3.88175
847,16,0.0165289,0.00409794,44.625,7.87444
854,7,0.0128913,0.00484096,58.1429,17.6709
861,12,0.0376176,0.010653,43.6667,14.3703
868,2,0.00881057,0.00620251,78.5,31.4663
875,5,0.0268817,0.0118592,43.2,13.5422
