"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.0085562805152892 0.000333560170353689 0.000307803691859521 0.000291704161515712 0.000322553402393387 0.000347281274764217 0.000352161270115303 0.000370209132833152 0.000344216896662342 0.000317116631099385 0.000303983243369043 0.000295944066339371 0.000336258643633413 0.000326225411962387 0.000308895586100607 0.000295851993237172 0.000346408916956631 0.000329047115657387 0.000331495713140144 0.000342244498184986 0.000325259922978105 0.000312278615016143 0.000367576207507836 0.000363544670831878 0.000367901839237225 0.000371748377723576 0.00038814306925663 0.000393887114932264 -2.62625826335533e-05 -2.51992833976552e-05 -2.55431295647252e-05 -2.60265653206609e-05 -1.78631676904085e-05 1.77560287684475e-05 -0.000672861917993954 -8.88842576967965e-05 -6.17358888069504e-05 -4.08926326849097e-05 -1.44701380848178e-05 3.00333247787647e-05 4.88260964880642e-05 5.90229029103392e-05 6.83437159259524e-05 9.04614059223099e-05 9.37550449664904e-05 9.49883005070439e-05 0.000125658242385883 3.77363335912045e-05
"Immunityboost_001-061" 0.000333560170353689 0.00257447444964558 0.000319861000180866 0.000172011662925483 0.000107898826669923 0.000400720135915887 0.000324007333409229 0.000406233845610182 0.000400239853576606 0.000297850568599673 0.00024002868448835 0.000131374809126438 8.43570847101523e-05 0.000370467443116691 0.000292662632054369 0.00016653285059833 0.000371481497927891 0.000351999648847697 0.000333582890260317 0.000365084208983175 0.000287727792312934 0.000257050509657692 0.000340133553089207 0.000237969456717714 0.000396971146586194 0.000330962150614635 0.000332034849503961 0.000251889446390364 -2.62338406475324e-05 -2.75952072554023e-05 -1.40303362354549e-05 3.11831776598761e-06 2.18593320945234e-05 6.55625606001149e-05 -1.98075923922654e-05 3.1695354752701e-05 7.56038137076724e-05 7.35643488634182e-05 4.80790503105808e-05 -4.25209987285098e-05 -5.75854416180921e-05 -6.66032134666135e-05 -7.43639302971648e-05 -0.000111368598837222 -8.71264942772909e-05 -3.38239352658534e-05 7.46997579949854e-05 -1.34594065644832e-07
"Immunityboost_062-122" 0.000307803691859521 0.000319861000180866 0.00108233132029241 0.0003103097135277 0.000224224283337117 0.000312738609561087 0.000317800277093614 0.000295357210233499 0.000312796342803056 0.000326582417259742 0.000312565892870341 0.000281011966744854 0.000202195981931535 0.000320323020884658 0.00032912040304571 0.000293391849752297 0.000296342399067284 0.000317919992186612 0.00030274729400485 0.000298477393406385 0.000306178131817484 0.000298726991923005 0.000299678438717711 0.000284096938456088 0.000310599560099926 0.000309693724927643 0.000303889733819443 0.000308731938064053 -2.78833019970631e-05 -3.55205826960363e-05 -2.5856661353018e-05 -9.46686452584237e-06 9.80050507709339e-06 5.72440525333023e-05 -3.69838913165576e-05 2.03305362767098e-06 2.96096951190962e-05 3.28321992233107e-05 2.18155664448213e-05 -2.2845912555231e-05 -3.21892014151019e-05 -4.58200407703876e-05 -8.09544924028094e-05 -0.000128851476875075 -0.000164821226382552 -0.000180039291766944 -0.000102001705857424 -8.83030278100615e-06
"Immunityboost_123-183" 0.000291704161515712 0.000172011662925483 0.0003103097135277 0.00235275316087402 0.000918072466941941 0.00018730984351487 0.000315248458381465 0.000215004928033831 0.000202853198905358 0.00038529524981497 0.000423845125642177 0.000655275763208882 0.000905425909131774 0.000253739923195537 0.000365121666431252 0.000683632146429336 0.000213269237892111 0.000271343456912059 0.000355778763557058 0.000247990033013156 0.000400753521341167 0.000395876348379985 0.000280987872551116 0.000538149496569501 0.00018639458434009 0.000302465029974892 0.000297918334295865 0.000436771643988693 -2.73918683807957e-05 -3.83215467222123e-05 -3.24078291653221e-05 -1.79736018811986e-05 1.53302547165862e-06 4.89758083733961e-05 -4.83612974633629e-05 2.29885693871295e-07 1.66899005734603e-05 2.04867828410652e-05 1.39386710995649e-05 -1.39500997408144e-05 -2.06932284280249e-05 -2.95373416395824e-05 -5.28799769978019e-05 -7.91790285142266e-05 -0.000146703407253722 -0.000223914257747873 -0.000196345180979711 -1.68912381483961e-05
"Immunityboost_184-244" 0.000322553402393387 0.000107898826669923 0.000224224283337117 0.000918072466941941 0.0565501202074376 0.000122084431355547 0.000228595994403876 0.000229254828014758 0.000133922843594637 0.000344712929291707 0.000612123520311253 0.00121497186721631 0.00577048068224008 0.000188091091962842 0.000337999868393269 0.00114630372483213 0.000133649630111161 0.000223122645275891 0.000401416168789156 0.000251078028408227 0.000442497919520955 0.000654504933363502 0.000276065516253347 0.000717389585488397 0.000110876873844164 0.000244110711425438 0.000317770455617283 0.000460494243326917 -2.7428729955334e-05 -4.01450351055254e-05 -3.83665216757633e-05 -2.86246797349905e-05 -1.17113147782525e-05 3.16984764921329e-05 -6.06425506976822e-05 4.09890879502868e-06 1.31304938096661e-05 1.6760608367221e-05 1.09932971428989e-05 -9.64188135419688e-06 -1.69344186342771e-05 -2.09525810430839e-05 -3.26304978377111e-05 -3.69176419622651e-05 -0.000108083382703824 -0.00021318690867772 -0.000253084630040082 -2.56674276782232e-05
"Immunityfull_001-061" 0.000347281274764217 0.000400720135915887 0.000312738609561087 0.00018730984351487 0.000122084431355547 0.00908979259099448 0.000347761169845557 0.000410565383667402 0.000391227517214409 0.000298467261906652 0.000254955686590948 0.000168010372948405 0.00011956842342736 0.000356099362209361 0.000293456896611211 0.000182732827886526 0.000388163194018504 0.000352299741927056 0.000334301614565945 0.000373034202804268 0.000299638115431301 0.00027073600607874 0.000372494868462485 0.000288481432712393 0.000400841976188194 0.000353694091722365 0.000357811704816283 0.000305871019218616 -2.44991458766448e-06 3.19350872061191e-07 1.05669106518185e-05 2.69594759137053e-05 3.94294830635784e-05 8.17419999666423e-05 -0.000205079730785096 -0.000188439480321862 -0.000102069438203974 -7.4728900578671e-05 -3.61686084803437e-05 1.57157482207815e-05 3.04484575847425e-05 4.77101390497374e-05 5.21302123956672e-05 6.02086868590298e-05 8.43798446571743e-05 0.000104544474593162 0.000173622089724606 7.90387626173958e-06
"Immunityfull_062-122" 0.000352161270115303 0.000324007333409229 0.000317800277093614 0.000315248458381465 0.000228595994403876 0.000347761169845557 0.00672491276966743 0.000383652444930257 0.000362249578575639 0.000341645797330896 0.000287859919104029 0.000286424247810863 0.000235274615876712 0.000344270902380538 0.000330742492544834 0.000312258370532194 0.000387841171458967 0.000360638445584416 0.000366525820999425 0.000382269433233512 0.000366661308632062 0.000301452821256437 0.000410939508722845 0.000433132072486588 0.00037705624056678 0.000390541038172393 0.00038566157011282 0.000425437435320827 6.51344175896346e-08 3.03801681005336e-06 1.53917836266191e-05 3.10305903912095e-05 4.87218085545602e-05 8.43314530116936e-05 -0.000423610674983743 -0.000261839027295319 -0.000115669628000881 -6.5977016700498e-05 -3.59286092250067e-05 1.03024833893048e-05 3.68089423332361e-05 6.88136367795825e-05 9.27331053619339e-05 0.000115534070737975 0.000143060441670152 0.000167877231733494 0.000242094195171743 -3.66049249317826e-06
"Immunityfull_123-183" 0.000370209132833152 0.000406233845610182 0.000295357210233499 0.000215004928033831 0.000229254828014758 0.000410565383667402 0.000383652444930257 0.00565209657257154 0.000413477927567973 0.000307736111155343 0.000246159371599048 0.000191860171876102 0.00022731499271287 0.000364465157621164 0.000292370445261645 0.000221895924682877 0.000430155894885962 0.000369143880882931 0.000376722934888326 0.000411084976264247 0.000330874945871046 0.000275977332573734 0.000421313641723845 0.000375290191678433 0.000425183264823624 0.000387166126438182 0.000392629400437935 0.000357932763878911 -7.01713686232984e-06 1.28854104767663e-07 1.01320803739633e-05 2.67748039602659e-05 4.52431924509146e-05 8.13150456810394e-05 -0.000358449948211233 -0.000572499746726719 -0.000265369489419824 -0.000134278182289983 -6.86244068902823e-05 4.44040372992577e-05 8.60764935433593e-05 0.000122746534937316 0.000146621674297296 0.000174616935140578 0.000215166980267668 0.000252357144176184 0.000338567108436313 5.03963073555052e-06
"Immunityfull_184-244" 0.000344216896662342 0.000400239853576606 0.000312796342803056 0.000202853198905358 0.000133922843594637 0.000391227517214409 0.000362249578575639 0.000413477927567973 0.00245605931323697 0.000312632959903371 0.000250412003826731 0.000175390956417464 0.000130959033683196 0.000368561205082875 0.000304590936465839 0.000202573374924595 0.000409215491176037 0.000369782492180669 0.000357005179826212 0.000399445558644989 0.000328942256380392 0.000274916498231218 0.000394727678548527 0.000328380467555926 0.000408052758795311 0.000365065569146657 0.000360139491912966 0.00032172450539593 -1.01997810993724e-05 -5.22062110267928e-06 9.41153859122706e-06 2.49456160747072e-05 3.91451276929999e-05 8.04040933917762e-05 -9.68022406585843e-05 7.91341580989107e-06 9.37967296162601e-05 9.57842489844115e-05 5.76134473199125e-05 -1.66053879197972e-05 9.78420275582461e-06 4.52781103159881e-05 9.18771302796432e-05 0.000118141301009958 0.000160034506772169 0.000200094595690007 0.000287958312658389 1.76675572409595e-05
"Immunityfull_245-305" 0.000317116631099385 0.000297850568599673 0.000326582417259742 0.00038529524981497 0.000344712929291707 0.000298467261906652 0.000341645797330896 0.000307736111155343 0.000312632959903371 0.00332652282901734 0.000326016415230723 0.000358912616314536 0.00033963275016224 0.000319906801064817 0.00033868962835897 0.000381122750335793 0.000315243651229326 0.000327100874360388 0.000342338908663852 0.000324501880189797 0.000355942956841305 0.000322559587160531 0.000334641452783389 0.000390701434053492 0.000309763985669462 0.000336055079741072 0.00032708764116631 0.000369841454986062 -1.93768409722767e-05 -2.05969679455911e-05 -1.1056901870062e-05 3.41662748818651e-06 2.05411427461454e-05 6.0973530117038e-05 -8.21182704356801e-05 4.27130044637982e-05 6.63169467736928e-05 6.63789154908851e-05 4.37181981632146e-05 -3.464511980143e-05 -4.69564527618423e-05 -5.40010046325202e-05 -4.53865396785613e-05 -4.94996940390472e-05 -6.52164163423906e-05 -7.16990691128308e-05 7.19089732938664e-06 3.51181105671551e-05
