../../convertool/bin/convertool ../../data/data_20230816.csv rinput.csv xx-icbm 2022-01-01 2022-08-21 19 333 
version 2.0
Usage convertool input output whattodo(DVRW) firstdate(rrrr-mm-dd) lastdate(rrrr-mm-dd) [minage maxage everyn]
D=i-infection/x-covidproxy/h-hospitalization/l-longcovid
V=!-all variants/O-all Omicrons/E-O+Delta/x-variant x
R=-variants... --not discerned in InfPrior/a all discerned/g general discerned
W=i-intervals uded for variant determination/--not used

serious covid proxy
BA12 as outcome.
Variants not discerned in InfPrior
Using intervals of dominance
Checking immunity covariates for zeros
Discerning BA45 booster
Missing DCCIs are not censored
Input ../../data/data_20230816.csv
Number of InfPrior covariates: 10
Number of VaccStatusFull covariates: 10
Number of VaccStatusBoost covariates: 7
Number of VaccStatusSecBoost covariates: 7
Output rinput.csv
Date range 2022-01-01 - 2022-08-21

minage=19 maxage=333
Writing to temporary_full.csv
Importing from input, total 10852474 records.
Processing records from input, excluding inconsistent records:
8187463 individuals taken from the UZIS database
Omitting adding CZSO records.
Total 8298447 unique records, after errors and censorint: 8187463.
Not having particular shot: 0, 0, 0, 0, 0, 

Variants of infection found during study period

variant,infections,outcomes,discerned_in_condition,taken_as_outcome
NA,537095,17013,0,0
Delta,532488,18158,0,0
BA12,862826,7491,0,1
BA45,222432,2886,0,0
Omicron,187788,1417,0,0
Alpha,522895,31118,0,0
Beta,0,0,0,0
Early,667160,18316,0,0
2023,106414,3005,0,0

Untracked variants (joinded into NA)
(empty)
JIN

Mode seriouscovidproxy
Age filter: 19-333

infprior,N,events
inf_NA_550+,1171697,1
inf_NA_428-488,2116338,19
inf_NA_489-549,1714893,4
_uninfected,20992792,7315
inf_NA_001-061,2767632,0
inf_NA_062-122,2863596,32
inf_NA_123-183,2344857,9
inf_NA_184-244,903834,0
inf_NA_245-305,616408,1
inf_NA_306-366,1168334,29
inf_NA_367-427,1708661,30

vaccstatus,N,events
_unvaccinated,4790762,3275
full_123-183,4005117,201
full_184-244,3733471,498
boost_001-061,4684552,479
boost_062-122,4955041,1365
boost_123-183,4698625,597
full_245-305,2560647,344
full_306-366,1946024,211
full_001-061,759552,118
full_062-122,1301276,165
boost_184-244,3277190,20
boost_245-305,508296,0
full_367-427,641094,45
full_428-488,112957,1
partial_001-061,244762,55
partial_062+,128582,66
full_489-549,21066,0
boost_306-366,24,0
boost_367+,4,0

immunity,N,events
_other,477496,122
inf_428-488,250056,2
inf_489-549,194819,1
_noimmunity,1450940,3225
inf_001-061,628462,0
inf_062-122,646394,14
inf_123-183,592422,5
inf_184-244,306251,0
inf_245-305,195959,0
full_123-183,2402914,193
full_184-244,1875536,487
boost_001-061,3203944,469
boost_062-122,3131102,1353
hybridboost_001-061,2072168,10
hybridboost_062-122,2007691,14
full_245-305,964382,336
full_306-366,740061,202
inf_306-366,193168,15
inf_367-427,228142,12
hybridfull_001-061,1551195,3
hybridfull_062-122,1806092,18
hybridfull_123-183,2128658,11
hybridfull_184-244,1233125,10
boost_123-183,2932843,594
boost_184-244,2293860,20
hybridboost_123-183,1518313,1
hybridboost_184-244,532160,0
full_001-061,439779,115
