day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,0,0,0,,,
70,0,0,0,,,
77,0,0,0,,,
84,0,0,0,,,
91,0,0,0,,,
98,0,0,0,,,
105,0,0,0,,,
112,0,0,0,,,
119,0,0,0,,,
126,0,0,0,,,
133,0,0,0,,,
140,0,0,0,,,
147,0,0,0,,,
154,0,0,0,,,
161,0,0,0,,,
168,0,0,0,,,
175,0,0,0,,,
182,0,0,0,,,
189,0,0,0,,,
196,0,0,0,,,
203,0,0,0,,,
210,0,0,0,,,
217,2,0.00165975,0.00117265,161,6.36396
224,0,0,0,,,
231,1,0.000636537,0.000636335,176,0
238,3,0.0014313,0.000825769,167.667,8.05996
245,7,0.00174782,0.000660034,145.857,6.28061
252,20,0.0026656,0.000595251,161,3.68035
259,32,0.00278261,0.000491216,164.656,2.83174
266,43,0.00358005,0.000544975,156.14,2.6427
273,84,0.00433974,0.000472476,149.94,2.42304
280,172,0.00490644,0.000373193,148.715,1.67949
287,365,0.00634518,0.000331066,145.795,1.31571
294,548,0.00680821,0.000289841,141.998,1.19374
301,527,0.00746406,0.000323924,139.674,1.23955
308,435,0.0072989,0.000348676,133.06,1.50843
315,326,0.00926373,0.000510689,125.948,1.79584
322,273,0.00951783,0.000573298,121.769,2.06655
329,253,0.0112982,0.000706286,116.415,2.30495
336,309,0.0126852,0.000717047,112.181,2.23797
343,454,0.0142956,0.000666113,109.72,1.86881
350,707,0.0154088,0.000575024,103.595,1.57482
357,924,0.0189682,0.000618063,96.6212,1.42953
364,1300,0.0192867,0.000529733,92.8215,1.23971
371,1378,0.0198591,0.000529637,85.4042,1.18321
378,1003,0.0219106,0.000684215,81.659,1.36029
385,1004,0.0250025,0.000779145,75.4681,1.35547
392,997,0.0247419,0.00077383,74.9097,1.38639
399,1151,0.0266417,0.000774747,73.5413,1.26117
406,1326,0.0281308,0.000761577,71.4389,1.1648
413,1715,0.0289373,0.000688573,67.3516,0.993026
420,2071,0.0297853,0.000644682,68.0594,0.950634
427,2058,0.030218,0.000655965,66.243,0.887955
434,1972,0.0312897,0.000693497,65.6876,0.941625
441,1678,0.0340041,0.000815874,64.9642,1.03478
448,1328,0.0350553,0.000944944,61.2711,1.13571
455,853,0.0362008,0.00121685,61.0492,1.47848
462,851,0.0353905,0.00119151,58.9988,1.46805
469,571,0.0358466,0.001473,63.8039,1.8923
476,462,0.0356922,0.00163065,60.4329,1.98091
483,381,0.0361069,0.00181611,59.0919,2.26042
490,244,0.0327122,0.00205964,63.4303,2.97497
497,141,0.0270633,0.00224809,59.234,3.64394
504,90,0.0303746,0.00315276,50.8667,4.03014
511,44,0.0212663,0.00317174,53.5682,6.41927
518,28,0.019431,0.00363625,59.4286,8.84669
525,12,0.0148699,0.00426053,87.4167,14.16
532,11,0.0194004,0.00579241,72.9091,17.9206
539,8,0.0155039,0.00543879,46.375,15.054
546,10,0.015528,0.0048721,77.9,16.149
553,21,0.0172982,0.00374198,63.0476,8.78426
560,17,0.0163305,0.00392824,70.0588,9.75636
567,17,0.0184182,0.00442574,59.1765,9.55452
574,10,0.01321,0.0041497,110.3,17.0921
581,20,0.025,0.00551985,86.85,9.19872
588,22,0.0252583,0.00531665,65.4091,9.9608
595,18,0.021327,0.00497293,45.6667,8.91455
602,16,0.0179372,0.0044439,51.25,7.53144
609,37,0.0267148,0.00433282,62.1622,7.30255
616,30,0.0190476,0.00344432,59.4,8.18666
623,42,0.0214286,0.00327088,77.1667,7.04544
630,43,0.0192739,0.00291077,57.7674,5.65713
637,82,0.0231508,0.00252681,55.8902,4.66597
644,103,0.0228686,0.00222739,65.2913,4.59771
651,200,0.0249066,0.00173909,62.165,3.02035
658,369,0.0218524,0.00112509,60.4688,2.20031
665,656,0.023406,0.000903093,60.9588,1.63428
672,978,0.0232497,0.000734751,60.0082,1.3781
679,1259,0.0218311,0.000608513,59.7315,1.21946
686,1647,0.021989,0.000535835,59.241,1.05727
693,1795,0.0208075,0.000485984,57.8724,1.01263
700,1533,0.0204498,0.00051693,59.5453,1.10498
707,1240,0.0214707,0.000603147,58.2411,1.19575
714,933,0.0222413,0.000720004,52.0536,1.37787
721,656,0.0237208,0.000915093,54.3918,1.66207
728,633,0.0196206,0.000772161,52.8768,1.59978
735,533,0.0149904,0.000644423,55.8255,1.85877
742,751,0.010718,0.000389004,51.0626,1.6257
749,1301,0.00983802,0.000271408,48.4012,1.19727
756,2031,0.00929907,0.000205379,47.2408,0.962702
763,1832,0.0100456,0.000233517,47.8231,0.9936
770,1451,0.0113664,0.000296693,45.3804,1.08499
777,1060,0.0127477,0.00038904,43.917,1.28545
784,821,0.0137503,0.000476576,45.6468,1.48889
791,663,0.0124753,0.000481469,46.3032,1.61682
798,775,0.014141,0.000504357,44.1135,1.45473
805,783,0.0142771,0.000506567,43.7522,1.51569
812,717,0.0148239,0.000549488,42.7741,1.59841
819,550,0.014001,0.000592809,48.28,1.86348
826,432,0.0152156,0.000726468,48.1343,2.14534
833,235,0.0154139,0.000997711,44.7277,2.73398
840,250,0.0171456,0.00107505,39.44,2.53552
