"beta" "beta_CI_lower" "beta_CI_upper" "HR" "HR_CI_lower" "HR_CI_upper" "eff" "eff_CI_upper" "eff_CI_lower"
"Immunity_other" -0.0161106761774142 -0.204215745068028 0.1719943927132 0.984018406632584 0.81528645817941 1.18767117358234 0.0159815933674157 0.18471354182059 -0.18767117358234
"Immunityboost_001-061" -2.08384057577556 -2.18460139154989 -1.98307976000123 0.124451328435296 0.112522577166281 0.137644671312693 0.875548671564704 0.887477422833719 0.862355328687307
"Immunityboost_062-122" -1.88168591149705 -1.95177422813863 -1.81159759485547 0.152333069074682 0.142021868724173 0.163392892532487 0.847666930925318 0.857978131275827 0.836607107467513
"Immunityboost_123-183" -1.35726077477602 -1.49692393534758 -1.21759761420446 0.257364792416044 0.223817579678371 0.29594027632028 0.742635207583956 0.776182420321629 0.70405972367972
"Immunityfull_001-061" -0.676508444906522 -0.864217379513103 -0.48879951029994 0.508388965175902 0.421381205178041 0.613362287488406 0.491611034824098 0.578618794821959 0.386637712511594
"Immunityfull_062-122" -0.538938040333524 -0.711770894735862 -0.366105185931186 0.58336743622967 0.490774317799754 0.693429858308181 0.41663256377033 0.509225682200246 0.306570141691819
"Immunityfull_123-183" -0.385923139346429 -0.53569309444426 -0.236153184248598 0.679822775295147 0.585263506653007 0.789659701239501 0.320177224704853 0.414736493346993 0.210340298760499
"Immunityfull_184-244" -0.414249217362884 -0.513400888874907 -0.315097545850861 0.66083623887742 0.59845682882495 0.729717689864296 0.33916376112258 0.40154317117505 0.270282310135704
"Immunityfull_245-305" -0.317797802892467 -0.441750439449773 -0.193845166335161 0.727749922468385 0.642910060425253 0.823785444113945 0.272250077531615 0.357089939574747 0.176214555886055
"Immunityfull_306-366" 0.0255751091303243 -0.13474066501471 0.185890883275359 1.02590495820596 0.873942526174402 1.20429084493543 -0.0259049582059625 0.126057473825598 -0.204290844935434
"Immunityfull_367-427" 0.404256477994228 -0.0169848367488229 0.825497792737278 1.4981881499779 0.983158592402568 2.28301695177084 -0.498188149977905 0.0168414075974322 -1.28301695177084
"Immunityhybridboost_001-061" -3.36941634575096 -3.79897903013386 -2.93985366136806 0.034409714860025 0.0223936234034985 0.0528734656028575 0.965590285139975 0.977606376596501 0.947126534397142
"Immunityhybridboost_062-122" -3.21483773191054 -3.58080918027619 -2.8488662835449 0.0401618502816174 0.0278531509136963 0.0579099371213295 0.959838149718383 0.972146849086304 0.94209006287867
"Immunityhybridboost_123-183" -2.34690118532993 -3.14886551418932 -1.54493685647053 0.0956651519462985 0.042900769583947 0.2133253409126 0.904334848053701 0.957099230416053 0.7866746590874
"Immunityhybridfull_001-061" -2.75574389203668 -3.73653746536199 -1.77495031871136 0.0635617190210483 0.0238364950963911 0.16949186986481 0.936438280978952 0.976163504903609 0.83050813013519
"Immunityhybridfull_062-122" -2.54931336395798 -2.92174441523693 -2.17688231267903 0.0781352980980089 0.0538396865664387 0.113394508739031 0.921864701901991 0.946160313433561 0.886605491260969
"Immunityhybridfull_123-183" -2.71144720652195 -3.33256032249962 -2.09033409054429 0.0664405838583559 0.0357015803917601 0.123645820016922 0.933559416141644 0.96429841960824 0.876354179983078
"Immunityhybridfull_184-244" -1.84757028323425 -2.29931542427619 -1.3958251421923 0.157619672595605 0.100327501991524 0.24762862321883 0.842380327404395 0.899672498008476 0.75237137678117
"Immunityhybridfull_245-305" -1.80711737847163 -2.54899322840384 -1.06524152853942 0.164126570337056 0.078160315989308 0.344644603206179 0.835873429662944 0.921839684010692 0.655355396793821
"Immunityhybridfull_306-366" -1.09932243634415 -1.97671110592386 -0.221933766764439 0.333096701473047 0.138524079962236 0.800968413307433 0.666903298526953 0.861475920037764 0.199031586692567
"Immunityinf_062-122" -1.97838781849239 -2.38936670045058 -1.56740893653419 0.138292009508413 0.0916877312937787 0.208584939598922 0.861707990491587 0.908312268706221 0.791415060401078
"Immunityinf_123-183" -2.17334227605694 -3.30611396627115 -1.04057058584273 0.113796640813892 0.0366583529141789 0.353253063247071 0.886203359186108 0.963341647085821 0.646746936752929
"Immunityinf_245-305" -2.77099141832279 -4.73142792639074 -0.810554910254833 0.0625999112678993 0.00881387648298196 0.444611278398929 0.937400088732101 0.991186123517018 0.555388721601071
"Immunityinf_306-366" -1.4988263208295 -1.92841387817591 -1.06923876348309 0.22339219711329 0.14537860388618 0.343269727436465 0.77660780288671 0.85462139611382 0.656730272563535
"Immunityinf_367-427" -2.09550452989018 -2.68771539666053 -1.50329366311982 0.12300816669861 0.0680361976768279 0.222396453523539 0.87699183330139 0.931963802323172 0.777603546476461
"Immunityinf_428-488" -1.89788772410712 -2.5188553805344 -1.27692006767983 0.149884883312267 0.0805517551089544 0.278894956604548 0.850115116687733 0.919448244891046 0.721105043395452
"Immunityinf_489-549" -1.86892151044485 -2.84987675592162 -0.887966264968081 0.154289972240508 0.0578514502841738 0.411491767570937 0.845710027759492 0.942148549715826 0.588508232429063
"AgeGr0-11" -1.6731524927389 -2.08609982894749 -1.26020515653031 0.187654552568487 0.124170478751507 0.283595838992864 0.812345447431513 0.875829521248493 0.716404161007136
"AgeGr12-15" -1.86905918687694 -2.70801565285476 -1.03010272089912 0.154268731609823 0.0666689699229497 0.356970290376594 0.845731268390177 0.93333103007705 0.643029709623406
"AgeGr16-17" -1.33590963915228 -2.34792274016579 -0.323896538138774 0.262918905317632 0.0955674746475569 0.723325075067149 0.737081094682368 0.904432525352443 0.276674924932851
"AgeGr18-24" -0.434125087933339 -0.854190668851935 -0.0140595070147424 0.647831214549054 0.425627525336989 0.986038866287651 0.352168785450946 0.574372474663011 0.0139611337123491
"AgeGr25-29" -0.47188214600587 -0.89985906193546 -0.0439052300762806 0.623827029092604 0.406626964919689 0.957044652224099 0.376172970907396 0.593373035080311 0.0429553477759012
"AgeGr30-34" -0.62213624244244 -1.0592818875735 -0.184990597311377 0.53679648444509 0.346704693905186 0.83111209850366 0.46320351555491 0.653295306094814 0.16888790149634
"AgeGr35-39" -0.202352080134933 -0.587532389548348 0.182828229278482 0.816807295687527 0.555696837602494 1.20060816103765 0.183192704312473 0.444303162397506 -0.200608161037655
"AgeGr45-49" 0.739801634307234 0.428841538652826 1.05076172996164 2.09551979402774 1.53547770125331 2.85982870580133 -1.09551979402774 -0.535477701253314 -1.85982870580133
"AgeGr50-54" 1.18117051464563 0.880433427211357 1.48190760207991 3.25818572584306 2.41194488244133 4.4013336711668 -2.25818572584306 -1.41194488244133 -3.4013336711668
"AgeGr55-59" 1.68505974034387 1.40230739980988 1.96781208087786 5.39277308884527 4.06456773791756 7.15500477860745 -4.39277308884527 -3.06456773791756 -6.15500477860745
"AgeGr60-64" 2.10054505958851 1.82642014834004 2.37466997083697 8.17062217504382 6.21161016608149 10.7474656236246 -7.17062217504382 -5.21161016608149 -9.74746562362458
"AgeGr65-69" 2.6816821946624 2.41760440224136 2.94575998708343 14.6096489098445 11.2189510031275 19.0251157358134 -13.6096489098445 -10.2189510031275 -18.0251157358134
"AgeGr70-74" 3.31523596857491 3.05577167175957 3.57470026539025 27.5288891709549 21.2375676364805 35.6839235056726 -26.5288891709549 -20.2375676364805 -34.6839235056726
"AgeGr75-79" 4.00074955226167 3.74224309412279 4.25925601040054 54.6390895412182 42.1925259059621 70.7573211555793 -53.6390895412182 -41.1925259059621 -69.7573211555793
"AgeGr80+" 4.44342289483096 4.18816477498424 4.69868101467767 85.0656145710579 65.9017353989034 109.802249342165 -84.0656145710579 -64.9017353989034 -108.802249342165
"SexM" 0.47455794944711 0.424785075869328 0.524330823024892 1.60730353100756 1.52926170909733 1.68932801064787 -0.607303531007556 -0.529261709097329 -0.689328010647873
