"Immunity_other" "Immunitybnew_001-061" "Immunitybnew_062-122" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecbnew_184-244" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "Immunitysecboost_245-305" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00472255101752688 0.000748607425695139 0.00100604973599927 0.000578448764863637 0.000644659868141744 0.000595311100753682 0.000508992077102925 0.000524662648156908 0.000608930314982384 0.000854537411998387 0.00109153530847934 0.00125709527064221 0.000609722905438438 0.000544268704886199 0.000597667516932626 0.000667338767642437 0.000648869091822117 0.000668170056451938 0.000732612851091837 0.000616685322281504 0.000760061326021698 0.000806311447971405 0.000675686576478854 0.000615923285521749 0.000736417717445268 0.000982976107637479 0.00114635444255701 0.00135326928855223 0.0007256577683399 0.000672432666415653 0.000605201773699969 0.000600667627983473 0.000688793317372022 0.000815590060010873 0.000897950639130055 0.000947595510090517 0.000745998505622236 0.000692313653606832 0.000704301414852017 0.000826778984845899 0.00104744953751537 0.00115427060305615 0.000843234029437678 0.000705955017961647 0.000968654341355422 0.00113353878986523 0.00153267690794054 0.000554408661705113 0.0007174883376811 0.000973809578435085 0.00113328979933373 0.00145142792481665 -2.42807044190905e-05 -2.4867614962596e-05 -1.58648269082009e-05 -2.60920281194858e-06 2.60491518630128e-05 9.13757043639628e-05 -0.000863180678907794 0.000259918691600024 0.000120481334734245 5.124426716573e-05 7.23274913832052e-05 1.44688382310366e-05 1.13592662070666e-05 1.26790895745496e-05 -2.40489314400352e-06 1.01398193780863e-05 2.01386882747274e-05 4.98551195903266e-05 9.99895018850055e-05 0.00010323110533264 9.78086940541869e-05 0.000147012096505087 4.96421762356289e-05
"Immunitybnew_001-061" 0.000748607425695139 1.00122001608941 0.000810589387321334 0.000663997353589121 0.000788234621652404 0.000547440323491169 0.000453332236292906 0.000526998135614202 0.000881860229370734 0.0010913362146832 0.000610496192397515 0.000496094788328489 0.000496689192451909 0.000471562683641461 0.000612979114742483 0.000833185262445542 0.000617948666763316 0.000688988892035102 0.000936756032708369 0.000804458556980433 0.000926925989098433 0.000647848539958316 0.000554105726116639 0.000673333063805842 0.000959110433813393 0.000867521607123054 0.000576412913660919 0.000489340711698824 0.00086567879717928 0.000587284979193308 0.000538784285392103 0.000666156791145058 0.000845140349924571 0.000821265324080176 0.000716450069381712 0.000808753761429989 0.000604401088919979 0.000562820545257776 0.000744408443317215 0.000898428360681536 0.000879616375033566 0.000602666131702645 0.000493595515032174 0.0012198258516156 0.000828609042363781 0.000542915981069071 0.000469140924586636 0.000700707328612934 0.00110208248463104 0.000812681294337308 0.000544781883827573 0.000469220319917557 -3.26034162920851e-05 -4.44696985050635e-05 -4.42515370999022e-05 -2.03749090694019e-05 1.37904587092207e-06 8.13757800724769e-05 -0.00034564117029658 0.000508953242286075 0.000110225522860042 2.19815676140066e-05 -1.53259357244771e-05 -2.19951025150736e-05 -1.13919230618644e-05 -2.67607112146965e-05 -1.39120775101396e-06 4.11127654856108e-06 -1.88199995543036e-05 -4.58348847228015e-05 -6.8305452736163e-05 -8.70505067999437e-05 -6.76959452484044e-05 4.59319010702952e-06 1.2391223674916e-05
"Immunitybnew_062-122" 0.00100604973599927 0.000810589387321334 0.501528359683565 0.000401317335710641 0.000566714166853797 0.000481321328026501 0.000336669741373681 0.000350194205837551 0.000495437648742792 0.0012105057657024 0.00146690737964179 0.00108551325284477 0.000422712487832719 0.000336252658969172 0.000383238893139675 0.000536960626045376 0.000562945582241589 0.000547207542142291 0.000732932442649217 0.000540102650136543 0.000920444510859861 0.000935323921116579 0.000566884333573533 0.000468230625643556 0.00078071654939691 0.00134145284197399 0.00136656571377593 0.00103149861915994 0.000739922504208818 0.000623082275143874 0.000418861259629898 0.000426386307545014 0.000646599943115371 0.00091738753053114 0.000991888609790833 0.000988411814713898 0.000640719123940951 0.000442776400825504 0.000472038797297203 0.000793741576818763 0.00121090114386813 0.00128605770608556 0.000595578938973049 0.000766449918970396 0.00152157316620863 0.00130385247895543 0.00089284153245482 0.000410114564498952 0.000834518586654021 0.00142406028956648 0.00132060926047881 0.000929600765334204 -3.04564245913267e-05 -4.86269414869796e-05 -4.56547384187167e-05 -2.38899815108519e-05 -4.62360723189206e-06 7.98049657222627e-05 -0.000349512656891907 0.000455753912593007 0.000108761918090113 5.55473035782051e-05 2.65156122616558e-05 2.70670897946558e-06 5.42448871835677e-06 -1.91073031327442e-05 -4.52144869605746e-06 1.44873546355626e-08 -3.31250947405211e-05 -6.87282686674986e-05 -9.65657520334466e-05 -0.000120237225393862 -0.000103428048617421 -3.05248580546263e-05 1.06377430613975e-05
"Immunityboost_001-061" 0.000578448764863637 0.000663997353589121 0.000401317335710641 0.167595812425863 0.000837072868305639 0.000875095750638842 0.000934542659716209 0.000952869540266444 0.000859679087397753 0.000505325209739979 0.000340595943864961 0.00030062399175799 0.00088864316847447 0.000941893353412508 0.000973610187995146 0.000867077379161088 0.000869028433262188 0.000866919061211537 0.000732790734563655 0.000822252515689967 0.000636095316593979 0.000613264723432487 0.000809467097832361 0.000882799062694446 0.000714599761994525 0.000435603542524824 0.000339187938824687 0.000310098050643929 0.000731883906488385 0.000794161877452264 0.000921789991340719 0.000918674050617985 0.000813156922786227 0.00066223993765332 0.000611104692634161 0.000553361585042436 0.000806811658860601 0.00091311253701069 0.000881317318736189 0.00073709467489846 0.000480803577311414 0.000421713388878489 0.000762337837747852 0.000668947637463027 0.000394160141617914 0.000314772814645976 0.000306590754343296 0.000905735453209984 0.00065588376974514 0.000387306167804263 0.000309867214022399 0.000297700198357617 -3.09867879071046e-05 -2.46899091542265e-05 -2.89420668826007e-05 -1.03412805510047e-05 -6.33618884539883e-06 7.02637576685702e-05 -0.000367880120699661 0.000618467458313861 7.65790904899535e-05 -0.000108675000914399 -0.000210012774200687 -8.70700939524158e-05 -4.42922224601016e-05 -6.88845421363447e-06 -4.36434375842812e-07 2.28409133685978e-05 3.53820794196091e-05 2.78785603251115e-05 1.53038756952157e-05 3.80847130240104e-05 5.23667568230713e-05 0.000134692677081007 2.34050124725162e-05
"Immunityboost_062-122" 0.000644659868141744 0.000788234621652404 0.000566714166853797 0.000837072868305639 0.200852293321281 0.000909673143102579 0.000945206148127823 0.000849037956935278 0.00078749278908225 0.000690109256608907 0.000448905167033483 0.000361937498833674 0.000913214330978283 0.000923280392292257 0.000874864258980926 0.000898383913282659 0.000873486203299184 0.000805256135928096 0.00077832184356879 0.00077763395795236 0.000713370301070614 0.000673279941941955 0.000779224153116547 0.000813009909766714 0.000752010081991738 0.000598952735290152 0.000441988793392249 0.000373567935534569 0.000781423870844933 0.00084078552043264 0.000885013003371405 0.00087646830768581 0.000823436891428887 0.000754491898866404 0.000666344532348642 0.000650627561388155 0.000849360782991513 0.000861509305252655 0.000865912720473894 0.000790816544897834 0.000652057580437871 0.000554219522951167 0.000776731773211373 0.000776171381828574 0.000557950849300086 0.000395654444168438 0.000354418265516358 0.000790496758304245 0.000740019351899865 0.000535766945373451 0.000391331194409517 0.000346253807786952 -2.29469799171738e-05 -2.10152432970997e-05 -1.98922748560377e-05 1.37955824403777e-06 2.5182611857879e-05 9.27224991609294e-05 -0.000395479850738822 0.000768728452100089 1.40700708669524e-05 -0.000317739224314431 -0.000306756304140063 -0.000126663451337675 -6.21756419373063e-05 -1.17793230390039e-05 1.74936825000712e-05 7.34280474938215e-05 0.000120511819885819 0.000137288825253854 0.000135632886219732 0.000165482055037104 0.000190953394693108 0.000293214322870332 1.5495508250807e-05
"Immunityboost_123-183" 0.000595311100753682 0.000547440323491169 0.000481321328026501 0.000875095750638842 0.000909673143102579 0.0602580469346588 0.00148022964349402 0.000983136096683719 0.000642571362846951 0.000498864690226615 0.000441060203530683 0.000360094846836808 0.00139440290028946 0.00129707626496442 0.000932531508562433 0.000972335625168644 0.0010528049553626 0.0008099666516791 0.000662597140303815 0.000705424685735413 0.000608923075365816 0.000770225488171868 0.000943471080178046 0.000828700197038154 0.000601982041075178 0.000504210237237487 0.00045061882512638 0.000377314551480526 0.000754207541959597 0.00111348393896517 0.00109705531977834 0.000955887213404172 0.000773121621934794 0.000732832124144198 0.000645149604410743 0.00058687182476334 0.0010889107485865 0.000985030977902002 0.000872724304447813 0.000667277633294398 0.000551222253446031 0.000602222535470945 0.000999327928687677 0.000527432639500575 0.000458283358631289 0.000401102678649535 0.000343017436896302 0.000737085236195664 0.000521678716456447 0.00043749758975358 0.000387442098370496 0.000333482791804456 -1.52123083816397e-05 -1.19478555815236e-05 -2.57583310193365e-06 1.88187597088399e-05 4.91788463185067e-05 0.000115235448175817 -0.000259194722214979 0.000840050059113894 0.000193989140130517 -0.000245164086004954 -0.000191291896739807 -2.43811991860007e-05 2.64225923428362e-05 3.09215418127897e-05 -1.1041249790332e-05 1.98342225236684e-05 7.3919786560845e-05 0.000129054751905385 0.000149825571801748 0.000204276676227572 0.000255677181638891 0.000392502172714211 2.51345417348269e-05
"Immunityboost_184-244" 0.000508992077102925 0.000453332236292906 0.000336669741373681 0.000934542659716209 0.000945206148127823 0.00148022964349402 0.00525705292943752 0.00113521473021364 0.000619589538063194 0.00038120023864008 0.000307806709894344 0.000259855079670338 0.00151105580633495 0.00149299771228904 0.000998098825127675 0.000989943195275383 0.00114744233542987 0.000828099017630399 0.00062095379122138 0.000719361471398535 0.00054328473963831 0.000770135259015903 0.00102903507261385 0.000888032112402847 0.000532047498659902 0.000370917862565277 0.000320912042460724 0.000281379444058624 0.000705797828212564 0.00118851716708231 0.00118913526189236 0.00102546427656716 0.000740158834135085 0.000674162402297301 0.000561906352145213 0.000494315056751894 0.00115586836429995 0.00104133766194093 0.000883479262404152 0.000564267817027234 0.000386613058762195 0.000458002661660371 0.00107019077324842 0.00044787707023386 0.000324071559863265 0.000283002292366771 0.000275734947136954 0.000785205771980644 0.000439616758876585 0.000306574791629506 0.00026606564989339 0.000257487612691626 -2.46026657112851e-05 -2.27705421079782e-05 -3.25962305267044e-06 2.15676269116839e-05 5.20639741245439e-05 0.000126182492730798 -0.000101993604779676 0.000658449571348593 0.000304515812653299 9.66819922132593e-05 1.20924388188398e-05 9.8332193558555e-05 0.000103533612053583 6.78655325365212e-05 -5.26844807380444e-05 -6.66790394851556e-05 -6.55169368793065e-05 -5.36259678942858e-05 -7.9285323744153e-05 -2.94264850273661e-05 5.33903473124345e-05 0.000219464070604702 1.01759653137147e-05
"Immunityboost_245-305" 0.000524662648156908 0.000526998135614202 0.000350194205837551 0.000952869540266444 0.000849037956935278 0.000983136096683719 0.00113521473021364 0.00213324864137417 0.000785890265322063 0.000421862355126138 0.000318226940663203 0.000283170848933937 0.00101147997337182 0.00110506113433383 0.00101614824783392 0.000851873970370916 0.000952621376899684 0.000871579281324699 0.000674068244254265 0.000801213146908204 0.000575989509482302 0.000652762903248214 0.000892354422433642 0.000918850657179805 0.000626221837661878 0.000375076727234019 0.000314132670373497 0.000289096194110482 0.000680354635675609 0.000880138673790098 0.00100768023833404 0.000960406454530925 0.000762539510461219 0.000630437137738242 0.000571933812540516 0.000495730197413743 0.000870250085778193 0.000952496535441106 0.000851504177395895 0.00062388948858966 0.000369641914259812 0.000367283276553568 0.00083775805759365 0.000540851180404308 0.000352647673504793 0.000300082594248657 0.000296293756479352 0.00091629147436635 0.000545620881085291 0.00034192895323163 0.00029060807100178 0.000283978107353236 -2.81403306941444e-05 -3.05852247567767e-05 -1.35692110013242e-05 1.10332642457508e-05 4.11197906232726e-05 0.00011724185867598 -9.77418104074477e-05 0.000506086161554828 0.000223804426771141 7.61461263155223e-05 8.16568243136865e-06 7.07180568105278e-05 7.59579477945653e-05 4.93261708913654e-05 -4.5621296295945e-05 -6.04057655135008e-05 -7.30434836908256e-05 -9.77899446318373e-05 -0.000143110491129668 -0.000145280656560593 -0.000119230254196684 9.86326875704013e-06 -1.27522806735885e-07
"Immunityboost_306-366" 0.000608930314982384 0.000881860229370734 0.000495437648742792 0.000859679087397753 0.00078749278908225 0.000642571362846951 0.000619589538063194 0.000785890265322063 0.00228986717775235 0.00068213516810651 0.000409464001792074 0.000359898320539761 0.000605341647755192 0.000652086946885449 0.000847198218625061 0.000813875849294018 0.000700023856203098 0.000826377162445481 0.000814093922237901 0.000864433904939047 0.00074733816623177 0.000571640806751923 0.000678969097085911 0.000825403879352057 0.000843847218953751 0.000540723900267778 0.000386987384404296 0.000353067868464335 0.000772006211921231 0.000610407201733694 0.000715734172024957 0.000805276565888367 0.00083756751850615 0.000668308509880136 0.000629216372939025 0.000614585739713101 0.000609278755594956 0.000723782851697469 0.000798401034368471 0.000780138524034918 0.000536731884954733 0.000388661155007379 0.000553679595854229 0.000910722586323249 0.000512603473584914 0.000379757120303718 0.000359550339170346 0.000907731565923352 0.000861746181642626 0.000508978364790849 0.000378320522838235 0.000354277530007378 -2.8433453594226e-05 -3.33262154624064e-05 -1.77900225324492e-05 7.1663566897061e-06 3.62606342775422e-05 0.000114139388823937 -0.000108197061201525 0.000444772584663527 0.000205267136478022 7.53683459017552e-05 1.74237161198462e-05 6.60509291513609e-05 7.01073626628295e-05 4.51040917696481e-05 -4.01656764172456e-05 -5.37358299566524e-05 -6.56209736639382e-05 -8.83462601217722e-05 -0.000122792097002361 -0.000159726253409323 -0.000189364328551038 -9.82721023889112e-05 -3.11108751801449e-06
"Immunityboost_367-427" 0.000854537411998387 0.0010913362146832 0.0012105057657024 0.000505325209739979 0.000690109256608907 0.000498864690226615 0.00038120023864008 0.000421862355126138 0.00068213516810651 0.00376939873571346 0.000972472194516191 0.000714457958780663 0.000426988042917223 0.000378148381435242 0.000459955846132273 0.000680537474138068 0.000580730353894035 0.000587649348200734 0.000869394830109599 0.000673839786915746 0.000974218856396902 0.000784572374999717 0.000526939220047541 0.00055614467584035 0.000895495967303771 0.00114600872301768 0.000889764948365 0.00068339155547267 0.000825925334049977 0.000593554879729163 0.000440900012108513 0.000523435788704512 0.000750504745054601 0.000887369738364627 0.000816360884846942 0.000897383612261245 0.000594984400149759 0.00044439106695164 0.000571046817999117 0.000846178557099115 0.00104373533511804 0.000863102396679388 0.000480385804831796 0.00107319783902779 0.00123796569884866 0.000834036755783655 0.000623286778208053 0.00053977684861582 0.00104416205291821 0.00115826582954839 0.000848653474862627 0.000635874632482057 -2.87103901156537e-05 -3.27662692317028e-05 -1.604824711071e-05 9.07887451736479e-06 3.94279518055764e-05 0.000117964956968037 -0.000131301598959063 0.000421315570340535 0.000229557516617232 0.000116951748690665 5.87792797308175e-05 8.88249826902222e-05 8.59063806805404e-05 5.41666362865523e-05 -4.59138228038346e-05 -6.37684802172378e-05 -8.18689149718293e-05 -0.000109855061618906 -0.000145973405557577 -0.000179279744297557 -0.000201694267750425 -0.000107685023777319 6.34705625425782e-06
