"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.168344558769754 -0.305603274273951 -0.0310858432655574 0.845062610782129 0.736678820930445 0.969392353698918 0.154937389217871 0.263321179069555 0.0306076463010824
"Immunityb45_001-061" -1.14405018326333 -3.1051733918775 0.817073025350846 0.318526315782149 0.0448167470256158 2.26386385847591 0.681473684217851 0.955183252974384 -1.26386385847591
"Immunityb45_062-122" -0.139264599163841 -1.52738127105491 1.24885207272723 0.869997797310399 0.21710345865698 3.48633859638703 0.130002202689601 0.78289654134302 -2.48633859638703
"Immunityboost_001-061" -0.598721350375499 -1.40100364678189 0.203560946030888 0.5495138227161 0.24634959185019 1.22575986056308 0.4504861772839 0.75365040814981 -0.225759860563084
"Immunityboost_062-122" -0.980813697169557 -1.85910818705315 -0.102519207285968 0.375005833486186 0.15581152315922 0.902560813842783 0.624994166513814 0.84418847684078 0.0974391861572167
"Immunityboost_123-183" -0.690375679153338 -1.15796837376492 -0.222782984541754 0.501387672783588 0.314123715028283 0.800288505427574 0.498612327216412 0.685876284971717 0.199711494572426
"Immunityboost_184-244" -0.492703421399311 -0.633429857457021 -0.3519769853416 0.610972443550687 0.53076821615243 0.703296307914364 0.389027556449313 0.46923178384757 0.296703692085636
"Immunityboost_245-305" -0.451432900860374 -0.541198454363661 -0.361667347357086 0.636715147972788 0.58205027351946 0.696514026540451 0.363284852027212 0.41794972648054 0.303485973459549
"Immunityboost_306-366" -0.407216966218383 -0.500433677205569 -0.314000255231198 0.66549978366501 0.606267678219699 0.730518841708202 0.33450021633499 0.393732321780301 0.269481158291798
"Immunityboost_367-427" -0.435973293250489 -0.556691472687893 -0.315255113813084 0.646634995223678 0.5731020544162 0.729602718793022 0.353365004776322 0.4268979455838 0.270397281206978
"Immunityboost_428-488" -0.310352099482501 -0.455770905112242 -0.16493329385276 0.733188755389419 0.63395905724238 0.847950265696668 0.266811244610581 0.36604094275762 0.152049734303332
"Immunityboost_489-549" -0.578020601763351 -1.00395672234135 -0.152084481185352 0.561007725974706 0.366426720269534 0.858915715458207 0.438992274025294 0.633573279730466 0.141084284541793
"Immunityfull_123-183" 0.490152472900603 -0.254202294943702 1.23450724074491 1.63256512291913 0.775534899387893 3.43668464523722 -0.632565122919133 0.224465100612107 -2.43668464523722
"Immunityfull_184-244" 0.377097439083944 0.0628760989895101 0.691318779178378 1.45804637315278 1.06489488950425 1.99634653825193 -0.458046373152779 -0.0648948895042469 -0.996346538251928
"Immunityfull_245-305" 0.0601670610777329 -0.202449859612018 0.322783981767483 1.06201395292164 0.816727432601824 1.38096700463117 -0.0620139529216392 0.183272567398176 -0.380967004631169
"Immunityfull_306-366" 0.0271414664426147 -0.228751479638247 0.283034412523476 1.02751315111252 0.795526213402676 1.3271508316405 -0.0275131511125177 0.204473786597324 -0.327150831640496
"Immunityfull_367-427" 0.0212024318063741 -0.166886249007295 0.209291112620043 1.02142880038771 0.846295872857822 1.23280383105064 -0.0214288003877061 0.153704127142178 -0.23280383105064
"Immunityfull_428-488" 0.0913930884802026 -0.072417190478686 0.255203367439091 1.09569962751794 0.930142768148562 1.29072408543544 -0.0956996275179354 0.0698572318514378 -0.290724085435441
"Immunityfull_489-549" 0.019246500136664 -0.169763665548593 0.208256665821921 1.01943290799954 0.843864227220858 1.23152922044699 -0.0194329079995414 0.156135772779142 -0.231529220446986
"Immunityhybridboost_001-061" -3.07440857749619 -3.66799977710106 -2.48081737789132 0.046216954047058 0.0255274795635474 0.0836748036981305 0.953783045952942 0.974472520436453 0.916325196301869
"Immunityhybridboost_062-122" -2.11960850267348 -2.5414486373435 -1.69776836800346 0.120078629772951 0.0787522336913936 0.18309166168737 0.879921370227049 0.921247766308606 0.81690833831263
"Immunityhybridboost_123-183" -2.18139461371122 -2.61295461164354 -1.74983461577891 0.112883991250712 0.0733175983963287 0.173802685295388 0.887116008749288 0.926682401603671 0.826197314704612
"Immunityhybridboost_184-244" -1.87312653356273 -2.20950096818908 -1.53675209893638 0.153642541524944 0.109755406290599 0.215078521997746 0.846357458475056 0.890244593709401 0.784921478002254
"Immunityhybridboost_245-305" -1.83565411499994 -2.15477198006993 -1.51653624992995 0.159509130321604 0.115929621863609 0.219470763787088 0.840490869678396 0.884070378136391 0.780529236212912
"Immunityhybridboost_306-366" -2.10526493517357 -2.55863209578197 -1.65189777456518 0.121813397340054 0.0774105582816597 0.191685786808768 0.878186602659946 0.92258944171834 0.808314213191232
"Immunityhybridboost_367-427" -1.38927499455374 -1.81331586950609 -0.965234119601398 0.249255951060964 0.163112379735189 0.380894014544883 0.750744048939036 0.836887620264811 0.619105985455117
"Immunityhybridboost_428-488" -0.856064383915364 -1.35465976182859 -0.357469006002141 0.424830767313216 0.258035072899553 0.699444377184309 0.575169232686784 0.741964927100447 0.300555622815691
"Immunityhybridboost_489-549" -0.889672291422876 -2.85332814150724 1.07398355866149 0.410790350217935 0.0576521267915332 2.92701624768084 0.589209649782065 0.942347873208467 -1.92701624768084
"Immunityhybridfull_062-122" -1.80903513454373 -3.19606557712797 -0.422004691959495 0.163812117228752 0.0409228956331862 0.655730962723107 0.836187882771248 0.959077104366814 0.344269037276893
"Immunityhybridfull_123-183" -1.70396453869787 -2.68594507835461 -0.721983999041131 0.181960701927059 0.0681567500796187 0.485787497307461 0.818039298072941 0.931843249920381 0.514212502692539
"Immunityhybridfull_184-244" -2.32589291152648 -3.20491665130916 -1.44686917174381 0.0976961710563875 0.0405622823101108 0.235305838219557 0.902303828943612 0.959437717689889 0.764694161780443
"Immunityhybridfull_245-305" -1.55262404662155 -2.0464764829689 -1.0587716102742 0.211691755338873 0.129189303285509 0.346881654585716 0.788308244661127 0.870810696714491 0.653118345414284
"Immunityhybridfull_306-366" -1.67205348771356 -2.21879425458712 -1.12531272084 0.187860899232029 0.108740142740617 0.32455095763898 0.812139100767971 0.891259857259383 0.67544904236102
"Immunityhybridfull_367-427" -0.968192683604268 -1.39039556301956 -0.545989804188971 0.379768780583662 0.248976799135919 0.579268137459138 0.620231219416338 0.751023200864081 0.420731862540862
"Immunityhybridfull_428-488" -1.4911763965982 -2.14737794328676 -0.834974849909627 0.22510768380062 0.116789986616439 0.433885393552629 0.77489231619938 0.883210013383561 0.566114606447371
"Immunityhybridfull_489-549" -1.14682810045101 -1.94927782734324 -0.344378373558775 0.317642703923316 0.142376855140047 0.708660738829141 0.682357296076684 0.857623144859953 0.291339261170859
"Immunityinf_062-122" -2.56284540848184 -4.52358550829663 -0.602105308667051 0.0770850895256455 0.0108500508942039 0.54765743360255 0.922914910474354 0.989149949105796 0.45234256639745
"Immunityinf_123-183" -1.77599644109349 -2.7578380256848 -0.794154856502174 0.169314653337405 0.0634287515609228 0.451963047187377 0.830685346662595 0.936571248439077 0.548036952812623
"Immunityinf_184-244" -1.01207474922076 -1.4916088380361 -0.532540660405419 0.363464099891272 0.225010358955318 0.587111422439026 0.636535900108728 0.774989641044682 0.412888577560974
