"Immunity_other" "Immunitybnew_001-061" "Immunitybnew_062-122" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecbnew_184-244" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "Immunitysecboost_245-305" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00473472431487326 0.000757275423762391 0.00102703469131499 0.000580274813143733 0.000647679642710944 0.000598799717402203 0.000514063910741851 0.000530697222992038 0.00061787379979625 0.000872765779546278 0.00112093849503546 0.0012908841740549 0.000605422134240155 0.00054437276907539 0.000595657739313776 0.000665462449245468 0.000649779014482887 0.000672524440853189 0.000740294081780449 0.000626265850485707 0.000774474291090238 0.000822092186900024 0.000685790757923303 0.000624070311186701 0.000748679127558347 0.00100590586599804 0.00117661638958284 0.00138834841925983 0.0007388869401629 0.000683499113565558 0.000613741467871124 0.000608623873339414 0.000699085060549433 0.000830156136022294 0.000915816278713204 0.000967496462482455 0.000733616108583406 0.00068422885501131 0.00070065251614344 0.000827540400567206 0.00105565515446763 0.00116729502973898 0.000835071412767634 0.000719215888805168 0.00099328413927014 0.0011645564849488 0.00157212106296616 0.000561983749342001 0.00073084190576487 0.000998556137819617 0.00116429612209897 0.00148890980013282 -2.28553492876405e-05 -2.41592706424636e-05 -1.54082196129683e-05 -2.34582821215137e-06 2.66129033598044e-05 9.25949831336498e-05 -0.000857472499823772 5.7359272292257e-05 1.07523994941293e-05 1.17541344856283e-05 1.2254291206442e-05 -1.55163324860698e-06 1.18619009726016e-05 2.3558138914695e-05 5.506628000984e-05 0.00010812427368184 0.000111469931130862 0.000105650541255239 0.000155411982133681 5.10195682211619e-05
"Immunitybnew_001-061" 0.000757275423762391 1.0012336692436 0.000818765560880573 0.00066860817361777 0.00079361743861751 0.000549000451667212 0.000455983654303498 0.000531332518556869 0.000890631009023023 0.00110590594870827 0.000616558384359441 0.000501963017616264 0.000510469780200421 0.000478594446781586 0.000615595236953006 0.000838775210719716 0.000619224673736947 0.000692513849584621 0.000945708176542265 0.000812482615626656 0.000937419682098602 0.00065368361664467 0.000558434460205 0.000678975722689776 0.000969209834257897 0.000877874913597495 0.000581779401923438 0.000494936382276129 0.00087643522639612 0.000593317798749825 0.000544034959024533 0.000671326265696032 0.000852732889171453 0.000830371317476245 0.000723300026637191 0.000817315359755666 0.000615284497414912 0.00059298066943056 0.000781839764130299 0.000929634910462466 0.000921841290248158 0.000638165422289998 0.000514820795650866 0.00123389391855524 0.000838863174437619 0.000549025064011666 0.000475656943026303 0.000707621107451346 0.00111496085971125 0.00082291290479929 0.000550728061693936 0.000475501602685472 -3.16264652793937e-05 -4.34800819869719e-05 -4.32807448710586e-05 -1.92572372124035e-05 2.58363967678932e-06 8.28754810785391e-05 -0.000339023867712135 -1.39031259291453e-05 -1.65262223978907e-05 -7.86754749693337e-06 -2.31543071364389e-05 -3.01686936138131e-06 2.96438753830358e-06 -1.82696273717373e-05 -4.66293378618536e-05 -6.95282541248848e-05 -8.91780116204567e-05 -6.98966206128241e-05 2.14888792944803e-06 1.21436861877602e-05
"Immunitybnew_062-122" 0.00102703469131499 0.000818765560880573 0.501554729059237 0.000401984836247613 0.000569732255379525 0.00048154271201412 0.000336892770289567 0.000351563537919665 0.000500179403951384 0.00122817797434909 0.00149524375925889 0.00110866595683555 0.000434576463727754 0.000341356184796435 0.000383679214911139 0.000537600037032052 0.000561952321160169 0.000547862992235852 0.000737336980382259 0.000545237697603999 0.00093111857036191 0.000946518511261281 0.000571234997733213 0.000471327345147786 0.000788583668942224 0.00136338216863284 0.00139280356908351 0.00105350040651933 0.000749642384761361 0.000629927922821178 0.000422368405075284 0.00042911535256337 0.000650969950573346 0.000927070868041409 0.00100458742855556 0.00100223956513465 0.000653981482292845 0.000469560538121401 0.000506280464353209 0.00082995825782127 0.00125392198123624 0.00133498412336329 0.000612110350866498 0.000776839937107475 0.00154854214063439 0.00133075087045514 0.000913720414740458 0.000413467789077883 0.00084477700738796 0.0014493345352962 0.00134714094307952 0.000950974263576728 -2.94879653028459e-05 -4.76856068867625e-05 -4.46710752647894e-05 -2.29213520498e-05 -3.55477585742286e-06 8.12260718347825e-05 -0.00034536115823227 2.60140778185349e-05 5.41452014726076e-06 6.69890312291641e-06 -1.6165792781728e-05 -6.04438155212575e-06 -7.2622550979315e-07 -3.27315464691838e-05 -6.89179482943751e-05 -9.73399864120116e-05 -0.000121938932307431 -0.000105511957248166 -3.32484625920981e-05 1.03445452112132e-05
"Immunityboost_001-061" 0.000580274813143733 0.00066860817361777 0.000401984836247613 0.16760086924353 0.000840710446690057 0.000880253607654373 0.000941179404244569 0.000960481796825035 0.000867569521568397 0.000509969658176554 0.000342256089651709 0.000302121804059661 0.000906498100849365 0.000952879289216429 0.000979817988529933 0.000870372208790527 0.000874750654560355 0.000873733086689275 0.000738806591204816 0.000829976123968568 0.000642950475282069 0.000619506818982343 0.000816403317982502 0.000890054748746187 0.000721545268910525 0.000438196348708239 0.000340218953889801 0.000311220457990448 0.000739601716474176 0.000802084136550736 0.000929228873081339 0.000925896973072055 0.00082104225086748 0.000668399134959122 0.000616359055081528 0.000557269383818815 0.000818103574971732 0.000940040588956965 0.000912998344814871 0.000770633612194014 0.000514297882633118 0.000455837391997148 0.000791149640248982 0.000675709286055561 0.000397140425547713 0.000316520558335173 0.000308522193006379 0.000913806234504003 0.000663049125241095 0.000390370255874593 0.000311523066339885 0.000299436604935286 -2.98288540871779e-05 -2.33687543254441e-05 -2.75505599739944e-05 -8.87418509340552e-06 -4.87264560333891e-06 7.20852265568781e-05 -0.000360285489780644 -0.000207444210121216 -8.32108390392785e-05 -4.16796868402074e-05 -6.61293425645683e-06 -9.51865592113351e-07 1.9909817645317e-05 3.26149854631864e-05 2.55570920011429e-05 1.27201082548835e-05 3.49548373590634e-05 4.88190105437759e-05 0.000130937146412052 2.28985746724361e-05
"Immunityboost_062-122" 0.000647679642710944 0.00079361743861751 0.000569732255379525 0.000840710446690057 0.200855684533449 0.00091566678601426 0.000953551907474899 0.000856575619210331 0.000794431066023928 0.000697428397123865 0.000452673187824093 0.000365240423441531 0.000931070097376822 0.000935502531143563 0.000877918052650161 0.000900114561956511 0.000878462399849887 0.000809976683972963 0.000783690746693819 0.000784946809698153 0.000720918091030863 0.000680635421748622 0.000786480083724611 0.000819814172101407 0.000758758740781745 0.000604058652342973 0.00044503032137766 0.000376470531763945 0.000789560291675535 0.000849737186924176 0.00089206233682059 0.000883043335723753 0.000829850269349462 0.000760989856060973 0.000671528650142533 0.000655420266869247 0.000860584592465085 0.000887812707339384 0.000900613783735207 0.000823083717369888 0.000688250273993127 0.000590693290983173 0.000804987317204298 0.000783969863726894 0.000563817792524259 0.000399391892690839 0.000358212215111055 0.00079775386850742 0.000747799677395601 0.000541467245365193 0.000394899247024055 0.000349788880473521 -2.16482358229055e-05 -1.96678506825184e-05 -1.84450055864392e-05 2.94281182557197e-06 2.69983726300455e-05 9.48008585889332e-05 -0.000388791964026327 -0.000294529410369803 -0.000123807241984666 -5.84837986849676e-05 -1.02406239886084e-05 1.61161670199163e-05 7.0852508339183e-05 0.000117986477029403 0.000136522459604301 0.000134407693432576 0.000163621635207626 0.000188500926973941 0.000291091154455546 1.47988732581417e-05
"Immunityboost_123-183" 0.000598799717402203 0.000549000451667212 0.00048154271201412 0.000880253607654373 0.00091566678601426 0.0602755854360478 0.00149709674538774 0.000993704779969599 0.000648071969633933 0.000501334815282577 0.000443156331386482 0.000361952588596482 0.00142763492600456 0.00132188778738668 0.000939310428801408 0.000978574972435814 0.00106522631826538 0.000816687152976811 0.000666736258408875 0.000712236177791732 0.000614553932932339 0.000779664900087261 0.00095416932141791 0.000836767137483381 0.000606337193743797 0.000506069617924812 0.000452386302231174 0.000379050124476067 0.000762057411473418 0.00112801149755965 0.00110947945041463 0.000965948051774742 0.000779943202513966 0.00073933290515127 0.000649864651270551 0.000590210820209818 0.00110585152475861 0.00101612474876334 0.000915650914544257 0.000706641556829872 0.000591075147679774 0.000648216879679995 0.0010389915563162 0.000531249239409433 0.000460531078851063 0.000403131637061918 0.000345507097428315 0.000744372868973732 0.00052569248931663 0.000439698775657015 0.000389231770618426 0.000335631326023651 -1.3794993282465e-05 -1.0605830043531e-05 -1.12399802901761e-06 2.03799111368857e-05 5.1013768848313e-05 0.000117363483906047 -0.000250868358855072 -0.000174027596121147 -2.23545740571116e-05 3.02359771662457e-05 3.31797791898963e-05 -1.26447452928947e-05 1.84010713889468e-05 7.23348278779889e-05 0.000128862229054817 0.000149669150349598 0.000204065764970659 0.000255726805110193 0.000393226032633761 2.51006862745939e-05
"Immunityboost_184-244" 0.000514063910741851 0.000455983654303498 0.000336892770289567 0.000941179404244569 0.000953551907474899 0.00149709674538774 0.00528597537391701 0.00114605109258776 0.000625062714343302 0.000383104607667992 0.000308357836559255 0.00026001469771459 0.00154657140525361 0.00152270756956715 0.00100935997261416 0.00100106833377955 0.00116483782787444 0.000837288532569113 0.000626937475674661 0.000726233120930138 0.000548775161545446 0.000779832079782732 0.00104018769831022 0.00089657081735322 0.000536601874229632 0.000372089971946758 0.00032132288177453 0.000281671462216431 0.000713669552095412 0.00120407113986764 0.00120344331262567 0.00103775346326793 0.000748735280578082 0.000682599988762482 0.000567421871661023 0.000498085263190404 0.00117869422305366 0.00107482732386389 0.000932274949031438 0.000609430109228031 0.000431744387882782 0.000509456690638828 0.00111781322824293 0.000451273147896153 0.000325078370335959 0.000283175369112454 0.000276527345676828 0.000792476842156962 0.000443306905312506 0.000307509597488062 0.000266105372900511 0.000257906008974615 -2.32048559820207e-05 -2.13777153823946e-05 -1.77498076823349e-06 2.31346133573827e-05 5.3753950796255e-05 0.000128205365468209 -9.29892339820649e-05 1.01407820779636e-05 0.000100328077514129 0.000104991986643695 6.88337849931662e-05 -5.33133076699095e-05 -6.74211454743997e-05 -6.62159783049988e-05 -5.40579209248273e-05 -7.96532538677066e-05 -2.94082184618678e-05 5.38784599478641e-05 0.000220600465988526 1.0269827463493e-05
"Immunityboost_245-305" 0.000530697222992038 0.000531332518556869 0.000351563537919665 0.000960481796825035 0.000856575619210331 0.000993704779969599 0.00114605109258776 0.00214272141149545 0.000792764377354347 0.000424928509721374 0.000319247980530083 0.00028394489184527 0.00103975850107991 0.00112481568481558 0.00102892775429735 0.000861976685443975 0.000965523105094856 0.00088155912134955 0.000681374795551405 0.000808626008927307 0.000581985077577861 0.000660390720524405 0.0009014820578422 0.000927280646895605 0.000632375598300719 0.000377159526249268 0.000315033655478218 0.00029001687993917 0.000688479142797904 0.000892017021486912 0.00101945313294844 0.000971189841012271 0.000772019880815532 0.000638735831891803 0.000578383730573965 0.000500295839841734 0.000893651423332139 0.000988363390803836 0.000894684578531156 0.000667635305766009 0.000412428089465707 0.000412401203398267 0.000879548464937391 0.000545439636792354 0.000354387709007832 0.000300852094117757 0.000297636309974706 0.000924118219130545 0.000550738123631327 0.000343627495024747 0.000291274752168892 0.000285011799082974 -2.6848109078887e-05 -2.92190893604409e-05 -1.21097848339007e-05 1.25634759187798e-05 4.27348905633232e-05 0.000119133223375853 -8.90926419187792e-05 6.23171117192198e-06 7.25190960954349e-05 7.69093519317348e-05 4.99613934768805e-05 -4.59542736260183e-05 -6.07376611188646e-05 -7.33641057151759e-05 -9.79773714806819e-05 -0.000143140777326217 -0.000145106709137819 -0.000118886325218986 1.05754926197644e-05 -7.15509991461968e-08
"Immunityboost_306-366" 0.00061787379979625 0.000890631009023023 0.000500179403951384 0.000867569521568397 0.000794431066023928 0.000648071969633933 0.000625062714343302 0.000792764377354347 0.00229823940426393 0.000689629014666611 0.000412965776924903 0.000363189888229376 0.000627108844965383 0.000663598374900119 0.000857533928464305 0.00082334751882312 0.000706958832503912 0.000834899772167692 0.000823000518485354 0.000872316108311714 0.000755381265152431 0.000577678900712069 0.000685600815291154 0.000832821955087988 0.00085254187670567 0.000546388399868459 0.000390287803009186 0.00035644755472997 0.000781701661255782 0.000618550258949936 0.000724600063862708 0.000813123614862284 0.0008473552363257 0.00067708878827785 0.000636904471173095 0.000621333640381705 0.000629653199916018 0.000763884151251103 0.000838472360724688 0.000821404513372166 0.000581326346026894 0.000430430848057824 0.000586599328029169 0.000918977981060079 0.000517688839397528 0.000383145826772792 0.000363364798095143 0.000915533086812471 0.000870298739835868 0.000514095307249084 0.000381609833533643 0.000357843289091911 -2.73205752085954e-05 -3.21532802741379e-05 -1.65563088202013e-05 8.44237698272135e-06 3.75985049647678e-05 0.000115709169059241 -0.000100103023580757 1.46915511332018e-05 6.70404079923314e-05 7.05395422596968e-05 4.53455825171956e-05 -4.03062684735005e-05 -5.37369682040875e-05 -6.56338778796014e-05 -8.84012893873872e-05 -0.000122731361470002 -0.000159726666410462 -0.000189494992535175 -9.83032203436362e-05 -3.08448780527682e-06
"Immunityboost_367-427" 0.000872765779546278 0.00110590594870827 0.00122817797434909 0.000509969658176554 0.000697428397123865 0.000501334815282577 0.000383104607667992 0.000424928509721374 0.000689629014666611 0.00378753534045785 0.000987004540842203 0.000727945128795415 0.000444631535484075 0.000387216775498473 0.000464971400876986 0.000688392330102379 0.000583461402234031 0.000591346819790623 0.000878471288716729 0.000680998489353365 0.00098545931601123 0.000792718413383704 0.000531485563354959 0.000561169527319225 0.00090552558751758 0.00116265407516531 0.000903621261731519 0.000696650605120903 0.000837575864179824 0.000600976071476436 0.000446706029551276 0.000528884333823452 0.000757626623598818 0.000898588140177105 0.000826363005225749 0.000909644025237289 0.000614475663119997 0.000480545157929317 0.000616404613917402 0.000885719800568659 0.00109487436679016 0.000910905202598492 0.000505868986708288 0.00108730732440699 0.0012558199128525 0.000848415754803798 0.000636612135760044 0.000545187756071336 0.00105702162111593 0.00117529023661522 0.000862671452774171 0.000649190156757857 -2.77301717722316e-05 -3.18446335695937e-05 -1.51677902440674e-05 9.92755428630844e-06 4.03096217277147e-05 0.000119049494034067 -0.000124859362117206 5.26743276699918e-05 8.82422604350766e-05 8.55066347466934e-05 5.38178687135904e-05 -4.55981462334924e-05 -6.29887112606929e-05 -8.08068467765486e-05 -0.000108711629625884 -0.000144401284960113 -0.000178184688737042 -0.000201414988924773 -0.000107882721788348 6.43971787266479e-06
