"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.325399562711166 -0.460263377290633 -0.190535748131699 0.722238716321955 0.631117401624144 0.826516210790581 0.277761283678045 0.368882598375856 0.173483789209419
"Immunitybnew_001-061" -1.07492785315736 -3.03610043870198 0.886244732387256 0.341322379744715 0.0480217887536828 2.42600223644649 0.658677620255285 0.951978211246317 -1.42600223644649
"Immunitybnew_062-122" -0.096959081100075 -1.48501593800669 1.29109777580654 0.90759314308646 0.226498730709417 3.63677673070207 0.0924068569135396 0.773501269290583 -2.63677673070207
"Immunityboost_001-061" -0.549861507883105 -1.35225283230752 0.252529816541307 0.577029718914292 0.258656893172573 1.2872778777566 0.422970281085708 0.741343106827427 -0.287277877756605
"Immunityboost_062-122" -0.933257815987473 -1.81165342221372 -0.0548622097612279 0.393270418485451 0.163383770993559 0.946615573353482 0.606729581514549 0.836616229006441 0.0533844266465182
"Immunityboost_123-183" -0.746505458644837 -1.22769791426505 -0.265313003024627 0.474020144784474 0.292966235365735 0.766965849771007 0.525979855215526 0.707033764634265 0.233034150228993
"Immunityboost_184-244" -0.531708513038178 -0.674207133123095 -0.389209892953261 0.587600188998184 0.509560273948425 0.677592033294276 0.412399811001816 0.490439726051575 0.322407966705724
"Immunityboost_245-305" -0.452111994302884 -0.542837823406174 -0.361386165199594 0.63628290567412 0.581096860031672 0.696709901394123 0.36371709432588 0.418903139968328 0.303290098605877
"Immunityboost_306-366" -0.391569468833363 -0.485530056483592 -0.297608881183133 0.675995088273372 0.615370928951035 0.742591724553314 0.324004911726628 0.384629071048965 0.257408275446686
"Immunityboost_367-427" -0.415755062797971 -0.536377038583035 -0.295133087012908 0.659841870514197 0.58486335596395 0.744432506574254 0.340158129485803 0.41513664403605 0.255567493425746
"Immunityboost_428-488" -0.302071162881579 -0.435345346363943 -0.168796979399214 0.739285453334391 0.64704117517203 0.844680373496362 0.260714546665609 0.35295882482797 0.155319626503638
"Immunityboost_489-549" -0.409627845800069 -0.635059753982873 -0.184195937617265 0.663897276327259 0.529903823507534 0.831772812276162 0.336102723672741 0.470096176492466 0.168227187723838
"Immunityfull_123-183" 0.529093291838736 -0.2155337441308 1.27372032780827 1.69739257098072 0.806111068281839 3.57412477434587 -0.697392570980719 0.193888931718161 -2.57412477434587
"Immunityfull_184-244" 0.376184288916623 0.0576281273022822 0.694740450530963 1.45671556556923 1.05932098990056 2.00318907979995 -0.45671556556923 -0.0593209899005629 -1.00318907979995
"Immunityfull_245-305" 0.0425190961693218 -0.224963985935753 0.310002178274397 1.04343598181361 0.798544977091631 1.36342808404943 -0.043435981813613 0.201455022908369 -0.363428084049431
"Immunityfull_306-366" 0.000554648361035522 -0.259838190369781 0.260947487091852 1.00055480220688 0.771176359470063 1.29815949351351 -0.000554802206879756 0.228823640529937 -0.298159493513508
"Immunityfull_367-427" -0.0241261564188938 -0.213546737242635 0.165294424404848 0.976162552817632 0.807714408924066 1.17974041195174 0.0238374471823682 0.192285591075934 -0.179740411951743
"Immunityfull_428-488" 0.0201162696491606 -0.143053423624874 0.183285962923195 1.02031996537476 0.866707764988126 1.20115784558204 -0.0203199653747641 0.133292235011874 -0.201157845582036
"Immunityfull_489-549" -0.0318784294691457 -0.220346788354221 0.15658992941593 0.968624331095777 0.802240542040047 1.16951593147471 0.0313756689042229 0.197759457959953 -0.16951593147471
"Immunityhybridboost_001-061" -3.73456874897236 -4.53669336489561 -2.93244413304912 0.0238834686185582 0.0107087580293211 0.0532666880409303 0.976116531381442 0.989291241970679 0.94673331195907
"Immunityhybridboost_062-122" -2.69682548153302 -3.24345304455125 -2.15019791851479 0.0674191968736886 0.0390288936415744 0.116461105683287 0.932580803126311 0.960971106358426 0.883538894316713
"Immunityhybridboost_123-183" -3.55799026799554 -4.36019171496039 -2.75578882103069 0.0284960366014056 0.0127759380762711 0.0635588633211071 0.971503963398594 0.987224061923729 0.936441136678893
"Immunityhybridboost_184-244" -3.18683349972443 -3.78061713695901 -2.59304986248984 0.041302448307273 0.0228086110439191 0.0747915878301481 0.958697551692727 0.977191388956081 0.925208412169852
"Immunityhybridboost_245-305" -3.33805126967707 -3.96056689044784 -2.71553564890629 0.0355060821261996 0.0190523106567416 0.0661694998924627 0.9644939178738 0.980947689343258 0.933830500107537
"Immunityhybridboost_306-366" -2.76042467517293 -3.35423885890715 -2.1666104914387 0.0632648956234636 0.0349359512255953 0.114565279542622 0.936735104376536 0.965064048774405 0.885434720457378
"Immunityhybridboost_367-427" -2.27334536459767 -2.86847310882966 -1.67821762036568 0.102967140636508 0.0567855657977053 0.18670646143825 0.897032859363492 0.943214434202295 0.81329353856175
"Immunityhybridboost_428-488" -2.36860495538828 -3.17344943742179 -1.56376047335478 0.0936112270675992 0.0418589587263 0.209347344027356 0.906388772932401 0.9581410412737 0.790652655972644
"Immunityhybridboost_489-549" -1.57873139492199 -2.71702388682961 -0.440438903014374 0.206236565074442 0.0660710971748458 0.643753813579741 0.793763434925558 0.933928902825154 0.356246186420259
"Immunityhybridfull_062-122" -2.52431457417393 -4.48509011165035 -0.563539036697509 0.080113205632234 0.0112758713875786 0.569191106927908 0.919886794367766 0.988724128612421 0.430808893072092
"Immunityhybridfull_123-183" -3.11741832661642 -5.07840764454704 -1.1564290086858 0.0442713150874038 0.00622982121175611 0.31460763847759 0.955728684912596 0.993770178788244 0.68539236152241
"Immunityhybridfull_184-244" -2.86950597599316 -4.0030853253303 -1.73592662665602 0.056726944130841 0.018259216269956 0.176236818867107 0.943273055869159 0.981740783730044 0.823763181132893
"Immunityhybridfull_245-305" -2.44000146954023 -3.1834594566807 -1.69654348239977 0.0871607233756974 0.0414420399072789 0.18331606543433 0.912839276624303 0.958557960092721 0.81668393456567
"Immunityhybridfull_306-366" -1.9008839359426 -2.49480407637952 -1.30696379550568 0.149436468559184 0.0825126159786388 0.270640530185362 0.850563531440816 0.917487384021361 0.729359469814638
"Immunityhybridfull_367-427" -1.97785888171469 -2.63391123804895 -1.32180652538043 0.138365176586977 0.0717970968170086 0.266653150903032 0.861634823413023 0.928202903182991 0.733346849096968
"Immunityhybridfull_428-488" -2.31690177919429 -3.19556862247565 -1.43823493591292 0.0985785310221216 0.040943237510634 0.237346320645881 0.901421468977878 0.959056762489366 0.762653679354119
"Immunityhybridfull_489-549" -1.70621514917817 -2.5850263191461 -0.827403979210243 0.18155163975677 0.0753940952668068 0.437182749945186 0.81844836024323 0.924605904733193 0.562817250054814
"Immunityinf_123-183" -2.45087154807449 -3.83824322651546 -1.06349986963351 0.0862184102548307 0.0215313939207979 0.345245379570614 0.913781589745169 0.978468606079202 0.654754620429386
"Immunityinf_184-244" -1.6131568431753 -2.26982273249574 -0.956490953854848 0.199257595183457 0.103330495598748 0.384238834897988 0.800742404816543 0.896669504401252 0.615761165102012
"Immunityinf_245-305" -1.48513141790974 -2.05460074493541 -0.915662090884066 0.226472576168144 0.128143987501527 0.400251535450499 0.773527423831856 0.871856012498473 0.599748464549501
"Immunityinf_306-366" -1.02334327921386 -1.51750331247764 -0.529183245950094 0.359391383638809 0.219258624423668 0.58908591155001 0.640608616361191 0.780741375576332 0.41091408844999
"Immunityinf_367-427" -2.06868991356588 -3.05138690201917 -1.08599292511259 0.126351204321132 0.0472932877296073 0.337566441239526 0.873648795678868 0.952706712270393 0.662433558760474
"Immunityinf_428-488" -1.58290304127623 -2.56617930300395 -0.599626779548506 0.205378011096516 0.0768285238869687 0.549016502048339 0.794621988903484 0.923171476113031 0.450983497951661
"Immunityinf_489-549" -1.85972955949506 -2.99330750627373 -0.726151612716382 0.155714736246071 0.0501213854702977 0.48376713565814 0.844285263753929 0.949878614529702 0.51623286434186
"Immunitysecbnew_001-061" -1.61934901459528 -1.96257652367988 -1.27612150551069 0.198027570190384 0.140495963005247 0.279117760515602 0.801972429809616 0.859504036994753 0.720882239484398
"Immunitysecbnew_062-122" -1.13475661441716 -1.44695337027058 -0.822559858563744 0.321500360365469 0.235286026648701 0.439305653579904 0.678499639634532 0.764713973351299 0.560694346420096
"Immunitysecbnew_123-183" -0.568089416439636 -0.848416942735408 -0.287761890143864 0.566606955140459 0.4280920901104 0.749940139119948 0.433393044859541 0.5719079098896 0.250059860880052
"Immunitysecbnew_184-244" -0.495242627411424 -1.21104921679872 0.220563961975871 0.60942302662567 0.297884569913703 1.246779668679 0.39057697337433 0.702115430086297 -0.246779668678996
"Immunitysecboost_001-061" -1.21291083790997 -1.41704236394572 -1.00877931187423 0.297330537568796 0.242429977241388 0.364663848823132 0.702669462431204 0.757570022758612 0.635336151176868
"Immunitysecboost_062-122" -0.807517006022201 -1.01272799757534 -0.602306014469058 0.445964018590676 0.363226745100322 0.547547526607969 0.554035981409324 0.636773254899678 0.452452473392031
"Immunitysecboost_123-183" -0.441535340245198 -0.640849097481476 -0.24222158300892 0.643048364741905 0.5268448914001 0.784882241713162 0.356951635258095 0.4731551085999 0.215117758286838
"Immunitysecboost_184-244" -0.230023673447538 -0.462186721896908 0.00213937500183248 0.794514793376417 0.629904711957706 1.00214166509736 0.205485206623583 0.370095288042294 -0.00214166509736491
"Immunitysecboost_245-305" -0.456996323961643 -1.06737367962056 0.153381031697273 0.633182667662255 0.343910551675315 1.16576908930203 0.366817332337745 0.656089448324685 -0.165769089302028
"DCCI1" 0.465359875786262 0.366296224158235 0.564423527414289 1.59258721934878 1.44238244790362 1.75843380160333 -0.592587219348777 -0.442382447903618 -0.758433801603325
"DCCI2" 0.684437173958099 0.585125938169749 0.78374840974645 1.98265563123082 1.7952170577546 2.189664662037 -0.982655631230822 -0.795217057754603 -1.189664662037
"DCCI3" 0.974028208526754 0.873403650481127 1.07465276657238 2.64859208074029 2.39504890548502 2.92897568567167 -1.64859208074029 -1.39504890548502 -1.92897568567167
"DCCI4" 1.06425462869952 0.956549415220211 1.17195984217884 2.89867758755515 2.60270012358269 3.22831342745259 -1.89867758755515 -1.60270012358269 -2.22831342745259
"DCCI5" 1.24953214411358 1.1340137275106 1.36505056071657 3.48871036190308 3.10810659070391 3.91592103876124 -2.48871036190308 -2.10810659070391 -2.91592103876124
"DCCI6+" 1.39034133865576 1.28762684191476 1.49305583539676 4.01622071043023 3.62417560058632 4.45067529075555 -3.01622071043023 -2.62417560058632 -3.45067529075555
"DCCInodcci" 1.16970953668277 0.913554234882077 1.42586483848345 3.2210569037635 2.49316810950703 4.16145527360125 -2.2210569037635 -1.49316810950703 -3.16145527360125
"AgeGr18-24" -2.03004141679031 -2.95237362578548 -1.10770920779513 0.131330081765395 0.0522156183997513 0.330314777552986 0.868669918234605 0.947784381600249 0.669685222447014
"AgeGr25-29" -1.44381000857402 -2.19358887200564 -0.694031145142393 0.236026779349509 0.111515813613796 0.499558212999574 0.763973220650491 0.888484186386204 0.500441787000426
"AgeGr30-34" -1.15531642597834 -1.76959865967477 -0.541034192281903 0.314957860285034 0.17040136404249 0.582145890161956 0.685042139714966 0.82959863595751 0.417854109838044
"AgeGr35-39" -0.793172600334148 -1.32604869840803 -0.260296502260269 0.452407208782719 0.265524358058643 0.770823001155199 0.547592791217281 0.734475641941357 0.229176998844801
"AgeGr45-49" -0.282108071301668 -0.698329451418814 0.134113308815477 0.754192173598763 0.497415566970497 1.14352238347089 0.245807826401237 0.502584433029503 -0.143522383470889
"AgeGr50-54" 0.399427391668917 0.029598328371553 0.769256454966281 1.49097071091418 1.03004071271851 2.15816096718832 -0.490970710914177 -0.0300407127185116 -1.15816096718832
"AgeGr55-59" 0.991244398778904 0.656688488355891 1.32580030920192 2.69458552583139 1.92839584392945 3.76519747171042 -1.69458552583139 -0.92839584392945 -2.76519747171042
"AgeGr60-64" 1.48244921081509 1.16386071451209 1.80103770711809 4.40371811758977 3.20227250159487 6.05592848501494 -3.40371811758977 -2.20227250159487 -5.05592848501494
"AgeGr65-69" 2.15117762149639 1.84984674542204 2.45250849757074 8.59497406601539 6.35884492582761 11.6174525495072 -7.59497406601539 -5.35884492582761 -10.6174525495072
"AgeGr70-74" 2.68907915805748 2.39254985953337 2.9856084565816 14.7181166193162 10.9413573283776 19.7985451272994 -13.7181166193162 -9.94135732837761 -18.7985451272994
"AgeGr75-79" 3.13461826781333 2.83910455413651 3.43013198149014 22.9798620145389 17.1004461555573 30.8807181639314 -21.9798620145389 -16.1004461555573 -29.8807181639314
"AgeGr80+" 3.73283139123363 3.43944288740456 4.0262198950627 41.7972852493421 31.1695883600192 56.0486405542572 -40.7972852493421 -30.1695883600192 -55.0486405542572
"SexM" 0.487715934839118 0.435769770392961 0.539662099285275 1.62859215796498 1.546152783621 1.71542712019279 -0.628592157964982 -0.546152783621003 -0.715427120192785
