day,count, ratio,seratio,length,selength
0,0,,,,,
7,0,,,,,
14,0,,,,,
21,0,,,,,
28,0,,,,,
35,0,,,,,
42,0,,,,,
49,0,,,,,
56,0,0,0,,,
63,3,0.0508475,0.0286007,639.667,150.78
70,16,0.0407125,0.00996878,565.438,38.4865
77,31,0.0302439,0.00534919,491.419,24.2474
84,60,0.032591,0.00413835,539.383,26.3379
91,44,0.025641,0.00381565,581.682,31.0336
98,30,0.0267857,0.00482444,599.4,34.3945
105,22,0.024581,0.00517588,588.227,37.0003
112,10,0.0212314,0.00664231,569.8,62.5328
119,7,0.0174564,0.00654004,429,40.7706
126,6,0.0180723,0.00731101,544.667,71.6076
133,5,0.0114155,0.00507596,476,42.4387
140,3,0.00726392,0.00417857,584,102.601
147,2,0.00625,0.00440559,589,198.697
154,5,0.0125945,0.00559683,552.8,93.2396
161,3,0.00824176,0.00473873,620.333,96.6923
168,3,0.00552486,0.00318096,474.333,47.8059
175,2,0.00153374,0.00108369,426.5,51.2652
182,4,0.00544959,0.00271736,669.5,101.254
189,7,0.0106061,0.0039874,426.571,81.9106
196,7,0.00712831,0.00268463,434.714,45.9635
203,15,0.0102249,0.00262654,435.2,47.3437
210,29,0.0195418,0.00359319,454.414,32.6487
217,29,0.0193333,0.00355524,427.034,32.3789
224,20,0.0117855,0.00261974,418.25,41.2677
231,39,0.0189781,0.00300995,453.692,33.6769
238,40,0.0155159,0.00243417,424.25,30.3271
245,87,0.0183042,0.00194438,465.552,22.1056
252,138,0.0153248,0.0012945,374.594,15.3259
259,223,0.0156623,0.00104058,378.318,11.5554
266,257,0.0175128,0.00108281,381.109,11.4034
273,423,0.0190928,0.000919417,392.021,9.17005
280,765,0.0192904,0.000690687,366.894,6.606
287,1276,0.0198884,0.000551204,367.632,5.46573
294,1792,0.0198634,0.000464546,365.698,4.52972
301,1605,0.0202946,0.000501408,358.644,4.83538
308,1256,0.0187169,0.000523163,351.203,5.55058
315,764,0.0190723,0.000683401,334.309,7.18072
322,643,0.0195405,0.000763036,338.205,8.07499
329,518,0.0198841,0.000864927,316.353,8.55498
336,603,0.0211083,0.000850475,307.065,8.26999
343,850,0.0227425,0.000771139,300.069,6.77921
350,1253,0.0234921,0.00065582,283.533,5.59732
357,1573,0.028268,0.000702593,275.729,5.0131
364,2158,0.028344,0.000601439,264.521,4.23071
371,2166,0.0271895,0.000576218,245.928,4.1691
378,1481,0.0273995,0.000702155,224.909,4.80812
385,1434,0.0300944,0.000782666,214.987,4.87752
392,1461,0.0303011,0.000780643,218.88,4.82522
399,1695,0.0323826,0.00077371,220.677,4.52442
406,1939,0.0336737,0.000751734,214.79,4.19218
413,2456,0.0337344,0.000669125,202.471,3.70199
420,2870,0.0334854,0.000614496,190.999,3.17461
427,2809,0.0337442,0.000625848,185.411,3.11415
434,2648,0.0344617,0.000658055,185.594,3.26007
441,2189,0.0361699,0.000758969,176.517,3.51749
448,1708,0.0367154,0.00087193,168.088,3.9135
455,1121,0.0386752,0.00113257,176.806,4.89578
462,1082,0.0362637,0.00108227,166.834,4.87074
469,725,0.0360786,0.00131553,162.891,5.62675
476,586,0.0355604,0.00144263,163.986,6.24798
483,469,0.0347742,0.00157756,160.288,7.3249
490,300,0.0310495,0.00176459,156.357,8.5294
497,195,0.0281914,0.00199017,175.374,11.7258
504,111,0.0267212,0.00250215,128.018,12.2375
511,54,0.0183299,0.00247142,151.759,19.5733
518,40,0.0189843,0.00297306,177.075,25.9657
525,18,0.0152027,0.00355597,216.5,35.8495
532,16,0.0193004,0.0047783,146.25,27.2233
539,12,0.0146699,0.00420367,130.917,41.8789
546,10,0.0101112,0.00318124,106.8,20.9021
553,35,0.0197183,0.00329998,134.343,18.8577
560,29,0.0179455,0.00330237,125.414,18.8906
567,25,0.0185048,0.00366656,150.72,29.3034
574,11,0.00932203,0.00279757,224.364,48.3244
581,26,0.0201863,0.0039187,177.038,24.7655
588,28,0.0198441,0.00371278,123.607,21.4697
595,26,0.02,0.0038829,108.538,17.6048
602,21,0.0147368,0.00319206,110.619,24.6632
609,49,0.0217972,0.00307976,146.367,19.1378
616,36,0.0130862,0.00216671,135.889,19.3107
623,58,0.0182677,0.00237666,150.138,14.5123
630,57,0.0164931,0.00216647,102.807,12.1519
637,102,0.0188122,0.00184509,102.98,9.68459
644,131,0.0185526,0.00160584,122.954,8.59352
651,243,0.018937,0.00120325,117.235,7.01946
658,455,0.0168606,0.000783745,118.686,4.97567
665,801,0.0189626,0.000663628,117.881,3.71967
672,1145,0.0186835,0.000546966,113.017,3.00334
679,1477,0.0165364,0.000426708,112.873,2.61532
686,1908,0.0163894,0.000372121,109.939,2.24684
693,2084,0.0159427,0.000346437,109.041,2.17794
700,1763,0.0156947,0.000370844,109.208,2.28359
707,1420,0.0163713,0.000430879,105.839,2.50846
714,1061,0.0171644,0.00052241,93.5401,2.7587
721,738,0.0197882,0.00072117,95.8388,3.34869
728,725,0.017422,0.000641377,96.0124,3.34643
735,641,0.0124374,0.000488184,101.346,3.5847
742,922,0.00811648,0.000266215,92.9555,3.02005
749,1620,0.00798155,0.00019751,89.5093,2.21545
756,2524,0.00798628,0.000158328,87.1906,1.73874
763,2246,0.00911633,0.000191481,87.5913,1.8533
