"Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityfull_550+" "Immunitypartial_001-061" "Immunitypartial_062+" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2+" "InfPriorinf_NA_062-122" "InfPriorinf_NA_123-183" "InfPriorinf_NA_184-244" "InfPriorinf_NA_245-305" "InfPriorinf_NA_306-366" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityboost_001-061" 0.000804510296832259 0.000238676031178095 0.00019718102737102 0.000124279481274616 0.000106622522408677 9.17228520348233e-05 0.000227882611295498 0.000221845007987105 0.000224204382718688 0.000235538119519341 0.0002153628375657 0.000170350473587206 0.000116352137079404 0.000100397452583391 9.36201048218367e-05 8.10962601031886e-05 0.000220537811223758 0.000202182170015714 0.000100977594531849 9.59791957927681e-05 -9.49152768264824e-06 -1.10454786595899e-05 -4.85801352560417e-05 -0.0001018173493516 -0.000148813571072152 -0.000175611221640773 -0.000176932878301893 0.000216249665267372 0.000162689793822003 0.000102962787928049 4.7135262404553e-05 4.73112719518083e-05 4.06872902158915e-05 2.48389174393716e-05 -1.66726825613984e-05 -2.03467247924225e-05 -2.77336768847809e-05 -3.81420277488264e-05 -4.6280305453664e-05 -3.64185487789489e-05 -1.98775168006267e-05 -6.78836030106978e-07 -1.35314727665087e-05
"Immunityboost_062-122" 0.000238676031178095 0.000710971566808295 0.000304763044053737 0.000246567029423002 0.000265618039379861 0.000279336238698403 0.000197346446671783 0.000209035736416146 0.000184739486461367 0.000217802404733073 0.000251573459032486 0.000231261006900538 0.000212499961484146 0.000230867429890229 0.000242416561236216 0.000224331113550554 0.000199460105811192 0.000237648642740872 0.00028421682617975 0.000286856267956059 -1.2255312523691e-05 -2.24699046508858e-05 2.107671347407e-05 -1.99304619136004e-05 -3.89642850318157e-05 -1.52245793276744e-08 1.65359584612876e-05 0.000168092390692071 0.000117449664979927 6.85444300977223e-05 3.78105904311788e-05 3.61297029143569e-05 3.49400319165456e-05 2.13264953601748e-05 -1.998151569042e-05 -3.37639330127826e-05 -5.30546230042137e-05 -8.94784095062232e-05 -0.000123198897054817 -0.000145952923393108 -0.000155225748582177 -0.000140852875419437 -4.08464337149136e-06
"Immunityboost_123-183" 0.00019718102737102 0.000304763044053737 0.00155853891996953 0.000484475945689334 0.000535599988751258 0.000575356376864395 0.000154312661126741 0.000185261183981118 0.000140814505970779 0.000187523194788256 0.00028287525408562 0.000345445923212831 0.000426782873451741 0.000484294719060153 0.000516773489777292 0.000500345319724397 0.000163100400525294 0.000281561232062518 0.000571019829478815 0.000576285953528558 -1.32156214913047e-05 -2.45899922812964e-05 0.000122468181543691 0.000208260665044095 0.000256953863503923 0.000299050593040015 0.000291694934787973 0.000141206609756528 8.8577643093618e-05 4.69305663333498e-05 2.92767360055452e-05 3.32172394410709e-05 3.3195812496335e-05 2.17428714654397e-05 -1.75076417993226e-05 -2.83551950920563e-05 -4.23162085286263e-05 -7.11707446519556e-05 -0.000103936345915722 -0.000162085628791167 -0.000226518017954805 -0.00023537997418977 -3.2635680758685e-06
"Immunityboost_184-244" 0.000124279481274616 0.000246567029423002 0.000484475945689334 0.00230577665341161 0.00111010330831871 0.00113813380129046 7.74013316558739e-05 0.000125124494698604 7.09693234115285e-05 0.000137707958127153 0.000299436057043695 0.000557451769874906 0.000932534051405311 0.00106395334976271 0.00108486425401879 0.00108129570608488 8.71039664220302e-05 0.000336524420875433 0.00114189478089854 0.0011394473790052 -1.28845145608491e-05 -2.16339122730327e-05 0.000190504335540088 0.000652752765460807 0.000923516716494153 0.000942803843398148 0.000941169361069346 0.000110306087047045 5.52018048050144e-05 2.59429284772329e-05 2.94756735474666e-05 4.609752796711e-05 4.35921882023762e-05 2.56508116226324e-05 -2.27554866592021e-05 -3.50426132784456e-05 -4.79433028538979e-05 -7.67542861955291e-05 -0.000117089586221782 -0.000145026525176958 -0.000168801870474989 -0.000144827595253143 -6.84906206178476e-06
"Immunityboost_245-305" 0.000106622522408677 0.000265618039379861 0.000535599988751258 0.00111010330831871 0.00281682534099296 0.00152169800365076 5.33119563681989e-05 0.000107674815755043 4.15702515928669e-05 0.000117890663186676 0.000315720931374162 0.000599655994249339 0.00106452801649923 0.00132080407666683 0.001345319469867 0.00141732606583618 7.04688471082695e-05 0.000368594590781132 0.00146888411502845 0.00155825461989658 -1.12427260976521e-05 -2.40908257831786e-05 0.000263657066439756 0.000648120770426243 0.00105331963036035 0.00128877510288888 0.00134229094639201 8.54538994196326e-05 3.22074384034407e-05 9.55469819823565e-06 2.4331460565152e-05 4.38735260612996e-05 4.36808716793549e-05 2.52601388378026e-05 -2.24043226847988e-05 -3.33420301117075e-05 -4.92553062295184e-05 -8.76257603428864e-05 -0.000131459866208028 -0.000196976874873849 -0.000260548094847532 -0.00026747253105 -3.10219881238273e-06
"Immunityboost_306-366" 9.17228520348233e-05 0.000279336238698403 0.000575356376864395 0.00113813380129046 0.00152169800365076 0.00927392484748663 3.97357739693584e-05 9.82339516896912e-05 2.33765092484635e-05 0.00010378449578616 0.000326048223143793 0.000623144239562051 0.00113306595093873 0.00151755863799809 0.00154989065473117 0.0017142105439983 6.31455347039184e-05 0.000393555029525467 0.00172910349531377 0.00197415277010844 -1.06872917802132e-05 -2.42061578558984e-05 0.000314675347469884 0.000633718906360547 0.00109437551887417 0.00160780793017479 0.00184749685703187 7.28737560274269e-05 2.04870801268948e-05 1.14763686804401e-06 2.18768185231397e-05 4.12700418911499e-05 4.23721891340267e-05 2.3959417307404e-05 -2.04217958602195e-05 -3.01265213744047e-05 -4.12275313279469e-05 -7.31354784868024e-05 -9.74908348297849e-05 -0.000189814416850327 -0.00033630803746637 -0.000410169219770769 -2.57994969099485e-06
"Immunityfull_001-061" 0.000227882611295498 0.000197346446671783 0.000154312661126741 7.74013316558739e-05 5.33119563681989e-05 3.97357739693584e-05 0.00369703046517052 0.000234460972989357 0.000256041759795013 0.000226376571199165 0.000188575680875495 0.00015354994794506 8.73613048520066e-05 5.65404963513536e-05 5.53451773204398e-05 4.87148925190177e-05 0.000240646993350492 0.000192289573482638 4.44042700425918e-05 3.69221139899544e-05 -2.14218468783232e-06 -3.09118601110532e-06 -5.46812945266799e-05 -0.000108973968117701 -0.000157119224695915 -0.000201447174237782 -0.000175723185485571 0.000192640242531882 -1.65912376385184e-05 -0.000123332448635981 -8.14555375832393e-05 -4.04240791099546e-05 -3.06438557810589e-05 -1.87562391871325e-05 1.53571010281581e-05 1.71183803071213e-05 2.68357513539859e-05 2.86970299045418e-05 2.58674022594697e-05 2.71891623293896e-05 2.85377894342305e-05 3.18828297384074e-05 -4.24596911321981e-06
"Immunityfull_062-122" 0.000221845007987105 0.000209035736416146 0.000185261183981118 0.000125124494698604 0.000107674815755043 9.82339516896912e-05 0.000234460972989357 0.00264073248448328 0.000239579403739721 0.00022331276214407 0.000204805274333827 0.00017818513654037 0.000133881500613269 0.00011191795934567 0.000108663898193181 0.00010514557683798 0.000225676663235349 0.000202196572290274 0.000101272262013863 9.75882232314609e-05 -3.6345590067878e-06 -2.39007805496112e-06 -1.7235467046767e-05 -6.57030725577343e-05 -0.000101784135231277 -0.000102603943985089 -0.000235331832856106 0.00021492066974026 2.34767501745465e-05 -0.000104335483436326 -6.78284695678408e-05 -3.6937051566087e-05 -2.17786025611844e-05 -1.16215155892371e-05 3.07060393853921e-06 9.51271942374996e-06 1.59474797718564e-05 1.86594928332057e-05 1.91417703176768e-05 1.78986189015213e-05 2.02035049930709e-05 2.83592666377376e-05 -6.26159648355611e-06
"Immunityfull_123-183" 0.000224204382718688 0.000184739486461367 0.000140814505970779 7.09693234115285e-05 4.15702515928669e-05 2.33765092484635e-05 0.000256041759795013 0.000239579403739721 0.0012476641933891 0.000226623431605196 0.000182507880915557 0.000150480798205178 8.55282772916297e-05 4.92630109748641e-05 4.46659105162805e-05 3.92936598514732e-05 0.000243727499718511 0.000189239614797877 2.92329251494191e-05 2.06375807013768e-05 -2.33927329409429e-06 4.69896942585595e-08 -5.60745607833886e-05 -0.000105307288995183 -0.000150917839999416 -0.000216325378512257 -0.000615788383743271 0.000235394492282865 4.93077645932175e-05 -0.00017572241732641 -0.000165272747944113 -5.63865392129139e-05 -2.55683370999695e-05 -1.51919602563162e-05 2.07886347936779e-05 3.60299905797484e-05 4.33274962679165e-05 4.61974714119295e-05 4.56810003139882e-05 4.89276521574621e-05 5.39012293050772e-05 6.30356289080335e-05 -8.72401955075857e-06
"Immunityfull_184-244" 0.000235538119519341 0.000217802404733073 0.000187523194788256 0.000137707958127153 0.000117890663186676 0.00010378449578616 0.000226376571199165 0.00022331276214407 0.000226623431605196 0.000822481926885258 0.000212199369768799 0.000180975529130602 0.000142416302225529 0.000123592124041377 0.000116493605043946 0.000112229258980631 0.000216539118496913 0.000202003749711713 0.000108043939526964 0.000102868466484178 -3.6923133971643e-06 -6.42466892081945e-07 -2.97004381979592e-05 -6.84009201472541e-05 -0.000103537590856922 -0.000117419537439386 -5.87412023902804e-05 0.0002337281472515 0.000171983355829246 0.000102297465028374 3.80413445097498e-05 4.31961001792917e-05 3.98506560148638e-05 2.44614878991741e-05 -8.99117551356562e-06 -6.44942293477603e-06 4.87309434181662e-06 1.30951811938509e-05 1.71623024020515e-05 2.42035136028791e-05 2.99069036579211e-05 4.13503621708322e-05 -7.42386629238397e-06
