"Immunity_other" "Immunityb45_062-122" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecb45_001-061" "Immunitysecb45_062-122" "Immunitysecb45_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00640942019639119 0.00120046994726301 0.000726050604092332 0.000794284972201568 0.00070489568491951 0.000631876339601342 0.000672032348997007 0.0007929351681323 0.00106190206567193 0.00128108555904971 0.000665196626592472 0.000653205076232533 0.000722096670019045 0.000800953042647266 0.000768126379004895 0.000770346229297 0.000876585001203306 0.000805541155236318 0.000932819728096206 0.000855075344711929 0.000720594908252075 0.000750594431730506 0.000909877301955771 0.00113543627761873 0.00129520429458453 0.000883697723513409 0.000769741871668438 0.00072496419798039 0.000758271635164143 0.000866422315984051 0.000941839279416436 0.000949820108014008 0.000976705648305623 0.000873562268750729 0.000761053207348929 0.000725605073640334 0.000782725550500131 0.000922996962781609 0.00109178204279101 0.00112216701391369 0.00067684700377662 0.00092070795423915 0.0011854008562467 0.00132939351736171 0.000731740516776523 0.000931624778395184 0.00115757800048766 0.00131103783348532 0.000396248122887348 0.000101119887046977 8.26962824025134e-05 -4.19237125371377e-05 -7.81496525842582e-05 -3.17648548297808e-05 -9.25395641046188e-06 1.25055465382842e-05 2.24951543947394e-05 6.03773108222529e-05 0.000115331162884003 0.000189870996963601 0.000171768129281664 0.000143443572519688 0.000177357043970537 4.07191843702891e-05
"Immunityb45_062-122" 0.00120046994726301 1.00222892371513 0.00049372280028636 0.000710147277936333 0.000545169852906159 0.000389790694538017 0.000426980840335832 0.000633599036305214 0.00162637458307117 0.00253267272525396 0.000443578578840854 0.000384745155352986 0.000446174838670725 0.000656582755257383 0.00066467401520011 0.000585303130680001 0.000913148063690454 0.00071652908808427 0.00118398125524424 0.00104448119645299 0.000543774388598558 0.000562801006811733 0.00100454803923062 0.00189256146766083 0.00254423786735989 0.000920215795968043 0.000679426665173886 0.000445187348449558 0.00051379206493856 0.000822059875627818 0.0011235200517205 0.00114565289196227 0.00120884597356619 0.000915208322454303 0.000680490930748268 0.000445359437500476 0.000547654498834431 0.000976269110029269 0.00157359883886117 0.00186227004954381 0.000415404906798011 0.00102402862978029 0.00221337152045334 0.0026050896780449 0.000530790796170883 0.00112187176950205 0.00207667569729064 0.00262229267499765 0.000544291057275146 6.04898767755399e-05 1.71907889812919e-05 -1.63148735293119e-05 -1.82030388393212e-05 -2.98347319411338e-05 -2.1396139952748e-05 2.34999041632561e-06 1.18354139796063e-05 3.03644625320502e-06 -5.16647969215041e-05 -7.28471342423061e-05 -0.000137815818794894 -0.000156791666921802 -9.74668094387082e-05 -9.59227618412686e-06
"Immunityboost_001-061" 0.000726050604092332 0.00049372280028636 0.200934775890054 0.00085160461034901 0.000898743574706996 0.000931564843463054 0.000956713761765905 0.000886851747169068 0.000579961752939831 0.000449729948394228 0.000892741956671254 0.000934289942388292 0.000965687483104924 0.000865345713340731 0.000889763836553843 0.000923746755161682 0.000788695306664739 0.000848610436792247 0.000719524853641132 0.000774673058839879 0.000924068108379315 0.000918278809420579 0.000773856642179773 0.000546309436450192 0.000450398210510984 0.000797640742595696 0.000866008156615534 0.000958518550642777 0.000932940852393221 0.000844256970976343 0.000756957552353411 0.000777920275248337 0.000720001007303258 0.000785810136507735 0.000850734567141097 0.000932174846307399 0.000876978501918804 0.000762761433890004 0.00057703526770664 0.000570306244619429 0.000922776727071709 0.00071009790048542 0.000492004475848117 0.000432692636294467 0.000924713838197077 0.000708265997370751 0.000505254775624909 0.000434723828368662 0.000722739959711281 -1.82834203948779e-05 -0.000129051522933943 -0.000246960810419301 -0.000117158632575123 -7.79594804227606e-05 -2.56775207314911e-05 -5.10428195901788e-06 1.5080470999388e-05 5.1123239941098e-05 4.6628360947661e-05 4.67952189986248e-05 5.50065433622859e-05 3.78721362939275e-05 0.000108469908754236 5.68369879592985e-06
"Immunityboost_062-122" 0.000794284972201568 0.000710147277936333 0.00085160461034901 0.200876354817914 0.00093928709040763 0.00094801117926525 0.000863871849946635 0.000819454673988984 0.000787952023996711 0.000624900074682613 0.000918864412238073 0.000923383836024141 0.000877453745420263 0.0009099036236479 0.000904564197140254 0.000860456290372757 0.000841269250576445 0.000828787695292383 0.000808104615152216 0.000835907808000518 0.000879845408259075 0.000858434239509322 0.00082593024886416 0.000763775627266205 0.000626881370308961 0.000858579255482059 0.000920099562245391 0.000928094124750251 0.000905578268673062 0.000875692049516762 0.000864336972962613 0.000829303263029952 0.000842448659579988 0.000842593427589778 0.000894533167060333 0.000881618347054543 0.000873847583624822 0.000832925275363975 0.000800247022577839 0.000751341625366502 0.00090682581597456 0.000828689919184627 0.00070224352968937 0.000584261438368787 0.000818665741336812 0.0008047308539122 0.000711815636052438 0.000592083344830884 0.000883937765191116 -0.000144221337460858 -0.000332810696967366 -0.000359882891567852 -0.000181020669734663 -0.00010743313390866 -3.83235916717948e-05 1.47787668341096e-05 7.35959131611223e-05 0.000146131947502426 0.000170833056133615 0.000185186448900972 0.000200794335846654 0.00019655609752484 0.000295249818498851 -8.38732925959984e-07
"Immunityboost_123-183" 0.00070489568491951 0.000545169852906159 0.000898743574706996 0.00093928709040763 0.0640043710813346 0.00150414211284887 0.00101285083536465 0.000677241134520928 0.000545811139939693 0.000510808912196836 0.00145060822808697 0.00131976420826408 0.000952322723671951 0.000998080142003482 0.00110121797492088 0.000877633303283192 0.00072255253577792 0.000709315068224811 0.000680390896270626 0.000966340516367922 0.00107687029359203 0.000878884809345202 0.000658357219701376 0.000575751344154738 0.000532135362667112 0.000818944761517745 0.0012431664248429 0.00116494098296202 0.000993990805227341 0.000826656152515012 0.000826319730221173 0.000777231232093112 0.000720622013533276 0.000804290387593738 0.00118762178432253 0.00104131509865898 0.000904090124589914 0.000713293229448476 0.000628534996381408 0.000833070392397152 0.00124484490952535 0.00056061962185172 0.000521043936057218 0.000510907949542336 0.000763001373111849 0.00056177853770273 0.000510295436949611 0.000503337879477795 0.00100235131863833 2.43258942011415e-05 -0.0003248252899903 -0.000240683466182375 -6.08941839245407e-05 -8.54505018635954e-06 1.32943618412078e-05 -8.40057608641673e-06 2.82291849370941e-05 0.00012001496173972 0.000195341638024762 0.000231337142479654 0.000286145146627358 0.00031652468786181 0.000471777984085517 1.50118857153058e-05
"Immunityboost_184-244" 0.000631876339601342 0.000389790694538017 0.000931564843463054 0.00094801117926525 0.00150414211284887 0.00524853908106549 0.00113278879626416 0.000639556103794004 0.000422782269927085 0.000346509241828641 0.00153258487326498 0.00146880079513334 0.000988223351064719 0.000985302891119801 0.00116339501812068 0.00088518749503708 0.000674358227019973 0.00068964820996445 0.000607184790867206 0.000990382822074571 0.00116303985009791 0.000914426223698803 0.000577201790406151 0.000433807066073441 0.000365649482874286 0.000747238426449879 0.00129848343224583 0.00122082535257174 0.00102133777704727 0.000765966173364181 0.000759503328465858 0.000697987154855489 0.000621866697405002 0.000738930922286541 0.00125361539320717 0.00108360993922131 0.000892838726352943 0.000600419708450211 0.000460653695085931 0.000700782466217284 0.0013729048704628 0.000470133041142619 0.000374956113423852 0.000345331424193956 0.000787441146348368 0.00046914209178078 0.000367526243160337 0.000336754739069794 0.000795045130003941 0.000239191333620781 7.4307624447941e-05 2.28100119673677e-06 0.000100389749276798 9.16786717779243e-05 6.50598470448682e-05 -5.24869349444833e-05 -6.63387115918089e-05 -4.1598371226633e-05 -2.18440703165569e-05 -4.4321322948055e-05 1.66088912246726e-05 7.73780120375858e-05 0.000268759698451485 1.00675219216208e-06
"Immunityboost_245-305" 0.000672032348997007 0.000426980840335832 0.000956713761765905 0.000863871849946635 0.00101285083536465 0.00113278879626416 0.00214680029283173 0.000808733998208274 0.000482474739558278 0.000399474837582175 0.00103735003126746 0.00110062936222573 0.00100802456787504 0.000853967884201297 0.000974996303832072 0.000928819876816936 0.000730773292760567 0.000800980370615832 0.000651870859423005 0.00083732399332905 0.00102206331199993 0.000948236782648019 0.000677979913228862 0.000463238809447766 0.000402665337531256 0.000733690877661695 0.000964626687579977 0.00104316270141743 0.000961937935679593 0.000784678421214494 0.000720546390582963 0.000727881464791061 0.000639192896040375 0.000725002137970591 0.000951716332161109 0.000994604832155897 0.00086039914516438 0.000659055599047173 0.000457441371137086 0.000546483192544949 0.00107391140588512 0.000574839280082611 0.000429807436951173 0.000393148209332821 0.000925173693699714 0.000588393225623166 0.00043228691088794 0.000391303175503996 0.000615415735688632 0.000164902505323326 6.33398797522217e-05 7.33351956351789e-07 7.12260579408693e-05 6.58512867475187e-05 4.6926874546503e-05 -4.57165826981908e-05 -5.90166452235031e-05 -5.61750403447937e-05 -8.32812971440414e-05 -0.000121968016306691 -0.000130838707235024 -0.000129588441635961 1.5342637485868e-05 -1.26837310468652e-05
"Immunityboost_306-366" 0.0007929351681323 0.000633599036305214 0.000886851747169068 0.000819454673988984 0.000677241134520928 0.000639556103794004 0.000808733998208274 0.00235170193918972 0.000781471061015308 0.000576056137708869 0.000630717048146887 0.00066881092173634 0.000862851011657475 0.000829604195460543 0.000734634311472676 0.000892239014794424 0.000875335438468099 0.000940264716399631 0.000847917128662972 0.000710811352829332 0.000782385344994401 0.000879411485106969 0.000917319052249997 0.00070670510120363 0.000564185841732603 0.000857742758787396 0.000669647608674755 0.000754560952570109 0.000835857507385738 0.000877069782838031 0.000774558761608739 0.000810315476279116 0.00080900380020229 0.000847253251274593 0.00066803502158619 0.000768377787913811 0.000823334360275869 0.000832600248615688 0.000698851605039153 0.000547728070885829 0.000671583349657281 0.000955516762656467 0.000650377351030069 0.000545051016039541 0.000944544152629151 0.000923876291445872 0.000678379467620469 0.000553090217247301 0.000536575581712065 0.000147289308933059 6.41340513707543e-05 7.88862172074543e-06 6.33226871410382e-05 5.98094150331342e-05 4.20918077270981e-05 -3.85712792731599e-05 -5.06344690147955e-05 -4.91641510819899e-05 -7.52926901560344e-05 -0.000101277327470812 -0.000161983617352715 -0.000217122659696959 -0.000118332717061177 -1.76329083715335e-05
"Immunityboost_367-427" 0.00106190206567193 0.00162637458307117 0.000579961752939831 0.000787952023996711 0.000545811139939693 0.000422782269927085 0.000482474739558278 0.000781471061015308 0.00442550270090103 0.00154904851476951 0.000452688169018867 0.000416364575973837 0.000507821860896957 0.000764233603703599 0.000642658597795219 0.000640098144391278 0.00100202928507291 0.000858359342423486 0.00116368998573373 0.000900541255349625 0.000548761912297783 0.000643472829044285 0.00106287111558769 0.00156188639371739 0.00152054976696953 0.000971156201373792 0.000638634991488464 0.000463050309262257 0.000589111371456362 0.000869534944122718 0.00104990682970386 0.00096819926931021 0.00115617650172763 0.000963751416852062 0.000641613395861404 0.000466441785164405 0.000636805354700019 0.000971252447015772 0.00138346662110177 0.00120902012820459 0.000424389222222645 0.00125901448368301 0.00164405227511979 0.00143959683223383 0.000637501382722258 0.00123900829340942 0.0016156777536533 0.00148994688983117 0.000463864870791545 0.00014803633195155 8.85218965004886e-05 3.04789896177125e-05 6.47923853112065e-05 6.08759410900334e-05 4.15833984222989e-05 -4.25580240059782e-05 -5.9357233389854e-05 -7.52949272127429e-05 -0.000127501631846971 -0.000160552600375805 -0.000232491480111203 -0.000282696035775422 -0.000185634070832597 -8.51414596092412e-06
"Immunityboost_428-488" 0.00128108555904971 0.00253267272525396 0.000449729948394228 0.000624900074682613 0.000510808912196836 0.000346509241828641 0.000399474837582175 0.000576056137708869 0.00154904851476951 0.0120699805071721 0.000412201624094741 0.000335770723667119 0.000382346979327697 0.000543280654827173 0.000616845934423411 0.000544574049621385 0.000827585803243742 0.000642136126417797 0.00115912188907303 0.00113695233636414 0.000542097929669134 0.000500211269800728 0.000940261488952181 0.00202603038401941 0.00355920261912648 0.000830192121369714 0.000650707938806181 0.000378877654756892 0.000421096255193076 0.000723549419021534 0.00109131490584574 0.00126680467996381 0.00117884475599051 0.000836464628977183 0.00066151591460358 0.000389493439384297 0.000437899581666976 0.000879661437720817 0.00161085171622755 0.00234263982361444 0.000375935313380026 0.000882809068466197 0.0024989622161588 0.0041088158950893 0.000503399997887798 0.00102698784542107 0.00233935631001897 0.00387582617887182 0.00036242489265167 0.000104158730647535 6.63613747673226e-05 2.15098716061216e-05 3.7954364040277e-05 4.14987007631526e-05 2.84567465204428e-05 -2.24451664111975e-05 -3.46316991174759e-05 -4.81042637973212e-05 -0.000119448295920319 -0.000153122110073314 -0.000286043422318314 -0.000380861226594611 -0.000320606050772663 -1.34904090156355e-05
